name,ave,var,hz
gerarbox1-1,0.242592083562397,0.0620669846465995,12.584661902144035
gerarbox1-2,0.2416244471250503,0.07773926430306219,12.595630612518429
gerarbox1-3,0.2449457745037855,0.07710560946080865,12.573357888275016
gerarbox2-1,0.20747755834829448,0.06875427517926268,10.351756860733522
gerarbox3-1,0.2014023394994557,0.09004652997956188,12.290669205658324
gerarbox4-1,0.2514735698769008,0.072352312336971,11.777697320782043
gerarbox4-2,0.24400969599030425,0.06938487020900855,11.560246439753561
gerarbox4-3,0.24291791791791806,0.06735513491767856,11.457257257257258
gerarbox5-1,0.2236355441081776,0.07476427982867433,11.326722472633612
新新バッテリー,0.37213460631777456,0.08948261726742725,9.230669495520981
新新バッテリー2,0.3696675126903551,0.09136201661165747,9.173730964467005
