,-2,14,"7
"
,-2,14,"7
"
,-2,16,"10
"
,-2,15,"10
"
1,-2,17,"14
"
2,-3,15,"7
"
3,-4,15,"19
"
4,-5,14,"14
"
5,-2,18,"19
"
6,-3,18,"14
"
7,-3,19,"16
"
8,-1,17,"10
"
9,0,17,"10
"
10,-1,17,"8
"
11,-1,18,"17
"
12,-4,18,"14
"
13,-5,19,"16
"
14,-3,20,"13
"
15,-4,22,"28
"
16,-5,20,"35
"
17,-9,11,"34
"
18,-7,7,"37
"
19,-3,1,"35
"
20,11,5,"42
"
21,45,26,"62
"
22,131,110,"65
"
23,159,137,"47
"
24,159,139,"31
"
25,158,146,"4
"
26,152,140,"12
"
27,138,139,"18
"
28,125,143,"19
"
29,104,126,"25
"
30,76,104,"29
"
31,65,106,"30
"
32,50,102,"34
"
33,27,81,"29
"
34,13,76,"29
"
35,-6,63,"29
"
36,-17,56,"22
"
37,-28,50,"17
"
38,-33,53,"2
"
39,-40,47,"4
"
40,-47,53,"-10
"
41,-51,52,"-20
"
42,-51,48,"-28
"
43,-63,65,"-45
"
44,-57,60,"-47
"
45,-43,49,"-53
"
46,-53,65,"-67
"
47,-31,47,"-54
"
48,-9,33,"-43
"
49,-2,30,"-29
"
50,2,37,"-16
"
51,7,42,"0
"
52,9,37,"7
"
53,9,41,"27
"
54,0,39,"30
"
55,-7,43,"21
"
56,-16,47,"11
"
57,-22,51,"1
"
58,-25,50,"-2
"
59,-27,51,"-11
"
60,-26,47,"-9
"
61,-22,45,"-18
"
62,-18,46,"-30
"
63,-10,45,"-19
"
64,0,42,"-12
"
65,3,40,"-9
"
66,5,39,"-4
"
67,3,36,"7
"
68,0,35,"14
"
69,-4,27,"18
"
70,-7,22,"21
"
71,-11,18,"18
"
72,-13,20,"13
"
73,-12,20,"1
"
74,-11,20,"7
"
75,-6,18,"3
"
76,-3,18,"0
"
77,1,12,"6
"
78,3,10,"8
"
79,2,5,"29
"
80,3,4,"55
"
81,-15,-21,"77
"
82,-140,-153,"71
"
83,-157,174,"38
"
84,-147,171,"23
"
85,-137,158,"1
"
86,-130,151,"0
"
87,-114,124,"-10
"
88,-99,105,"-15
"
89,-89,100,"-17
"
90,-80,101,"-31
"
91,-68,87,"-36
"
92,-62,87,"-47
"
93,-57,89,"-55
"
94,-35,68,"-48
"
95,-22,60,"-35
"
96,-13,53,"-31
"
97,-4,47,"-12
"
98,1,47,"3
"
99,8,44,"5
"
100,15,42,"7
"
101,21,47,"18
"
102,23,51,"30
"
103,18,48,"22
"
104,9,44,"26
"
105,3,43,"45
"
106,-5,41,"41
"
107,-16,43,"28
"
108,-22,40,"22
"
109,-24,42,"6
"
110,-22,37,"-3
"
111,-18,37,"-10
"
112,-10,39,"-12
"
113,0,34,"-13
"
114,5,30,"-13
"
115,6,31,"-1
"
116,4,37,"19
"
117,1,41,"13
"
118,-3,42,"18
"
119,-6,43,"15
"
120,-7,38,"10
"
121,-6,36,"0
"
122,-4,30,"7
"
123,-5,29,"13
"
124,-5,28,"7
"
125,-2,28,"28
"
126,5,26,"21
"
127,12,30,"35
"
128,16,27,"34
"
129,19,33,"51
"
130,21,34,"44
"
131,31,49,"56
"
132,43,69,"65
"
133,45,74,"72
"
134,23,61,"55
"
135,8,55,"40
"
136,-4,55,"51
"
137,-14,59,"33
"
138,-22,55,"20
"
139,-24,54,"10
"
140,-24,52,"-5
"
141,-20,45,"-3
"
142,-15,42,"-5
"
143,-5,35,"0
"
144,1,33,"-7
"
145,3,30,"9
"
146,0,31,"26
"
147,0,33,"20
"
148,1,38,"42
"
149,2,39,"36
"
150,3,39,"34
"
151,5,41,"37
"
152,3,41,"45
"
153,0,38,"27
"
154,-2,36,"17
"
155,-9,31,"33
"
156,-13,34,"12
"
157,-23,35,"13
"
158,-30,30,"2
"
159,-28,20,"-9
"
160,-21,25,"0
"
161,-14,31,"-1
"
162,-13,27,"-18
"
163,-16,37,"-9
"
164,-17,53,"5
"
165,-20,55,"11
"
166,-15,51,"9
"
167,-17,17,"39
"
168,-27,-5,"46
"
169,-47,-14,"50
"
170,-31,13,"37
"
171,-17,29,"47
"
172,6,59,"38
"
173,2,80,"11
"
174,-10,92,"12
"
175,-12,94,"21
"
176,-16,95,"11
"
177,-16,90,"12
"
178,-13,98,"9
"
179,-13,91,"12
"
180,-12,96,"13
"
181,-14,97,"24
"
182,-15,91,"20
"
183,-14,96,"15
"
184,-14,90,"8
"
185,-15,88,"7
"
186,-13,89,"7
"
187,-11,87,"7
"
188,-9,88,"6
"
189,-7,88,"6
"
190,-6,88,"6
"
191,-5,88,"7
"
192,-4,88,"6
"
193,-3,89,"6
"
194,-2,89,"7
"
195,-1,89,"6
"
196,-1,89,"6
"
197,0,89,"7
"
198,0,89,"7
"
199,0,89,"7
"
200,0,89,"7
"
