[-1.6590981   1.464443    0.85506904 -2.0351672  -0.71665585 -2.7312136 ]
[-1.6486862  1.4616725  0.8501911 -2.0279748 -0.7132744 -2.7129178]
[-1.6298898   1.4490049   0.8438521  -2.0133657  -0.70819426 -2.6812978 ]
[-1.6091913   1.4300718   0.8371792  -1.9982526  -0.70376056 -2.6499298 ]
[-1.5922184  1.4099753  0.8318049 -1.9869992 -0.6992445 -2.6254187]
[-1.5829539   1.3936718   0.82921684 -1.9819962  -0.6972858  -2.6088579 ]
[-1.5829426   1.3801265   0.83029646 -1.9858582  -0.69887525 -2.6069    ]
[-1.592492   1.3726071  0.8340515 -1.9971733 -0.7032491 -2.6172538]
[-1.5960301   1.3636029   0.83616287 -2.0005906  -0.70559806 -2.6180804 ]
[-1.595415   1.3510087  0.8373183 -2.0007071 -0.7067963 -2.614674 ]
[-1.5920496  1.3383561  0.8379128 -1.9974356 -0.7065526 -2.6046314]
[-1.5941133  1.3327068  0.8397138 -1.9984267 -0.7075472 -2.601801 ]
[-1.6068256  1.3403525  0.8470962 -2.0075655 -0.7106503 -2.611099 ]
[-1.6291871   1.3629173   0.8569206  -2.0238068  -0.71380234 -2.631427  ]
[-1.6422911   1.3791212   0.8668033  -2.029823   -0.71427745 -2.6404097 ]
[-1.641037   1.3905375  0.8799858 -2.0278764 -0.7121931 -2.6379104]
[-1.6281617  1.3993039  0.8870234 -2.0178208 -0.7090386 -2.625554 ]
[-1.605289    1.3984799   0.8877893  -1.9977185  -0.70350313 -2.602494  ]
[-1.585668    1.4043348   0.8866382  -1.9733626  -0.69818866 -2.581896  ]
[-1.5661865   1.4071057   0.88237894 -1.9491539  -0.6933886  -2.5634098 ]
[-1.5523784  1.4116739  0.8770287 -1.930025  -0.690536  -2.5535955]
[-1.5451857   1.4167646   0.8711325  -1.9197949  -0.69023573 -2.5546114 ]
[-1.5387896   1.4094647   0.86274976 -1.9125142  -0.69481736 -2.5576894 ]
[-1.5467612  1.4134207  0.8573667 -1.9194471 -0.7029171 -2.579072 ]
[-1.5572028   1.4156126   0.85181427 -1.9304686  -0.70942694 -2.6034367 ]
[-1.571846    1.4199729   0.8471378  -1.9463942  -0.71649575 -2.6318898 ]
[-1.5866311  1.4201797  0.841971  -1.9652469 -0.7214842 -2.6601856]
[-1.595465   1.4143713  0.8369893 -1.9791317 -0.7239967 -2.6776025]
[-1.5999169   1.4066517   0.83198106 -1.9882271  -0.7222593  -2.684804  ]
[-1.5947413  1.3954167  0.8259703 -1.9905827 -0.7180775 -2.679646 ]
[-1.59478    1.3946049  0.8231375 -1.9922811 -0.7137879 -2.674446 ]
[-1.5948058   1.3950517   0.82321054 -1.9926505  -0.7088572  -2.6651523 ]
[-1.5866125   1.3913072   0.82221925 -1.9879595  -0.70262635 -2.6474278 ]
[-1.5817713  1.384534   0.8325846 -1.9787292 -0.6887365 -2.61871  ]
[-1.5785546   1.3789582   0.8422618  -1.9714363  -0.67494005 -2.5934234 ]
[-1.5799961   1.3822173   0.85211384 -1.9712057  -0.6651046  -2.579881  ]
[-1.5836382  1.3908873  0.8633436 -1.9732324 -0.6544123 -2.5731332]
[-1.5857661   1.3994966   0.8763198  -1.9770693  -0.64630955 -2.5682163 ]
[-1.5968924   1.4171749   0.8885758  -1.9894398  -0.64319056 -2.577915  ]
[-1.605438   1.4308262  0.8963367 -2.001369  -0.6427082 -2.589491 ]
[-1.6088625   1.4399679   0.89900434 -2.007535   -0.64369076 -2.598169  ]
[-1.6061676  1.4423339  0.8964901 -2.0098138 -0.6459499 -2.6032326]
[-1.5968671   1.4370759   0.88911027 -2.0074606  -0.64895284 -2.6032686 ]
[-1.5814444  1.4238153  0.8776028 -2.000589  -0.6523403 -2.598031 ]
[-1.5586059  1.4042646  0.8627764 -1.9899354 -0.6559316 -2.5883386]
[-1.5379014   1.3830187   0.84759295 -1.9805584  -0.66066134 -2.5808384 ]
[-1.529687    1.3702393   0.84108037 -1.9796643  -0.66797674 -2.5846522 ]
[-1.5335656   1.3671225   0.83750343 -1.987145   -0.6779091  -2.6004739 ]
[-1.5417383   1.3663523   0.83491385 -1.9939265  -0.6880715  -2.6177206 ]
[-1.5506206   1.3634269   0.8325083  -1.9999931  -0.69766814 -2.632955  ]
[-1.5601572   1.3650585   0.8311907  -2.0067625  -0.70687175 -2.6481867 ]
[-1.5705816   1.3750017   0.82473975 -2.0201964  -0.7220421  -2.670457  ]
[-1.5838972   1.389384    0.8208549  -2.0321538  -0.73509973 -2.6890845 ]
[-1.5809677   1.3970046   0.81538665 -2.0291142  -0.7421167  -2.6873899 ]
[-1.5752888   1.4017667   0.8111069  -2.020511   -0.74528474 -2.6756532 ]
[-1.5715894  1.4090466  0.8093755 -2.010266  -0.7440597 -2.6597762]
[-1.5744468   1.4228296   0.8129896  -2.0029624  -0.74211156 -2.6466131 ]
[-1.5798702   1.4383762   0.81845737 -1.9967253  -0.73913646 -2.6340983 ]
[-1.576694    1.4469335   0.82151484 -1.9870615  -0.7351815  -2.617064  ]
[-1.5713217   1.4504172   0.8231681  -1.9773159  -0.73139024 -2.6004322 ]
[-1.5680399   1.4486548   0.82706285 -1.9673941  -0.727189   -2.583901  ]
[-1.5662115  1.4436797  0.8383876 -1.9603884 -0.7220349 -2.5709548]
[-1.5656204   1.4418423   0.84907377 -1.9591845  -0.71948963 -2.5676832 ]
[-1.56804     1.440977    0.85764164 -1.9626789  -0.7172726  -2.5724351 ]
[-1.5719541  1.4394636  0.8635697 -1.9697881 -0.7171983 -2.5836236]
[-1.5728443  1.4323381  0.8661032 -1.976609  -0.7179651 -2.5952373]
[-1.5690386   1.4183544   0.86432993 -1.9812984  -0.71894574 -2.6044583 ]
[-1.5633345   1.4012959   0.85954183 -1.9852084  -0.7204481  -2.613058  ]
[-1.5620292   1.3890653   0.85613596 -1.991704   -0.7213174  -2.625398  ]
[-1.5602953   1.3751781   0.85340667 -1.9971545  -0.72249365 -2.6358495 ]
[-1.5499854   1.3572164   0.8475518  -1.9958341  -0.72201157 -2.633942  ]
[-1.5445311  1.3439565  0.8419218 -1.9968004 -0.7227952 -2.6355574]
[-1.5367815  1.3291124  0.8352504 -1.9906788 -0.7221064 -2.627182 ]
