167.73264,152.8901,-405.22455,-13.052027,-19.408834,-75.955,,0,1,2,3,4,5
152.63345,140.31522,-371.18478,-10.977951,-17.457827,-68.60872,,134.9249547,130.0985772,-343.9864923,-9.886430348,-16.08633425,-62.99663218
144.60452,134.61235,-355.29303,-9.689558,-16.3581,-64.68286,,,,,,,
119.92357,113.45747,-297.40002,-7.9527836,-13.830183,-53.68525,,,,,,,
113.09125,108.04509,-282.79492,-7.9978924,-13.379691,-51.04123,,,,,,,
114.12543,109.14791,-286.01086,-8.439908,-13.32981,-51.792233,,,,,,,
118.66499,113.016495,-297.2966,-8.535645,-13.467816,-53.990005,,,,,,,
121.49058,114.85379,-303.87958,-8.413338,-13.837718,-55.876175,,,,,,,
125.002556,117.9148,-312.39264,-8.944666,-15.09154,-58.585854,,,,,,,
130.73087,123.3202,-325.80194,-10.15636,-16.398335,-62.445915,,,,,,,
135.93057,128.75351,-337.5706,-10.596056,-16.548147,-65.0114,,,,,,,
138.38475,131.04138,-342.54538,-9.801472,-15.440879,-65.4668,,,,,,,
140.31624,132.16536,-344.8728,-9.238396,-15.110285,-64.66842,,,,,,,
138.12901,129.99028,-338.2166,-9.717865,-15.144024,-62.281437,,,,,,,
141.1936,133.1328,-344.3219,-10.979713,-16.597485,-63.06949,,,,,,,
148.5846,139.13002,-360.2569,-11.440141,-18.119555,-66.03879,,,,,,,
148.60724,138.7539,-360.55777,-10.219908,-17.56472,-66.26908,,,,,,,
143.50908,133.99017,-350.32385,-8.864765,-15.801344,-64.61184,,,,,,,
141.79648,133.05717,-348.32162,-8.840844,-15.151111,-65.269966,,,,,,,
141.72955,134.35774,-350.5294,-10.1944,-15.334165,-67.24966,,,,,,,
143.23232,137.43407,-357.07886,-11.855141,-16.904016,-68.86717,,,,,,,
143.40073,138.25415,-358.94727,-11.926668,-17.850994,-68.75053,,,,,,,
140.3755,135.11897,-351.15146,-10.369102,-17.051125,-66.042046,,,,,,,
137.96315,132.21288,-344.7251,-9.017336,-16.009102,-63.476444,,,,,,,
140.05807,133.87784,-348.7391,-9.171877,-15.969873,-63.664215,,,,,,,
144.66248,137.75119,-360.00137,-10.8309355,-16.985579,-65.71757,,,,,,,
146.9264,138.57785,-364.59067,-11.66766,-17.32915,-66.86389,,,,,,,
146.20546,135.86421,-359.59457,-10.900084,-16.750317,-66.271805,,,,,,,
145.78789,134.5366,-357.0993,-9.909722,-16.479956,-66.341545,,,,,,,
145.65752,134.27882,-356.19077,-9.739667,-16.600973,-66.23026,,,,,,,
144.35419,133.34503,-353.73758,-10.154819,-16.537146,-65.164185,,,,,,,
146.53174,135.93524,-359.10754,-10.73966,-17.019003,-65.88356,,,,,,,
149.20064,138.78397,-364.8394,-10.936297,-17.386078,-67.03203,,,,,,,
144.7204,134.99931,-354.3495,-10.1468935,-16.536089,-65.05456,,,,,,,
137.64175,128.82033,-338.83777,-9.657174,-15.606216,-62.537174,,,,,,,
132.51021,125.07225,-329.43716,-9.79522,-15.371828,-61.402992,,,,,,,
140.04742,132.38892,-349.94226,-10.609231,-16.331156,-65.28036,,,,,,,
140.44838,133.29567,-353.57288,-10.470069,-16.544905,-65.38356,,,,,,,
134.15306,128.24158,-339.59756,-9.777962,-16.090258,-62.558918,,,,,,,
129.48055,124.85172,-329.11597,-9.2414665,-15.676784,-60.666996,,,,,,,
120.80771,116.68351,-307.23322,-8.637754,-14.168921,-56.185318,,,,,,,
116.65928,111.89706,-295.26456,-8.489953,-13.275075,-53.474197,,,,,,,
128.66309,122.62183,-324.3495,-9.595102,-14.951865,-58.914783,,,,,,,
133.20964,126.80048,-334.73682,-9.8497715,-16.1587,-61.711254,,,,,,,
136.5964,129.5548,-342.23947,-9.858621,-16.572283,-63.82295,,,,,,,
137.62994,129.72589,-343.04895,-9.737335,-15.994225,-64.06821,,,,,,,
138.39305,130.08957,-342.73627,-9.835872,-15.508275,-64.08006,,,,,,,
139.99483,131.9224,-344.80585,-10.480989,-15.7193985,-64.50107,,,,,,,
140.18114,131.90504,-343.43225,-10.54637,-16.352852,-63.59799,,,,,,,
