"[['255', '255', '-96', 4, 0], ['255', '255', '-96', 1.5, 0], ['255', '255', '-96', 1.5, 0], ['255', '255', '-96', 1.5, 0]]",2,109,209,40,0.04686474800109863
"[['255', '255', '-96', 4, 0], ['255', '255', '-96', 4, 0], ['255', '255', '-96', 1.5, 0], ['255', '255', '-96', 1.5, 0]]",2,109,209,40,0.018830537796020508
"[['255', '255', '-96', 4, 0], ['255', '255', '-96', 4, 0], ['255', '255', '-96', 4, 0], ['255', '255', '-96', 1.5, 0]]",2,109,209,40,0.04487466812133789
"[['145', '45', '-96', 4, 0], ['255', '255', '-96', 4, 0], ['255', '255', '-96', 4, 0], ['255', '255', '-96', 4, 0]]",2,109,209,40,0.03690147399902344
"[['145', '45', '-101', 9, 0], ['145', '45', '-96', 4, 0], ['255', '255', '-96', 4, 0], ['255', '255', '-96', 4, 0]]",5,109,209,40,0.04388427734375
"[['145', '45', '-96', 9, 0], ['145', '45', '-101', 9, 0], ['145', '45', '-96', 4, 0], ['255', '255', '-96', 4, 0]]",5,109,209,40,0.0369105339050293
"[['145', '45', '-95', 9, 0], ['145', '45', '-96', 9, 0], ['145', '45', '-101', 9, 0], ['145', '45', '-96', 4, 0]]",5,109,209,40,0.05584287643432617
"[['145', '45', '-100', 4.5, 0], ['145', '45', '-95', 9, 0], ['145', '45', '-96', 9, 0], ['145', '45', '-101', 9, 0]]",3,109,209,40,0.03490710258483887
"[['145', '45', '-85', 4.5, 0], ['145', '45', '-100', 4.5, 0], ['145', '45', '-95', 9, 0], ['145', '45', '-96', 9, 0]]",3,109,209,40,0.03481149673461914
"[['145', '45', '-85', 4.5, 0], ['145', '45', '-85', 4.5, 0], ['145', '45', '-100', 4.5, 0], ['145', '45', '-95', 9, 0]]",3,109,209,40,0.03989410400390625
"[['145', '45', '-83', 4, 0], ['145', '45', '-85', 4.5, 0], ['145', '45', '-85', 4.5, 0], ['145', '45', '-100', 4.5, 0]]",2,109,209,40,0.037933349609375
"[['145', '45', '-79', 4, 0], ['145', '45', '-83', 4, 0], ['145', '45', '-85', 4.5, 0], ['145', '45', '-85', 4.5, 0]]",2,109,209,40,0.04269242286682129
"[['145', '45', '-76', 4, 0], ['145', '45', '-79', 4, 0], ['145', '45', '-83', 4, 0], ['145', '45', '-85', 4.5, 0]]",2,109,209,40,0.033941030502319336
"[['145', '45', '-74', 4.5, 0], ['145', '45', '-76', 4, 0], ['145', '45', '-79', 4, 0], ['145', '45', '-83', 4, 0]]",3,109,209,40,0.04385232925415039
"[['145', '45', '-67', 4.5, 0], ['145', '45', '-74', 4.5, 0], ['145', '45', '-76', 4, 0], ['145', '45', '-79', 4, 0]]",3,109,209,40,0.04179525375366211
"[['145', '45', '-64', 4.5, 0], ['145', '45', '-67', 4.5, 0], ['145', '45', '-74', 4.5, 0], ['145', '45', '-76', 4, 0]]",3,109,209,40,0.04256558418273926
"[['145', '45', '-64', 6, 0], ['145', '45', '-64', 4.5, 0], ['145', '45', '-67', 4.5, 0], ['145', '45', '-74', 4.5, 0]]",4,109,209,40,0.038895368576049805
"[['145', '45', '-59', 6, 0], ['145', '45', '-64', 6, 0], ['145', '45', '-64', 4.5, 0], ['145', '45', '-67', 4.5, 0]]",4,109,209,40,0.04090619087219238
"[['145', '45', '-55', 4, 0], ['145', '45', '-59', 6, 0], ['145', '45', '-64', 6, 0], ['145', '45', '-64', 4.5, 0]]",2,109,209,40,0.038889408111572266
"[['145', '45', '-54', 4, 0], ['145', '45', '-55', 4, 0], ['145', '45', '-59', 6, 0], ['145', '45', '-64', 6, 0]]",2,109,209,40,0.039275407791137695
"[['145', '45', '-49', 4, 0], ['145', '45', '-54', 4, 0], ['145', '45', '-55', 4, 0], ['145', '45', '-59', 6, 0]]",2,109,209,40,0.0430145263671875
"[['145', '45', '-48', 4, 0], ['145', '45', '-49', 4, 0], ['145', '45', '-54', 4, 0], ['145', '45', '-55', 4, 0]]",2,109,209,40,0.05191922187805176
"[['145', '45', '-40', 4, 0], ['145', '45', '-48', 4, 0], ['145', '45', '-49', 4, 0], ['145', '45', '-54', 4, 0]]",2,109,209,40,0.04987025260925293
"[['145', '45', '-39', 4.5, 0], ['145', '45', '-40', 4, 0], ['145', '45', '-48', 4, 0], ['145', '45', '-49', 4, 0]]",3,109,209,40,0.0389246940612793
"[['145', '45', '-36', 4.5, 0], ['145', '45', '-39', 4.5, 0], ['145', '45', '-40', 4, 0], ['145', '45', '-48', 4, 0]]",3,109,209,40,0.05485129356384277
"[['145', '45', '-32', 4.5, 0], ['145', '45', '-36', 4.5, 0], ['145', '45', '-39', 4.5, 0], ['145', '45', '-40', 4, 0]]",3,109,209,40,0.02892279624938965
"[['145', '45', '-31', 4, 0], ['145', '45', '-32', 4.5, 0], ['145', '45', '-36', 4.5, 0], ['145', '45', '-39', 4.5, 0]]",2,109,209,40,0.039893388748168945
"[['145', '45', '-24', 4, 0], ['145', '45', '-31', 4, 0], ['145', '45', '-32', 4.5, 0], ['145', '45', '-36', 4.5, 0]]",2,109,209,40,0.02892303466796875
"[['145', '45', '-21', 4, 0], ['145', '45', '-24', 4, 0], ['145', '45', '-31', 4, 0], ['145', '45', '-32', 4.5, 0]]",2,113,209,40,0.05476689338684082
"[['145', '45', '-13', 4.5, 0], ['145', '45', '-21', 4, 0], ['145', '45', '-24', 4, 0], ['145', '45', '-31', 4, 0]]",3,114,209,40,0.03877615928649902
"[['141', '45', '-5', 6, 0], ['145', '45', '-13', 4.5, 0], ['145', '45', '-21', 4, 0], ['145', '45', '-24', 4, 0]]",4,131,209,40,0.04089665412902832
