CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,0.04,-0.39,0.77,-0.008,0.071,-0.014,,0.572132474
0.0008,-0.11,-0.45,0.43,-0.006,0.063,-0.018,,
0.0017,-0.07,-0.32,0.66,-0.009,0.062,-0.011,,
0.0025,-0.04,0.25,0.77,-0.023,0.063,-0.014,,
0.0033,0.03,0.56,0.89,-0.031,0.068,-0.016,,
0.0042,-0.07,0.34,1.15,-0.022,0.068,-0.01,,
0.005,-0.24,0,1.08,-0.006,0.059,-0.015,,
0.0058,-0.12,-0.44,0.79,0.006,0.055,-0.014,,
0.0067,-0.06,-0.51,0.35,0,0.053,-0.01,,
0.0075,0.04,-0.17,0.11,-0.015,0.054,-0.013,,
0.0083,0.11,0.22,0.28,-0.029,0.058,-0.01,,
0.0092,0.01,0.37,0.64,-0.031,0.056,-0.009,,
0.01,-0.05,0.33,0.83,-0.028,0.052,-0.011,,
0.0108,-0.17,0.18,0.94,-0.022,0.045,-0.009,,
0.0117,-0.3,0.01,0.89,-0.015,0.037,-0.01,,
0.0125,-0.24,-0.12,0.84,-0.012,0.031,-0.011,,
0.0133,-0.03,-0.26,0.57,-0.007,0.035,-0.008,,
0.0142,0.25,-0.37,0.58,-0.005,0.046,-0.005,,
0.015,0.42,-0.24,0.71,-0.01,0.057,-0.007,,
0.0158,0.45,0.09,0.97,-0.022,0.062,-0.005,,
0.0167,0.38,0.34,1.14,-0.033,0.061,-0.006,,
0.0175,0.14,0.38,1.11,-0.038,0.049,-0.006,,
0.0183,0.08,0.11,1.37,-0.033,0.04,-0.006,,
0.0192,0.2,0.04,1.6,-0.033,0.037,-0.006,,
0.02,0.31,0.1,1.37,-0.032,0.038,-0.002,,
0.0208,0.32,0.09,1.19,-0.027,0.038,-0.003,,
0.0217,0.23,-0.03,1.04,-0.016,0.036,-0.002,,
0.0225,0.28,-0.25,1.16,-0.004,0.036,-0.002,,
0.0233,0.08,-0.21,0.74,-0.001,0.022,-0.004,,
0.0242,-0.1,-0.47,0.67,0.009,0.009,-0.001,,
0.025,-0.35,-0.48,0.4,0.005,0.004,-0.001,,
0.0258,-0.34,-0.17,0.07,-0.011,0.013,0,,
0.0267,0.02,0.21,0.19,-0.029,0.023,0.003,,
0.0275,0.19,0.43,0.35,-0.036,0.024,0.004,,
0.0283,0.21,0.22,0.63,-0.031,0.013,0.005,,
0.0292,-0.02,0,0.63,-0.035,0.007,0.007,,
0.03,-0.23,0.02,0.03,-0.029,-0.01,0.005,,
0.0308,-0.25,-0.07,0.1,-0.03,-0.013,0.004,,
0.0317,-0.17,-0.09,0.3,-0.03,-0.006,0.006,,
0.0325,-0.05,0,0.4,-0.036,0.004,0.007,,
0.0333,0.15,0.09,0.69,-0.043,0.016,0.006,,
0.0342,0.34,0.3,0.59,-0.05,0.022,0.006,,
0.035,0.33,0.52,0.22,-0.051,0.017,0.004,,
0.0358,0.4,0.31,0.07,-0.039,0.008,0.003,,
0.0367,0.26,-0.04,-0.04,-0.024,0.001,0.005,,
0.0375,0.09,-0.17,-0.07,-0.02,-0.007,0.002,,
0.0383,0.04,-0.18,-0.03,-0.017,-0.017,0,,
0.0392,-0.18,-0.03,-0.05,-0.024,-0.026,0.002,,
0.04,-0.17,0.01,-0.06,-0.031,-0.026,0.004,,
0.0408,-0.06,0.11,0.1,-0.035,-0.024,0.004,,
0.0417,0.02,0.08,0.22,-0.035,-0.014,0.007,,
0.0425,0.19,0.04,0.39,-0.032,-0.005,0.007,,
0.0433,0.38,0.03,0.47,-0.028,-0.007,0.007,,
0.0442,0.34,0.01,0.58,-0.028,-0.018,0.008,,
0.045,0.18,0.04,0.65,-0.03,-0.031,0.007,,
0.0458,-0.05,-0.01,1.09,-0.034,-0.041,0.007,,
0.0467,-0.19,-0.05,1.33,-0.036,-0.041,0.003,,
0.0475,-0.24,0.11,1.28,-0.039,-0.036,0.002,,
0.0483,-0.16,0.16,1.35,-0.042,-0.027,0.004,,
0.0492,-0.02,0.21,1.28,-0.041,-0.019,0.001,,
0.05,0.06,0.31,0.85,-0.039,-0.018,0.003,,
0.0508,0.14,0.12,0.74,-0.025,-0.017,0.005,,
0.0517,0.18,-0.19,0.44,-0.007,-0.016,0.003,,
0.0525,0.14,-0.43,0.55,-0.003,-0.018,0.006,,
0.0533,0.14,-0.57,0.82,-0.009,-0.018,0.002,,
0.0542,0.02,-0.12,0.61,-0.028,-0.027,-0.001,,
0.055,0.02,0.26,0.55,-0.044,-0.032,0.005,,
0.0558,0.07,0.42,0.58,-0.05,-0.027,0,,
0.0567,0.01,0.4,0.47,-0.053,-0.019,-0.001,,
0.0575,0.21,0.4,0.43,-0.047,-0.009,0.002,,
0.0583,0.37,0.3,0.37,-0.033,0,0.002,,
0.0592,0.32,-0.08,0.33,-0.017,0.003,0.002,,
0.06,0.44,-0.36,0.4,-0.008,0.008,0.001,,
0.0608,0.37,-0.42,0.44,-0.005,0.011,-0.003,,
0.0617,0.24,-0.31,0.64,-0.013,0.01,-0.004,,
0.0625,0.16,-0.08,0.74,-0.019,0.01,-0.004,,
0.0633,0,0.13,0.79,-0.026,0.012,-0.005,,
0.0642,-0.03,0.19,0.92,-0.03,0.019,-0.003,,
0.065,0,0.27,0.83,-0.038,0.025,-0.003,,
0.0658,0.03,0.38,0.57,-0.044,0.032,-0.004,,
0.0667,0.03,0.33,0.17,-0.045,0.036,-0.005,,
0.0675,0.05,0.01,0.06,-0.035,0.039,-0.005,,
0.0683,-0.02,-0.22,0.37,-0.026,0.041,-0.006,,
0.0692,0,-0.01,0.53,-0.026,0.046,-0.007,,
0.07,-0.02,0.28,0.44,-0.032,0.041,-0.008,,
0.0708,-0.17,0.32,0.13,-0.032,0.024,-0.009,,
0.0717,-0.4,0.1,-0.03,-0.027,0.007,-0.012,,
0.0725,-0.56,-0.14,0.05,-0.019,-0.002,-0.01,,
0.0733,-0.66,-0.06,0.15,-0.022,0.006,-0.013,,
0.0742,-0.32,0.31,0.06,-0.024,0.036,-0.015,,
0.075,0.1,0.31,0.24,-0.022,0.063,-0.017,,
0.0758,0.39,0.25,0.54,-0.015,0.089,-0.014,,
0.0767,0.63,0.05,0.6,-0.001,0.109,-0.016,,
0.0775,0.77,-0.43,0.39,0.01,0.108,-0.016,,
0.0783,0.77,-0.63,0.05,0.004,0.089,-0.019,,
0.0792,0.28,-0.45,-0.25,-0.009,0.059,-0.017,,
0.08,-0.07,-0.03,-0.38,-0.032,0.028,-0.013,,
0.0808,-0.42,0.51,-0.18,-0.048,0.012,-0.018,,
0.0817,-0.68,0.72,0.3,-0.046,0.018,-0.019,,
0.0825,-0.38,0.57,0.89,-0.034,0.044,-0.021,,
0.0833,0.08,0.41,0.87,-0.024,0.071,-0.019,,
0.0842,0.44,0.11,0.53,-0.014,0.086,-0.012,,
0.085,0.68,-0.22,0.12,-0.01,0.084,-0.01,,
0.0858,0.56,-0.36,0.01,-0.008,0.069,-0.011,,
0.0867,0.24,-0.39,0.07,-0.004,0.049,-0.012,,
