CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,0.09,-0.46,0.57,0.063,-0.009,0.006,,
0.0008,0.43,-1.01,0.3,0.072,-0.001,0.007,,0.592651256
0.0017,0.35,-0.84,0.32,0.059,-0.007,0.005,,
0.0025,0.11,0.01,0.57,0.044,-0.014,0.01,,
0.0033,-0.41,0.41,0.52,0.027,-0.027,0.003,,
0.0042,-0.56,-0.02,1.2,0.033,-0.033,-0.001,,
0.005,-0.44,-0.03,2.05,0.041,-0.033,-0.007,,
0.0058,-0.45,0.03,1.59,0.045,-0.031,-0.012,,
0.0067,-0.35,-0.28,1.06,0.054,-0.031,-0.014,,
0.0075,-0.19,-0.72,0.75,0.068,-0.026,-0.016,,
0.0083,-0.19,-1.08,0.54,0.084,-0.019,-0.016,,
0.0092,-0.02,-1.12,0.59,0.09,-0.003,-0.014,,
0.01,0.27,-0.67,0.65,0.075,0.023,-0.012,,
0.0108,0.68,-0.04,0.9,0.045,0.046,-0.008,,
0.0117,0.88,0.71,0.89,0.014,0.06,-0.006,,
0.0125,0.84,0.81,0.79,-0.004,0.063,-0.005,,
0.0133,0.78,0.55,0.9,-0.002,0.061,-0.005,,
0.0142,0.67,0.11,0.94,0.011,0.057,-0.007,,
0.015,0.51,-0.34,1,0.032,0.043,-0.004,,
0.0158,0.31,-0.48,0.64,0.048,0.024,-0.004,,
0.0167,0.21,-0.72,0.44,0.058,0.006,-0.002,,
0.0175,0.09,-0.76,0.72,0.064,-0.011,0,,
0.0183,-0.1,-0.43,1.23,0.058,-0.025,0.002,,
0.0192,-0.33,0.03,1.46,0.046,-0.034,0.001,,
0.02,-0.48,0.3,1.4,0.039,-0.041,-0.001,,
0.0208,-0.55,0.16,1.16,0.04,-0.045,-0.002,,
0.0217,-0.61,-0.28,1.01,0.051,-0.047,-0.006,,
0.0225,-0.63,-0.65,0.61,0.062,-0.046,-0.006,,
0.0233,-0.42,-0.68,0.27,0.062,-0.034,-0.007,,
0.0242,-0.01,-0.34,-0.1,0.049,-0.009,-0.003,,
0.025,0.38,0.1,-0.48,0.029,0.027,-0.004,,
0.0258,0.46,0.34,0.06,0.016,0.034,-0.004,,
0.0267,0.34,0.41,0.45,0.01,0.035,-0.008,,
0.0275,0.16,0.15,0.9,0.011,0.035,-0.009,,
0.0283,0.04,0.03,0.97,0.018,0.04,-0.01,,
0.0292,0.13,0.04,0.85,0.021,0.044,-0.011,,
0.03,0.32,-0.18,0.85,0.034,0.041,-0.008,,
0.0308,0.31,-0.41,0.61,0.051,0.031,-0.008,,
0.0317,0.13,-0.74,0.53,0.068,0.012,-0.005,,
0.0325,-0.04,-1.07,0.6,0.083,-0.004,0,,
0.0333,-0.23,-0.85,-0.11,0.063,-0.019,0.001,,
0.0342,-0.37,-0.43,-0.23,0.042,-0.022,0.002,,
0.035,-0.3,-0.13,-0.11,0.024,-0.02,0.006,,
0.0358,-0.13,0.07,0.03,0.012,-0.016,0.006,,
0.0367,-0.06,0.19,0.06,0.005,-0.016,0.006,,
0.0375,-0.08,0.32,-0.17,-0.001,-0.018,0.007,,
0.0383,-0.24,0.35,-0.25,0,-0.023,0.005,,
0.0392,-0.35,0.25,-0.11,0.002,-0.027,0.003,,
0.04,-0.48,0.13,-0.13,0.004,-0.03,-0.001,,
0.0408,-0.58,0.11,0.16,0.004,-0.024,-0.001,,
0.0417,-0.38,0.14,0.06,-0.001,-0.014,0,,
0.0425,-0.15,0.38,0.28,-0.001,-0.006,-0.001,,
0.0433,0.1,0.32,0.58,0.008,-0.001,-0.005,,
0.0442,0.14,0.14,0.74,0.019,-0.003,-0.005,,
0.045,0.06,-0.12,0.51,0.028,-0.005,-0.003,,
0.0458,-0.03,-0.25,0.43,0.034,-0.005,-0.002,,
0.0467,-0.01,-0.35,0.47,0.041,-0.001,-0.004,,
0.0475,0.15,-0.36,0.78,0.044,0.002,-0.005,,
0.0483,0.33,-0.4,0.91,0.05,0.002,-0.007,,
0.0492,0.37,-0.42,0.8,0.049,-0.011,-0.003,,
0.05,0.07,-0.39,0.83,0.051,-0.018,-0.003,,
0.0508,-0.05,-0.44,0.9,0.049,-0.019,-0.002,,
0.0517,-0.06,-0.37,0.84,0.048,-0.017,-0.002,,
0.0525,0.14,-0.42,1.17,0.045,-0.011,0,,
0.0533,0.31,-0.29,1.18,0.045,-0.013,-0.004,,
0.0542,0.16,-0.12,0.9,0.046,-0.026,-0.002,,
0.055,-0.13,-0.17,1.12,0.051,-0.037,-0.001,,
0.0558,-0.43,-0.31,1.14,0.055,-0.043,-0.007,,
0.0567,-0.51,-0.28,0.92,0.057,-0.047,-0.006,,
0.0575,-0.36,-0.5,1.05,0.068,-0.043,0.002,,
0.0583,-0.37,-0.7,0.94,0.075,-0.04,0.004,,
0.0592,-0.24,-0.9,0.6,0.085,-0.031,0.007,,
0.06,-0.03,-1.1,0.78,0.087,-0.023,0.008,,
0.0608,0.07,-1.08,0.71,0.08,-0.019,0.008,,
0.0617,-0.04,-0.69,0.42,0.063,-0.024,0.008,,
0.0625,-0.01,-0.4,0.64,0.053,-0.032,0.008,,
0.0633,-0.25,-0.35,1.07,0.048,-0.039,0.006,,
0.0642,-0.42,-0.29,1.21,0.041,-0.043,0.003,,
0.065,-0.46,-0.19,1.13,0.033,-0.04,-0.002,,
0.0658,-0.3,-0.1,1.17,0.024,-0.032,-0.003,,
0.0667,-0.08,-0.05,1.14,0.018,-0.019,-0.005,,
0.0675,0.16,-0.12,0.99,0.011,-0.003,-0.003,,
0.0683,0.27,-0.02,0.84,0.004,0.011,-0.005,,
0.0692,0.35,0.01,0.72,-0.003,0.024,-0.006,,
0.07,0.42,0.08,0.96,-0.007,0.033,-0.006,,
0.0708,0.37,0.11,0.75,-0.009,0.036,-0.005,,
0.0717,0.36,0.24,0.73,-0.01,0.033,-0.003,,
0.0725,0.36,0.14,0.88,-0.007,0.033,-0.004,,
0.0733,0.34,0.18,0.62,-0.01,0.03,-0.005,,
0.0742,0.37,0.22,0.56,-0.009,0.025,0,,
0.075,0.25,0.15,0.51,-0.005,0.015,0,,
0.0758,0.01,0.05,0.44,-0.002,0.003,0.001,,
0.0767,-0.28,0.06,0.26,-0.001,-0.01,0.001,,
0.0775,-0.4,0.07,0.14,0.002,-0.017,0.003,,
0.0783,-0.33,0.06,0.06,0.004,-0.018,0.002,,
0.0792,-0.22,0.04,0.36,0.004,-0.018,0.001,,
0.08,-0.25,0.03,0.31,0.002,-0.016,0,,
0.0808,-0.24,0.29,0.06,-0.006,-0.013,0.002,,
0.0817,-0.22,0.51,0.13,-0.008,-0.014,0.001,,
0.0825,-0.25,0.4,-0.01,-0.002,-0.012,-0.001,,
0.0833,-0.12,0.27,0.11,0.005,-0.009,0.002,,
0.0842,-0.13,0.2,-0.04,0.012,-0.009,-0.001,,
0.085,-0.04,0.15,-0.42,0.017,-0.007,-0.003,,
0.0858,0,0.12,-0.25,0.024,-0.013,-0.004,,
0.0867,-0.05,-0.16,-0.27,0.036,-0.017,-0.004,,
