CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,-0.21,0.1,0.83,-0.014,0.007,-0.011,,0.598990635
0.0008,0.01,-0.18,0.87,0.003,0.014,-0.007,,
0.0017,0.25,-0.37,0.95,0.017,0.018,-0.007,,
0.0025,0.17,-0.45,0.71,0.021,0.014,-0.009,,
0.0033,0.06,-0.41,0.64,0.018,0.005,-0.006,,
0.0042,-0.01,-0.32,0.88,0.014,-0.007,-0.007,,
0.005,-0.15,-0.21,1.3,0.008,-0.013,-0.011,,
0.0058,-0.13,-0.02,1.49,-0.001,-0.014,-0.009,,
0.0067,0,0.25,1.42,-0.011,-0.013,-0.009,,
0.0075,-0.09,0.33,1.03,-0.015,-0.016,-0.006,,
0.0083,0,0.19,1.3,-0.001,-0.013,-0.004,,
0.0092,0.1,-0.26,1.26,0.011,-0.015,-0.005,,
0.01,0.03,-0.44,1,0.016,-0.02,-0.004,,
0.0108,-0.09,-0.45,0.74,0.023,-0.027,-0.001,,
0.0117,-0.11,-0.36,0.56,0.02,-0.036,-0.003,,
0.0125,-0.45,-0.36,0.37,0.021,-0.043,-0.001,,
0.0133,-0.32,-0.32,0.5,0.017,-0.041,0,,
0.0142,-0.09,-0.29,0.27,0.002,-0.033,-0.004,,
0.015,-0.07,-0.09,0.19,-0.007,-0.019,0,,
0.0158,0.15,0.03,0.43,-0.018,-0.013,0.003,,
0.0167,0.06,0.14,0.71,-0.029,-0.014,0.002,,
0.0175,-0.07,0.27,0.84,-0.037,-0.016,0.005,,
0.0183,-0.05,0.43,0.75,-0.039,-0.022,0.007,,
0.0192,-0.2,0.45,0.71,-0.03,-0.033,0.006,,
0.02,-0.42,0.14,0.35,-0.015,-0.047,0.007,,
0.0208,-0.53,-0.09,0.23,0.011,-0.053,0.006,,
0.0217,-0.36,-0.51,0.69,0.029,-0.051,-0.001,,
0.0225,-0.07,-0.61,0.57,0.024,-0.042,0.003,,
0.0233,0.28,-0.13,0.34,0.006,-0.026,0.005,,
0.0242,0.6,0.35,0.24,-0.02,-0.016,0.004,,
0.025,0.49,0.43,0.07,-0.035,-0.018,0.007,,
0.0258,0.04,0.23,0.14,-0.034,-0.031,0.006,,
0.0267,-0.17,0.14,0.24,-0.035,-0.044,0.004,,
0.0275,-0.16,0.19,0.11,-0.038,-0.046,0.003,,
0.0283,0.04,0.35,-0.12,-0.037,-0.041,0.003,,
0.0292,0.1,0.25,0.04,-0.029,-0.043,0,,
0.03,-0.11,-0.27,0.06,-0.004,-0.051,0.002,,
0.0308,-0.28,-0.59,0.21,0.012,-0.062,0.003,,
0.0317,-0.36,-0.58,0.1,0.011,-0.071,0.006,,
0.0325,-0.42,-0.21,-0.06,0.008,-0.069,0.004,,
0.0333,-0.17,-0.06,0.18,-0.003,-0.067,0.005,,
0.0342,-0.09,-0.03,0.37,-0.006,-0.06,0.005,,
0.035,-0.16,0.03,0.73,-0.015,-0.057,0.002,,
0.0358,-0.21,0.02,1.2,-0.019,-0.049,0,,
0.0367,-0.04,0.2,1.51,-0.027,-0.041,-0.002,,
0.0375,0.15,0.43,1.39,-0.035,-0.029,0.001,,
0.0383,0.15,0.41,1.41,-0.036,-0.024,-0.002,,
0.0392,0.05,0.16,1.47,-0.023,-0.027,-0.007,,
0.04,0.04,-0.12,1.28,-0.009,-0.033,-0.002,,
0.0408,0,-0.52,0.92,0.011,-0.039,0,,
0.0417,0.19,-0.75,0.58,0.026,-0.047,-0.005,,
0.0425,-0.03,-0.71,0.32,0.027,-0.06,0.003,,
0.0433,-0.31,-0.51,-0.05,0.02,-0.072,0.002,,
0.0442,-0.14,-0.26,0.12,0.007,-0.073,0,,
0.045,-0.21,0.1,0.17,-0.01,-0.069,0,,
0.0458,-0.23,0.36,0.43,-0.024,-0.069,-0.002,,
0.0467,-0.12,0.6,0.81,-0.037,-0.062,-0.002,,
0.0475,-0.18,0.66,1.04,-0.042,-0.056,-0.001,,
0.0483,-0.14,0.35,1.31,-0.025,-0.046,-0.004,,
0.0492,0.21,-0.16,1.31,0.004,-0.033,-0.007,,
0.05,0.41,-0.69,1.32,0.022,-0.013,-0.004,,
0.0508,0.37,-0.69,1.19,0.02,0.002,-0.007,,
0.0517,0.25,-0.31,1.09,0.008,0.013,-0.006,,
0.0525,0.32,-0.06,1.12,0,0.021,-0.006,,
0.0533,0.37,-0.03,1.28,-0.001,0.029,-0.005,,
0.0542,0.25,0.02,1.2,-0.003,0.029,-0.008,,
0.055,0.04,0.19,1.09,-0.012,0.028,-0.007,,
0.0558,-0.09,0.24,0.82,-0.017,0.018,-0.01,,
0.0567,-0.28,0.27,0.45,-0.019,0.007,-0.01,,
0.0575,-0.34,0.07,0.39,-0.017,0.001,-0.01,,
0.0583,-0.36,-0.07,0.42,-0.012,0.004,-0.011,,
0.0592,-0.19,-0.05,0.39,-0.013,0.01,-0.01,,
0.06,-0.17,-0.04,0.42,-0.017,0.016,-0.009,,
0.0608,-0.27,0.29,0.1,-0.027,0.012,-0.016,,
0.0617,-0.35,0.49,-0.17,-0.034,0.003,-0.014,,
0.0625,-0.42,0.37,-0.05,-0.031,0.01,-0.007,,
0.0633,-0.37,0.26,0,-0.022,0.022,-0.013,,
0.0642,-0.09,0.02,0.19,-0.009,0.041,-0.012,,
0.065,0.19,-0.19,0.22,0.005,0.057,-0.011,,
0.0658,0.33,-0.22,0.31,0.011,0.057,-0.019,,
0.0667,0.35,-0.3,-0.01,0.014,0.048,-0.017,,
0.0675,0.05,-0.25,-0.28,0.009,0.033,-0.011,,
0.0683,-0.15,-0.16,-0.21,-0.004,0.019,-0.017,,
0.0692,-0.18,0.11,-0.03,-0.018,0.013,-0.014,,
0.07,-0.36,0.48,0.02,-0.029,0.01,-0.011,,
0.0708,-0.34,0.67,0.19,-0.028,0.01,-0.018,,
0.0717,-0.1,0.44,0.23,-0.01,0.017,-0.015,,
0.0725,-0.09,-0.18,0.22,0.016,0.035,-0.013,,
0.0733,0.29,-0.64,0.26,0.031,0.052,-0.02,,
0.0742,0.61,-0.74,0.26,0.034,0.055,-0.015,,
0.075,0.43,-0.61,0.45,0.023,0.054,-0.011,,
0.0758,0.3,-0.19,0.62,0.002,0.05,-0.015,,
0.0767,0.25,0.32,0.72,-0.016,0.04,-0.013,,
0.0775,0,0.53,0.85,-0.019,0.032,-0.013,,
0.0783,-0.05,0.45,0.93,-0.012,0.03,-0.015,,
0.0792,0.03,0.17,0.97,-0.001,0.028,-0.013,,
0.08,-0.09,-0.12,0.68,0.008,0.028,-0.013,,
0.0808,-0.07,-0.32,0.47,0.01,0.033,-0.014,,
0.0817,0.05,-0.42,0.55,0.008,0.04,-0.008,,
0.0825,0.11,-0.35,0.82,0,0.049,-0.008,,
0.0833,0.2,0.12,0.87,-0.015,0.048,-0.01,,
0.0842,0.14,0.4,0.92,-0.022,0.037,-0.006,,
0.085,-0.18,0.47,0.93,-0.023,0.017,-0.007,,
0.0858,-0.55,0.29,0.75,-0.019,-0.005,-0.005,,
0.0867,-0.69,0.12,0.46,-0.014,-0.019,-0.005,,
