CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,0.13,-0.01,0.49,-0.007,0.021,-0.002,,0.574438489
0.0008,0.04,0,0.84,-0.005,0.03,-0.002,,
0.0017,0.09,0.13,0.89,-0.01,0.043,-0.004,,
0.0025,0.27,0.32,0.79,-0.023,0.061,-0.006,,
0.0033,0.48,0.34,0.71,-0.034,0.077,-0.003,,
0.0042,0.57,0.21,0.57,-0.036,0.079,-0.001,,
0.005,0.28,0.1,0.55,-0.034,0.068,-0.002,,
0.0058,-0.36,0.23,0.53,-0.029,0.048,-0.005,,
0.0067,-0.43,0.09,0.82,-0.018,0.033,-0.005,,
0.0075,-0.45,0.02,0.96,-0.009,0.027,-0.005,,
0.0083,-0.22,-0.04,0.64,-0.005,0.028,-0.003,,
0.0092,-0.03,-0.06,0.31,-0.01,0.029,-0.007,,
0.01,-0.09,-0.02,-0.1,-0.015,0.026,-0.006,,
0.0108,-0.17,0.03,0.04,-0.015,0.024,-0.004,,
0.0117,-0.12,0.07,0.16,-0.014,0.023,-0.006,,
0.0125,-0.09,0.2,0.21,-0.011,0.025,-0.005,,
0.0133,-0.07,0.34,0.65,-0.017,0.031,-0.007,,
0.0142,0.04,0.32,0.48,-0.014,0.028,-0.009,,
0.015,0.01,0.27,-0.05,-0.007,0.022,-0.008,,
0.0158,-0.06,0.06,-0.04,0.011,0.014,-0.007,,
0.0167,-0.02,-0.37,0.33,0.026,0.009,-0.009,,
0.0175,-0.1,-0.59,0.57,0.03,0.005,-0.009,,
0.0183,-0.13,-0.35,0.57,0.024,0.006,-0.01,,
0.0192,0.14,-0.17,0.54,0.022,0.014,-0.009,,
0.02,0.22,-0.14,0.29,0.021,0.016,-0.004,,
0.0208,0.16,-0.14,0.02,0.014,0.012,-0.003,,
0.0217,0.12,-0.14,-0.1,0.002,0.001,-0.004,,
0.0225,-0.02,0.04,-0.17,-0.006,-0.013,-0.002,,
0.0233,-0.11,0.15,-0.1,-0.005,-0.023,0,,
0.0242,-0.16,0.1,0.17,-0.001,-0.029,0.003,,
0.025,-0.26,-0.02,0.38,0.002,-0.03,0.004,,
0.0258,-0.31,-0.1,0.61,0.001,-0.024,0.005,,
0.0267,-0.03,-0.13,0.83,-0.001,-0.008,0.007,,
0.0275,0.34,0.11,0.82,-0.005,-0.004,0.005,,
0.0283,0.44,0.27,0.83,0.015,-0.022,0.009,,
0.0292,0.06,0.05,1.08,0.046,-0.05,0.01,,
0.03,-0.36,-0.57,1.21,0.076,-0.073,0.008,,
0.0308,-0.65,-1.19,1.01,0.085,-0.083,0.006,,
0.0317,-0.62,-1.26,0.68,0.072,-0.077,0.003,,
0.0325,-0.33,-0.91,0.51,0.039,-0.067,-0.004,,
0.0333,-0.08,-0.33,0.36,0.002,-0.051,-0.002,,
0.0342,0.1,0.43,0.39,-0.027,-0.035,-0.002,,
0.035,0.4,0.7,0.58,-0.029,-0.019,-0.001,,
0.0358,0.49,0.57,0.61,-0.017,-0.014,-0.001,,
0.0367,0.44,0.25,0.5,-0.006,-0.019,-0.002,,
0.0375,0.19,-0.01,0.16,-0.002,-0.034,-0.005,,
0.0383,-0.09,-0.14,-0.08,0.001,-0.049,-0.007,,
0.0392,-0.23,-0.35,0.19,-0.002,-0.049,-0.005,,
0.04,-0.2,-0.35,0.5,-0.02,-0.034,-0.006,,
0.0408,-0.02,0.13,0.72,-0.045,-0.015,-0.005,,
0.0417,0.26,0.74,1.32,-0.052,0.001,0.004,,
0.0425,0.81,0.85,2.71,-0.034,0.011,0.013,,
0.0433,0.64,0.46,2.4,-0.014,-0.012,0.006,,
0.0442,-0.12,0.25,1.62,-0.008,-0.05,0.005,,
0.045,-0.51,-0.2,1.2,0.005,-0.076,-0.002,,
0.0458,-0.92,-0.26,0.62,0.023,-0.092,-0.002,,
0.0467,-0.94,-0.73,0.62,0.038,-0.065,0.006,,
0.0475,-0.38,-0.48,0.4,0.03,-0.019,0.006,,
0.0483,0.29,0.04,-0.17,0.013,0.023,0.012,,
0.0492,0.69,0.28,-0.52,0.005,0.043,0.01,,
0.05,0.86,0.12,-0.76,0.015,0.038,0.002,,
0.0508,0.45,-0.32,-0.84,0.025,0.016,0,,
0.0517,-0.23,-0.44,-0.89,0.028,-0.009,-0.004,,
0.0525,-0.65,-0.36,-0.33,0.025,-0.024,-0.004,,
0.0533,-0.82,-0.16,0.13,0.021,-0.026,-0.002,,
0.0542,-0.72,-0.08,0.63,0.012,-0.014,-0.001,,
0.055,-0.37,0.06,1.26,-0.004,0.01,0.002,,
0.0558,-0.17,0.45,1.56,-0.025,0.029,0.004,,
0.0567,0.02,0.48,1.93,-0.031,0.036,0.002,,
0.0575,0.07,0.28,2.31,-0.024,0.036,-0.001,,
0.0583,-0.07,0.1,2.05,-0.012,0.028,-0.003,,
0.0592,-0.27,-0.16,1.84,0,0.018,-0.004,,
0.06,-0.37,-0.24,1.77,0.003,0.012,-0.002,,
0.0608,-0.42,-0.19,1.72,-0.003,0.013,0.001,,
0.0617,-0.27,0.07,1.3,-0.013,0.021,0.002,,
0.0625,0.07,0.26,0.98,-0.019,0.033,0.002,,
0.0633,0.32,0.4,0.61,-0.019,0.039,0.002,,
0.0642,0.4,0.25,0.32,-0.005,0.034,-0.001,,
0.065,0.31,-0.15,-0.03,0.017,0.021,-0.003,,
0.0658,0.12,-0.5,-0.46,0.032,0.009,-0.004,,
0.0667,0.12,-0.7,-0.71,0.04,0.003,-0.001,,
0.0675,0.17,-0.74,-0.5,0.042,0.004,-0.001,,
0.0683,0.24,-0.49,-0.16,0.038,0.001,-0.005,,
0.0692,0.13,-0.32,0.17,0.029,-0.001,-0.003,,
0.07,-0.05,-0.14,0.47,0.013,0.008,-0.003,,
0.0708,0.04,0.33,0.4,-0.008,0.021,-0.004,,
0.0717,0.49,0.41,0.44,-0.014,0.036,-0.005,,
0.0725,0.68,0.12,0.6,-0.01,0.045,-0.006,,
0.0733,0.63,-0.24,0.48,0,0.042,-0.002,,
0.0742,0.45,-0.4,0.52,0.001,0.026,-0.002,,
0.075,0.1,-0.28,0.69,0,0.006,-0.006,,
0.0758,-0.11,-0.09,0.81,-0.002,-0.006,-0.005,,
0.0767,-0.2,0.06,0.94,-0.006,-0.013,-0.006,,
0.0775,-0.24,0.11,1,-0.007,-0.01,-0.007,,
0.0783,-0.26,0.14,0.87,-0.009,-0.001,-0.005,,
0.0792,-0.02,0.11,0.55,-0.007,0.018,-0.004,,
0.08,0.45,-0.06,0.28,-0.003,0.044,-0.005,,
0.0808,0.69,-0.17,-0.16,0.001,0.06,-0.002,,
0.0817,0.74,-0.24,-0.39,0.003,0.061,0.001,,
0.0825,0.45,-0.21,-0.37,0.003,0.047,-0.001,,
0.0833,0.16,-0.21,-0.16,0.002,0.029,0,,
0.0842,-0.1,-0.16,0.19,-0.001,0.011,-0.001,,
0.085,-0.44,-0.04,0.46,-0.003,0,-0.004,,
0.0858,-0.45,0.02,0.81,-0.006,0.01,-0.003,,
0.0867,-0.15,0.18,0.9,-0.009,0.035,-0.004,,
