CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,0.04,-0.42,-0.06,0.035,-0.048,-0.002,,0.587768609
0.0008,-0.03,-0.3,-0.23,0.028,-0.056,0.003,,
0.0017,0.02,-0.4,0.17,0.019,-0.053,-0.001,,
0.0025,0.03,-0.3,0.59,0.007,-0.048,0,,
0.0033,-0.18,0.07,0.68,-0.005,-0.034,0.002,,
0.0042,0.38,0.15,0.95,-0.004,-0.02,0.001,,
0.005,0.59,-0.11,1.28,0.012,-0.013,0.004,,
0.0058,0.13,-0.21,1.53,0.015,-0.012,-0.003,,
0.0067,0,-0.13,1.52,-0.006,-0.021,-0.011,,
0.0075,-0.27,0.26,1.48,-0.024,-0.029,-0.01,,
0.0083,-0.24,0.61,1.03,-0.023,-0.032,-0.002,,
0.0092,0.16,0.12,1.34,0.011,-0.018,0.001,,
0.01,0.16,-0.59,1.55,0.052,0.003,-0.001,,
0.0108,-0.01,-0.97,1.36,0.057,0.013,-0.004,,
0.0117,0.09,-0.53,1.34,0.042,0.01,-0.004,,
0.0125,-0.17,0,1.3,0.011,0.002,-0.002,,
0.0133,-0.18,0.6,0.8,-0.021,0.001,-0.002,,
0.0142,-0.03,0.71,0.5,-0.031,0,-0.001,,
0.015,-0.1,0.33,1.9,0.01,0.017,-0.004,,
0.0158,-0.04,-0.01,1.69,0.035,0.029,-0.003,,
0.0167,0.09,-0.55,0.64,0.051,0.039,0.002,,
0.0175,0.39,-0.98,-0.47,0.061,0.044,0.003,,
0.0183,0.49,-1.15,-1.15,0.068,0.044,0.002,,
0.0192,0.43,-1.23,-0.83,0.058,0.04,-0.001,,
0.02,0.22,-0.56,-0.37,0.026,0.02,-0.007,,
0.0208,-0.75,0.48,-0.55,-0.017,-0.011,-0.009,,
0.0217,-0.92,0.98,0.36,-0.039,-0.016,-0.008,,
0.0225,-0.65,1.06,1.07,-0.042,0.001,-0.014,,
0.0233,-0.57,0.76,1.43,-0.027,0.027,-0.007,,
0.0242,0.01,0.52,1.57,-0.015,0.064,-0.009,,
0.025,0.88,0.17,0.7,-0.004,0.109,-0.009,,
0.0258,1.48,-0.57,-0.32,0.022,0.13,-0.003,,
0.0267,1.2,-0.89,-0.21,0.047,0.116,-0.008,,
0.0275,0.31,-0.84,-0.26,0.054,0.084,-0.013,,
0.0283,-0.29,-0.84,-0.46,0.05,0.052,-0.012,,
0.0292,-0.48,-0.46,-0.65,0.032,0.038,-0.012,,
0.03,-0.48,0.26,-0.44,0.006,0.04,-0.01,,
0.0308,-0.23,0.85,0.01,-0.012,0.052,-0.007,,
0.0317,0.15,0.87,0.31,-0.022,0.07,-0.005,,
0.0325,0.44,0.36,0.38,-0.019,0.084,-0.003,,
0.0333,0.44,-0.05,0.19,-0.008,0.087,0,,
0.0342,0.19,-0.19,0.15,0.008,0.08,-0.002,,
0.035,-0.05,-0.33,0.45,0.023,0.07,-0.006,,
0.0358,-0.23,-0.34,0.7,0.027,0.065,-0.006,,
0.0367,-0.33,-0.23,0.76,0.028,0.064,-0.005,,
0.0375,-0.21,-0.04,1.05,0.028,0.069,-0.006,,
0.0383,-0.07,0,1.13,0.029,0.075,-0.003,,
0.0392,0.05,-0.08,1.13,0.029,0.077,-0.007,,
0.04,0.04,-0.24,0.98,0.028,0.077,-0.008,,
0.0408,0.02,-0.29,0.91,0.029,0.078,-0.005,,
0.0417,0.07,-0.4,0.78,0.035,0.076,-0.008,,
0.0425,-0.01,-0.36,0.8,0.036,0.072,-0.011,,
0.0433,0,-0.27,0.74,0.031,0.068,-0.011,,
0.0442,-0.03,0.12,0.56,0.011,0.061,-0.012,,
0.045,-0.18,0.37,0.41,-0.001,0.052,-0.008,,
0.0458,-0.18,0.33,0.64,0.001,0.049,-0.009,,
0.0467,-0.06,0.05,0.66,0.018,0.055,-0.012,,
0.0475,0.13,-0.49,0.75,0.04,0.062,-0.01,,
0.0483,0.2,-0.72,0.31,0.047,0.063,-0.007,,
0.0492,0.23,-0.4,-0.02,0.036,0.058,-0.011,,
0.05,0.18,-0.13,-0.06,0.026,0.05,-0.006,,
0.0508,-0.06,-0.06,0.35,0.021,0.035,-0.006,,
0.0517,-0.23,-0.15,0.71,0.022,0.03,-0.006,,
0.0525,-0.13,-0.01,1.09,0.01,0.035,-0.009,,
0.0533,0,0.35,1.1,-0.002,0.045,-0.005,,
0.0542,0.3,0.35,1.17,-0.002,0.052,-0.003,,
0.055,0.34,0.09,1.03,0.006,0.048,-0.002,,
0.0558,0.21,-0.35,0.64,0.017,0.04,-0.004,,
0.0567,0.08,-0.46,0.61,0.018,0.03,-0.006,,
0.0575,0.09,-0.23,0.53,0.012,0.029,-0.005,,
0.0583,0.12,0.11,0.66,0.003,0.025,-0.004,,
0.0592,0.09,0.13,1.08,0.004,0.02,-0.005,,
0.06,-0.04,0.14,1.03,0,0.016,-0.008,,
0.0608,0.13,0.18,0.86,-0.006,0.02,-0.003,,
0.0617,0.42,0.26,0.9,-0.008,0.027,-0.002,,
0.0625,0.61,0.05,0.95,0.003,0.032,-0.005,,
0.0633,0.69,-0.45,1.17,0.022,0.027,-0.002,,
0.0642,0.53,-0.64,1.13,0.029,0.013,-0.002,,
0.065,0.26,-0.38,0.75,0.018,-0.005,-0.005,,
0.0658,-0.02,0.02,0.75,0.006,-0.025,-0.003,,
0.0667,-0.3,0.19,0.55,0.008,-0.036,-0.001,,
0.0675,-0.04,-0.14,0.79,0.009,-0.023,0.001,,
0.0683,0.31,-0.2,0.97,0.003,-0.004,0.001,,
0.0692,0.78,-0.15,0.88,0.002,0.013,0.005,,
0.07,0.79,0.11,-0.03,0.001,0,0.003,,
0.0708,0.35,0.1,-0.15,0.011,-0.025,0.005,,
0.0717,-0.13,-0.07,-0.36,0.02,-0.05,0,,
0.0725,-0.7,-0.24,-0.35,0.033,-0.072,0,,
0.0733,-0.84,-0.55,0.33,0.034,-0.065,0.006,,
0.0742,-0.48,-0.59,0.15,0.02,-0.053,-0.002,,
0.075,-0.23,-0.19,0.11,-0.013,-0.034,0.005,,
0.0758,0.19,0.3,-0.12,-0.035,-0.019,0.005,,
0.0767,0.21,0.74,-0.22,-0.039,-0.017,0.007,,
0.0775,0.18,0.44,0.11,-0.022,-0.016,0.012,,
0.0783,-0.02,0.05,0.46,-0.008,-0.02,0.009,,
0.0792,-0.33,-0.16,0.65,-0.009,-0.028,0.004,,
0.08,-0.42,0.08,0.56,-0.023,-0.032,0.006,,
0.0808,-0.36,0.36,0.4,-0.031,-0.039,0.007,,
0.0817,-0.28,0.35,0.64,-0.032,-0.036,0.005,,
0.0825,-0.17,0.2,0.79,-0.022,-0.031,0.006,,
0.0833,-0.18,0.06,1.15,-0.007,-0.018,0.008,,
0.0842,0.01,-0.03,1.18,0.005,-0.01,0.001,,
0.085,0.02,-0.02,0.64,0.014,-0.011,0.01,,
0.0858,-0.06,-0.11,0.18,0.021,-0.022,0.007,,
0.0867,-0.18,-0.36,0.02,0.024,-0.03,0.004,,
0.0875,-0.39,-0.51,0.2,0.019,-0.034,0.005,,
