CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,-0.12,-0.39,0.11,0.012,0,0.001,,0.594698517
0.0008,-0.1,-0.28,0.27,0.01,0.003,0.002,,
0.0017,-0.18,-0.07,0.53,0.005,0.001,0.001,,
0.0025,-0.16,0.15,0.9,0,0.004,0.002,,
0.0033,-0.16,0.43,1.12,-0.006,0.004,0.002,,
0.0042,-0.14,0.47,1.26,-0.008,0.007,0.003,,
0.005,-0.01,0.34,1.54,-0.008,0.011,0.002,,
0.0058,0.01,0.29,1.2,-0.007,0.015,0,,
0.0067,0.03,0.22,0.87,-0.008,0.014,-0.002,,
0.0075,0.11,0.09,0.79,-0.005,0.019,-0.003,,
0.0083,-0.02,0.19,0.71,-0.008,0.015,-0.005,,
0.0092,-0.05,0.17,0.77,-0.006,0.016,-0.002,,
0.01,0.09,0.35,0.83,-0.01,0.02,-0.003,,
0.0108,0.31,0.35,1.1,-0.008,0.022,-0.003,,
0.0117,0.29,0.38,1.46,-0.004,0.021,-0.003,,
0.0125,0.26,0.56,1.41,-0.007,0.018,-0.001,,
0.0133,0.16,0.62,1.22,-0.008,0.013,-0.001,,
0.0142,0.08,0.48,0.93,-0.004,0.009,0.001,,
0.015,0.33,0.18,0.9,0.001,0.016,0.001,,
0.0158,0.68,-0.12,0.79,0.012,0.023,0,,
0.0167,0.6,-0.22,0.64,0.017,0.023,0.001,,
0.0175,0.58,-0.31,0.45,0.022,0.024,-0.002,,
0.0183,0.32,-0.37,0.12,0.028,0.017,-0.009,,
0.0192,0.13,-0.88,0.5,0.05,0.009,-0.017,,
0.02,-0.19,-1.22,0.69,0.074,-0.002,-0.026,,
0.0208,-0.49,-1.4,0.62,0.09,-0.014,-0.02,,
0.0217,-0.57,-1.45,0.42,0.098,-0.018,-0.01,,
0.0225,-0.54,-1.47,0.13,0.101,-0.017,-0.006,,
0.0233,-0.38,-1.52,0.12,0.095,-0.001,-0.008,,
0.0242,0.01,-1.2,-0.03,0.066,0.026,-0.009,,
0.025,0.32,-0.69,0.04,0.031,0.043,-0.004,,
0.0258,0.34,-0.23,0.15,0.011,0.04,-0.004,,
0.0267,0.12,-0.13,0.31,0.007,0.028,-0.004,,
0.0275,-0.06,-0.32,0.32,0.011,0.024,-0.003,,
0.0283,-0.11,-0.36,0.27,0.009,0.021,-0.003,,
0.0292,-0.15,-0.38,0.6,0.007,0.021,0,,
0.03,-0.21,-0.08,0.89,-0.003,0.022,0,,
0.0308,-0.11,0.28,0.73,-0.01,0.025,0,,
0.0317,-0.08,0.41,0.71,-0.015,0.025,0.001,,
0.0325,-0.04,0.4,1.02,-0.014,0.03,0.002,,
0.0333,-0.05,0.56,1.13,-0.018,0.032,0.001,,
0.0342,-0.05,0.55,0.95,-0.018,0.033,0.003,,
0.035,-0.01,0.32,0.77,-0.015,0.037,0.003,,
0.0358,0.04,0.26,0.26,-0.014,0.043,0.002,,
0.0367,0.18,0.2,-0.02,-0.013,0.05,0.002,,
0.0375,0.31,0.17,0.2,-0.012,0.06,0.001,,
0.0383,0.39,0.3,0.3,-0.014,0.065,-0.004,,
0.0392,0.38,0.34,0.46,-0.012,0.063,-0.008,,
0.04,0.16,0.23,0.64,-0.006,0.055,-0.006,,
0.0408,-0.06,0.09,1.06,0.003,0.041,-0.006,,
0.0417,-0.26,0.18,0.79,0.007,0.029,-0.009,,
0.0425,-0.3,0.1,0.76,0.009,0.024,-0.01,,
0.0433,-0.15,-0.01,0.67,0.016,0.027,-0.01,,
0.0442,0.04,-0.17,0.59,0.022,0.035,-0.011,,
0.045,0.21,-0.26,0.37,0.03,0.045,-0.01,,
0.0458,0.28,-0.57,0.34,0.038,0.052,-0.01,,
0.0467,0.2,-0.62,-0.01,0.042,0.051,-0.01,,
0.0475,0.21,-0.81,-0.14,0.045,0.048,-0.01,,
0.0483,0.1,-0.72,0.24,0.041,0.039,-0.012,,
0.0492,-0.2,-0.44,0.3,0.03,0.027,-0.014,,
0.05,-0.33,-0.08,0.65,0.017,0.017,-0.014,,
0.0508,-0.45,0.03,0.79,0.012,0.013,-0.013,,
0.0517,-0.39,0.01,1.1,0.009,0.01,-0.011,,
0.0525,-0.32,0.07,0.98,0.008,0.012,-0.01,,
0.0533,-0.13,0.05,0.64,0.004,0.015,-0.009,,
0.0542,0.02,0.03,0.37,0.004,0.016,-0.006,,
0.055,0.11,-0.18,0.29,0.006,0.016,-0.004,,
0.0558,0.05,-0.15,0.56,0.006,0.012,-0.003,,
0.0567,-0.05,0.11,0.82,-0.002,0.009,-0.005,,
0.0575,-0.01,0.34,0.93,-0.008,0.009,-0.004,,
0.0583,0.13,0.44,1.17,-0.006,0.006,-0.002,,
0.0592,0.23,0.5,1.26,-0.005,0.006,-0.002,,
0.06,0.32,0.56,1.19,-0.008,0.008,-0.003,,
0.0608,0.5,0.54,1.15,-0.007,0.012,-0.003,,
0.0617,0.5,0.48,1.06,-0.006,0.013,-0.002,,
0.0625,0.5,0.41,1.03,-0.003,0.011,-0.003,,
0.0633,0.34,0.21,0.83,0.003,0.007,-0.006,,
0.0642,0.16,-0.08,0.53,0.013,-0.002,-0.011,,
0.065,0.04,-0.3,0.07,0.028,-0.013,-0.018,,
0.0658,-0.16,-0.58,-0.37,0.044,-0.02,-0.017,,
0.0667,-0.15,-0.83,-0.31,0.059,-0.025,-0.008,,
0.0675,-0.07,-0.91,-0.28,0.064,-0.027,-0.002,,
0.0683,-0.01,-1,-0.05,0.07,-0.028,0.002,,
0.0692,-0.02,-1,0.26,0.073,-0.032,0.003,,
0.07,-0.07,-1.03,0.49,0.071,-0.034,0.006,,
0.0708,-0.23,-0.92,0.85,0.062,-0.042,0.006,,
0.0717,-0.25,-0.7,1.35,0.043,-0.038,0.006,,
0.0725,-0.09,-0.32,1.43,0.023,-0.039,0.008,,
0.0733,-0.08,-0.02,1.27,0.01,-0.034,0.006,,
0.0742,-0.03,0.02,1.19,0.007,-0.028,0.007,,
0.075,-0.01,-0.12,1.44,0.008,-0.02,0.007,,
0.0758,0.02,-0.13,1.52,0.002,-0.02,0.012,,
0.0767,0.02,0.28,1.01,-0.012,-0.02,0.009,,
0.0775,-0.07,0.53,0.51,-0.011,-0.018,0.002,,
0.0783,0.06,0.33,0.27,-0.008,-0.012,-0.001,,
0.0792,0.09,0.11,0.15,-0.001,-0.015,-0.001,,
0.08,0.02,0.15,-0.01,-0.003,-0.021,-0.004,,
0.0808,-0.23,0.32,-0.48,0.002,-0.027,-0.004,,
0.0817,-0.39,0.05,-0.77,0.019,-0.023,-0.004,,
0.0825,-0.27,-0.37,-0.54,0.032,-0.011,-0.006,,
0.0833,0.11,-0.58,-0.2,0.03,0.004,-0.003,,
0.0842,0.3,-0.28,-0.32,0.015,0.012,0.002,,
0.085,0.39,0.16,-0.07,0,0.016,0.005,,
0.0858,0.47,0.25,0.42,-0.001,0.011,0.005,,
0.0867,0.33,0.11,0.88,0.003,-0.001,0.009,,
0.0875,-0.01,-0.03,1,0.005,-0.013,0.009,,
