CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,-0.29,0.34,0.93,0.01,-0.057,0,,
0.0008,-0.56,0.53,1.5,0.01,-0.064,0.001,,
0.0017,-0.75,0.43,1.6,0.02,-0.064,-0.001,,0.593157895
0.0025,-0.59,0.22,1.5,0.03,-0.053,-0.005,,
0.0033,-0.34,-0.17,0.97,0.041,-0.041,-0.006,,
0.0042,0.02,-0.57,0.64,0.052,-0.028,-0.005,,
0.005,0.12,-0.87,0.89,0.056,-0.018,-0.009,,
0.0058,-0.01,-0.65,0.86,0.051,-0.003,-0.008,,
0.0067,0.12,-0.29,1.08,0.04,0.015,-0.011,,
0.0075,0.22,-0.2,1.19,0.018,0.027,-0.016,,
0.0083,0.22,0.25,1.15,-0.014,0.037,-0.017,,
0.0092,0.2,0.8,0.95,-0.032,0.04,-0.014,,
0.01,0.27,0.89,1.05,-0.025,0.036,-0.01,,
0.0108,0.1,0.29,1.02,0.001,0.017,-0.01,,
0.0117,-0.3,-0.45,0.91,0.028,-0.007,-0.009,,
0.0125,-0.6,-0.72,0.91,0.037,-0.019,-0.01,,
0.0133,-0.49,-0.36,0.15,0.035,-0.011,-0.007,,
0.0142,0,-0.01,0.04,0.036,0.003,-0.001,,
0.015,0.3,-0.31,0.08,0.04,0.001,-0.001,,
0.0158,0.18,-0.4,-0.28,0.033,-0.014,0.002,,
0.0167,-0.21,-0.27,-0.55,0.023,-0.044,0.004,,
0.0175,-0.61,-0.17,-0.74,0.01,-0.07,0.003,,
0.0183,-0.83,0.1,-0.41,0.002,-0.079,0.002,,
0.0192,-0.84,0.19,-0.05,-0.001,-0.076,-0.002,,
0.02,-0.74,0.28,0.06,-0.004,-0.054,-0.004,,
0.0208,-0.46,0.42,0.32,-0.006,-0.025,-0.002,,
0.0217,0.05,0.37,0.24,0,0.008,-0.001,,
0.0225,0.47,0.26,0.15,0.008,0.034,-0.004,,
0.0233,0.74,-0.1,0.15,0.023,0.045,-0.003,,
0.0242,0.82,-0.44,-0.09,0.029,0.039,-0.006,,
0.025,0.66,-0.42,-0.09,0.026,0.024,-0.009,,
0.0258,0.37,-0.31,0.09,0.027,0.001,-0.009,,
0.0267,0.06,-0.28,0.44,0.03,-0.02,-0.01,,
0.0275,-0.21,-0.19,0.55,0.027,-0.033,-0.013,,
0.0283,-0.39,0.05,0.5,0.02,-0.035,-0.011,,
0.0292,-0.27,0.28,0.38,0.008,-0.019,-0.012,,
0.03,0.2,0.42,0.28,0.002,0.01,-0.015,,
0.0308,0.66,0.1,0.17,0.007,0.034,-0.014,,
0.0317,0.94,-0.26,0.1,0.019,0.045,-0.012,,
0.0325,0.99,-0.45,0.06,0.023,0.04,-0.008,,
0.0333,0.59,-0.54,0.22,0.029,0.012,-0.004,,
0.0342,0.38,-0.63,0.51,0.032,-0.018,0.002,,
0.035,-0.51,-0.24,0.92,0.032,-0.046,-0.008,,
0.0358,-0.72,-0.14,1.23,0.034,-0.061,-0.006,,
0.0367,-0.62,-0.07,1.52,0.032,-0.062,-0.003,,
0.0375,-0.4,-0.18,1.29,0.036,-0.049,0.003,,
0.0383,0,-0.51,0.73,0.043,-0.034,0.002,,
0.0392,0.13,-0.83,0.27,0.054,-0.026,0,,
0.04,-0.04,-0.97,-0.15,0.058,-0.03,-0.001,,
0.0408,-0.27,-0.78,-0.08,0.048,-0.033,-0.003,,
0.0417,-0.46,-0.08,0.94,-0.003,-0.021,-0.001,,
0.0425,-0.46,0.39,1.45,-0.025,-0.016,-0.004,,
0.0433,-0.41,0.7,1.96,-0.028,-0.013,-0.005,,
0.0442,-0.33,0.7,1.91,-0.018,0,-0.003,,
0.045,-0.1,0.25,1.82,0.013,0.01,-0.003,,
0.0458,0.35,-0.39,1.1,0.048,0.023,-0.001,,
0.0467,0.92,-1.47,0.35,0.092,0.028,-0.004,,
0.0475,0.68,-1.84,0.22,0.11,0.015,-0.009,,
0.0483,0.03,-1.63,0.77,0.093,-0.007,-0.007,,
0.0492,-0.56,-0.79,1.33,0.048,-0.023,-0.003,,
0.05,-0.54,0.2,1.48,-0.001,-0.023,0.001,,
0.0508,-0.19,0.77,1.6,-0.026,-0.006,0.003,,
0.0517,0.18,0.93,1.55,-0.031,0.009,0,,
0.0525,0.33,0.77,1.28,-0.026,0.021,-0.001,,
0.0533,0.36,0.18,0.84,-0.015,0.02,0,,
0.0542,0.45,-0.38,0.11,-0.011,0.026,-0.002,,
0.055,0.45,-0.51,-0.1,-0.009,0.026,-0.004,,
0.0558,0.16,-0.12,0.48,-0.014,0.025,-0.004,,
0.0567,-0.01,0.29,0.86,-0.014,0.023,-0.003,,
0.0575,-0.18,0.17,1.43,-0.005,0.018,-0.004,,
0.0583,-0.24,0.07,1.63,0.001,0.021,-0.005,,
0.0592,-0.25,-0.01,1.36,-0.003,0.021,-0.002,,
0.06,-0.13,0.09,0.93,-0.018,0.021,-0.002,,
0.0608,0.03,0.31,0.15,-0.035,0.017,-0.005,,
0.0617,-0.02,0.43,-0.4,-0.044,0.006,-0.006,,
0.0625,-0.16,0.4,-0.42,-0.041,0.001,-0.006,,
0.0633,-0.18,0.32,-0.15,-0.029,0.006,-0.005,,
0.0642,-0.17,0.26,0.1,-0.018,0.01,-0.001,,
0.065,-0.02,0.24,0.08,-0.014,0.018,0.001,,
0.0658,0.2,0.15,-0.25,-0.009,0.017,-0.003,,
0.0667,0.21,0.09,-0.44,-0.006,0.004,-0.002,,
0.0675,0.05,0.13,-0.71,0.001,-0.009,-0.005,,
0.0683,-0.05,-0.13,-0.65,0.022,-0.022,-0.008,,
0.0692,-0.18,-0.56,0.13,0.042,-0.029,-0.006,,
0.07,-0.26,-0.68,0.57,0.049,-0.022,-0.007,,
0.0708,-0.12,-0.48,0.84,0.039,-0.022,-0.006,,
0.0717,-0.13,0.03,0.92,0.021,-0.027,-0.006,,
0.0725,-0.17,0.29,0.57,0.014,-0.038,-0.009,,
0.0733,-0.31,0.12,0.35,0.022,-0.047,-0.006,,
0.0742,-0.38,-0.34,0.15,0.042,-0.047,-0.004,,
0.075,-0.23,-0.75,0.38,0.06,-0.039,-0.008,,
0.0758,0.03,-0.69,0.35,0.061,-0.021,-0.007,,
0.0767,0.42,-0.52,0.09,0.052,-0.009,-0.007,,
0.0775,0.55,-0.24,-0.23,0.038,-0.004,-0.005,,
0.0783,0.27,-0.01,-0.64,0.03,-0.019,0.002,,
0.0792,-0.26,-0.01,-0.65,0.038,-0.045,0.005,,
0.08,-0.79,-0.53,0.08,0.059,-0.076,0.002,,
0.0808,-0.93,-0.74,0.61,0.066,-0.089,-0.001,,
0.0817,-0.65,-0.48,0.56,0.048,-0.088,-0.004,,
0.0825,-0.25,-0.12,0.44,0.022,-0.075,-0.003,,
0.0833,0.17,0.2,0.48,0.002,-0.058,0.002,,
0.0842,0.29,0.27,0.77,-0.004,-0.044,0.001,,
0.085,0.1,0.2,1.15,0,-0.04,-0.004,,
0.0858,-0.23,0.14,1.33,0.012,-0.046,-0.002,,
0.0867,-0.46,-0.03,1.47,0.031,-0.057,-0.006,,
