CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,0.32,0.24,1.37,-0.017,0.073,-0.006,,0.572506996
0.0008,-0.28,0.13,1.11,-0.018,0.053,-0.01,,
0.0017,-0.54,0.07,0.74,-0.024,0.035,-0.017,,
0.0025,-0.51,0.11,0.68,-0.034,0.029,-0.01,,
0.0033,-0.35,0.53,0.48,-0.047,0.033,-0.009,,
0.0042,0.11,0.7,0.49,-0.061,0.05,-0.014,,
0.005,0.3,0.65,0.14,-0.056,0.056,-0.011,,
0.0058,0.17,0.73,-0.27,-0.043,0.056,-0.009,,
0.0067,0.19,0.56,-0.61,-0.014,0.044,-0.011,,
0.0075,0.08,-0.04,-0.53,0.014,0.032,-0.007,,
0.0083,-0.24,-0.5,-0.43,0.028,0.019,-0.011,,
0.0092,-0.37,-0.64,-0.14,0.02,0.005,-0.014,,
0.01,-0.47,-0.4,0.3,-0.002,0,-0.013,,
0.0108,-0.27,0.08,0.65,-0.022,-0.001,-0.009,,
0.0117,-0.01,0.48,0.8,-0.033,0.007,-0.008,,
0.0125,0.12,0.52,0.94,-0.031,0.012,-0.007,,
0.0133,0.1,0.39,0.88,-0.023,0.013,-0.005,,
0.0142,0.11,0.24,0.7,-0.011,0.012,-0.005,,
0.015,0.16,-0.02,0.48,0.001,0.008,-0.004,,
0.0158,0.12,-0.17,0.36,0.014,0.006,-0.003,,
0.0167,0.15,-0.33,0.41,0.02,0.004,-0.008,,
0.0175,0.16,-0.43,0.62,0.024,0.003,-0.007,,
0.0183,0.13,-0.36,0.58,0.016,-0.001,-0.01,,
0.0192,0.11,-0.13,0.42,0.007,-0.008,-0.01,,
0.02,0.02,0.04,0.18,0.004,-0.017,-0.011,,
0.0208,-0.01,-0.14,0.36,0.006,-0.025,-0.008,,
0.0217,0.04,-0.22,0.58,0.006,-0.025,-0.007,,
0.0225,0.17,-0.12,0.5,0.003,-0.025,-0.006,,
0.0233,0.18,-0.01,0.21,0.001,-0.029,-0.006,,
0.0242,0.05,-0.06,0.31,0,-0.038,-0.006,,
0.025,-0.23,-0.02,0.41,-0.001,-0.049,-0.007,,
0.0258,-0.2,-0.16,0.68,0.003,-0.054,-0.005,,
0.0267,-0.18,-0.39,1.17,0.008,-0.05,-0.004,,
0.0275,-0.09,-0.27,1.23,0.006,-0.046,-0.005,,
0.0283,-0.07,-0.2,1.24,-0.003,-0.043,-0.006,,
0.0292,-0.17,0.13,1.18,-0.017,-0.044,-0.01,,
0.03,-0.22,0.36,0.96,-0.03,-0.047,-0.012,,
0.0308,-0.27,0.3,1.09,-0.029,-0.044,-0.013,,
0.0317,-0.18,0.18,1.02,-0.017,-0.032,-0.015,,
0.0325,0.01,-0.19,0.95,0.004,-0.012,-0.014,,
0.0333,0.3,-0.38,0.36,0.019,0.005,-0.012,,
0.0342,0.59,-0.63,-0.05,0.025,0.005,-0.01,,
0.035,0.52,-0.8,0.19,0.025,-0.006,-0.016,,
0.0358,0.2,-0.21,0.16,0.005,-0.021,-0.018,,
0.0367,-0.09,0.26,0.07,-0.012,-0.035,-0.01,,
0.0375,-0.21,0.24,0.53,-0.01,-0.044,-0.011,,
0.0383,-0.3,0.08,1.02,0.006,-0.045,-0.013,,
0.0392,-0.46,-0.19,0.98,0.015,-0.034,-0.007,,
0.04,-0.41,-0.26,0.48,0.009,-0.019,-0.004,,
0.0408,0.05,-0.16,-0.14,0,-0.015,-0.001,,
0.0417,0.16,-0.23,-0.33,-0.005,-0.02,0.002,,
0.0425,-0.1,-0.3,0.09,-0.006,-0.025,-0.004,,
0.0433,-0.56,-0.22,0.44,-0.008,-0.024,-0.002,,
0.0442,-0.76,0.2,0.25,-0.022,-0.013,-0.004,,
0.045,-0.33,0.44,0.49,-0.038,0.017,-0.007,,
0.0458,0.05,0.71,0.71,-0.051,0.042,-0.002,,
0.0467,0.31,0.81,0.56,-0.06,0.055,-0.003,,
0.0475,0.22,0.54,0.5,-0.056,0.058,-0.004,,
0.0483,0.01,0.11,0.51,-0.038,0.054,-0.002,,
0.0492,-0.12,-0.18,0.54,-0.016,0.049,-0.006,,
0.05,-0.26,-0.27,0.61,-0.002,0.046,-0.006,,
0.0508,-0.31,-0.18,0.67,0,0.045,-0.004,,
0.0517,-0.19,0.01,0.57,-0.007,0.052,-0.007,,
0.0525,-0.03,0.19,0.54,-0.02,0.062,-0.007,,
0.0533,0.18,0.41,0.29,-0.03,0.071,-0.001,,
0.0542,0.27,0.36,0.3,-0.028,0.071,-0.001,,
0.055,0.04,0.04,0.48,-0.013,0.061,0.003,,
0.0558,-0.13,-0.3,0.54,0,0.053,0.002,,
0.0567,-0.15,-0.27,0.49,-0.005,0.055,-0.002,,
0.0575,0.04,0.1,0.27,-0.02,0.062,-0.001,,
0.0583,0.22,0.37,0.3,-0.034,0.068,0.002,,
0.0592,0.26,0.39,0.51,-0.034,0.072,0.001,,
0.06,0.14,0.28,0.6,-0.031,0.074,0,,
0.0608,0.04,0.14,0.77,-0.021,0.076,0.001,,
0.0617,0.13,0.07,0.44,-0.012,0.087,0,,
0.0625,0.31,-0.06,0.19,0,0.09,0,,
0.0633,0.35,-0.44,-0.09,0.012,0.087,0.001,,
0.0642,0.34,-0.6,0,0.013,0.083,-0.001,,
0.065,0.38,-0.33,0.34,-0.011,0.082,-0.002,,
0.0658,0.45,0.33,0.93,-0.043,0.083,-0.005,,
0.0667,0.35,0.98,1.28,-0.067,0.079,-0.005,,
0.0675,0.1,1.11,1.55,-0.067,0.069,-0.004,,
0.0683,-0.23,0.75,1.35,-0.043,0.064,-0.004,,
0.0692,-0.3,0.21,0.79,-0.012,0.066,-0.003,,
0.07,0.01,-0.67,0.08,0.024,0.071,-0.002,,
0.0708,0.31,-1.28,-0.46,0.045,0.073,-0.004,,
0.0717,0.41,-1.1,-0.69,0.037,0.074,-0.006,,
0.0725,0.38,-0.36,-0.52,0.006,0.072,-0.003,,
0.0733,0.3,0.35,-0.11,-0.023,0.067,-0.001,,
0.0742,0.07,0.59,0.62,-0.035,0.056,0.001,,
0.075,-0.24,0.56,0.98,-0.033,0.045,0.004,,
0.0758,-0.32,0.42,1.07,-0.028,0.037,0.002,,
0.0767,-0.24,0.23,0.79,-0.023,0.034,0.002,,
0.0775,-0.01,0.07,0.24,-0.02,0.033,0.001,,
0.0783,0.21,-0.26,-0.09,-0.005,0.032,0,,
0.0792,0.36,-0.65,0.38,0.018,0.031,-0.001,,
0.08,0.2,-0.87,0.85,0.038,0.024,0,,
0.0808,-0.09,-0.57,0.9,0.033,0.016,-0.002,,
0.0817,-0.16,-0.1,0.8,0.016,0.016,-0.009,,
0.0825,-0.19,0.11,0.47,0.01,0.021,-0.005,,
0.0833,0.27,-0.21,0.46,0.02,0.037,0,,
0.0842,0.74,-0.51,0.72,0.026,0.058,-0.013,,
0.085,0.55,-0.48,0.39,0.02,0.061,-0.006,,
0.0858,0.64,-0.26,0.41,0.009,0.059,-0.01,,
0.0867,0.51,-0.09,0.55,0.003,0.053,-0.015,,
0.0875,0.16,-0.09,0.73,0.003,0.034,-0.007,,
