CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,0.19,0.38,0.42,-0.046,0.033,0,,0.558102833
0.0008,0.01,0.35,0.66,-0.047,0.034,0,,
0.0017,-0.1,0.21,0.95,-0.046,0.036,-0.003,,
0.0025,-0.08,0.18,0.65,-0.048,0.043,-0.006,,
0.0033,0.07,0.33,0.72,-0.05,0.056,-0.007,,
0.0042,0.28,0.27,0.62,-0.048,0.062,-0.005,,
0.005,0.18,0.24,0.63,-0.041,0.056,-0.002,,
0.0058,-0.05,0,0.5,-0.035,0.045,-0.002,,
0.0067,-0.15,0,0.52,-0.031,0.042,-0.003,,
0.0075,-0.01,-0.04,0.67,-0.033,0.044,-0.003,,
0.0083,0.15,0.07,0.86,-0.035,0.049,-0.002,,
0.0092,0.14,0.13,0.82,-0.044,0.044,-0.001,,
0.01,-0.05,0.25,0.82,-0.046,0.041,-0.001,,
0.0108,0.06,0.19,1.26,-0.046,0.045,0.001,,
0.0117,0.1,0.18,1.41,-0.037,0.047,0.003,,
0.0125,0.26,0.2,1.1,-0.023,0.053,0.003,,
0.0133,0.17,0.08,0.33,0,0.048,0.002,,
0.0142,0,-0.35,-0.31,0.026,0.036,0.004,,
0.015,-0.1,-0.93,-0.61,0.039,0.017,0,,
0.0158,-0.44,-1.11,-0.81,0.024,-0.001,-0.008,,
0.0167,-0.57,-0.76,-0.58,-0.009,-0.002,-0.01,,
0.0175,-0.25,-0.07,-0.04,-0.048,0.013,-0.009,,
0.0183,0.01,0.7,0.51,-0.074,0.033,-0.005,,
0.0192,0.21,1.06,0.94,-0.082,0.047,-0.001,,
0.02,0.11,1.07,0.96,-0.075,0.048,0.003,,
0.0208,-0.01,0.75,0.97,-0.051,0.041,0.005,,
0.0217,-0.03,0.08,0.49,-0.019,0.029,0.005,,
0.0225,-0.03,-0.57,-0.02,0.007,0.018,0.004,,
0.0233,0.06,-0.96,-0.01,0.016,0.014,0,,
0.0242,0.21,-0.89,0.38,0.009,0.019,-0.001,,
0.025,0.48,-0.53,0.92,-0.01,0.021,0.003,,
0.0258,0.7,-0.04,1.33,-0.036,0.02,0.003,,
0.0267,0.5,0.49,1.14,-0.057,0.006,0.006,,
0.0275,0.02,0.8,0.91,-0.056,-0.011,0.005,,
0.0283,-0.23,0.59,0.94,-0.034,-0.019,0.003,,
0.0292,-0.2,-0.02,0.66,-0.003,-0.017,0.004,,
0.03,0.17,-0.75,0.13,0.014,-0.006,-0.004,,
0.0308,0.42,-0.7,-0.36,0.017,0.009,0.002,,
0.0317,0.76,-0.47,-0.15,0.007,0.021,0,,
0.0325,0.85,-0.19,-0.02,-0.002,0.023,0.002,,
0.0333,0.58,-0.3,0.42,-0.006,0.01,0.005,,
0.0342,0.26,-0.09,0.57,-0.018,-0.009,0.007,,
0.035,-0.28,0.3,0.68,-0.032,-0.019,0,,
0.0358,-0.34,0.41,0.87,-0.035,-0.014,-0.003,,
0.0367,-0.15,0.24,1.04,-0.034,-0.002,-0.006,,
0.0375,0.18,-0.01,1.07,-0.028,0.015,-0.003,,
0.0383,0.16,-0.1,1.11,-0.025,0.024,-0.004,,
0.0392,0.07,-0.07,1.15,-0.018,0.032,-0.006,,
0.04,0.13,-0.16,1.33,-0.018,0.038,-0.01,,
0.0408,0.01,0.04,1.48,-0.017,0.04,-0.016,,
0.0417,-0.5,0.38,1.12,-0.028,0.024,-0.018,,
0.0425,-0.77,0.32,0.76,-0.034,0.008,-0.018,,
0.0433,-0.7,0.29,0.8,-0.035,0.009,-0.016,,
0.0442,-0.26,0.25,0.51,-0.034,0.029,-0.011,,
0.045,0.3,0.15,0.16,-0.028,0.055,-0.008,,
0.0458,0.51,0,0.08,-0.016,0.069,-0.008,,
0.0467,0.27,-0.05,-0.03,-0.007,0.058,-0.009,,
0.0475,-0.25,-0.15,-0.23,-0.003,0.03,-0.01,,
0.0483,-0.55,-0.08,-0.23,-0.008,0.002,-0.009,,
0.0492,-0.73,0.2,-0.14,-0.017,-0.016,-0.006,,
0.05,-0.73,0.33,0.09,-0.022,-0.026,-0.007,,
0.0508,-0.65,0.28,0.37,-0.018,-0.025,-0.006,,
0.0517,-0.54,0.09,0.54,-0.017,-0.018,-0.002,,
0.0525,-0.25,0,0.54,-0.015,0,-0.002,,
0.0533,0.14,-0.06,0.44,-0.014,0.019,0.003,,
0.0542,0.4,-0.15,0.53,-0.009,0.038,0.003,,
0.055,0.5,-0.07,0.62,-0.01,0.045,-0.001,,
0.0558,0.33,0,0.69,-0.013,0.04,-0.004,,
0.0567,0,0.15,0.83,-0.017,0.02,-0.008,,
0.0575,-0.32,0.26,0.86,-0.024,-0.002,-0.008,,
0.0583,-0.41,0.3,0.77,-0.028,-0.017,-0.006,,
0.0592,-0.27,0.2,0.85,-0.029,-0.018,-0.002,,
0.06,-0.06,0.14,0.85,-0.022,-0.008,-0.004,,
0.0608,0.25,-0.04,0.68,-0.01,0.002,-0.002,,
0.0617,0.43,-0.36,0.63,0.008,0.009,0,,
0.0625,0.35,-0.44,0.3,0.02,0.002,-0.002,,
0.0633,0.12,-0.52,0.15,0.021,-0.013,0,,
0.0642,-0.08,-0.36,0.2,0.013,-0.026,0,,
0.065,0.08,-0.19,0.38,0,-0.03,0.001,,
0.0658,0.21,0.03,0.87,-0.01,-0.03,0.003,,
0.0667,0.06,0.26,1.13,-0.018,-0.037,0,,
0.0675,-0.15,0.37,1.32,-0.022,-0.048,-0.004,,
0.0683,-0.35,0.16,1.32,-0.015,-0.06,-0.002,,
0.0692,-0.23,-0.33,1.41,0.005,-0.059,-0.002,,
0.07,-0.02,-0.6,1.19,0.023,-0.049,0,,
0.0708,0.25,-0.84,1.03,0.035,-0.036,-0.002,,
0.0717,0.28,-0.77,1,0.042,-0.03,-0.007,,
0.0725,0.04,-0.61,0.69,0.036,-0.039,-0.005,,
0.0733,-0.19,-0.33,0.68,0.017,-0.046,-0.009,,
0.0742,-0.27,0.05,0.65,-0.003,-0.05,-0.009,,
0.075,-0.3,0.16,0.74,-0.008,-0.043,-0.006,,
0.0758,-0.13,0.09,1.09,-0.024,-0.029,-0.009,,
0.0767,-0.02,0.18,0.76,-0.038,-0.019,-0.01,,
0.0775,0.1,0.41,0.38,-0.037,-0.011,-0.008,,
0.0783,0.21,0.31,0.22,-0.02,-0.006,-0.007,,
0.0792,0.25,-0.09,0.26,-0.001,-0.002,-0.01,,
0.08,0.17,-0.46,0.25,0.009,-0.002,-0.008,,
0.0808,-0.06,-0.52,0.23,0.006,-0.003,-0.008,,
0.0817,-0.13,-0.35,0.23,-0.005,-0.006,-0.008,,
0.0825,-0.25,-0.1,0.27,-0.023,-0.011,-0.005,,
0.0833,-0.28,0.16,0.42,-0.038,-0.009,-0.004,,
0.0842,-0.07,0.44,0.3,-0.037,0,-0.002,,
0.085,0.01,0.28,0.57,-0.024,0.008,0,,
0.0858,-0.02,-0.11,0.65,-0.027,0.013,-0.001,,
0.0867,-0.03,-0.02,0.23,-0.038,0.016,0.001,,
0.0875,0.09,0.22,0.13,-0.046,0.025,0,,
