CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,0.570102596
0,-0.71,0.6,0,-0.039,-0.011,0.006,,
0.0008,-0.08,0.66,0.3,-0.031,0.028,0.007,,
0.0017,0.48,0.26,0.78,-0.01,0.065,0.007,,
0.0025,0.71,-0.13,0.78,0,0.091,0.006,,
0.0033,0.79,-0.14,0.34,0.002,0.099,0.002,,
0.0042,0.6,-0.15,0.12,0.004,0.085,-0.003,,
0.005,0.22,-0.15,-0.09,0.006,0.067,-0.006,,
0.0058,0.11,-0.17,-0.17,0.014,0.055,-0.002,,
0.0067,0.03,-0.13,-0.03,0.007,0.053,-0.005,,
0.0075,0.08,0.1,0.22,0.003,0.048,-0.002,,
0.0083,0.06,0.14,0.04,0.003,0.045,-0.001,,
0.0092,0.18,0.17,-0.08,-0.007,0.049,0,,
0.01,0.31,0.19,0.16,-0.005,0.035,0.004,,
0.0108,-0.1,0.12,0.07,-0.001,0.023,-0.001,,
0.0117,-0.04,-0.01,0.55,0.005,0.026,0.005,,
0.0125,0.08,-0.19,0.79,0.019,0.022,0.005,,
0.0133,-0.05,-0.19,0.27,0.02,0.03,0.004,,
0.0142,0.25,0,0.36,0.019,0.035,0.005,,
0.015,0.16,0.1,-0.12,0.037,0.015,-0.003,,
0.0158,-0.28,-0.16,0,0.05,0.005,0.001,,
0.0167,-0.48,-0.74,0.4,0.054,0.009,0.002,,
0.0175,-0.38,-0.92,0.86,0.038,0.031,-0.003,,
0.0183,-0.04,-0.58,1.05,0.015,0.06,-0.004,,
0.0192,0.35,0.33,0.64,0.001,0.067,0.002,,
0.02,0.47,0.38,0.56,-0.015,0.065,0,,
0.0208,0.23,0.29,0.49,-0.01,0.048,-0.006,,
0.0217,-0.25,0.34,0.44,-0.004,0.024,-0.012,,
0.0225,-0.5,-0.12,0.74,0.012,0.021,-0.005,,
0.0233,-0.45,-0.4,0.73,0.021,0.029,-0.003,,
0.0242,-0.14,-0.38,0.71,0.023,0.042,-0.003,,
0.025,-0.07,-0.2,0.48,0.016,0.05,-0.001,,
0.0258,0.09,0,0.32,0.002,0.056,0.003,,
0.0267,0.2,0.14,0.26,-0.009,0.054,-0.002,,
0.0275,-0.12,0.06,0.42,-0.008,0.04,-0.001,,
0.0283,-0.57,0.14,0.72,-0.009,0.023,-0.002,,
0.0292,-0.6,0.08,1.04,-0.008,0.02,-0.005,,
0.03,-0.48,0.22,1.01,-0.012,0.023,-0.005,,
0.0308,-0.22,0.26,0.87,-0.016,0.031,-0.005,,
0.0317,0.11,0.22,0.94,-0.017,0.043,-0.004,,
0.0325,0.32,0.18,0.66,-0.01,0.051,-0.005,,
0.0333,0.29,-0.06,0.44,0,0.052,-0.005,,
0.0342,0.2,-0.38,0.58,0.017,0.043,-0.009,,
0.035,-0.21,-0.28,0.74,0.018,0.026,-0.011,,
0.0358,-0.28,-0.04,0.58,0.015,0.016,-0.009,,
0.0367,-0.09,0.05,0.68,0.012,0.015,-0.014,,
0.0375,0,-0.07,0.61,0.021,0.02,-0.013,,
0.0383,0.09,-0.36,0.75,0.029,0.023,-0.011,,
0.0392,0.27,-0.38,1.01,0.027,0.034,-0.011,,
0.04,0.5,-0.2,0.83,0.022,0.041,-0.01,,
0.0408,0.44,-0.07,0.69,0.017,0.036,-0.01,,
0.0417,0.26,-0.18,0.77,0.021,0.023,-0.014,,
0.0425,-0.05,-0.21,0.83,0.019,0.007,-0.01,,
0.0433,-0.15,-0.2,0.96,0.019,-0.002,-0.011,,
0.0442,-0.1,0,0.87,0.015,-0.004,-0.014,,
0.045,-0.03,-0.03,0.67,0.019,-0.004,-0.012,,
0.0458,0.15,-0.22,0.62,0.024,-0.001,-0.012,,
0.0467,0.23,-0.29,0.4,0.026,-0.001,-0.014,,
0.0475,0.15,-0.28,0.25,0.025,-0.003,-0.012,,
0.0483,0.07,-0.25,0.05,0.028,-0.005,-0.017,,
0.0492,0.11,-0.45,0.18,0.033,-0.004,-0.017,,
0.05,0.09,-0.41,0.35,0.032,-0.003,-0.018,,
0.0508,0.09,-0.1,0.19,0.019,0,-0.018,,
0.0517,0.15,0.07,0.21,0.011,0.001,-0.021,,
0.0525,0.09,-0.01,0.29,0.014,0.001,-0.022,,
0.0533,0.11,-0.33,0.25,0.023,0.004,-0.02,,
0.0542,0.18,-0.45,0.16,0.022,0.009,-0.023,,
0.055,0.12,-0.32,0.17,0.013,0.011,-0.023,,
0.0558,-0.01,-0.07,0.31,-0.001,0.009,-0.019,,
0.0567,-0.03,0.06,0.41,-0.009,0.008,-0.021,,
0.0575,0.02,0.17,0.29,-0.018,0.012,-0.018,,
0.0583,-0.01,0.13,0.15,-0.022,0.013,-0.015,,
0.0592,-0.07,-0.01,0.42,-0.03,0.012,-0.018,,
0.06,-0.07,0.19,0.93,-0.054,0.011,-0.021,,
0.0608,0.01,0.86,0.73,-0.086,0.01,-0.018,,
0.0617,-0.07,1.35,0.36,-0.1,-0.001,-0.017,,
0.0625,-0.26,1.03,0.49,-0.073,-0.015,-0.018,,
0.0633,-0.5,0.36,0.79,-0.026,-0.024,-0.013,,
0.0642,-0.56,-0.28,0.89,0.017,-0.028,-0.014,,
0.065,-0.19,-0.85,0.47,0.047,-0.02,-0.019,,
0.0658,0.18,-1.11,-0.22,0.059,-0.013,-0.01,,
0.0667,0.35,-1.06,-0.32,0.056,-0.014,-0.012,,
0.0675,0.26,-0.75,0.13,0.039,-0.018,-0.013,,
0.0683,0.04,-0.23,0.43,0.016,-0.026,-0.008,,
0.0692,-0.19,0.3,0.72,-0.003,-0.034,-0.012,,
0.07,-0.31,0.38,1.12,0,-0.038,-0.011,,
0.0708,-0.41,0.07,1.41,0.017,-0.044,-0.012,,
0.0717,-0.31,-0.27,1.66,0.021,-0.046,-0.016,,
0.0725,-0.19,-0.37,1.1,0.012,-0.045,-0.017,,
0.0733,-0.23,-0.24,0.25,0.001,-0.044,-0.011,,
0.0742,0.04,-0.25,0.14,0.003,-0.028,-0.015,,
0.075,0.29,-0.33,0.52,0.008,-0.005,-0.015,,
0.0758,0.41,-0.27,0.82,0.003,0.015,-0.014,,
0.0767,0.38,0.12,1.12,-0.016,0.024,-0.02,,
0.0775,0.2,0.51,1.08,-0.029,0.023,-0.016,,
0.0783,0.09,0.47,1.15,-0.026,0.014,-0.015,,
0.0792,0.1,-0.09,1.5,-0.005,0.011,-0.024,,
0.08,-0.1,-0.37,1.5,0.006,0.009,-0.022,,
0.0808,-0.04,-0.43,1.37,0.009,0.013,-0.019,,
0.0817,0.04,-0.25,1.27,0.004,0.013,-0.02,,
0.0825,0.02,-0.16,1.18,-0.001,0.01,-0.014,,
0.0833,0.12,-0.06,0.95,-0.011,0.012,-0.012,,
0.0842,0.22,-0.01,0.83,-0.019,0.011,-0.011,,
0.085,0.03,0.17,0.75,-0.027,-0.002,-0.007,,
0.0858,-0.4,0.41,0.45,-0.034,-0.029,-0.006,,
0.0867,-0.55,0.34,0.62,-0.031,-0.047,-0.002,,
0.0875,-0.44,0.26,0.63,-0.021,-0.052,0.001,,
0.0883,-0.25,0.03,0.27,-0.003,-0.047,0.002,,
0.0892,-0.16,-0.5,0.58,0.016,-0.043,0.001,,
0.09,-0.31,-0.62,0.8,0.025,-0.034,-0.003,,
0.0908,-0.19,-0.36,1.04,0.031,-0.007,0.002,,
0.0917,0.56,-0.3,1.14,0.028,0.026,0.002,,
0.0925,0.94,-0.27,0.78,0.021,0.04,-0.006,,
0.0933,0.57,-0.54,0.09,0.009,0.021,-0.002,,
0.0942,-0.09,-0.41,-0.25,-0.02,-0.008,-0.002,,
0.095,-0.47,0.23,0.12,-0.038,-0.013,-0.005,,
0.0958,-0.25,0.56,0.85,-0.043,0.005,0.001,,
0.0967,0.1,0.59,1.15,-0.036,0.028,-0.002,,
0.0975,0.35,0.3,1.1,-0.031,0.049,0.001,,
0.0983,0.67,0.08,0.21,-0.054,0.058,0.006,,
0.0992,0.57,0.63,-0.19,-0.061,0.057,0.003,,
0.1,0.3,0.6,0.09,-0.038,0.04,0.004,,
0.1008,-0.08,-0.03,0.43,-0.01,0.004,0.005,,
0.1017,-0.34,-0.51,0.05,0.009,-0.01,0.003,,
0.1025,-0.44,-0.53,-0.28,0.008,-0.018,0.004,,
0.1033,-0.68,-0.02,-0.55,0.001,-0.016,0.008,,
0.1042,-0.45,0.11,-0.39,-0.015,-0.003,0.005,,
0.105,-0.09,0.31,-0.45,-0.031,0.006,0.004,,
0.1058,-0.18,0.34,-0.44,-0.037,0.021,0.006,,
0.1067,-0.13,0.43,-0.02,-0.043,0.044,0,,
0.1075,0.15,0.28,0.43,-0.035,0.06,-0.006,,
0.1083,0.33,-0.07,0.58,-0.026,0.056,-0.006,,
0.1092,0.23,-0.2,0.64,-0.023,0.052,-0.009,,
0.11,0.18,-0.12,0.51,-0.032,0.04,-0.009,,
0.1108,-0.13,0.21,0.95,-0.045,0.033,-0.009,,
0.1117,-0.3,0.3,1.11,-0.04,0.038,-0.013,,
0.1125,-0.28,0.39,1.38,-0.028,0.046,-0.013,,
0.1133,-0.13,0.09,1.53,-0.008,0.056,-0.015,,
0.1142,-0.2,-0.27,0.91,0.002,0.063,-0.013,,
0.115,0.04,-0.43,0.71,-0.009,0.071,-0.013,,
0.1158,0.51,-0.18,0.25,-0.04,0.065,-0.006,,
0.1167,0.33,0.33,-0.08,-0.066,0.052,-0.002,,
0.1175,0.08,0.81,0.32,-0.085,0.037,0.002,,
0.1183,-0.07,0.63,0.61,-0.074,0.026,0.004,,
0.1192,-0.57,0.52,0.9,-0.06,0.019,-0.003,,
0.12,-0.65,0.4,1.12,-0.045,0.016,-0.003,,
0.1208,-0.55,0.28,0.73,-0.035,0.018,0,,
0.1217,-0.15,0.01,0.3,-0.028,0.024,0.002,,
0.1225,0.13,-0.49,-0.01,-0.016,0.031,-0.001,,
0.1233,0.09,-0.55,0.44,-0.017,0.036,-0.003,,
0.1242,-0.09,-0.09,0.88,-0.027,0.04,-0.004,,
0.125,-0.15,0.42,0.93,-0.044,0.041,-0.009,,
0.1258,-0.16,0.56,1.02,-0.046,0.043,-0.007,,
0.1267,-0.23,0.45,1.03,-0.04,0.045,-0.007,,
0.1275,-0.1,0.17,0.8,-0.032,0.052,-0.014,,
0.1283,0.14,0.01,0.31,-0.031,0.062,-0.009,,
0.1292,0.35,-0.11,-0.02,-0.027,0.064,-0.011,,
0.13,0.48,-0.24,0,-0.023,0.062,-0.01,,
0.1308,0.35,-0.19,0.32,-0.02,0.05,-0.008,,
0.1317,0.12,-0.03,0.63,-0.023,0.037,-0.009,,
0.1325,-0.07,0.12,0.88,-0.028,0.017,-0.01,,
0.1333,-0.3,0.15,1.01,-0.028,-0.001,-0.006,,
0.1342,-0.41,0.3,0.94,-0.032,-0.017,-0.008,,
0.135,-0.33,0.25,0.71,-0.028,-0.023,-0.007,,
0.1358,-0.2,0.05,0.46,-0.018,-0.023,-0.007,,
0.1367,-0.06,-0.31,0.36,-0.003,-0.019,-0.007,,
0.1375,0.1,-0.55,0.29,0.006,-0.01,-0.008,,
0.1383,0.18,-0.44,0.23,0.002,-0.004,-0.009,,
0.1392,0.2,-0.16,0.28,-0.008,0,-0.012,,
0.14,0.26,0.04,0.36,-0.016,0.004,-0.014,,
0.1408,0.18,0.12,0.57,-0.015,0,-0.017,,
0.1417,0.07,-0.07,0.61,-0.005,-0.003,-0.02,,
0.1425,-0.05,-0.23,0.53,0.002,-0.003,-0.022,,
0.1433,-0.07,-0.29,0.32,0.001,0.002,-0.02,,
0.1442,0.1,-0.36,0.19,-0.003,0.016,-0.022,,
0.145,0.29,-0.33,0.06,-0.01,0.032,-0.021,,
0.1458,0.52,-0.28,0.23,-0.02,0.048,-0.02,,
0.1467,0.73,-0.17,0.65,-0.036,0.059,-0.022,,
0.1475,0.44,0.32,0.83,-0.065,0.045,-0.023,,
0.1483,0.02,0.86,1.2,-0.096,0.022,-0.023,,
0.1492,-0.06,1.03,1.27,-0.105,0.007,-0.026,,
0.15,-0.28,1.04,1.04,-0.089,-0.006,-0.023,,
0.1508,-0.43,0.63,0.96,-0.051,-0.013,-0.016,,
0.1517,-0.36,0.04,1.22,-0.009,-0.01,-0.018,,
0.1525,-0.15,-0.48,0.98,0.014,-0.005,-0.014,,
0.1533,0.25,-0.98,-0.64,0.02,0.001,-0.01,,
0.1542,0.39,-1,-1.14,0.006,-0.004,-0.016,,
0.155,0.16,-0.41,-0.27,-0.013,-0.007,-0.013,,
0.1558,0.22,0.2,0.25,-0.028,-0.001,-0.009,,
0.1567,0.36,0.23,0.71,-0.024,0,-0.008,,
0.1575,0.1,0.05,1.2,-0.011,-0.01,-0.015,,
0.1583,-0.42,0.1,1.26,-0.007,-0.028,-0.015,,
0.1592,-0.62,0.11,0.98,-0.006,-0.043,-0.013,,
0.16,-0.41,-0.27,0.45,-0.005,-0.042,-0.011,,
0.1608,-0.14,-0.63,-0.13,-0.007,-0.026,-0.013,,
0.1617,0.16,-0.52,-0.14,-0.013,-0.001,-0.015,,
0.1625,0.45,-0.28,0.63,-0.016,0.025,-0.013,,
0.1633,0.51,0.08,1.23,-0.031,0.041,-0.012,,
0.1642,0.44,0.49,1.08,-0.05,0.043,-0.013,,
0.165,0.32,0.62,1.07,-0.057,0.033,-0.013,,
0.1658,0.07,0.38,1.11,-0.046,0.02,-0.015,,
0.1667,-0.07,0.05,0.95,-0.035,0.014,-0.017,,
0.1675,-0.02,-0.25,0.88,-0.029,0.017,-0.016,,
0.1683,-0.02,-0.1,0.59,-0.033,0.019,-0.015,,
0.1692,0.01,0.12,0.5,-0.034,0.019,-0.011,,
0.17,0.11,0.05,0.81,-0.025,0.019,-0.008,,
0.1708,0.2,-0.12,0.75,-0.02,0.023,-0.005,,
0.1717,0.3,-0.16,0.71,-0.024,0.015,-0.004,,
0.1725,0.02,-0.06,0.69,-0.032,-0.013,-0.008,,
0.1733,-0.57,0.26,0.6,-0.045,-0.048,-0.006,,
0.1742,-0.9,0.32,0.6,-0.05,-0.062,0.003,,
0.175,-0.85,0.27,0.62,-0.044,-0.049,0.002,,
0.1758,-0.44,0.09,0.78,-0.039,-0.016,0.005,,
0.1767,0.14,0.13,0.96,-0.037,0.027,0.008,,
0.1775,0.84,0.18,1,-0.034,0.055,0.001,,
0.1783,0.92,0,0.74,-0.029,0.054,-0.001,,
0.1792,0.65,-0.11,0.69,-0.028,0.039,0.001,,
0.18,0.25,-0.16,0.95,-0.022,0.016,-0.005,,
0.1808,-0.09,-0.12,0.94,-0.016,-0.003,-0.008,,
0.1817,-0.35,-0.23,1.16,-0.008,-0.01,-0.002,,
0.1825,-0.23,-0.31,1.25,-0.017,0.004,-0.007,,
0.1833,0.09,0.09,0.96,-0.045,0.03,0.001,,
0.1842,0.54,0.68,0.6,-0.071,0.052,0.004,,
0.185,1.14,0.72,0.78,-0.071,0.07,0.008,,
0.1858,1.21,0.49,0.87,-0.053,0.067,0.011,,
0.1867,0.63,0.2,0.69,-0.03,0.036,0.005,,
0.1875,-0.07,-0.18,0.82,-0.012,0.002,0.003,,
0.1883,-0.58,-0.36,0.46,-0.001,-0.024,0.003,,
0.1892,-0.66,-0.41,0.02,-0.001,-0.035,0.007,,
0.19,-0.52,-0.1,-0.05,-0.012,-0.032,0.009,,
0.1908,-0.47,0.29,-0.2,-0.03,-0.019,0.012,,
0.1917,-0.18,0.4,0.07,-0.047,0.01,0.016,,
0.1925,0.32,0.52,0.22,-0.059,0.035,0.012,,
0.1933,0.44,0.4,0.51,-0.063,0.039,0.009,,
0.1942,-0.09,0.29,0.41,-0.061,0.025,0.007,,
0.195,-0.52,0.05,0.48,-0.053,0.005,0.004,,
0.1958,-0.7,-0.07,0.28,-0.043,-0.007,-0.003,,
0.1967,-0.52,-0.04,0.14,-0.036,0.004,-0.007,,
0.1975,-0.08,0.26,0.12,-0.036,0.03,-0.005,,
0.1983,0.27,0.38,0.3,-0.043,0.054,-0.007,,
0.1992,0.3,0.43,0.36,-0.045,0.067,-0.001,,
0.2,0.27,0.11,0.43,-0.043,0.068,0.001,,
0.2008,0.1,-0.23,0.43,-0.031,0.056,-0.003,,
0.2017,0.04,-0.19,0.83,-0.027,0.056,-0.001,,
0.2025,-0.06,0.15,0.54,-0.044,0.046,0.001,,
0.2033,0,0.33,0.61,-0.055,0.042,-0.002,,
0.2042,-0.17,0.48,0.75,-0.056,0.033,0.003,,
0.205,-0.35,0.44,0.73,-0.052,0.027,0.006,,
0.2058,-0.3,0.22,1.15,-0.037,0.031,0,,
0.2067,-0.21,0.07,0.77,-0.029,0.036,0.003,,
0.2075,-0.15,-0.12,0.72,-0.018,0.037,0.005,,
0.2083,-0.02,-0.29,0.71,-0.024,0.036,0.003,,
0.2092,-0.1,-0.12,0.78,-0.031,0.031,0.006,,
0.21,-0.13,0.1,0.66,-0.042,0.026,0.007,,
0.2108,-0.18,0.26,1.13,-0.04,0.027,0,,
0.2117,-0.13,0.26,1.15,-0.036,0.028,0.003,,
0.2125,-0.15,0.25,1.08,-0.026,0.026,0.004,,
0.2133,-0.1,-0.06,1.06,-0.01,0.024,-0.002,,
0.2142,-0.17,-0.3,0.77,0.002,0.022,0,,
0.215,0.02,-0.56,0.4,0.006,0.021,-0.001,,
0.2158,0.11,-0.44,0.13,-0.003,0.02,-0.003,,
0.2167,0.18,-0.21,0.03,-0.009,0.019,0,,
0.2175,0.16,-0.09,0.26,-0.013,0.014,0,,
0.2183,0.07,-0.21,0.47,-0.012,0.006,-0.003,,
0.2192,-0.13,-0.12,0.49,-0.024,-0.006,0,,
0.22,-0.22,0.1,0.48,-0.038,-0.013,0,,
0.2208,-0.27,0.48,0.56,-0.046,-0.015,-0.001,,
0.2217,-0.12,0.41,0.7,-0.035,-0.003,-0.002,,
0.2225,0.26,0.06,0.87,-0.026,0.013,-0.003,,
0.2233,0.63,-0.14,0.72,-0.024,0.027,-0.004,,
0.2242,0.72,-0.1,0.45,-0.026,0.028,-0.001,,
0.225,0.5,0.04,0.31,-0.02,0.014,-0.005,,
0.2258,0.17,-0.16,0.57,-0.003,-0.001,-0.009,,
0.2267,-0.06,-0.54,0.89,0.009,-0.015,-0.014,,
0.2275,-0.16,-0.53,0.96,0.005,-0.017,-0.016,,
0.2283,0.03,-0.17,0.88,-0.007,-0.006,-0.018,,
0.2292,0.34,0.06,0.56,-0.014,0.003,-0.016,,
0.23,0.42,0.03,0.09,-0.017,0.005,-0.013,,
0.2308,0.37,-0.15,-0.1,-0.018,0.006,-0.015,,
0.2317,0.24,-0.21,-0.04,-0.017,0.005,-0.014,,
0.2325,0.14,-0.18,0.04,-0.015,0.001,-0.01,,
0.2333,-0.01,-0.22,0.22,-0.014,-0.008,-0.008,,
0.2342,-0.07,-0.1,0.4,-0.023,-0.013,-0.009,,
0.235,-0.04,0.15,0.32,-0.028,-0.011,-0.008,,
0.2358,0.01,-0.01,0.58,-0.021,-0.013,-0.007,,
0.2367,0,-0.21,0.68,-0.023,-0.027,-0.008,,
0.2375,-0.35,-0.2,0.15,-0.03,-0.045,-0.002,,
0.2383,-0.78,-0.16,0.58,-0.038,-0.06,-0.003,,
0.2392,-0.77,0.1,1.17,-0.052,-0.056,-0.01,,
0.24,-0.61,0.53,0.9,-0.06,-0.036,-0.006,,
0.2408,-0.15,0.59,0.92,-0.063,-0.005,-0.004,,
0.2417,0.46,0.46,0.71,-0.071,0.019,-0.011,,
0.2425,0.54,0.56,-0.11,-0.08,0.025,-0.008,,
0.2433,0.19,0.6,-0.2,-0.074,0.017,-0.011,,
0.2442,0.04,0.23,0.43,-0.053,0.006,-0.017,,
0.245,-0.21,-0.11,0.76,-0.033,-0.003,-0.012,,
0.2458,-0.12,-0.24,1.02,-0.021,0.004,-0.011,,
0.2467,0.38,-0.16,1.14,-0.017,0.022,-0.013,,
0.2475,0.58,-0.05,0.89,-0.011,0.027,-0.009,,
0.2483,0.42,-0.11,0.35,-0.008,0.018,-0.006,,
0.2492,0.39,-0.38,0.28,-0.006,0.01,-0.007,,
0.25,0.13,-0.5,0.36,-0.006,0.001,-0.006,,
0.2508,-0.01,-0.31,0.52,-0.013,-0.005,-0.004,,
0.2517,0.09,-0.13,0.94,-0.02,-0.004,-0.002,,
0.2525,0,0.14,1.02,-0.032,-0.005,0.001,,
0.2533,-0.08,0.29,1.02,-0.042,-0.006,0,,
0.2542,0,0.35,0.96,-0.046,-0.004,0.001,,
0.255,-0.03,0.27,0.86,-0.034,-0.003,0.004,,
0.2558,-0.18,-0.08,0.87,-0.016,-0.005,0.001,,
0.2567,-0.26,-0.55,0.97,0,-0.008,0,,
0.2575,-0.16,-0.57,0.9,-0.001,-0.009,0.002,,
0.2583,-0.03,-0.49,0.38,-0.015,0.005,-0.001,,
0.2592,-0.21,0.02,0.2,-0.043,-0.009,-0.005,,
0.26,-0.32,0.43,0.35,-0.06,-0.029,0.001,,
0.2608,-0.61,0.36,0.82,-0.069,-0.021,0.002,,
0.2617,-0.36,0.41,0.8,-0.081,0.003,-0.001,,
0.2625,-0.01,0.64,1,-0.077,0.024,0.006,,
0.2633,0.17,0.73,1.43,-0.063,0.046,0.007,,
0.2642,0.49,0.5,1.62,-0.038,0.059,0.001,,
0.265,0.83,0.01,1.17,-0.02,0.067,0.009,,
0.2658,0.93,-0.7,0.65,0,0.059,0.007,,
0.2667,0.89,-0.93,0.98,0.004,0.036,-0.004,,
0.2675,0.27,-0.5,1.31,-0.004,0.007,0,,
0.2683,-0.22,0.04,1.12,-0.023,-0.014,-0.004,,
0.2692,-0.43,0.2,0.74,-0.037,-0.018,-0.004,,
0.27,-0.36,0.19,0.48,-0.041,0.005,0.011,,
0.2708,0.11,0.28,0.77,-0.046,0.044,0.017,,
0.2717,0.71,0.61,0.53,-0.059,0.064,0.014,,
0.2725,1.12,0.59,0.11,-0.058,0.062,0.022,,
0.2733,0.97,0.25,0.02,-0.045,0.036,0.013,,
0.2742,0.29,-0.19,0.05,-0.023,-0.006,0.006,,
0.275,-0.62,-0.35,0.16,-0.008,-0.03,0.009,,
0.2758,-0.95,-0.23,-0.08,-0.006,-0.033,0.006,,
0.2767,-0.79,0.07,-0.22,-0.014,-0.023,0.012,,
