PathFileType	4	(X/Y/Z)	D:\MAC3D_Data\Watanabe Lab\Sasazaki_1109\2_en4.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
200.00	200.00	      1828	0	mm	200.00	1	      1828
Frame#	Time	
		

1	0.000	792.01685	-1820.44556	407.87054	687.37524	-1719.73511	487.55884	
2	0.005	791.94904	-1821.06580	409.03387	687.31927	-1719.96106	488.00668	
3	0.010	791.26251	-1820.53943	408.80978	687.39478	-1719.95044	488.11957	
4	0.015	790.96960	-1820.83533	409.05719	687.08838	-1719.71387	488.19412	
5	0.020	790.87476	-1820.77905	408.98401	686.71802	-1718.20520	487.54514	
6	0.025	790.76208	-1820.92993	408.66602	686.80078	-1717.13831	487.00861	
7	0.030	790.53906	-1819.95984	408.07520	687.30115	-1715.17175	486.02780	
8	0.035	790.76068	-1818.51282	407.25723	687.41339	-1713.77246	485.68304	
9	0.040	791.57617	-1818.91479	407.39133	973.60291	-1709.04248	712.21252	
10	0.045	792.42175	-1819.17590	407.78271	687.36713	-1709.98865	484.01001	
11	0.050	793.22729	-1818.74231	407.50720	
12	0.055	794.56207	-1819.35059	407.85278	
13	0.060	795.17926	-1818.45435	406.96851	687.27899	-1704.41357	480.41879	
14	0.065	796.00330	-1817.87170	406.68369	686.90527	-1704.35315	479.84842	
15	0.070	796.84015	-1818.61670	407.13815	
16	0.075	797.07867	-1818.77100	407.13962	687.91333	-1704.48328	479.41028	
17	0.080	796.84802	-1818.59937	406.74197	687.71271	-1706.52368	480.00552	
18	0.085	796.73199	-1818.85291	406.56882	688.03845	-1708.61267	480.93353	
19	0.090	796.01898	-1819.07922	406.84824	687.84076	-1711.44385	482.15594	
20	0.095	795.50037	-1820.70984	408.41965	688.13074	-1713.96509	484.21741	
21	0.100	794.69348	-1821.12366	409.00601	689.07159	-1716.79993	486.22256	
22	0.105	793.06592	-1820.65625	409.28641	689.41443	-1719.24939	487.97772	
23	0.110	792.11212	-1821.58972	409.91479	689.91241	-1721.07043	489.08411	
24	0.115	791.93396	-1823.01697	411.11780	690.52667	-1722.79504	490.80713	
25	0.120	791.73358	-1824.16858	412.39767	691.21259	-1724.75049	492.78452	
26	0.125	791.48798	-1823.69849	413.06561	691.66010	-1725.44507	493.97302	
27	0.130	791.41193	-1823.31958	413.36484	691.71216	-1725.93115	494.90390	
28	0.135	792.15332	-1823.90454	413.71790	691.36572	-1726.39380	495.31128	
29	0.140	791.90778	-1822.42322	412.76627	690.76996	-1726.26013	495.63593	
30	0.145	792.26367	-1821.42114	412.08856	690.97052	-1725.56702	495.42035	
31	0.150	793.10480	-1820.98755	411.52313	691.07062	-1723.97913	494.40121	
32	0.155	794.56207	-1821.13831	411.06009	690.99744	-1723.25256	493.48764	
33	0.160	795.73151	-1821.25574	410.91229	690.34845	-1721.80530	492.20761	
34	0.165	796.69684	-1819.65845	409.60001	690.26270	-1719.33167	490.24222	
35	0.170	797.85272	-1818.19165	408.57550	689.96808	-1717.61963	489.01208	
36	0.175	799.13135	-1817.08557	407.58362	690.16425	-1714.26965	487.25995	
37	0.180	800.86493	-1817.52271	407.65872	690.14447	-1712.76245	486.28171	
38	0.185	801.71814	-1815.85547	406.51901	689.94550	-1710.51807	485.09222	
39	0.190	802.85529	-1816.36499	406.81488	689.89832	-1707.92615	484.04303	
40	0.195	803.36969	-1816.49170	406.74985	689.93427	-1706.80469	483.31091	
41	0.200	803.36639	-1816.56396	406.80453	689.86951	-1706.10449	482.58447	
42	0.205	802.80933	-1817.09216	407.06454	
43	0.210	801.98108	-1818.69592	408.79666	
44	0.215	800.23193	-1818.70996	409.99658	690.38977	-1709.30359	482.13013	
45	0.220	798.67615	-1819.48535	410.50272	
46	0.225	798.30402	-1823.34338	412.86099	690.74786	-1713.51721	484.56366	
47	0.230	795.78406	-1821.93018	413.03400	690.82648	-1716.10901	486.17294	
48	0.235	793.84607	-1821.95740	413.73395	691.59973	-1718.03833	487.74216	
49	0.240	792.59070	-1822.80054	415.15979	692.45160	-1718.91077	489.43658	
50	0.245	791.68719	-1823.48694	416.08981	692.82666	-1720.77356	491.50076	
51	0.250	790.86823	-1822.95532	415.88260	693.37878	-1722.27795	493.26987	
52	0.255	790.68256	-1822.72717	415.72299	693.73450	-1722.48425	494.72195	
53	0.260	791.31409	-1823.01843	415.95810	693.86249	-1723.01550	495.68076	
