10.611008,153.88245,114.37651,-77.397125,283.26065,-65.23378,,,0,1,2,3,4,5
584.6579,619.03265,432.4024,-205.83623,-138.93222,-86.8835,,,,,,,,
585.3881,621.11487,435.07263,-200.97308,-137.17517,-90.219955,,,,,,,,
565.77423,600.0681,422.2759,-184.54266,-126.09154,-88.1344,,,,,,,,
545.29767,575.9979,411.13965,-172.45076,-116.925674,-83.96385,,,,,,,,
547.0445,577.58246,416.0839,-174.06163,-118.32215,-85.14452,,,,,,,,
563.99725,597.26135,432.02722,-183.01338,-124.138626,-90.473816,,,,,,,,
576.6644,608.95575,442.31644,-193.59149,-132.90356,-92.96686,,,,,,,,
575.69934,606.0522,441.87494,-201.77428,-137.48378,-91.590546,,,,,,,,
556.31195,583.6268,426.7115,-195.86827,-130.00758,-85.76154,,,,,,,,
544.2791,568.78217,415.65698,-189.95058,-122.153175,-82.05072,,,,,,,,
551.92993,575.502,420.20792,-197.8402,-125.71627,-83.14859,,,,,,,,
569.19543,593.4918,431.92493,-203.3214,-125.859985,-87.38447,,,,,,,,
568.104,590.4229,430.02066,-197.79211,-118.8309,-86.762375,,,,,,,,
