45,8,"-9
"
45,8,"-9
"
45,7,"-11
"
46,7,"-8
"
46,8,"-12
"
47,2,"-6
"
44,0,"-12
"
32,11,"-5
"
25,6,"-7
"
19,13,"-6
"
12,8,"-2
"
1,16,"-7
"
-4,18,"-3
"
-3,17,"-1
"
-5,18,"2
"
0,17,"-1
"
6,16,"1
"
6,15,"-9
"
2,9,"17
"
1,12,"24
"
-2,6,"23
"
-5,-1,"28
"
-4,-3,"27
"
-8,0,"25
"
-6,2,"24
"
0,4,"25
"
4,13,"16
"
9,8,"10
"
11,0,"9
"
12,6,"18
"
11,4,"18
"
8,3,"18
"
6,9,"21
"
4,10,"20
"
6,22,"28
"
0,16,"27
"
1,21,"28
"
0,21,"35
"
-11,11,"39
"
-2,25,"32
"
-5,19,"33
"
-1,21,"18
"
3,17,"15
"
2,14,"16
"
2,8,"15
"
1,12,"15
"
2,4,"10
"
0,1,"10
"
0,-7,"11
"
2,0,"10
"
2,0,"12
"
2,1,"-6
"
3,-3,"-4
"
9,-7,"-5
"
7,-6,"-12
"
8,-9,"-9
"
6,-8,"-7
"
4,-5,"2
"
2,-5,"-2
"
3,-11,"3
"
8,-9,"-1
"
7,-8,"-8
"
5,-10,"-6
"
5,-7,"0
"
6,-4,"2
"
3,-9,"-4
"
4,-9,"7
"
2,-2,"2
"
6,-5,"1
"
6,-4,"7
"
7,-8,"10
"
1,-16,"-3
"
-1,-21,"21
"
-4,-20,"17
"
-2,-29,"26
"
0,-30,"15
"
-1,-23,"13
"
0,-21,"18
"
0,-28,"15
"
2,-28,"21
"
0,-26,"22
"
2,-30,"17
"
6,-24,"14
"
6,-22,"10
"
10,-21,"15
"
6,-11,"7
"
6,-6,"9
"
8,-5,"18
"
1,-3,"4
"
-6,-10,"10
"
-4,-15,"14
"
-3,-7,"4
"
-5,-8,"12
"
-6,-6,"7
"
-9,0,"2
"
-10,3,"8
"
-8,4,"4
"
1,1,"7
"
1,-3,"0
"
1,1,"9
"
-2,4,"8
"
-4,7,"6
"
-2,9,"9
"
-4,14,"9
"
-7,8,"11
"
0,14,"12
"
-6,12,"8
"
-4,13,"5
"
0,12,"-5
"
0,19,"-3
"
0,20,"1
"
0,13,"4
"
-3,16,"18
"
-1,13,"14
"
-4,7,"14
"
-4,4,"16
"
5,14,"6
"
3,7,"2
"
8,0,"19
"
3,1,"12
"
-1,1,"15
"
-5,-6,"13
"
-6,-2,"14
"
-9,-1,"14
"
-9,-4,"16
"
-12,-14,"14
"
-9,-15,"23
"
-8,-12,"9
"
-5,-11,"7
"
-5,-10,"21
"
-9,-12,"23
"
-3,-12,"22
"
1,-12,"22
"
0,-20,"22
"
5,-15,"23
"
2,-12,"16
"
4,-9,"22
"
11,-3,"22
"
11,0,"18
"
9,1,"25
"
4,0,"20
"
6,-2,"20
"
2,1,"19
"
2,5,"18
"
5,10,"29
"
4,13,"29
"
7,24,"27
"
4,21,"30
"
9,30,"35
"
5,30,"31
"
2,30,"20
"
4,35,"28
"
0,31,"26
"
-7,28,"26
"
-8,32,"29
"
-6,36,"28
"
-5,42,"32
"
-9,40,"37
"
0,53,"37
"
1,50,"30
"
-4,45,"39
"
2,52,"41
"
-2,47,"39
"
-1,45,"39
"
-2,39,"37
"
-10,28,"41
"
-9,24,"31
"
-1,23,"33
"
5,29,"33
"
3,29,"21
"
3,36,"35
"
-11,22,"29
"
-12,18,"25
"
-12,17,"28
"
-7,19,"18
"
0,19,"32
"
-4,20,"34
"
-13,15,"34
"
-14,16,"30
"
-7,18,"33
"
-3,21,"34
"
0,23,"15
"
0,27,"19
"
0,30,"28
"
0,31,"24
"
4,35,"32
"
2,35,"39
"
6,36,"33
"
1,25,"34
"
-1,25,"37
"
1,35,"26
"
4,32,"31
"
5,32,"37
"
5,40,"34
"
0,33,"27
"
1,33,"36
"
7,34,"34
"
7,32,"28
"
6,37,"25
"
10,46,"34
"
10,41,"29
"
12,44,"31
"
14,40,"33
"
13,35,"22
"
