-14.6196995,7.2108955,31.847733,17.175545,-180.47235,41.34371,,0,1,2,3,4,5
-4.27795,6.549047,30.232704,18.727547,-180.98067,31.258734,,,,,,,
-1.8226519,7.011611,31.948112,19.85761,-195.67819,31.747149,,,,,,,
3.3727574,7.4035997,29.937218,17.81624,-188.7141,28.833914,,,,,,,
3.1017156,7.0311007,27.718199,16.4738,-177.6285,27.495665,,,,,,,
2.9234831,7.5858746,27.781446,16.920713,-177.67128,27.995117,,,,,,,
0.42391503,7.572493,26.089985,15.123266,-159.61272,26.975761,,,,,,,
-9.480289,5.2735233,29.135242,18.116262,-176.00136,31.603651,,,,,,,
-2.0975156,7.859843,35.093575,22.088314,-201.90912,37.404182,,,,,,,
6.2986574,7.7410088,31.385294,19.408041,-184.90636,29.490772,,,,,,,
1.7010591,6.042543,28.939133,18.400421,-179.62819,28.966887,,,,,,,
3.154106,7.239539,28.367365,16.869333,-178.6931,28.432705,,,,,,,
-1.9024991,7.391512,29.375355,17.503277,-186.08965,31.025467,,,,,,,
-0.97474307,8.517678,30.534874,18.027182,-193.02246,32.12624,,,,,,,
-0.16411059,7.5959315,28.38231,17.326828,-180.20386,29.64155,,,,,,,
-0.620612,6.006442,27.210798,17.064514,-170.65948,28.144648,,,,,,,
-0.7301228,5.7695436,28.823792,18.181902,-174.6021,29.377731,,,,,,,
0.4213856,6.9850893,31.156822,18.960783,-180.62817,31.223652,,,,,,,
0.098643795,7.8037634,32.186325,18.707613,-185.67749,31.957466,,,,,,,
0.3750734,7.869184,32.679913,18.56097,-194.0512,32.134983,,,,,,,
4.5784874,8.843408,31.927738,17.389801,-194.08583,30.213755,,,,,,,
2.3999755,8.146096,30.990694,17.151842,-191.13031,29.634722,,,,,,,
-0.11464842,7.6374626,31.011488,17.821573,-189.80382,30.86734,,,,,,,
0.5865149,7.917612,33.14885,20.012335,-197.73091,33.035683,,,,,,,
2.8010216,8.054055,32.811874,19.77036,-192.48442,32.04539,,,,,,,
1.295967,7.338009,31.81531,18.629982,-188.67094,30.483376,,,,,,,
0.19162582,7.4639215,32.583237,18.439161,-197.04063,30.540218,,,,,,,
2.4249809,8.617989,31.943466,17.440956,-194.95438,30.336437,,,,,,,
2.3186064,8.737504,31.09314,17.207901,-188.03134,31.11217,,,,,,,
1.2348452,7.9797497,29.807652,17.062918,-178.4233,30.68494,,,,,,,
-4.9687877,5.796673,29.940691,17.80755,-180.922,31.288767,,,,,,,
-4.679263,5.870342,31.206419,18.448816,-190.63889,31.404322,,,,,,,
0.22817963,7.5871534,30.778658,17.007677,-185.77434,29.456673,,,,,,,
2.8621693,9.357679,32.429462,17.300623,-192.05145,30.315876,,,,,,,
4.415978,10.161714,33.699482,18.024326,-196.09749,31.016724,,,,,,,
1.0039018,8.058969,32.379936,18.535448,-192.14615,31.664627,,,,,,,
0.5266849,7.0363746,31.760445,19.137697,-193.82578,32.58627,,,,,,,
2.8736818,7.510104,31.241114,18.713999,-189.77698,31.631556,,,,,,,
-0.64513886,7.1393704,30.568933,17.703506,-182.76097,30.556278,,,,,,,
-4.182014,7.4009485,32.840042,18.78891,-195.9748,32.184353,,,,,,,
2.2488062,8.983673,33.23558,18.447908,-197.21973,30.60932,,,,,,,
4.5600686,8.60169,31.642042,17.774605,-189.35971,29.58373,,,,,,,
2.4257596,7.6682005,31.660995,18.577913,-192.53632,31.090092,,,,,,,
0.31130937,7.2800627,31.985538,19.38454,-195.40608,32.393883,,,,,,,
1.2696909,7.9245486,31.014658,18.05875,-185.46902,31.23641,,,,,,,
-2.2820017,6.9319983,29.51731,16.540539,-176.16681,29.93744,,,,,,,
-5.4033194,5.9547873,29.993341,16.525751,-181.02287,29.87574,,,,,,,
-1.7153407,7.2891803,33.030266,18.540056,-199.27469,31.71947,,,,,,,
6.134151,9.699835,33.195744,18.061375,-193.27568,30.975842,,,,,,,
2.6617658,8.606152,32.270504,18.646797,-191.34036,32.146378,,,,,,,
2.9068403,8.520896,31.832413,19.074106,-192.79178,32.287952,,,,,,,
-0.34777853,7.039746,29.093536,17.102686,-177.03304,29.43781,,,,,,,
-7.105192,5.3679852,30.185282,17.840004,-186.975,31.106462,,,,,,,
-0.6157044,7.8336563,33.31213,18.46589,-199.21494,32.212406,,,,,,,
5.0766196,9.568272,33.268967,18.024664,-192.5925,31.718325,,,,,,,
2.837406,8.896023,33.16402,18.985428,-195.39543,32.623714,,,,,,,
0.8749398,7.823769,32.22495,19.42846,-197.57367,32.2743,,,,,,,
1.8252146,7.5732026,30.509975,18.169369,-188.55049,30.510971,,,,,,,
-0.47994182,6.9863095,28.812977,16.707163,-176.09305,29.498753,,,,,,,
-5.301637,6.3584576,30.135551,17.24088,-181.49643,30.947218,,,,,,,
-4.6241646,6.7957053,31.894623,17.93286,-190.05989,31.63473,,,,,,,
0.9993962,8.319823,33.21507,18.309027,-194.92265,31.913603,,,,,,,
6.4032927,9.460446,32.385708,17.43708,-185.09029,30.349365,,,,,,,
2.8657908,8.616492,33.39798,19.450323,-193.74577,32.107822,,,,,,,
0.39774284,7.7742586,32.609467,19.57553,-194.31456,31.887976,,,,,,,
-0.6894442,7.023971,30.448874,18.217983,-186.1262,30.425192,,,,,,,
-0.18738689,7.3111005,31.209715,18.39633,-192.0456,31.392319,,,,,,,
1.3373579,7.8095007,30.768753,17.165636,-185.27908,30.015656,,,,,,,
-4.4017086,6.535697,32.329395,18.62458,-198.41702,32.284542,,,,,,,
3.5980835,8.713517,32.08245,17.888515,-193.03474,30.572527,,,,,,,
0.74626845,6.910446,27.361597,15.850018,-168.44148,26.991491,,,,,,,
-2.2273962,6.5494647,29.022047,17.897146,-182.22095,29.356684,,,,,,,
1.2482076,7.8872733,28.795841,16.741709,-173.88959,27.870358,,,,,,,
-5.702407,6.323347,31.83322,19.315897,-196.50487,31.983545,,,,,,,
2.7669182,8.480223,33.61405,18.252674,-204.50916,31.031965,,,,,,,
0.9855869,6.405112,27.652666,14.62322,-174.41599,26.424694,,,,,,,
-3.4290168,5.6098223,28.355854,16.138264,-185.21654,28.721523,,,,,,,
3.488502,8.913278,29.27264,15.992671,-180.56866,28.667725,,,,,,,
-1.5410556,7.9326653,29.47143,17.573767,-177.5498,30.651093,,,,,,,
-1.600438,7.411993,30.696007,18.36617,-179.928,30.76761,,,,,,,
-4.7250257,4.879144,30.83898,19.610184,-185.80643,30.966179,,,,,,,
-4.030378,3.8137202,21.774347,11.380177,-128.68108,21.132715,,,,,,,
-13.599234,8.187002,36.933582,20.007584,-204.9315,46.642822,,,,,,,
12.200253,13.36954,35.565605,17.604454,-204.18332,32.63037,,,,,,,
-2.420258,8.532121,29.206818,14.609848,-177.8361,29.569502,,,,,,,
0.50752515,9.115399,30.056168,16.79853,-186.76842,30.684649,,,,,,,
-1.0284406,7.294067,28.984219,18.112333,-183.60423,30.165306,,,,,,,
-1.0536474,6.1182985,29.773329,18.983782,-188.56046,30.09346,,,,,,,
-1.2161471,5.5020075,29.237925,18.617922,-185.21877,28.886665,,,,,,,
-0.43997735,6.462397,29.191174,17.211098,-180.20279,28.880129,,,,,,,
0.54097944,8.228032,30.639444,16.767721,-182.0042,30.252008,,,,,,,
1.1817003,8.980558,32.244125,17.772089,-190.09637,31.072744,,,,,,,
0.6115504,8.453416,31.764946,18.203047,-190.84421,30.005272,,,,,,,
-0.9068346,6.3541427,29.228397,18.104116,-185.17958,28.342636,,,,,,,
0.3780764,6.124263,29.181482,18.75887,-189.51352,28.752369,,,,,,,
1.5047119,7.4495997,30.965458,19.304413,-198.54639,31.096087,,,,,,,
0.48659623,8.275232,30.965147,17.751585,-194.08849,31.419783,,,,,,,
-2.4877818,6.990084,28.035915,15.103086,-174.28532,28.72345,,,,,,,
-5.452463,5.718208,28.987188,16.129255,-181.01979,29.52486,,,,,,,
0.7220464,7.3746786,32.689648,18.671394,-197.8753,30.742643,,,,,,,
2.198251,7.7238274,31.39015,18.526627,-187.88432,29.526611,,,,,,,
0.06994364,7.521313,30.147789,18.256035,-183.65015,29.936605,,,,,,,
1.2142276,8.193371,30.86731,18.354815,-189.49849,31.067322,,,,,,,
0.9887936,8.2229395,30.70673,17.864103,-190.78839,31.066185,,,,,,,
-1.324735,6.699883,29.17816,17.082798,-184.07013,29.175064,,,,,,,
-3.3359787,5.751332,29.94614,18.41185,-190.28642,30.019428,,,,,,,
1.1526754,7.3052783,29.021826,16.592646,-175.48631,28.327814,,,,,,,
4.111108,8.696295,30.776226,17.777388,-183.01663,29.685953,,,,,,,
-0.32742774,6.7370377,28.175255,16.783684,-172.54514,27.84461,,,,,,,
-0.77924675,5.523331,27.349457,17.823391,-175.40462,26.817148,,,,,,,
-0.7783347,5.9746227,28.839506,18.2595,-185.56903,28.436909,,,,,,,
0.3426132,6.6859126,29.583782,18.311275,-188.0625,29.586067,,,,,,,
-0.81148875,6.8808684,29.872902,18.08895,-186.69623,30.2999,,,,,,,
-2.7035046,6.8104744,30.774807,18.602036,-190.36308,31.443768,,,,,,,
0.8636631,7.980391,31.302076,17.952883,-190.73021,30.789026,,,,,,,
3.2759142,7.9675775,30.447369,17.711248,-188.04506,29.149931,,,,,,,
-0.000557702,6.5200486,28.715305,17.035488,-179.6405,27.895079,,,,,,,
-0.80805564,6.7079105,30.376877,18.414139,-188.55827,29.77091,,,,,,,
-1.1041399,7.2589283,31.558325,18.836515,-194.11238,31.112497,,,,,,,
0.24343385,7.17938,29.924536,18.054508,-184.19089,29.651554,,,,,,,
0.9574846,6.8996243,28.14945,17.517416,-175.249,28.013649,,,,,,,
0.9718583,7.0213327,28.418331,18.453798,-177.35638,28.395248,,,,,,,
-0.87814856,6.9114017,28.887754,18.642794,-177.1652,29.138123,,,,,,,
-2.2839117,6.8413763,30.745726,18.970879,-188.10191,30.39237,,,,,,,
-2.2347364,6.329917,31.163263,17.985123,-194.57036,29.95829,,,,,,,
1.3908836,6.7268834,28.872055,15.824865,-185.07007,27.364529,,,,,,,
1.4734323,6.623308,26.505533,15.485983,-173.5753,26.145874,,,,,,,
0.34373116,7.4796896,27.047974,16.771746,-175.82935,27.772322,,,,,,,
-1.6849563,7.4677606,27.224468,17.577133,-171.14789,28.945848,,,,,,,
-4.2366333,6.954041,30.745615,20.41032,-189.64859,32.378906,,,,,,,
0.31694922,7.1494737,31.260592,19.78192,-189.28625,31.247179,,,,,,,
2.6074526,6.1832595,28.71745,18.418556,-178.32204,27.88507,,,,,,,
0.9097442,5.1224713,26.942537,17.180458,-172.82448,26.075182,,,,,,,
-0.001568567,5.6139994,26.857132,16.535656,-172.00623,25.785122,,,,,,,
-1.8761101,7.4207516,30.171642,17.628283,-187.62163,29.363918,,,,,,,
-1.1531392,8.536836,31.50145,18.714127,-195.37042,30.784204,,,,,,,
1.1572745,8.160699,28.997156,17.484495,-182.14996,28.606983,,,,,,,
2.251959,6.846897,27.68098,17.86395,-177.4554,27.707258,,,,,,,
-0.42118546,5.3079734,24.954485,16.30343,-159.73766,25.850006,,,,,,,
-5.4461837,4.5769234,25.847778,17.170214,-163.44154,27.857067,,,,,,,
-5.4890122,6.869198,31.423462,18.93829,-191.74104,32.653473,,,,,,,
1.2324064,8.624203,31.35784,17.098484,-187.83484,30.632795,,,,,,,
3.2357965,7.6677666,28.792898,15.507492,-177.32332,27.3,,,,,,,
0.5415965,5.7416644,26.025728,15.283668,-165.93819,25.142124,,,,,,,
0.3018887,6.1003375,26.584791,16.881382,-169.91693,25.565968,,,,,,,
-0.74285734,7.436471,29.284292,18.856825,-180.37837,28.373173,,,,,,,
-5.4818535,4.156343,19.042597,10.657802,-112.71679,19.711117,,,,,,,
-13.823832,10.97282,40.273537,22.757862,-206.1845,55.16483,,,,,,,
14.692049,12.744546,34.572792,18.487196,-195.13974,33.748154,,,,,,,
-3.1037729,5.59085,27.19182,14.691876,-162.72777,28.271019,,,,,,,
-2.1284242,6.2039647,29.607758,17.327543,-183.52011,29.126835,,,,,,,
-4.434942,6.0691805,29.837788,18.56316,-193.65521,29.368584,,,,,,,
1.519236,8.329946,29.274446,17.61854,-193.28075,28.249949,,,,,,,
2.3315094,7.7860703,26.894943,16.75455,-178.07204,26.961626,,,,,,,
0.28945476,6.959663,26.495184,16.796055,-172.39839,27.581259,,,,,,,
-4.445794,5.6772866,28.064348,18.549019,-179.27148,30.591593,,,,,,,
-2.2884712,6.509089,30.136524,18.722317,-182.78944,31.631023,,,,,,,
0.44001493,6.94465,29.590834,17.313171,-174.39725,29.828913,,,,,,,
-0.30235115,6.4392633,28.240345,15.9122305,-168.96103,27.39479,,,,,,,
-3.0414493,5.9883027,29.32656,17.38347,-184.43251,27.725441,,,,,,,
1.1436813,7.85953,29.55896,17.504747,-188.7227,27.06954,,,,,,,
1.616259,7.9268155,28.245474,17.46404,-180.9771,27.254858,,,,,,,
1.5462317,7.8738203,29.102076,18.363098,-183.29648,29.339392,,,,,,,
-1.188333,6.4507985,29.280537,18.70034,-181.30038,30.494368,,,,,,,
-0.8768166,6.4665637,30.703325,18.786606,-187.08513,31.005852,,,,,,,
0.3396377,6.752524,30.15323,17.854055,-184.43164,29.358967,,,,,,,
1.0462654,7.349279,29.453793,17.238731,-183.04276,28.193766,,,,,,,
-0.68857265,7.008188,28.18726,17.514235,-180.08603,27.48374,,,,,,,
