-14.6196995,7.2108955,31.847733,17.175545,-180.47235,41.34371,,0,1,2,3,4,5
-15.838532,5.7201133,27.40527,12.95378,-152.58295,34.87658,,-0.346579989,7.117563462,29.64324269,17.60662242,-181.63136,29.78361861
-7.4859076,6.552796,28.412586,14.487629,-164.63625,31.761597,,,,,,,
-8.648769,3.8854778,21.306257,11.364999,-126.50988,24.340687,,,,,,,
-5.570604,3.2658222,18.04076,11.463913,-110.38644,21.381332,,,,,,,
-3.972903,2.8336916,16.982044,11.681502,-109.145134,18.448599,,,,,,,
-1.1266516,3.8181646,18.384789,12.869056,-115.18698,19.05416,,,,,,,
1.3389448,4.227217,19.375309,13.726416,-120.53152,19.461704,,,,,,,
3.7112427,3.900268,20.688482,15.765899,-134.1561,20.296171,,,,,,,
1.2332745,2.6166532,20.893406,17.268192,-143.10492,21.545404,,,,,,,
-0.6145303,3.4980762,22.939964,17.910883,-154.86855,24.495737,,,,,,,
0.31598523,6.0852857,25.769714,17.242004,-164.37405,26.742638,,,,,,,
-9.753088,4.91233,27.861786,17.418156,-176.73811,30.127144,,,,,,,
-4.0834713,7.0904264,30.425755,18.075327,-189.00403,32.85691,,,,,,,
3.7411416,7.98322,30.294445,17.78731,-189.13866,29.948544,,,,,,,
5.1495147,8.333191,30.761377,18.09335,-186.60756,30.020767,,,,,,,
2.6771128,7.872558,30.694971,18.730837,-184.06642,30.920073,,,,,,,
-0.28933227,6.684459,28.012205,17.453268,-170.49515,28.962881,,,,,,,
-4.1824756,5.797835,28.546556,18.223873,-178.50136,30.305994,,,,,,,
-0.7200372,7.01786,29.73047,18.316444,-187.37695,30.502724,,,,,,,
-1.3293351,6.575478,28.231964,16.751104,-177.68289,28.853933,,,,,,,
-1.9853282,6.5586796,28.947247,17.176428,-182.10887,30.004818,,,,,,,
2.4774902,8.063665,29.781908,17.339478,-182.40973,30.330782,,,,,,,
1.4106115,7.967322,31.452375,19.021513,-189.98152,32.289494,,,,,,,
2.7295005,7.841143,30.984074,18.956327,-189.05434,31.069405,,,,,,,
2.7618906,7.0373697,27.921656,17.321218,-174.76404,28.028046,,,,,,,
-2.013295,5.757495,27.132847,17.275557,-171.72002,28.227375,,,,,,,
-0.6553533,6.991219,29.343115,18.629051,-182.66667,29.921026,,,,,,,
-0.03052362,8.090686,31.511644,19.501318,-193.31488,32.26527,,,,,,,
1.6343124,7.558984,29.412785,17.370178,-181.41525,29.850037,,,,,,,
-1.2431923,5.8128333,27.647692,16.546375,-173.6138,29.065977,,,,,,,
1.3765908,6.645993,28.803617,17.5019,-179.25711,29.560219,,,,,,,
1.3564156,7.4720564,29.030537,17.560076,-173.25175,29.65527,,,,,,,
