pitch
yaw
left
right
"['-10', '140', '200']","['-11', '0', '0']","['-11', '0', '0']",2,140,170,41,2.69665789604187
"['-11', '140', '200']","['-10', '140', '200']","['-11', '0', '0']",2,140,170,55,0.05449342727661133
"['-8', '140', '170']","['-11', '140', '200']","['-10', '140', '200']",1,140,140,48,0.05362725257873535
"['-8', '140', '170']","['-8', '140', '170']","['-11', '140', '200']",2,140,170,48,0.04705309867858887
"['-6', '140', '170']","['-8', '140', '170']","['-8', '140', '170']",2,140,170,48,0.047713279724121094
"['-3', '140', '170']","['-6', '140', '170']","['-8', '140', '170']",1,140,140,48,0.047095298767089844
"['-2', '140', '170']","['-3', '140', '170']","['-6', '140', '170']",1,140,140,49,0.04599595069885254
"['1', '140', '170']","['-2', '140', '170']","['-3', '140', '170']",1,140,140,48,0.06149935722351074
"['5', '140', '170']","['1', '140', '170']","['-2', '140', '170']",1,140,140,48,0.0478515625
"['8', '140', '170']","['5', '140', '170']","['1', '140', '170']",1,140,140,73,0.04897594451904297
"['11', '140', '140']","['8', '140', '170']","['5', '140', '170']",1,140,140,48,0.05964827537536621
"['15', '140', '140']","['11', '140', '140']","['8', '140', '170']",1,140,140,46,0.045078277587890625
"['13', '140', '140']","['15', '140', '140']","['11', '140', '140']",1,140,140,39,0.04739952087402344
"['15', '140', '140']","['13', '140', '140']","['15', '140', '140']",1,140,140,60,0.04607987403869629
"['15', '140', '140']","['15', '140', '140']","['13', '140', '140']",1,140,140,48,0.04703545570373535
"['13', '140', '140']","['15', '140', '140']","['15', '140', '140']",1,140,140,47,0.05737495422363281
"['12', '140', '140']","['13', '140', '140']","['15', '140', '140']",1,140,140,44,0.049437522888183594
"['11', '140', '140']","['12', '140', '140']","['13', '140', '140']",1,140,140,52,0.05106472969055176
"['9', '140', '140']","['11', '140', '140']","['12', '140', '140']",1,140,140,48,0.04564070701599121
"['9', '140', '140']","['9', '140', '140']","['11', '140', '140']",1,140,140,48,0.04759860038757324
"['10', '140', '140']","['9', '140', '140']","['9', '140', '140']",1,140,140,49,0.04661297798156738
"['10', '140', '140']","['10', '140', '140']","['9', '140', '140']",1,140,140,48,0.062402963638305664
"['11', '140', '140']","['10', '140', '140']","['10', '140', '140']",1,140,140,73,0.04664111137390137
"['10', '140', '140']","['11', '140', '140']","['10', '140', '140']",1,140,140,43,0.05084633827209473
"['7', '140', '140']","['10', '140', '140']","['11', '140', '140']",1,140,140,38,0.048723459243774414
"['8', '140', '140']","['7', '140', '140']","['10', '140', '140']",1,140,140,63,0.057096004486083984
"['7', '140', '140']","['8', '140', '140']","['7', '140', '140']",1,140,140,49,0.04543900489807129
"['7', '140', '140']","['7', '140', '140']","['8', '140', '140']",1,140,140,47,0.046845197677612305
"['6', '140', '140']","['7', '140', '140']","['7', '140', '140']",2,140,170,41,0.045706748962402344
"['5', '140', '140']","['6', '140', '140']","['7', '140', '140']",1,140,140,55,0.04661989212036133
"['3', '140', '140']","['5', '140', '140']","['6', '140', '140']",1,140,140,48,0.0473637580871582
"['5', '140', '140']","['3', '140', '140']","['5', '140', '140']",1,140,140,49,0.05975961685180664
"['1', '140', '140']","['5', '140', '140']","['3', '140', '140']",1,140,140,48,0.04863452911376953
"['0', '140', '140']","['1', '140', '140']","['5', '140', '140']",1,140,140,48,0.06201338768005371
"['2', '140', '140']","['0', '140', '140']","['1', '140', '140']",1,140,140,48,0.04667043685913086
"['-1', '140', '140']","['2', '140', '140']","['0', '140', '140']",1,140,140,48,0.04743146896362305
"['-1', '140', '140']","['-1', '140', '140']","['2', '140', '140']",1,140,140,55,0.04743456840515137
"['-3', '140', '140']","['-1', '140', '140']","['-1', '140', '140']",1,140,140,66,0.046384572982788086
"['-3', '140', '140']","['-3', '140', '140']","['-1', '140', '140']",1,140,140,48,0.0528867244720459
"['-5', '140', '140']","['-3', '140', '140']","['-3', '140', '140']",1,140,140,46,0.04832744598388672
"['-4', '140', '140']","['-5', '140', '140']","['-3', '140', '140']",1,140,140,39,0.05522441864013672
"['-3', '140', '140']","['-4', '140', '140']","['-5', '140', '140']",1,140,140,59,0.04804825782775879
"['-4', '140', '140']","['-3', '140', '140']","['-4', '140', '140']",1,140,140,49,0.046448707580566406
"['-5', '140', '140']","['-4', '140', '140']","['-3', '140', '140']",1,140,140,47,0.046946048736572266
"['-6', '140', '140']","['-5', '140', '140']","['-4', '140', '140']",1,140,140,45,0.04797792434692383
"['-5', '140', '140']","['-6', '140', '140']","['-5', '140', '140']",1,140,140,52,0.05856156349182129
"['-7', '140', '140']","['-5', '140', '140']","['-6', '140', '140']",3,170,140,48,0.049338579177856445
"['-8', '140', '140']","['-7', '140', '140']","['-5', '140', '140']",1,140,140,60,0.06434154510498047
"['-7', '140', '140']","['-8', '140', '140']","['-7', '140', '140']",1,140,140,61,0.04591822624206543
"['-9', '140', '140']","['-7', '140', '140']","['-8', '140', '140']",1,140,140,48,0.046599626541137695
"['-11', '140', '140']","['-9', '140', '140']","['-7', '140', '140']",1,140,140,48,0.04722905158996582
"['-9', '140', '140']","['-11', '140', '140']","['-9', '140', '140']",1,140,140,42,0.047573089599609375
"['-10', '140', '140']","['-9', '140', '140']","['-11', '140', '140']",1,140,140,53,0.050194501876831055
"['-10', '140', '140']","['-10', '140', '140']","['-9', '140', '140']",1,140,140,49,0.049069881439208984
"['-8', '140', '140']","['-10', '140', '140']","['-10', '140', '140']",1,140,140,48,0.04800820350646973
