"[-1, -1, -85, 4, 0]"
"[-1, -1, -85, 2, 0]"
"[-1, -1, -85, 2, 1]"
"[39, 209, -85, 2, 2]"
"[39, 209, -85, 2, 2]"
"[39, 209, -85, 2, 3]"
"[38, 209, -84, 2, 4]"
"[37, 209, -72, 2, 4]"
"[36, 209, -70, 2, 5]"
"[36, 209, -70, 2, 5]"
"[37, 209, -59, 2, 6]"
"[60, 209, -53, 3.5, 6]"
"[63, 209, -45, 3.5, 7]"
"[63, 209, -40, 4.5, 7]"
"[-1, 209, -37, 4.5, 8]"
"[-1, 209, -30, 4.5, 8]"
"[-1, 209, -26, 2, 8]"
"[21, 209, -18, 2, 8]"
"[141, 209, -8, 2, 8]"
"[141, 209, 0, 2, 8]"
"[149, 209, 3, 2, 8]"
"[149, 209, 10, 2, 8]"
"[149, 209, 10, 3.5, 8]"
"[201, 209, 23, 2, 8]"
"[209, 183, 27, 4.5, 8]"
"[209, 183, 27, 4.5, 8]"
"[209, 114, 31, 4.5, 8]"
"[209, 96, 34, 4.5, 7]"
"[209, 96, 35, 4.5, 7]"
"[209, 78, 36, 4.5, 7]"
"[209, 78, 36, 4.5, 7]"
"[209, 64, 32, 4.5, 6]"
"[209, 55, 30, 6, 6]"
"[209, 55, 28, 6, 6]"
"[209, 54, 24, 6, 6]"
"[209, 54, 24, 6, 5]"
"[209, 36, 20, 6, 5]"
"[209, 48, 14, 6, 5]"
"[209, 71, 5, 9, 5]"
"[209, 71, 1, 2, 5]"
"[209, 95, -2, 2, 5]"
"[209, 205, -8, 2, 5]"
"[209, 205, -10, 2, 5]"
"[206, 209, -12, 2, 5]"
"[188, 209, -15, 2, 5]"
"[184, 209, -19, 2, 5]"
"[184, 209, -19, 2, 5]"
"[174, 209, -19, 2, 6]"
"[174, 209, -22, 2, 6]"
"[166, 209, -21, 2, 6]"
"[165, 209, -21, 2, 6]"
"[159, 209, -21, 2, 6]"
"[159, 209, -19, 2, 6]"
"[161, 209, -20, 2, 6]"
"[161, 209, -20, 2, 7]"
"[161, 209, -14, 2, 7]"
"[162, 209, -16, 2, 7]"
"[162, 209, -16, 2, 7]"
"[162, 209, -13, 2, 7]"
"[162, 209, -13, 2, 7]"
"[170, 209, -13, 2, 7]"
"[170, 209, -12, 2, 7]"
"[170, 209, -12, 2, 8]"
"[176, 209, -13, 2, 8]"
"[176, 209, -13, 2, 8]"
"[177, 209, -12, 2, 8]"
"[177, 209, -13, 2, 8]"
"[177, 209, -13, 2, 8]"
"[175, 209, -13, 2, 8]"
"[175, 209, -13, 2, 8]"
"[175, 209, -15, 2, 8]"
"[175, 209, -13, 2, 8]"
"[175, 209, -17, 2, 9]"
"[175, 209, -17, 2, 9]"
"[174, 209, -14, 2, 9]"
"[174, 209, -15, 2, 9]"
"[166, 209, -16, 2, 9]"
"[172, 209, -15, 2, 9]"
"[172, 209, -15, 2, 9]"
"[170, 209, -15, 2, 9]"
"[170, 209, -13, 2, 9]"
"[170, 209, -16, 4, 10]"
"[170, 209, -13, 2, 10]"
"[147, 209, -14, 2, 10]"
"[147, 209, -17, 2, 10]"
"[167, 209, -15, 2, 10]"
"[167, 209, -15, 2, 10]"
"[165, 209, -15, 2, 10]"
"[165, 209, -14, 2, 10]"
"[165, 209, -14, 2, 10]"
"[169, 209, -14, 2, 10]"
"[169, 209, -12, 2, 11]"
"[171, 209, -12, 2, 11]"
"[171, 209, -11, 2, 11]"
"[171, 209, -11, 2, 11]"
