188.39088,136.76598,-408.44177,-17.5767,-18.110226,-77.48464,,0,1,2,3,4,5
164.42926,119.506096,-353.38574,-13.85707,-15.183946,-66.683624,,,,,,,
165.07976,119.67616,-356.0102,-13.897489,-15.859556,-67.08429,,,,,,,
166.66577,120.33429,-359.68115,-14.450468,-16.645987,-67.50039,,,,,,,
165.80637,119.30228,-359.0131,-15.017046,-16.515715,-66.79511,,,,,,,
162.20172,116.5917,-351.2092,-14.956476,-15.691921,-65.25356,,,,,,,
161.66023,116.42371,-349.61017,-14.680633,-15.141634,-65.09043,,,,,,,
167.18274,120.82207,-362.15564,-14.620872,-15.647406,-67.29939,,,,,,,
163.2898,118.405556,-354.0614,-13.8893,-15.5175705,-65.776985,,,,,,,
164.60004,119.87714,-357.4419,-14.167889,-16.182955,-66.422295,,,,,,,
161.07867,117.97887,-350.64923,-13.846375,-16.215206,-65.111015,,,,,,,
157.5237,115.82845,-343.80795,-13.429069,-15.763467,-63.644394,,,,,,,
152.959,113.19806,-334.15063,-12.971989,-15.068968,-62.042126,,,,,,,
156.87032,116.66836,-343.11832,-13.429135,-15.416347,-64.12278,,,,,,,
162.66289,120.80437,-355.00287,-13.8566065,-15.857711,-66.34327,,,,,,,
163.66193,120.55128,-356.24594,-13.907804,-15.730619,-66.20535,,,,,,,
160.80707,117.00975,-348.98737,-13.502836,-15.285313,-64.337875,,,,,,,
154.2642,111.4847,-334.06415,-13.043113,-14.875954,-61.368633,,,,,,,
152.09436,109.92533,-329.44495,-12.988293,-14.823452,-60.691048,,,,,,,
142.89963,103.96072,-310.1662,-12.265248,-13.926816,-57.46151,,,,,,,
146.49637,107.538795,-319.03857,-12.509794,-14.28405,-59.43395,,,,,,,
150.23341,111.004036,-328.46,-12.751656,-14.657153,-61.234978,,,,,,,
157.39757,116.97642,-344.48853,-13.197622,-15.531715,-64.53768,,,,,,,
163.6886,121.919044,-357.9594,-14.043263,-16.33537,-67.065735,,,,,,,
163.88377,121.81982,-357.25397,-14.204416,-16.211594,-66.40658,,,,,,,
163.96439,121.12476,-356.35208,-14.009529,-15.9999895,-65.77452,,,,,,,
160.0796,117.21635,-347.41873,-13.479422,-15.514192,-63.85412,,,,,,,
161.32545,117.000435,-350.0696,-13.54993,-15.450702,-64.318115,,,,,,,
156.19592,112.74579,-339.88403,-13.1629925,-14.905742,-62.59604,,,,,,,
155.95685,112.53936,-339.93103,-13.29447,-15.125413,-62.96784,,,,,,,
155.74269,113.23472,-339.7671,-13.389173,-15.328915,-63.291946,,,,,,,
157.2121,115.47024,-342.73532,-13.464074,-15.592749,-64.004265,,,,,,,
155.10307,114.61779,-337.7363,-13.075339,-15.188069,-62.7631,,,,,,,
157.92116,116.88476,-343.17505,-13.215464,-15.334137,-63.52402,,,,,,,
160.12552,118.10037,-347.33405,-13.447329,-15.564932,-64.28242,,,,,,,
151.63483,111.48317,-329.35773,-12.842658,-14.8254385,-60.68429,,,,,,,
151.06967,110.29209,-328.15924,-12.970619,-14.843872,-60.37092,,,,,,,
142.73097,103.84887,-310.39713,-12.407764,-14.107808,-57.258987,,,,,,,
148.76785,108.2834,-324.54092,-12.937844,-14.585606,-59.925636,,,,,,,
140.16681,102.362656,-306.08963,-11.952972,-13.463826,-56.591778,,,,,,,
145.29259,106.430756,-317.0942,-12.092928,-13.878402,-58.65631,,,,,,,
155.46611,114.243225,-338.5834,-12.810039,-14.899342,-62.934948,,,,,,,
156.15541,114.68503,-339.34875,-13.115471,-14.964484,-63.069855,,,,,,,
158.79323,116.38168,-343.74936,-13.578702,-15.615842,-63.87376,,,,,,,
156.47534,114.5262,-338.68726,-13.513267,-15.623494,-62.946426,,,,,,,
154.73112,113.07567,-335.77216,-13.247149,-15.308069,-62.313885,,,,,,,
149.33405,109.61978,-325.15396,-12.673387,-14.648601,-60.743664,,,,,,,
153.33609,113.39576,-334.57394,-13.027354,-14.96891,-63.164627,,,,,,,
142.52858,105.73753,-310.96692,-11.987729,-13.838038,-58.630707,,,,,,,
144.18752,106.618065,-313.91238,-12.1231365,-13.834896,-58.478825,,,,,,,
145.7286,107.63916,-316.67404,-12.459964,-14.405088,-58.685913,,,,,,,
149.59674,110.56638,-324.60675,-13.044809,-15.109883,-60.223404,,,,,,,
145.9946,107.71664,-316.86688,-12.63841,-14.502796,-58.73231,,,,,,,
145.12668,106.67727,-315.49924,-12.228041,-13.9571295,-58.44035,,,,,,,
130.82503,95.948654,-284.47266,-10.77464,-12.414971,-52.864635,,,,,,,
139.47455,102.38296,-303.0333,-11.6468115,-13.400145,-56.81996,,,,,,,
135.65913,99.49228,-294.63553,-11.491446,-13.247675,-55.274433,,,,,,,
139.94289,102.31384,-303.90054,-11.995357,-13.897782,-56.541885,,,,,,,
141.17093,103.1325,-306.095,-12.12194,-14.065892,-56.728394,,,,,,,
146.72437,107.16807,-318.1799,-12.3855,-14.34715,-58.824066,,,,,,,
133.90816,98.11209,-290.9289,-11.014702,-12.840875,-53.601868,,,,,,,
139.50974,102.37375,-304.4532,-11.219571,-13.353275,-55.647655,,,,,,,
131.61452,96.90877,-287.86612,-10.563892,-12.695156,-52.30944,,,,,,,
133.32944,98.217514,-290.82434,-10.84364,-13.019609,-53.16607,,,,,,,
130.06001,95.6946,-283.1521,-10.832816,-12.697542,-52.065434,,,,,,,
128.66205,94.49867,-279.1238,-10.892205,-12.533569,-51.70457,,,,,,,
148.15544,108.42773,-320.52325,-12.593287,-14.4369545,-59.437817,,,,,,,
155.60422,113.52743,-336.86377,-12.826807,-14.784401,-61.914513,,,,,,,
158.159,115.38224,-343.19788,-12.749485,-15.064982,-62.595577,,,,,,,
