[-0.3072244  -0.8169896   1.2072268  -0.4070155   1.0224993   0.47924405]
[-0.30666015 -0.81548893  1.2050093  -0.4062679   1.0206212   0.4783638 ]
[-0.31041586 -0.8254766   1.2197675  -0.4112436   1.0331211   0.48422247]
[-0.28541887 -0.75900304  1.1215427  -0.37812725  0.9499265   0.44522923]
[-0.4517904  -1.2014282   1.7752934  -0.59853864  1.5036416   0.7047547 ]
[-0.441756   -1.1747458   1.7358246  -0.5852163   1.4701923   0.68909943]
[  4.19689   -29.902107   25.354101   -1.8633047  14.360613   11.821084 ]
[-19.919157 -61.38008   93.683655 -31.1927    84.024055  32.98196 ]
[-20.38674  -75.52632  126.01412  -43.617626 117.65367   36.056175]
[-13.610834 -56.23407  106.33481  -41.745335 100.13085   20.786913]
[ -8.684944 -43.883663  91.32253  -38.963818  85.99732   10.751461]
"[ -3.9724398  -31.106426    73.73982    -37.709183    71.12599
   0.90670735]"
[ -2.726566  -21.492321   59.888527  -38.354736   56.281185   -7.2586894]
[ -2.9157872 -13.918054   51.06859   -39.88045    44.302437  -14.113215 ]
[ -3.964028   -7.7443914  45.974617  -42.577843   35.065407  -20.483534 ]
[ -5.104275   -3.8443894  43.717155  -45.693188   27.888966  -26.096577 ]
[ -6.6080127  -1.068868   44.29701   -50.446194   22.077688  -32.30665  ]
[ -8.884338   1.928271  48.32233  -59.368362  17.291496 -41.44316 ]
[-11.470539    5.451798   54.124523  -71.19415    12.2961235 -53.06409  ]
[-14.452003   9.950199  62.19168  -86.83355    6.335824 -68.20467 ]
"[ -17.321844    16.751709    76.3233    -111.99615     -1.8885931
  -91.932365 ]"
[ -18.728811   25.470757   91.50469  -139.58798   -13.518545 -119.26601 ]
[ -18.320042   36.062164  107.92724  -167.96477   -28.655785 -150.07231 ]
[ -14.346596   41.55568   111.54986  -177.39476   -37.249996 -163.33148 ]
[  -8.339809   41.406235  104.870224 -171.4283    -39.669464 -162.42654 ]
"[  -3.3973799   38.265923    94.30854   -157.14702    -38.195618
 -152.9245   ]"
"[  -0.7021272   35.55458     86.04908   -145.66122    -36.9638
 -145.73878  ]"
"[   0.45083627   31.940794     76.906654   -131.63191     -33.631268
 -134.55475   ]"
"[   0.5434214   29.736732    70.495895  -122.39264    -31.757036
 -128.11134  ]"
"[   0.40069902   28.555723     65.75935    -116.88166     -31.11037
 -125.18851   ]"
"[ 2.51640230e-02  2.77789326e+01  6.15652466e+01 -1.13261055e+02
 -3.12574196e+01 -1.24383842e+02]"
"[  -0.7718843   26.725746    56.772564  -108.572235   -30.230434
 -121.99832  ]"
"[  -1.7616475   25.106436    50.376587  -102.58488    -28.735874
 -118.07961  ]"
"[  -3.2017593   23.741234    42.709644   -93.52722    -25.797878
 -109.93411  ]"
"[  -4.8435917   23.305805    36.45517    -87.10658    -23.487339
 -104.456825 ]"
"[  -6.4089403   23.444458    31.922537   -83.36835    -22.193186
 -101.821205 ]"
[ -7.7015657  23.53292    26.997068  -77.586334  -19.796494  -96.26791  ]
[ -8.171459  21.672762  20.656555 -65.7741   -15.859483 -82.67985 ]
[-0.39439973  1.0189608   0.49462134 -2.2496119  -1.0550644  -2.9921649 ]
[-0.7993696   0.80944955  0.20776236 -1.2294887  -1.0466853  -1.8536177 ]
[-0.8562467  0.8669592  0.2000468 -1.2882502 -1.070896  -1.931885 ]
[-0.91666645  0.9250311   0.19289634 -1.344593   -1.0836756  -1.9939137 ]
[-0.9834616   0.98662364  0.18864116 -1.4050804  -1.0906487  -2.0457602 ]
