"[-1, -1, -92, 1.25, -1.75, 4, 0]","[-1, -1, -92, 1.25, -1.75, 4, 0]","[-1, -1, -92, 1.25, -1.75, 4, 0]"
"[-1, -1, -92, 1.25, -1.75, 2, 0]","[-1, -1, -92, 1.25, -1.75, 4, 0]","[-1, -1, -92, 1.25, -1.75, 4, 0]"
"[-1, -1, -92, 1.25, -1.75, 2, 1]","[-1, -1, -92, 1.25, -1.75, 2, 0]","[-1, -1, -92, 1.25, -1.75, 4, 0]"
"[-1, -1, -92, 1, -1.75, 2, 2]","[-1, -1, -92, 1.25, -1.75, 2, 1]","[-1, -1, -92, 1.25, -1.75, 2, 0]"
"[-1, -1, -93, 1, -1.75, 2, 2]","[-1, -1, -92, 1, -1.75, 2, 2]","[-1, -1, -92, 1.25, -1.75, 2, 1]"
"[23, 209, -93, 1, -0.75, 2, 3]","[-1, -1, -93, 1, -1.75, 2, 2]","[-1, -1, -92, 1, -1.75, 2, 2]"
"[23, 209, -99, 29.5, 7.25, 2, 4]","[23, 209, -93, 1, -0.75, 2, 3]","[-1, -1, -93, 1, -1.75, 2, 2]"
"[24, 210, -84, 30.5, 2.75, 2, 5]","[23, 209, -99, 29.5, 7.25, 2, 4]","[23, 209, -93, 1, -0.75, 2, 3]"
"[24, 210, -85, 30.5, 2.75, 2, 5]","[24, 210, -84, 30.5, 2.75, 2, 5]","[23, 209, -99, 29.5, 7.25, 2, 4]"
"[22, 211, -70, 88.5, 59.25, 2, 6]","[24, 210, -85, 30.5, 2.75, 2, 5]","[24, 210, -84, 30.5, 2.75, 2, 5]"
"[22, 211, -60, 88.5, 74, 2, 7]","[22, 211, -70, 88.5, 59.25, 2, 6]","[24, 210, -85, 30.5, 2.75, 2, 5]"
"[36, 212, -50, 123.25, 65, 2, 7]","[22, 211, -60, 88.5, 74, 2, 7]","[22, 211, -70, 88.5, 59.25, 2, 6]"
"[36, 212, -51, 123.25, 65, 4, 8]","[36, 212, -50, 123.25, 65, 2, 7]","[22, 211, -60, 88.5, 74, 2, 7]"
"[66, 213, -34, 174, 57.75, 4, 8]","[36, 212, -51, 123.25, 65, 4, 8]","[36, 212, -50, 123.25, 65, 2, 7]"
"[25, 214, -27, 166.25, -2.5, 6, 8]","[66, 213, -34, 174, 57.75, 4, 8]","[36, 212, -51, 123.25, 65, 4, 8]"
"[25, 214, -18, 221.75, -4.75, 6, 8]","[25, 214, -27, 166.25, -2.5, 6, 8]","[66, 213, -34, 174, 57.75, 4, 8]"
"[25, 214, -11, 210, -12.5, 9, 9]","[25, 214, -18, 221.75, -4.75, 6, 8]","[25, 214, -27, 166.25, -2.5, 6, 8]"
"[45, 215, -3, 214.5, 11.5, 9, 9]","[25, 214, -11, 210, -12.5, 9, 9]","[25, 214, -18, 221.75, -4.75, 6, 8]"
"[45, 215, 7, 169, 47, 9, 9]","[45, 215, -3, 214.5, 11.5, 9, 9]","[25, 214, -11, 210, -12.5, 9, 9]"
"[45, 216, 16, 168, -2, 9, 9]","[45, 215, 7, 169, 47, 9, 9]","[45, 215, -3, 214.5, 11.5, 9, 9]"
"[45, 216, 15, 168, -2, 9, 8]","[45, 216, 16, 168, -2, 9, 9]","[45, 215, 7, 169, 47, 9, 9]"
"[181, 217, 31, 162.5, -19, 9, 8]","[45, 216, 15, 168, -2, 9, 8]","[45, 216, 16, 168, -2, 9, 9]"
"[217, 164, 39, 157.5, -18.25, 6, 8]","[181, 217, 31, 162.5, -19, 9, 8]","[45, 216, 15, 168, -2, 9, 8]"
"[217, 164, 38, 157.5, -18.25, 4.5, 8]","[217, 164, 39, 157.5, -18.25, 6, 8]","[181, 217, 31, 162.5, -19, 9, 8]"
