"['209', '120', '16', 9, 0]"
"['209', '178', '14', 2, 0]"
"['209', '178', '14', 9, 0]"
"['209', '178', '17', 6, 0]"
"['209', '109', '17', 6, 0]"
"['209', '109', '18', 2, 0]"
"['209', '126', '18', 2, 0]"
"['209', '126', '18', 2, 0]"
"['209', '176', '17', 9, 0]"
"['209', '174', '17', 2, 0]"
"['209', '109', '20', 9, 0]"
"['209', '176', '19', 2, 0]"
"['209', '176', '20', 6, 0]"
"['209', '109', '19', 6, 0]"
"['209', '109', '19', 6, 0]"
"['209', '109', '18', 2, 0]"
"['209', '109', '17', 2, 0]"
"['209', '109', '16', 2, 0]"
"['209', '172', '15', 2, 0]"
"['209', '174', '16', 9, 0]"
"['209', '178', '16', 2, 0]"
"['209', '109', '15', 9, 0]"
"['209', '178', '18', 2, 0]"
"['209', '109', '18', 6, 0]"
"['209', '109', '18', 3.5, 0]"
"['209', '180', '19', 2, 0]"
"['209', '109', '17', 2, 0]"
"['209', '174', '18', 2, 0]"
"['209', '174', '16', 6, 0]"
"['209', '174', '16', 6, 0]"
"['209', '172', '15', 6, 0]"
"['209', '109', '16', 6, 0]"
"['209', '114', '14', 2, 0]"
"['209', '114', '14', 2, 0]"
"['209', '120', '12', 2, 0]"
"['209', '178', '15', 2, 0]"
"['209', '182', '12', 9, 0]"
"['209', '182', '11', 2, 0]"
"['209', '182', '11', 9, 0]"
"['209', '186', '17', 6, 0]"
"['209', '111', '21', 6, 0]"
"['209', '111', '21', 6, 0]"
"['209', '111', '21', 2, 0]"
"['209', '109', '18', 2, 0]"
"['209', '109', '18', 2, 0]"
"['209', '168', '16', 2, 0]"
"['209', '168', '16', 6, 0]"
"['209', '174', '14', 6, 0]"
"['209', '114', '15', 9, 0]"
"['209', '114', '15', 2, 0]"
"['209', '114', '12', 2, 0]"
"['209', '180', '13', 2, 0]"
"['209', '180', '16', 9, 0]"
"['209', '180', '14', 2, 0]"
"['209', '109', '15', 9, 0]"
"['209', '178', '16', 2, 0]"
"['209', '109', '17', 9, 0]"
"['209', '109', '19', 2, 0]"
"['209', '109', '18', 2, 0]"
"['209', '176', '16', 2, 0]"
"['209', '176', '16', 9, 0]"
"['209', '174', '18', 2, 0]"
"['209', '109', '16', 9, 0]"
"['209', '178', '15', 2, 0]"
"['209', '109', '16', 4.5, 0]"
"['209', '109', '14', 2, 0]"
"['209', '178', '13', 2, 0]"
"['209', '178', '17', 9, 0]"
"['209', '182', '17', 6, 0]"
"['209', '109', '19', 6, 0]"
"['209', '109', '17', 2, 0]"
"['209', '109', '19', 2, 0]"
"['209', '109', '17', 2, 0]"
"['209', '172', '15', 2, 0]"
"['209', '172', '15', 6, 0]"
"['209', '176', '14', 6, 0]"
"['209', '120', '19', 2, 0]"
"['209', '120', '17', 2, 0]"
"['209', '182', '20', 2, 0]"
"['209', '172', '16', 6, 0]"
"['209', '176', '18', 6, 0]"
"['209', '176', '18', 6, 0]"
"['209', '109', '16', 2, 0]"
"['209', '109', '18', 2, 0]"
"['209', '109', '17', 2, 0]"
"['209', '174', '15', 2, 0]"
"['209', '173', '12', 9, 0]"
"['209', '175', '12', 2, 0]"
"['209', '109', '9', 9, 0]"
"['209', '109', '10', 2, 0]"
"['209', '109', '7', 2, 0]"
"['209', '191', '7', 2, 0]"
"['209', '189', '7', 9, 0]"
"['209', '195', '8', 2, 0]"
"['209', '146', '8', 9, 0]"
"['209', '137', '10', 2, 0]"
"['209', '193', '8', 2, 0]"
"['209', '193', '6', 9, 0]"
"['209', '189', '6', 9, 0]"
"['209', '137', '5', 2, 0]"
"['209', '155', '4', 2, 0]"
"['209', '197', '4', 9, 0]"
"['209', '173', '2', 4, 0]"
"['209', '173', '2', 3.5, 0]"
"['209', '173', '2', 9, 0]"
"['209', '202', '3', 2, 0]"
"['209', '202', '3', 9, 0]"
"['209', '191', '2', 4.5, 0]"
"['209', '182', '4', 9, 0]"
"['209', '196', '5', 2, 0]"
"['209', '191', '6', 9, 0]"
"['209', '201', '7', 2, 0]"
"['209', '164', '9', 9, 0]"
"['209', '164', '11', 2, 0]"
"['209', '197', '10', 9, 0]"
"['209', '191', '12', 4.5, 0]"
"['209', '191', '13', 9, 0]"
"['209', '110', '16', 2, 0]"
