"['-14', '0', '0']","['-14', '0', '0']","['-14', '0', '0']","['-14', '0', '0']","['-14', '0', '0']"
-1.5919975e-05,2.437993e-06,-2.100539e-05,-8.794323e-06,4.4005915e-06
"['-19', '140', '140']","['-14', '0', '0']","['-14', '0', '0']","['-14', '0', '0']","['-14', '0', '0']"
-7.966445e-05,1.2199855e-05,-0.00010511215,-4.4007287e-05,2.2020806e-05
"['-22', '140', '140']","['-19', '140', '140']","['-14', '0', '0']","['-14', '0', '0']","['-14', '0', '0']"
-0.00015263504,2.3374607e-05,-0.00020139216,-8.431682e-05,4.21913e-05
"['-25', '140', '140']","['-22', '140', '140']","['-19', '140', '140']","['-14', '0', '0']","['-14', '0', '0']"
-0.00021809978,0.00012065211,-0.00022014197,0.00025725004,0.00014217151
"['-26', '200', '140']","['-25', '140', '140']","['-22', '140', '140']","['-19', '140', '140']","['-14', '0', '0']"
-0.0003289852,0.0001889471,-0.00032667618,0.0004181431,0.00022097953
"['-27', '200', '140']","['-26', '200', '140']","['-25', '140', '140']","['-22', '140', '140']","['-19', '140', '140']"
-0.00032704737,0.00018842546,-0.00032429362,0.00041824006,0.00022023283
"['-28', '140', '200']","['-27', '200', '140']","['-26', '200', '140']","['-25', '140', '140']","['-22', '140', '140']"
-0.0001725138,9.939231e-05,-0.00017106123,0.00022061692,0.00011617033
"['-31', '140', '200']","['-28', '140', '200']","['-27', '200', '140']","['-26', '200', '140']","['-25', '140', '140']"
-0.0004288702,0.0002470898,-0.00042525912,0.0005484548,0.00028880007
"['-32', '140', '200']","['-31', '140', '200']","['-28', '140', '200']","['-27', '200', '140']","['-26', '200', '140']"
-0.0004888697,0.00028165797,-0.00048475337,0.00062518433,0.00032920355
"['-33', '140', '200']","['-32', '140', '200']","['-31', '140', '200']","['-28', '140', '200']","['-27', '200', '140']"
-0.00037724862,0.00021562146,-0.00037541072,0.0004749627,0.00025241746
"['-29', '140', '200']","['-33', '140', '200']","['-32', '140', '200']","['-31', '140', '200']","['-28', '140', '200']"
-0.00046583547,0.00026838703,-0.00046191312,0.00059572735,0.00031369238
"['-27', '140', '200']","['-29', '140', '200']","['-33', '140', '200']","['-32', '140', '200']","['-31', '140', '200']"
-0.00045652658,0.0002630238,-0.00045268264,0.00058382284,0.0003074238
"['-26', '140', '200']","['-27', '140', '200']","['-29', '140', '200']","['-33', '140', '200']","['-32', '140', '200']"
-0.0004560492,0.00026274874,-0.00045220923,0.0005832123,0.0003071023
"['-23', '140', '200']","['-26', '140', '200']","['-27', '140', '200']","['-29', '140', '200']","['-33', '140', '200']"
-0.00046613635,0.00026856037,-0.00046221146,0.0005961121,0.000313895
"['-19', '140', '200']","['-23', '140', '200']","['-26', '140', '200']","['-27', '140', '200']","['-29', '140', '200']"
-0.0004852952,0.00027959858,-0.000481209,0.00062061317,0.0003267965
