"[-1, -1, -85, 4, 0]"
"[-1, -1, -85, 2, 0]"
"[-1, -1, -85, 2, 1]"
"[-1, -1, -85, 2, 2]"
"[-1, -1, -85, 2, 2]"
"[-1, -1, -85, 2, 3]"
"[37, 209, -83, 2, 3]"
"[37, 209, -83, 2, 4]"
"[37, 209, -83, 2, 5]"
"[36, 209, -71, 2, 5]"
"[39, 209, -59, 2, 6]"
"[39, 209, -59, 3.5, 6]"
"[38, 209, -55, 3.5, 7]"
"[61, 209, -41, 3.5, 7]"
"[-1, 209, -34, 4, 8]"
"[-1, 209, -34, 4, 8]"
"[-1, 209, -21, 4, 8]"
"[65, 209, -11, 4, 8]"
"[65, 209, -4, 4.5, 9]"
"[65, 209, 1, 2, 9]"
"[151, 209, 10, 2, 9]"
"[151, 209, 10, 2, 8]"
"[192, 209, 25, 2, 8]"
"[192, 209, 25, 2, 8]"
"[202, 209, 31, 2, 8]"
"[202, 209, 31, 6, 8]"
"[209, 198, 36, 2, 7]"
"[209, 168, 39, 2, 7]"
"[209, 168, 39, 2, 7]"
"[209, 32, 42, 2, 7]"
"[209, 32, 42, 4.5, 6]"
"[209, 139, 41, 4.5, 6]"
"[209, 139, 41, 4.5, 6]"
"[209, 139, 41, 4.5, 5]"
"[209, 27, 39, 4.5, 5]"
"[209, 31, 37, 4.5, 5]"
"[209, 31, 37, 4.5, 4]"
"[209, 30, 31, 4.5, 4]"
"[209, 39, 26, 4, 4]"
"[209, 48, 23, 4.5, 4]"
"[209, 48, 23, 4.5, 3]"
"[209, 48, 19, 4.5, 3]"
"[209, 110, 12, 2, 3]"
"[209, 110, 7, 4.5, 3]"
"[209, 110, 2, 9, 3]"
"[209, 159, 1, 4.5, 3]"
"[209, 159, 0, 4.5, 3]"
"[209, 150, -2, 4.5, 3]"
"[209, 208, -2, 4.5, 3]"
"[209, 208, -5, 6, 3]"
"[206, 209, -7, 4.5, 3]"
"[206, 209, -7, 4.5, 3]"
"[194, 209, -9, 4.5, 3]"
"[184, 209, -10, 4.5, 3]"
"[184, 209, -10, 4.5, 3]"
"[174, 209, -12, 4.5, 3]"
"[174, 209, -12, 4.5, 3]"
"[165, 209, -12, 4.5, 3]"
"[161, 209, -13, 4.5, 4]"
"[152, 209, -12, 4.5, 4]"
"[152, 209, -13, 4.5, 4]"
"[152, 209, -13, 4.5, 4]"
"[147, 209, -14, 4.5, 4]"
"[147, 209, -16, 4.5, 4]"
"[147, 209, -16, 4.5, 4]"
"[147, 209, -13, 4.5, 4]"
"[147, 209, -13, 4.5, 4]"
"[133, 209, -13, 4.5, 5]"
"[133, 209, -11, 4.5, 5]"
"[133, 209, -11, 4.5, 5]"
"[146, 209, -10, 4.5, 5]"
"[146, 209, -10, 4.5, 5]"
"[146, 209, -9, 4.5, 5]"
"[146, 209, -9, 2, 5]"
"[159, 209, -10, 4.5, 5]"
"[159, 209, -7, 4.5, 5]"
"[159, 209, -7, 4.5, 5]"
"[186, 209, -11, 4.5, 5]"
"[186, 209, -11, 4.5, 5]"
"[172, 209, -13, 4.5, 6]"
"[172, 209, -13, 4.5, 6]"
"[172, 209, -10, 4.5, 6]"
"[154, 209, -14, 9, 6]"
"[145, 209, -10, 4.5, 6]"
"[113, 209, -14, 4.5, 6]"
"[113, 209, -12, 4.5, 6]"
"[140, 209, -10, 4.5, 6]"
"[140, 209, -10, 4.5, 6]"
"[140, 209, -10, 4.5, 6]"
"[140, 209, -10, 4.5, 6]"
