-255.27061,346.12946,92.56365,22.783081,-92.51965,-182.9294,,0,1,2,3,4,5
-206.33223,331.33725,84.66895,41.38444,-90.10457,-154.68504,,151.1515044,123.8949913,-132.9283378,201.8942673,161.4294757,89.82527223
-241.85594,432.23184,139.34528,78.76964,-144.85394,-179.52084,,,,,,,
-198.15445,400.3615,156.50352,90.29043,-154.34062,-150.82433,,,,,,,
-145.42644,293.88718,108.43773,59.83808,-103.98417,-116.15656,,,,,,,
-147.82889,301.3668,112.53854,62.194817,-107.590866,-118.36725,,,,,,,
-156.4897,313.86246,115.797424,64.35185,-111.91907,-123.71098,,,,,,,
-154.28436,295.56766,100.54922,54.80671,-98.3259,-121.61481,,,,,,,
-172.41943,303.44513,88.66398,47.178905,-90.45498,-132.97856,,,,,,,
-200.63127,335.55124,90.126236,48.13907,-96.07727,-150.7689,,,,,,,
-202.91614,334.7599,86.91137,45.43402,-92.96684,-152.73737,,,,,,,
-223.08768,372.60367,103.802635,54.89675,-110.050415,-166.37549,,,,,,,
-228.20795,392.9709,115.67323,63.855244,-122.05161,-170.03473,,,,,,,
-224.2673,385.8617,113.11838,62.31187,-119.318085,-167.29268,,,,,,,
-222.9874,376.07343,106.96522,57.48461,-113.29146,-166.04973,,,,,,,
-221.0833,363.20255,99.81994,50.959743,-105.598755,-164.63103,,,,,,,
-166.50125,282.224,63.493504,50.250275,-69.01041,-129.45128,,,,,,,
-110.60442,217.37103,36.951714,57.671234,-43.581367,-93.83656,,,,,,,
-66.211006,181.00067,24.278406,71.45741,-31.589863,-65.16081,,,,,,,
-38.693783,165.93181,15.608023,85.88399,-24.481478,-47.06589,,,,,,,
-13.563159,152.20326,8.309169,98.11199,-17.823414,-30.301636,,,,,,,
8.911751,143.18796,1.6115628,110.92633,-11.850076,-15.4845495,,,,,,,
30.368042,139.26021,-4.863988,126.317,-6.242103,-1.7591348,,,,,,,
52.51604,139.98369,-11.750321,145.24678,-0.4414695,12.055105,,,,,,,
77.70409,146.13263,-19.92533,170.43498,6.139478,27.301107,,,,,,,
95.568565,138.98427,-26.749645,179.96237,12.566751,40.16275,,,,,,,
124.78392,147.85704,-37.2742,210.85762,21.03366,58.10384,,,,,,,
156.06445,155.20518,-49.17764,243.1165,30.83701,77.82823,,,,,,,
206.06021,175.8525,-67.970474,301.26944,45.7728,108.08719,,,,,,,
267.61786,203.061,-92.78717,366.09293,66.57021,146.0328,,,,,,,
299.57306,213.79016,-113.66034,391.85312,86.58958,167.92271,,,,,,,
311.2372,214.76625,-131.44528,394.66428,104.95853,177.84819,,,,,,,
312.66937,211.54367,-148.1722,387.9334,122.653404,181.17482,,,,,,,
297.65732,200.23247,-158.97318,363.68283,135.27011,174.59727,,,,,,,
282.80472,192.14902,-170.67134,341.97437,148.39294,168.01857,,,,,,,
261.3879,183.43982,-178.79395,314.24008,158.09468,156.6968,,,,,,,
242.41588,177.76926,-188.39467,290.83148,168.8,146.6169,,,,,,,
220.138,170.97432,-194.73161,264.31046,176.33989,133.8994,,,,,,,
204.40665,165.34682,-198.54767,241.8334,184.37486,124.25274,,,,,,,
191.90695,159.42638,-201.11469,222.94284,190.3606,117.03658,,,,,,,
190.63817,158.85019,-209.37901,216.8804,203.59406,116.99703,,,,,,,
195.51752,160.9344,-219.6664,217.46324,220.77655,121.06089,,,,,,,
196.80803,156.7502,-221.37044,213.90901,228.96533,123.11337,,,,,,,
212.11862,160.00327,-234.39833,225.36081,248.55634,134.14821,,,,,,,
218.94017,154.30893,-234.15283,227.61707,254.03331,139.34053,,,,,,,
235.02591,155.56398,-244.64458,243.30083,270.90228,150.14981,,,,,,,
234.67555,147.03503,-238.55054,245.22614,269.1655,150.09694,,,,,,,
228.3908,136.02327,-227.4718,243.05045,261.24915,145.93352,,,,,,,
214.0664,121.57083,-209.5285,234.49773,244.70056,136.65387,,,,,,,
203.3763,109.62597,-193.07616,228.27461,229.6286,127.830055,,,,,,,
201.16925,101.13057,-182.65718,230.07812,221.43742,125.00168,,,,,,,
198.40382,90.87148,-172.35588,230.10661,210.92499,122.31841,,,,,,,
196.2917,82.98451,-163.81737,230.0646,202.48732,120.392586,,,,,,,
196.2178,79.95931,-158.84926,231.15158,198.23477,120.52906,,,,,,,
198.94469,81.88692,-158.79224,236.04738,200.16829,122.274155,,,,,,,
199.27579,85.6216,-158.95119,238.10829,202.20512,122.78779,,,,,,,
204.1,92.67339,-162.81544,243.12766,208.70541,126.35082,,,,,,,
178.38487,86.12638,-144.0499,212.15358,185.74022,110.754745,,,,,,,
171.72723,87.9252,-141.90933,204.22513,183.73671,106.826454,,,,,,,
157.81322,83.98628,-133.02876,186.24854,172.7695,98.06483,,,,,,,
172.63474,93.65651,-148.20209,200.76743,191.77293,106.891785,,,,,,,
186.90063,101.38643,-163.0731,213.30962,208.74908,114.89356,,,,,,,
190.51126,103.429245,-168.71103,215.10916,214.12213,116.51982,,,,,,,
194.2144,103.391975,-172.26784,216.43983,217.15045,118.589935,,,,,,,
206.04047,105.99598,-181.96074,226.76997,226.81253,126.00007,,,,,,,
211.92308,103.80029,-184.08339,230.76485,227.59523,130.31209,,,,,,,
203.43663,95.01031,-174.24767,220.98096,214.19928,125.52981,,,,,,,
196.374,86.90205,-166.87375,214.74284,203.48627,121.03522,,,,,,,
114.4452,48.37862,-96.384995,125.71766,116.63613,70.62552,,,,,,,
179.58768,85.099655,-154.04259,192.43475,192.79305,112.23245,,,,,,,
109.19921,163.1408,-95.30611,158.70468,159.69577,96.502945,,,,,,,
206.96309,89.711494,-175.7366,235.481,211.13576,129.66331,,,,,,,
200.52141,92.223785,-171.18861,230.49051,209.0102,126.35606,,,,,,,
200.0338,97.26418,-171.67351,230.74094,212.49496,125.45143,,,,,,,
202.59235,102.191284,-174.40361,233.54141,218.46413,125.79776,,,,,,,
201.6136,105.64024,-175.297,232.84216,221.38179,123.66416,,,,,,,
208.44507,111.01437,-182.00269,240.09393,230.09633,126.84372,,,,,,,
204.71577,109.23965,-178.0852,234.9136,225.27896,124.55326,,,,,,,
194.4844,102.16155,-167.86087,222.08665,212.0901,118.96547,,,,,,,
197.68692,102.28858,-170.53816,226.44206,214.41507,122.48936,,,,,,,
200.21953,100.90413,-172.6382,229.35838,214.27013,124.801155,,,,,,,
205.386,99.56668,-176.80457,234.21593,215.87187,127.757774,,,,,,,
207.46371,96.19835,-179.28636,236.85263,216.30132,128.45567,,,,,,,
208.84096,92.11524,-182.26456,239.7962,217.92456,128.59697,,,,,,,
204.52586,87.81362,-178.95639,235.11961,213.93077,125.6585,,,,,,,
198.00404,85.51978,-173.9709,228.21863,210.13878,121.423775,,,,,,,
198.99545,88.52246,-174.80876,230.6476,214.30847,122.58045,,,,,,,
212.60878,98.32156,-184.61244,246.90555,229.42526,132.0415,,,,,,,
203.43478,96.58495,-175.00069,236.20937,219.45091,126.65505,,,,,,,
188.68523,90.029625,-160.56284,217.9292,202.00296,117.46734,,,,,,,
201.39645,94.99049,-169.69626,230.66695,212.754,124.31712,,,,,,,
204.69214,95.1893,-173.6167,233.10147,214.61128,125.37262,,,,,,,
