-255.27061,346.12946,92.56365,22.783081,-92.51965,-182.9294,,0,1,2,3,4,5
204.10071,93.89558,-176.31102,232.55276,215.01164,124.31615,,,,,,,
207.70085,94.443535,-182.07317,235.495,219.25108,126.34669,,,,,,,
204.43811,91.07581,-181.56664,232.06845,216.99454,124.06811,,,,,,,
200.17891,90.01224,-179.96558,228.86432,214.35054,122.186,,,,,,,
203.53482,93.50621,-182.34113,232.7633,218.94342,125.4144,,,,,,,
207.67596,97.65433,-182.70485,236.69255,221.77855,129.55008,,,,,,,
205.51088,97.29119,-177.90372,234.74419,218.63184,129.41324,,,,,,,
204.60065,96.24674,-174.73788,233.97849,216.6526,128.71133,,,,,,,
195.71326,90.86015,-167.00468,225.56403,207.41513,122.81372,,,,,,,
188.495,85.090515,-160.19302,217.677,199.78004,116.54752,,,,,,,
186.61958,82.41324,-157.89847,215.36928,197.95789,113.883934,,,,,,,
179.85635,79.550514,-152.15198,207.25041,191.225,109.65595,,,,,,,
191.28285,86.33733,-162.09682,220.04163,203.24152,117.585915,,,,,,,
186.24632,85.81725,-158.80775,214.39894,198.42064,116.243835,,,,,,,
195.85846,91.73047,-167.57933,224.29033,208.73776,124.319115,,,,,,,
201.71452,94.23207,-171.79837,229.2056,213.89812,128.80127,,,,,,,
196.9395,91.07434,-167.4221,222.35571,208.96533,126.11943,,,,,,,
192.79866,87.88989,-163.905,217.66812,205.13687,123.72919,,,,,,,
190.14555,86.39551,-160.87195,214.4699,202.11868,122.66304,,,,,,,
198.36609,90.73674,-166.6563,223.41632,210.05083,128.44879,,,,,,,
201.14754,91.5713,-168.69661,226.34099,212.58519,129.70532,,,,,,,
205.16786,92.95884,-172.13933,230.81929,217.15024,131.9578,,,,,,,
200.37376,90.10836,-168.54265,225.53117,213.06735,128.57475,,,,,,,
194.9039,88.189896,-166.38303,220.65288,208.49142,124.33993,,,,,,,
186.97258,85.863525,-160.96129,212.58989,200.37315,119.04875,,,,,,,
194.32979,91.23512,-167.99736,221.63184,207.86687,123.92001,,,,,,,
203.3345,95.41491,-174.6811,231.1786,216.769,128.52072,,,,,,,
214.72955,100.14469,-183.72061,243.45784,228.99109,134.52473,,,,,,,
206.90976,95.238,-176.82756,234.16896,221.64154,128.3915,,,,,,,
184.7219,82.87588,-156.86267,208.74603,198.12605,113.23035,,,,,,,
187.40555,82.91317,-157.69298,211.34015,200.5215,114.022514,,,,,,,
194.73483,85.84731,-162.09647,219.02783,207.17473,118.13682,,,,,,,
209.63965,93.15721,-172.62865,233.76465,221.11435,127.38225,,,,,,,
135.93513,60.58111,-110.95421,150.36778,142.53389,82.73671,,,,,,,
177.97398,79.49751,-144.50476,195.74962,186.26765,108.48713,,,,,,,
122.72674,54.4965,-99.2125,134.1887,128.42012,74.939,,,,,,,
187.93202,83.66344,-153.61383,205.65273,197.46178,114.44753,,,,,,,
186.95647,83.93034,-153.64969,204.47812,196.4074,114.047035,,,,,,,
124.57268,56.50436,-102.50341,136.03374,130.50066,76.31902,,,,,,,
159.98099,79.353325,-136.397,172.97005,177.19325,98.986496,,,,,,,
121.34512,57.429157,-101.36139,130.91597,129.32155,75.11465,,,,,,,
190.48755,89.597565,-157.68639,208.7348,198.70035,118.472115,,,,,,,
199.52318,93.81995,-166.17484,219.18576,209.19441,124.20577,,,,,,,
186.21928,87.19329,-156.35103,205.13766,196.87517,115.63145,,,,,,,
173.98071,80.31816,-148.97429,192.72597,186.38506,107.38421,,,,,,,
162.71133,74.698814,-141.41133,180.6305,176.35576,100.11538,,,,,,,
169.89397,87.53236,-156.98029,188.2883,203.16808,104.9544,,,,,,,
172.34674,89.55955,-159.06696,190.66258,208.32878,106.62145,,,,,,,
182.79701,82.45674,-158.33601,200.41077,201.51656,112.67926,,,,,,,
203.90892,86.780304,-170.54628,222.32744,214.45502,126.18918,,,,,,,
208.74323,84.820435,-170.74248,229.18893,211.24089,130.28821,,,,,,,
193.74718,80.52758,-157.23775,218.43633,191.21,123.25917,,,,,,,
197.09332,83.0779,-158.15802,221.12416,191.9281,124.472946,,,,,,,
195.62335,85.54642,-157.62422,219.41402,190.65868,122.52477,,,,,,,
191.45724,88.322075,-156.62335,215.93826,188.77565,119.0872,,,,,,,
180.27739,86.08607,-150.41022,204.40804,180.75797,111.048775,,,,,,,
184.12492,89.36894,-155.97781,208.87817,186.9678,112.71911,,,,,,,
189.37158,92.79898,-162.80876,216.09666,196.51167,116.23522,,,,,,,
190.57356,93.75539,-166.49973,218.79245,202.76988,116.94904,,,,,,,
184.20525,90.79878,-163.602,212.67242,201.17418,113.17235,,,,,,,
171.84793,85.07166,-154.7528,199.07405,192.3949,105.90293,,,,,,,
167.99356,84.11811,-152.59315,194.30695,191.75327,104.20993,,,,,,,
171.34361,87.181816,-156.08846,197.69121,198.13297,107.281975,,,,,,,
175.42442,91.157684,-159.76929,201.23935,202.82014,111.1765,,,,,,,
171.74432,89.73527,-154.90874,195.03111,196.93683,108.77162,,,,,,,
167.09882,87.37872,-149.77548,188.0641,190.85014,105.37507,,,,,,,
157.23087,82.320114,-140.21327,176.71637,179.15102,98.60066,,,,,,,
155.01372,79.83947,-137.16257,174.04839,174.2253,96.51531,,,,,,,
160.00526,80.391754,-140.09677,179.38351,176.93279,99.226105,,,,,,,
174.9125,85.4915,-151.138,195.36589,189.98178,108.39637,,,,,,,
186.8023,88.2457,-160.7354,209.13702,200.01364,115.43975,,,,,,,
188.55695,86.713646,-162.10214,211.66975,200.10927,115.993805,,,,,,,
176.65385,81.180885,-153.65211,199.26486,187.68655,108.048,,,,,,,
178.65881,83.07199,-157.35568,202.44073,190.21841,109.235664,,,,,,,
177.73703,84.18254,-158.01437,201.20847,189.16925,109.067665,,,,,,,
186.94582,92.17047,-167.89226,212.05507,201.4634,115.00273,,,,,,,
188.43465,96.21863,-171.38382,214.3082,206.26863,115.76661,,,,,,,
183.18927,95.10432,-167.28827,208.96718,203.0053,112.51218,,,,,,,
184.54967,95.93476,-168.04184,209.58113,206.17737,113.69038,,,,,,,
185.1549,94.90474,-167.59586,209.07591,207.44777,114.69602,,,,,,,
191.97913,95.23003,-170.61328,213.977,213.21051,118.81933,,,,,,,
191.19212,91.72135,-167.58586,211.54532,211.41885,117.938385,,,,,,,
188.78317,89.5328,-164.96237,207.8505,207.49448,115.96298,,,,,,,
191.75572,90.60178,-166.38712,210.06886,208.68344,117.77622,,,,,,,
193.16406,93.029144,-168.6756,212.05995,209.2062,118.607285,,,,,,,
187.72739,93.80085,-166.5045,207.22829,203.18886,115.04683,,,,,,,
179.3358,91.19945,-161.19789,199.5753,194.85136,110.0565,,,,,,,
181.86577,92.4075,-163.28375,202.77736,197.64417,111.99902,,,,,,,
186.0149,93.76487,-166.5224,208.1779,203.43149,114.503174,,,,,,,
177.44919,87.96057,-157.46815,199.02034,195.12704,108.94998,,,,,,,
179.35991,87.569984,-157.26314,200.75233,197.43214,110.24527,,,,,,,
176.99036,86.095375,-155.25525,198.72777,195.61111,108.85767,,,,,,,
184.69034,91.342255,-164.16548,208.86519,205.27559,113.82679,,,,,,,
187.39885,94.27442,-168.00102,212.23991,206.95203,115.880005,,,,,,,
168.63269,84.77199,-151.25844,190.697,184.10262,104.120155,,,,,,,
180.97003,89.23267,-161.06897,203.11296,195.02643,111.52444,,,,,,,
191.55376,92.91711,-168.87315,213.5147,205.41928,117.69343,,,,,,,
182.42224,88.56649,-160.15427,202.83038,197.18126,111.80085,,,,,,,
175.91904,87.1266,-155.74226,196.10449,193.54518,108.01215,,,,,,,
170.92433,85.72071,-152.89944,191.59616,190.73337,105.33058,,,,,,,
166.35703,83.28591,-149.55249,186.1906,186.1385,103.033134,,,,,,,
171.24855,85.19855,-153.85315,190.84502,189.90512,106.75955,,,,,,,
178.08444,87.41893,-158.1109,196.80922,193.98723,110.52598,,,,,,,
184.1494,90.113655,-162.01099,202.46414,198.15712,113.4531,,,,,,,
188.6039,92.95138,-165.58963,206.77263,201.85983,115.38091,,,,,,,
192.81747,95.42398,-170.38876,212.26228,207.94888,117.01179,,,,,,,
188.21333,92.61031,-167.30324,208.94997,206.12122,114.221245,,,,,,,
187.3049,92.00793,-166.89778,208.85059,207.35027,114.579834,,,,,,,
