CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,0.31,0.65,1.25,-0.036,0.026,0.003,,0.512113319
0.0008,-0.2,0.26,1.27,-0.015,0.01,0.002,,
0.0017,-0.68,0.08,1.21,-0.012,-0.01,-0.004,,
0.0025,-0.77,-0.11,1.11,-0.01,-0.022,-0.008,,
0.0033,-0.45,-0.1,0.91,-0.011,-0.013,-0.01,,
0.0042,0.26,-0.19,0.73,-0.011,0.017,-0.01,,
0.005,0.69,-0.11,-0.12,-0.008,0.066,-0.007,,
0.0058,0.51,0.04,-0.12,-0.005,0.061,-0.01,,
0.0067,0.05,0.09,-0.1,-0.007,0.037,-0.007,,
0.0075,-0.5,0.04,-0.12,-0.007,0.005,-0.007,,
0.0083,-0.81,0.01,-0.12,-0.01,-0.013,-0.009,,
0.0092,-0.83,0.05,0.01,-0.013,-0.015,-0.01,,
0.01,-0.58,0.16,0.15,-0.011,-0.008,-0.007,,
0.0108,-0.37,0.15,0.11,-0.003,0.001,-0.006,,
0.0117,-0.26,-0.07,0.05,0.009,0.003,-0.002,,
0.0125,-0.22,-0.28,0.03,0.013,0.003,-0.002,,
0.0133,-0.2,-0.37,0.26,0.006,0.003,-0.006,,
0.0142,-0.31,-0.27,0.42,-0.01,0.002,-0.007,,
0.015,-0.27,0.18,0.49,-0.029,0.007,-0.008,,
0.0158,-0.1,0.42,0.65,-0.04,0.014,-0.008,,
0.0167,0.01,0.57,0.83,-0.042,0.015,-0.003,,
0.0175,0.03,0.54,0.89,-0.041,0.015,-0.004,,
0.0183,0.03,0.43,0.77,-0.04,0.011,-0.004,,
0.0192,0.16,0.34,0.49,-0.037,0.004,-0.003,,
0.02,0.19,0.22,0.43,-0.023,-0.013,-0.002,,
0.0208,-0.2,-0.04,0.58,-0.006,-0.039,0,,
0.0217,-0.47,-0.29,0.65,0.007,-0.049,0.001,,
0.0225,-0.37,-0.31,0.83,0.006,-0.042,-0.001,,
0.0233,0.05,-0.17,0.72,-0.005,-0.026,-0.004,,
0.0242,0.54,0.05,0.88,-0.016,-0.018,0.001,,
0.025,0.47,0.25,0.85,-0.021,-0.028,0.003,,
0.0258,0.17,0.35,0.45,-0.026,-0.045,0.003,,
0.0267,-0.15,0.11,0.49,-0.02,-0.063,0.006,,
0.0275,-0.42,-0.13,0.52,-0.016,-0.066,0.007,,
0.0283,-0.24,0.15,0.58,-0.024,-0.05,0.002,,
0.0292,0.18,0.45,0.7,-0.034,-0.034,0.005,,
0.03,0.55,0.42,0.9,-0.037,-0.028,0.005,,
0.0308,0.44,0.25,1.09,-0.03,-0.038,0.001,,
0.0317,0.03,-0.09,1.06,-0.014,-0.054,0,,
0.0325,-0.24,-0.36,1.15,0.002,-0.061,-0.003,,
0.0333,-0.31,-0.52,1.18,0.021,-0.063,-0.003,,
0.0342,-0.28,-0.52,1.16,0.024,-0.058,-0.001,,
0.035,-0.1,-0.18,0.97,0.013,-0.05,-0.002,,
0.0358,-0.09,0.16,0.55,-0.004,-0.049,-0.001,,
0.0367,0.01,0.14,0.39,-0.013,-0.047,0.001,,
0.0375,0.15,-0.12,0.57,-0.011,-0.044,-0.002,,
0.0383,0.13,-0.1,0.85,-0.008,-0.045,-0.003,,
0.0392,-0.06,0.08,0.67,-0.012,-0.052,0.002,,
0.04,-0.18,0.12,0.49,-0.015,-0.06,-0.001,,
0.0408,-0.23,0.02,0.27,-0.008,-0.066,-0.005,,
0.0417,-0.28,-0.4,0.3,0.005,-0.069,-0.004,,
0.0425,-0.31,-0.54,0.31,0.01,-0.063,-0.007,,
0.0433,-0.22,-0.22,0.52,-0.002,-0.052,-0.004,,
0.0442,-0.2,0.27,0.4,-0.023,-0.045,-0.002,,
0.045,-0.1,0.43,0.41,-0.035,-0.038,-0.004,,
0.0458,-0.01,0.26,0.56,-0.028,-0.029,-0.004,,
0.0467,0,-0.02,0.5,-0.018,-0.021,-0.003,,
0.0475,0.13,-0.18,0.48,-0.01,-0.015,-0.003,,
0.0483,0.11,-0.12,0.28,-0.009,-0.019,0,,
0.0492,-0.1,-0.07,-0.15,-0.013,-0.031,0.002,,
0.05,-0.2,-0.19,-0.29,-0.015,-0.036,0,,
0.0508,-0.27,-0.09,-0.19,-0.019,-0.031,0,,
0.0517,-0.2,0.09,-0.13,-0.03,-0.017,0.004,,
0.0525,0.05,0.36,0.08,-0.039,-0.004,0.003,,
0.0533,0.09,0.33,0.18,-0.041,0,0.002,,
0.0542,-0.04,0.2,0.27,-0.041,-0.002,0.002,,
0.055,-0.27,0.19,0.39,-0.036,0.002,-0.001,,
0.0558,-0.24,0.1,0.63,-0.026,0.011,0,,
0.0567,-0.09,-0.04,0.65,-0.012,0.02,0.002,,
0.0575,0.04,-0.26,0.33,-0.003,0.022,0.002,,
0.0583,0.04,-0.4,0.01,-0.004,0.019,0.002,,
0.0592,-0.13,-0.35,-0.21,-0.017,0.009,0.005,,
0.06,-0.27,-0.1,-0.2,-0.033,0.007,0.003,,
0.0608,-0.24,0.21,-0.07,-0.051,0.014,0.003,,
0.0617,-0.1,0.49,0.11,-0.065,0.026,0.002,,
0.0625,0.02,0.78,0.5,-0.071,0.038,-0.002,,
0.0633,0.08,0.7,0.92,-0.067,0.042,-0.002,,
0.0642,0.01,0.41,1.01,-0.059,0.041,-0.003,,
0.065,-0.03,0.11,0.83,-0.049,0.041,-0.004,,
0.0658,0.01,-0.09,0.45,-0.04,0.043,-0.002,,
0.0667,0.07,-0.14,0.31,-0.034,0.051,-0.001,,
0.0675,0.26,-0.08,0.29,-0.035,0.057,-0.001,,
0.0683,0.33,-0.02,0.35,-0.045,0.056,0.003,,
0.0692,0.23,0.19,0.24,-0.064,0.049,0.004,,
0.07,0.08,0.6,0.36,-0.078,0.045,0.004,,
0.0708,0.06,0.68,0.86,-0.08,0.044,0.005,,
0.0717,0.16,0.58,1.16,-0.076,0.048,0.004,,
0.0725,0.27,0.46,1.2,-0.067,0.045,0.003,,
0.0733,0.18,0.18,1.03,-0.052,0.031,0.003,,
0.0742,-0.06,-0.07,0.77,-0.037,0.017,0.004,,
0.075,-0.23,-0.26,0.42,-0.024,0.007,0.003,,
0.0758,-0.32,-0.4,0.13,-0.019,0.004,0.001,,
0.0767,-0.24,-0.3,-0.16,-0.023,0.016,0.001,,
0.0775,-0.01,-0.12,-0.17,-0.034,0.03,0.002,,
0.0783,0.19,0.13,-0.12,-0.046,0.032,0.002,,
0.0792,0.07,0.27,-0.1,-0.056,0.027,0,,
0.08,-0.15,0.38,0.06,-0.059,0.026,0.003,,
0.0808,-0.08,0.29,0.11,-0.057,0.033,0.002,,
0.0817,0.08,0.22,0.07,-0.053,0.036,0.004,,
0.0825,0.23,0.03,-0.1,-0.047,0.033,0.003,,
0.0833,0.13,-0.05,-0.11,-0.046,0.02,0.006,,
0.0842,-0.05,-0.08,-0.08,-0.043,0.011,0.005,,
0.085,-0.17,-0.13,0.29,-0.042,0.01,0.005,,
0.0858,0.21,0.02,0.41,-0.049,0.018,0.003,,
0.0867,0.26,0.22,0.98,-0.062,0.017,0.007,,
