CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,-0.29,0.05,0.77,-0.006,-0.015,-0.002,,0.562737795
0.0008,-0.42,0.05,0.55,-0.009,-0.007,-0.002,,
0.0017,-0.42,0.12,0.2,-0.013,0.007,-0.004,,
0.0025,-0.18,0.11,0.26,-0.011,0.027,-0.003,,
0.0033,0.19,0.08,0.53,-0.012,0.045,-0.003,,
0.0042,0.37,0.1,0.83,-0.016,0.049,-0.005,,
0.005,0.18,0.04,0.94,-0.021,0.042,-0.004,,
0.0058,-0.23,0.27,0.83,-0.026,0.025,-0.002,,
0.0067,-0.52,0.31,0.64,-0.018,0.015,-0.007,,
0.0075,-0.51,0.12,0.64,-0.009,0.026,-0.005,,
0.0083,-0.15,0.04,0.5,0.001,0.041,0,,
0.0092,0.2,0.06,-0.12,0.005,0.054,-0.004,,
0.01,0.26,-0.05,-0.92,0.014,0.049,0,,
0.0108,0.05,-0.31,-0.67,0.016,0.035,0.006,,
0.0117,-0.06,-0.5,-0.68,0.013,0.03,0.003,,
0.0125,-0.13,-0.33,-0.48,0.007,0.027,0.005,,
0.0133,-0.16,-0.04,0.01,-0.007,0.024,0.006,,
0.0142,-0.17,0.33,0.31,-0.016,0.024,0.002,,
0.015,-0.24,0.49,0.4,-0.017,0.026,0.003,,
0.0158,-0.07,0.37,0.34,-0.013,0.033,0.007,,
0.0167,0.1,0.09,0.13,-0.01,0.04,0.006,,
0.0175,0.2,-0.17,0.09,-0.009,0.051,0.002,,
0.0183,0.34,-0.1,0.25,-0.015,0.062,0.001,,
0.0192,0.45,0.07,0.23,-0.017,0.071,-0.001,,
0.02,0.42,0.24,0.48,-0.016,0.07,0.001,,
0.0208,0.29,0.07,0.9,-0.005,0.064,0.003,,
0.0217,0.04,0.02,1.12,-0.002,0.054,0.001,,
0.0225,-0.11,0.04,0.95,-0.004,0.049,-0.004,,
0.0233,-0.16,0.05,0.72,-0.009,0.045,-0.002,,
0.0242,0.06,0.06,0.52,-0.01,0.052,0,,
0.025,0.51,0.02,0.78,-0.005,0.059,-0.001,,
0.0258,0.52,-0.12,0.91,0.004,0.05,0.004,,
0.0267,0.18,-0.05,0.66,0.004,0.031,0,,
0.0275,-0.14,0.06,0.32,0.004,0.012,0,,
0.0283,-0.42,0.04,0.11,0.016,-0.009,0.001,,
0.0292,-0.64,-0.36,0.12,0.033,-0.016,0.004,,
0.03,-0.47,-0.74,0.58,0.041,-0.004,0.001,,
0.0308,-0.18,-0.77,0.45,0.029,0.018,-0.006,,
0.0317,0.28,-0.22,0.07,0.003,0.035,-0.004,,
0.0325,0.6,0.2,0.4,-0.008,0.032,0.002,,
0.0333,0.27,0.16,0.77,-0.002,0.013,0.003,,
0.0342,-0.32,0.01,1.04,-0.003,-0.005,-0.002,,
0.035,-0.64,-0.13,1.36,-0.007,-0.014,-0.003,,
0.0358,-0.62,0.03,1.4,-0.007,-0.012,-0.006,,
0.0367,-0.41,0.15,1.31,-0.009,0.003,-0.007,,
0.0375,0.11,0.15,1.34,-0.006,0.02,-0.001,,
0.0383,0.33,0.02,1.13,-0.002,0.031,-0.008,,
0.0392,0.34,-0.18,0.95,0,0.035,-0.002,,
0.04,0.38,-0.15,1,0.005,0.029,0.002,,
0.0408,0.26,-0.13,0.96,0.015,0.021,-0.004,,
0.0417,0.2,-0.43,1.26,0.032,0.012,0.002,,
0.0425,0.02,-0.58,1.56,0.034,0.001,-0.001,,
0.0433,-0.05,-0.54,1.6,0.019,-0.002,-0.009,,
0.0442,-0.06,-0.1,1.29,-0.01,-0.007,-0.007,,
0.045,0.2,0.4,0.66,-0.028,-0.008,-0.001,,
0.0458,0.26,0.6,0.67,-0.033,-0.018,-0.003,,
0.0467,0.11,0.24,0.91,-0.025,-0.021,0.001,,
0.0475,0,0.06,1.07,-0.01,-0.021,0,,
0.0483,-0.16,-0.1,0.69,0.004,-0.022,-0.003,,
0.0492,-0.12,-0.24,0.25,0.012,-0.02,-0.003,,
0.05,0.08,-0.51,0.11,0.026,-0.014,-0.005,,
0.0508,0.09,-0.61,0.14,0.028,-0.004,-0.004,,
0.0517,0.36,-0.66,0.45,0.018,0.012,-0.002,,
0.0525,0.61,-0.01,0.72,-0.008,0.02,-0.003,,
0.0533,0.4,0.6,0.68,-0.036,0.009,-0.004,,
0.0542,0.07,0.7,0.93,-0.045,-0.012,-0.005,,
0.055,-0.2,0.44,1.08,-0.038,-0.028,-0.009,,
0.0558,-0.55,0.13,1.1,-0.024,-0.041,-0.011,,
0.0567,-0.76,-0.01,0.89,-0.014,-0.04,-0.01,,
0.0575,-0.4,-0.04,0.39,-0.009,-0.022,-0.01,,
0.0583,0.21,-0.16,-0.15,-0.003,-0.008,-0.009,,
0.0592,0.39,-0.37,-0.43,0,-0.01,-0.005,,
0.06,0.2,-0.24,-0.58,-0.003,-0.018,-0.007,,
0.0608,-0.03,-0.15,-0.43,-0.005,-0.028,-0.005,,
0.0617,-0.28,-0.06,-0.32,-0.008,-0.04,-0.004,,
0.0625,-0.43,0.15,-0.43,-0.014,-0.045,-0.006,,
0.0633,-0.4,0.19,-0.31,-0.016,-0.04,-0.004,,
0.0642,-0.25,0.24,-0.26,-0.023,-0.033,-0.005,,
0.065,0.01,0.2,-0.41,-0.026,-0.028,-0.004,,
0.0658,0.11,-0.01,-0.46,-0.023,-0.03,-0.004,,
0.0667,0.09,-0.14,-0.39,-0.014,-0.037,-0.004,,
0.0675,-0.11,-0.28,-0.26,-0.006,-0.047,-0.003,,
0.0683,-0.36,-0.27,0.05,-0.007,-0.055,-0.003,,
0.0692,-0.43,-0.05,0.31,-0.016,-0.055,-0.004,,
0.07,-0.51,0.35,0.29,-0.031,-0.054,-0.005,,
0.0708,-0.35,0.44,0.42,-0.04,-0.044,-0.006,,
0.0717,-0.16,0.44,0.42,-0.042,-0.038,-0.006,,
0.0725,-0.06,0.06,0.76,-0.036,-0.034,-0.008,,
0.0733,-0.2,0.06,0.93,-0.032,-0.035,-0.009,,
0.0742,-0.36,0.14,0.87,-0.036,-0.035,-0.01,,
0.075,-0.28,0.22,0.74,-0.032,-0.036,-0.008,,
0.0758,-0.22,0.16,0.63,-0.027,-0.036,-0.008,,
0.0767,-0.05,0.02,0.83,-0.016,-0.036,-0.003,,
0.0775,-0.13,-0.08,0.63,-0.005,-0.042,-0.006,,
0.0783,-0.19,-0.27,0.59,0.009,-0.045,-0.009,,
0.0792,-0.08,-0.56,0.26,0.007,-0.054,0.001,,
0.08,-0.1,-0.42,-0.13,-0.004,-0.059,0.001,,
0.0808,-0.19,-0.02,0.1,-0.014,-0.056,0.001,,
0.0817,-0.11,0.21,0.79,-0.018,-0.042,0.003,,
0.0825,0.14,0.31,1.32,-0.016,-0.025,0.001,,
0.0833,0.41,0.15,1.53,-0.013,-0.013,0.001,,
0.0842,0.48,-0.02,1.34,-0.009,-0.015,0,,
0.085,0.29,-0.2,1.11,-0.006,-0.026,0.001,,
0.0858,0.11,-0.36,0.94,-0.006,-0.034,0,,
