CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,-0.12,-0.75,-0.04,0.054,0.01,-0.001,,0.610654288
0.0008,-0.39,-0.51,0.26,0.049,-0.006,0.002,,
0.0017,-0.5,-0.1,0.64,0.034,-0.017,0.002,,
0.0025,-0.59,0.16,0.86,0.023,-0.022,-0.002,,
0.0033,-0.56,0.14,1.1,0.017,-0.02,-0.003,,
0.0042,-0.46,0.04,1.05,0.017,-0.01,-0.006,,
0.005,-0.32,-0.01,0.7,0.015,0.004,-0.005,,
0.0058,0.03,-0.07,0.67,0.012,0.023,-0.007,,
0.0067,0.22,0.05,0.61,0.011,0.041,-0.012,,
0.0075,0.33,-0.05,0.35,0.014,0.055,-0.01,,
0.0083,0.23,-0.32,0.43,0.022,0.053,-0.011,,
0.0092,-0.01,-0.31,0.58,0.025,0.046,-0.014,,
0.01,-0.19,0.1,0.67,0.014,0.047,-0.013,,
0.0108,-0.09,0.45,0.74,0.002,0.056,-0.013,,
0.0117,0.26,0.37,0.81,0.005,0.075,-0.015,,
0.0125,0.47,-0.09,0.87,0.019,0.086,-0.011,,
0.0133,0.45,-0.48,0.71,0.032,0.079,-0.009,,
0.0142,0.28,-0.52,0.19,0.032,0.061,-0.004,,
0.015,0.21,-0.24,-0.08,0.016,0.04,-0.002,,
0.0158,-0.11,0.23,-0.01,-0.007,0.019,-0.003,,
0.0167,-0.29,0.48,0.29,-0.021,0.012,0,,
0.0175,-0.3,0.54,0.69,-0.02,0.01,0,,
0.0183,-0.2,0.54,0.88,-0.014,0.02,0,,
0.0192,0.11,0.37,0.44,0.001,0.03,-0.001,,
0.02,0.35,-0.16,0.13,0.024,0.033,-0.003,,
0.0208,0.45,-0.59,-0.07,0.038,0.034,-0.002,,
0.0217,0.33,-0.57,-0.4,0.035,0.028,-0.003,,
0.0225,0.21,-0.5,-0.15,0.029,0.022,-0.005,,
0.0233,0.15,-0.38,0.66,0.028,0.019,-0.008,,
0.0242,0.08,-0.11,1.38,0.017,0.022,-0.004,,
0.025,0.25,0.27,1.54,0.002,0.03,-0.007,,
0.0258,0.28,0.59,1.17,-0.011,0.034,-0.007,,
0.0267,0.39,0.35,1.04,-0.006,0.036,-0.008,,
0.0275,0.59,-0.06,1.07,0.009,0.04,-0.01,,
0.0283,0.64,-0.35,0.69,0.027,0.039,-0.008,,
0.0292,0.4,-0.53,0.43,0.034,0.028,-0.004,,
0.03,0.25,-0.58,0.91,0.038,0.012,-0.006,,
0.0308,-0.02,-0.38,1.21,0.034,-0.007,0.001,,
0.0317,-0.32,-0.1,1.34,0.021,-0.026,0.001,,
0.0325,-0.39,0.15,1.09,0.016,-0.034,0.001,,
0.0333,-0.59,0.29,0.25,0.021,-0.04,0.002,,
0.0342,-0.62,-0.26,0.12,0.029,-0.036,0.005,,
0.035,-0.27,-0.8,0.44,0.042,-0.021,0.006,,
0.0358,-0.26,-0.65,0.35,0.018,-0.004,0.013,,
0.0367,0.21,-0.12,0.56,-0.023,0.017,0.009,,
0.0375,0.32,0.81,0.53,-0.052,0.016,0.011,,
0.0383,0.01,1.18,0.23,-0.052,-0.002,0.017,,
0.0392,-0.44,0.63,0.65,-0.026,-0.026,0.011,,
0.04,-0.88,-0.23,1.46,0.012,-0.04,0.008,,
0.0408,-1.12,-0.44,1.66,0.028,-0.039,0.008,,
0.0417,-0.73,-0.47,1.28,0.033,-0.02,0.001,,
0.0425,0.05,-0.53,0.82,0.037,0.004,0.004,,
0.0433,0.5,-0.62,0.42,0.037,0.022,0.009,,
0.0442,0.5,-0.58,0.47,0.032,0.024,0.005,,
0.045,0.22,-0.33,0.77,0.026,0.02,0.006,,
0.0458,0.01,-0.15,0.85,0.021,0.006,0.006,,
0.0467,-0.18,0.06,1.2,0.022,-0.005,0.003,,
0.0475,-0.24,0.2,0.25,-0.004,-0.02,0.005,,
0.0483,-0.14,0.22,0.23,0,-0.021,0.005,,
0.0492,0.1,0.08,0.29,0.013,-0.012,0.003,,
0.05,0.38,-0.41,0.15,0.028,-0.009,0.007,,
0.0508,0.37,-0.66,0.02,0.034,-0.016,0.008,,
0.0517,0.12,-0.54,0.09,0.031,-0.023,0.009,,
0.0525,-0.02,-0.38,0.27,0.03,-0.031,0.009,,
0.0533,-0.14,-0.25,0.54,0.027,-0.038,0.007,,
0.0542,-0.12,-0.36,0.59,0.02,-0.042,0.01,,
0.055,-0.06,-0.28,0.37,0.007,-0.047,0.008,,
0.0558,-0.21,0.02,0.63,-0.001,-0.048,0.009,,
0.0567,-0.19,0.09,0.91,-0.003,-0.042,0.01,,
0.0575,0.06,0,1.02,0.006,-0.035,0.011,,
0.0583,0.28,-0.23,1.04,0.015,-0.025,0.013,,
0.0592,0.27,-0.39,0.76,0.021,-0.02,0.009,,
0.06,0.03,-0.36,0.45,0.012,-0.033,0.006,,
0.0608,-0.22,-0.16,0.36,-0.002,-0.046,0.006,,
0.0617,-0.26,-0.02,0.49,-0.008,-0.056,0.006,,
0.0625,-0.26,0.05,0.82,-0.008,-0.062,0.009,,
0.0633,-0.15,0.05,0.99,-0.009,-0.053,0.01,,
0.0642,-0.01,0.02,1.07,-0.01,-0.042,0.009,,
0.065,0.13,0.12,1.03,-0.014,-0.03,0.01,,
0.0658,0.28,0.04,0.85,-0.006,-0.022,0.011,,
0.0667,0.4,-0.14,0.94,0.002,-0.012,0.013,,
0.0675,0.41,-0.28,0.79,0.004,-0.008,0.01,,
0.0683,0.29,-0.14,0.72,-0.001,-0.008,0.008,,
0.0692,0.2,0.03,0.63,-0.004,-0.014,0.006,,
0.07,0.05,0.13,0.73,-0.005,-0.024,0.007,,
0.0708,-0.12,-0.01,0.47,-0.004,-0.027,0.005,,
0.0717,-0.2,-0.08,0.61,-0.007,-0.028,0.005,,
0.0725,-0.18,-0.11,0.44,-0.009,-0.017,0.005,,
0.0733,0.17,0.13,0.4,-0.013,-0.002,0.002,,
0.0742,0.24,0.17,0.33,-0.016,0.009,0.003,,
0.075,0.13,0.2,0.29,-0.016,0.01,0.004,,
0.0758,0.15,0.11,0.51,-0.015,0.014,0.003,,
0.0767,0.06,0.12,0.49,-0.021,0.012,-0.002,,
0.0775,0.01,0.18,0.48,-0.024,0.009,0.002,,
0.0783,-0.05,0.27,0.63,-0.019,0.001,0,,
0.0792,-0.38,0.16,0.66,-0.015,-0.009,-0.001,,
0.08,-0.57,0.1,0.52,-0.007,-0.012,0.001,,
0.0808,-0.4,0.08,0.64,0.001,-0.003,0,,
0.0817,-0.19,0.02,0.49,0.005,0.012,0,,
0.0825,0.03,0.07,0.31,0.005,0.025,0.003,,
0.0833,0.11,0.04,0.24,0.011,0.031,0.003,,
0.0842,0.09,-0.27,0.56,0.022,0.033,0.001,,
0.085,-0.08,-0.43,0.49,0.035,0.03,0.005,,
0.0858,-0.06,-0.55,0.44,0.044,0.032,0.001,,
0.0867,-0.06,-0.42,0.26,0.047,0.031,0.001,,
0.0875,-0.03,-0.3,0.26,0.043,0.029,0.003,,
0.0883,-0.15,-0.18,0.25,0.039,0.017,0.001,,
