CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0.0783,0.72,-0.34,1.41,0.045,0.044,-0.002,,
0.0792,0.36,-0.41,0.95,0.059,0.028,0,,
0.08,0.08,-0.46,0.32,0.063,0.01,-0.004,,
0.0808,0.24,-0.62,-0.02,0.068,0.006,-0.004,,
0.0817,0.34,-0.65,0.36,0.069,0.006,-0.007,,
0.0825,0.27,-0.51,0.42,0.071,0.004,-0.005,,
0.0833,0.11,-0.34,0.56,0.065,-0.003,-0.006,,
0.0842,-0.01,-0.17,0.35,0.061,-0.01,-0.004,,
0.085,-0.11,-0.2,0.57,0.056,-0.014,-0.007,,
0.0858,-0.16,-0.32,0.51,0.063,-0.017,-0.004,,
0.0867,-0.15,-0.53,0.87,0.068,-0.012,-0.006,,
0.0875,0.12,-0.56,0.64,0.067,-0.01,-0.002,,
0.0883,0.09,-0.37,0.62,0.063,-0.008,-0.001,,
0.0892,0.2,-0.28,0.66,0.062,-0.006,0.004,,
0.09,0.24,-0.32,1.05,0.059,-0.006,0.004,,
0.0908,0.18,-0.41,0.97,0.058,-0.005,0.005,,
0.0917,0.23,-0.46,1.07,0.052,-0.004,0.001,,
0.0925,0.2,-0.39,0.91,0.044,-0.006,0.005,,
0.0933,0.29,-0.18,0.8,0.031,-0.005,0.004,,
0.0942,0.23,-0.05,0.99,0.023,-0.005,0.003,,
0.095,0.33,0.07,1.07,0.013,-0.003,-0.001,,
0.0958,0.15,0.2,1.05,0.003,-0.004,-0.003,,
0.0967,0.01,0.29,0.81,0.004,-0.005,-0.005,,
0.0975,-0.04,0.3,0.7,0.001,-0.005,-0.008,,
0.0983,-0.04,0.24,0.69,0.005,-0.004,-0.01,,
0.0992,-0.11,0.29,0.47,0.004,-0.008,-0.016,,
0.1,-0.15,0.24,0.25,0.008,-0.004,-0.009,,
0.1008,-0.07,0.07,0.29,0.022,-0.002,-0.004,,
0.1017,-0.07,-0.16,0.43,0.035,0.005,-0.002,,
0.1025,0.17,-0.23,0.3,0.041,0.018,-0.004,,
0.1033,0.46,-0.3,0.3,0.047,0.03,0.001,,
0.1042,0.63,-0.47,0.17,0.058,0.038,0.007,,
0.105,0.63,-0.58,0.17,0.068,0.035,0.009,,
0.1058,0.34,-0.7,0.29,0.07,0.029,0.007,,
0.1067,0.07,-0.7,0.37,0.061,0.016,0.003,,
0.1075,-0.2,-0.47,0.56,0.046,0.005,0.009,,
0.1083,-0.36,-0.19,0.89,0.034,-0.007,0.006,,
0.1092,-0.47,-0.13,1.08,0.029,-0.015,0.005,,
0.11,-0.7,-0.07,1.09,0.023,-0.022,0.002,,
0.1108,-0.87,-0.2,1.21,0.017,-0.024,0.003,,
0.1117,-0.97,-0.11,1.18,0.004,-0.02,0.001,,
0.1125,-0.79,0.13,0.9,-0.007,-0.008,0.002,,
0.1133,-0.54,0.22,0.62,-0.009,0.002,0.002,,
0.1142,-0.43,0.26,0.54,-0.009,0.009,0.002,,
0.115,-0.34,0.16,0.73,-0.006,0.012,-0.001,,
0.1158,-0.33,0.22,1.07,-0.008,0.017,0,,
0.1167,-0.23,0.3,1.18,-0.007,0.021,0,,
0.1175,-0.23,0.43,1.29,-0.007,0.022,0.004,,
0.1183,-0.16,0.38,1.24,0.001,0.027,0.006,,
0.1192,0.14,0.22,0.89,0.015,0.039,0.007,,
0.12,0.53,-0.22,0.78,0.044,0.049,0.008,,
0.1208,0.72,-0.77,0.31,0.069,0.056,0.007,,
0.1217,0.87,-1.09,0.03,0.081,0.057,0.004,,
0.1225,0.71,-1.12,0.09,0.079,0.046,-0.002,,
0.1233,0.39,-0.79,0.22,0.067,0.028,-0.01,,
0.1242,0.13,-0.44,0.65,0.053,0.011,-0.011,,
0.125,-0.15,-0.12,1.08,0.043,-0.001,-0.011,,
0.1258,-0.32,0.1,1.23,0.036,-0.005,-0.014,,
0.1267,-0.21,0.12,1.39,0.035,-0.001,-0.016,,
0.1275,0,-0.08,1.04,0.041,0.007,-0.017,,
0.1283,0.22,-0.46,0.48,0.049,0.015,-0.01,,
0.1292,0.42,-0.64,0.08,0.05,0.033,-0.006,,
0.13,0.77,-0.67,-0.21,0.05,0.048,-0.01,,
0.1308,0.88,-0.54,0.09,0.047,0.054,-0.007,,
0.1317,0.8,-0.4,0.27,0.043,0.053,-0.004,,
0.1325,0.48,-0.14,0.48,0.033,0.04,-0.003,,
0.1333,0.12,0.03,0.48,0.028,0.025,-0.007,,
0.1342,-0.15,0.09,0.66,0.027,0.005,-0.005,,
0.135,-0.36,-0.08,0.59,0.032,-0.003,-0.002,,
0.1358,-0.35,-0.25,0.48,0.035,-0.005,-0.001,,
0.1367,-0.27,-0.45,0.39,0.037,0.001,-0.001,,
0.1375,-0.12,-0.51,0.47,0.034,0.01,-0.001,,
0.1383,-0.02,-0.35,0.39,0.027,0.017,0.001,,
0.1392,-0.03,-0.19,0.35,0.02,0.022,0.003,,
0.14,0.01,-0.18,0.66,0.015,0.031,0.005,,
0.1408,-0.02,-0.06,0.89,0.011,0.036,0.004,,
0.1417,0.02,-0.01,0.73,0.011,0.043,0.006,,
0.1425,0.17,-0.01,0.91,0.012,0.048,0.009,,
0.1433,0.28,-0.18,0.83,0.017,0.056,0.007,,
0.1442,0.35,-0.25,0.76,0.016,0.06,0.005,,
0.145,0.34,-0.26,0.85,0.014,0.061,0.003,,
0.1458,0.1,-0.15,0.9,0.008,0.056,-0.001,,
0.1467,-0.07,0.01,0.89,0.004,0.055,-0.003,,
0.1475,0.02,0.04,1.3,0.004,0.06,-0.002,,
0.1483,0.09,0.06,1.27,0.005,0.067,-0.001,,
0.1492,0.19,0.12,1.18,0.006,0.073,0.001,,
0.15,0.34,0.03,0.98,0.009,0.083,0,,
0.1508,0.5,-0.08,0.67,0.014,0.089,0.001,,
0.1517,0.56,-0.26,0.53,0.021,0.092,0.003,,
0.1525,0.55,-0.49,0.8,0.024,0.093,0.002,,
0.1533,0.36,-0.31,0.9,0.014,0.088,-0.004,,
0.1542,0.21,0,0.63,0.006,0.077,-0.006,,
0.155,0.03,0.22,0.84,0.001,0.061,-0.003,,
0.1558,-0.26,0.29,0.5,-0.001,0.045,-0.007,,
0.1567,-0.36,0.17,0.74,0.002,0.033,-0.006,,
0.1575,-0.46,-0.01,0.9,0.003,0.027,-0.01,,
0.1583,-0.45,0.06,0.5,0.002,0.026,-0.006,,
0.1592,-0.32,0.02,0.34,0.001,0.029,-0.006,,
0.16,-0.16,0,0.34,0.004,0.032,-0.008,,
0.1608,-0.06,0.15,0.59,0.005,0.035,-0.007,,
0.1617,0.03,0.22,0.53,0.003,0.041,-0.007,,
0.1625,0.12,0.08,0.46,0.009,0.042,-0.003,,
0.1633,0.05,-0.02,0.68,0.015,0.034,-0.006,,
0.1642,-0.09,-0.07,0.18,0.026,0.029,-0.007,,
0.165,-0.13,-0.42,-0.15,0.036,0.021,-0.005,,
0.1658,-0.04,-0.69,0.04,0.047,0.014,-0.007,,
0.1667,-0.16,-0.49,0.01,0.046,0.007,-0.008,,
0.1675,-0.22,-0.16,0.16,0.037,0.001,-0.004,,
0.1683,-0.22,0.15,0.35,0.027,-0.002,-0.002,,
0.1692,-0.06,0.23,0.5,0.024,-0.001,0,,
0.17,0.2,0.16,0.93,0.027,0.005,-0.005,,
0.1708,0.27,-0.02,0.71,0.035,0.011,-0.006,,
0.1717,0.37,-0.33,0.6,0.044,0.01,-0.001,,
0.1725,0.2,-0.4,0.16,0.049,0.006,-0.002,,
0.1733,0.13,-0.53,-0.36,0.052,0.001,-0.002,,
0.1742,0.2,-0.68,-0.05,0.054,0,-0.004,,
0.175,0.16,-0.57,0.04,0.056,-0.001,-0.003,,
0.1758,0.26,-0.3,0.46,0.047,-0.003,-0.001,,
0.1767,0.15,0.11,0.55,0.035,-0.004,-0.001,,
0.1775,0.27,0.31,0.99,0.024,-0.008,0.002,,
0.1783,0.05,0.46,0.87,0.018,-0.011,-0.003,,
0.1792,-0.04,0.05,0.77,0.023,-0.017,-0.002,,
0.18,-0.09,-0.34,0.99,0.037,-0.019,-0.004,,
0.1808,-0.04,-0.54,1.12,0.05,-0.021,-0.003,,
0.1817,-0.1,-0.55,0.92,0.058,-0.023,-0.001,,
0.1825,0.05,-0.65,0.86,0.064,-0.025,0.001,,
0.1833,0.11,-0.71,0.9,0.067,-0.025,0,,
0.1842,0.16,-0.64,1,0.064,-0.024,0.002,,
0.185,-0.06,-0.27,0.78,0.051,-0.029,0.003,,
0.1858,-0.19,0,0.59,0.036,-0.032,0.002,,
0.1867,-0.1,0.14,0.45,0.025,-0.026,0.001,,
0.1875,0.2,-0.05,0.64,0.02,-0.015,0.001,,
0.1883,0.53,-0.03,1.04,0.018,-0.002,0,,
0.1892,0.56,0.27,1.18,0.007,0.004,0,,
0.19,0.36,0.5,0.89,0.001,0.001,-0.002,,
0.1908,-0.12,0.22,0.61,0.006,-0.015,-0.004,,
0.1917,-0.32,-0.37,0.68,0.029,-0.027,-0.006,,
0.1925,-0.45,-0.57,0.53,0.043,-0.032,-0.009,,
0.1933,-0.32,-0.4,0.32,0.041,-0.027,-0.007,,
0.1942,0.09,0.05,0.22,0.028,-0.013,-0.003,,
0.195,0.16,0.28,-0.01,0.014,-0.003,-0.001,,
0.1958,0.28,-0.07,0.24,0.019,0.004,0.002,,
0.1967,0.15,-0.23,0.66,0.024,0.009,0.007,,
0.1975,0.02,-0.08,0.78,0.017,0.01,0.008,,
0.1983,0.12,0.25,0.37,0.01,0.011,0.004,,
0.1992,0.16,0.24,0.27,0.02,0.009,0.009,,
0.2,0.15,-0.13,0.27,0.033,0.003,0.009,,
