CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,0.53,0.67,0.39,-0.025,0.051,-0.005,,0.619770719
0.0008,0.83,0.37,0.71,-0.002,0.056,-0.007,,
0.0017,0.65,-0.43,0.74,0.025,0.05,-0.001,,
0.0025,0.5,-0.82,0.66,0.035,0.03,-0.003,,
0.0033,0.21,-0.78,0.25,0.03,0.008,-0.003,,
0.0042,-0.02,-0.35,0.38,0.021,-0.01,-0.003,,
0.005,-0.16,-0.2,0.9,0.017,-0.02,0,,
0.0058,-0.27,-0.13,1.19,0.014,-0.025,0.003,,
0.0067,-0.35,-0.02,1.17,0.006,-0.025,0.003,,
0.0075,-0.32,0.2,1.09,0.006,-0.016,0.002,,
0.0083,-0.35,0.04,1.08,0.02,-0.011,0.008,,
0.0092,-0.19,-0.45,0.62,0.04,-0.006,0.009,,
0.01,0.05,-0.84,0.25,0.039,-0.001,0.003,,
0.0108,0.01,-0.77,0.16,0.02,-0.001,0,,
0.0117,-0.23,-0.17,0.5,0.002,-0.002,0.001,,
0.0125,-0.44,0.19,1.31,0,0.003,0.001,,
0.0133,-0.37,0.16,1.54,0.003,0.017,0,,
0.0142,-0.22,0.22,1.54,0.006,0.032,-0.001,,
0.015,-0.08,0.01,1.43,0.015,0.038,0,,
0.0158,-0.06,-0.22,1.1,0.024,0.033,0.005,,
0.0167,0.05,-0.6,0.6,0.036,0.027,0.004,,
0.0175,0.22,-0.86,0.41,0.037,0.026,0.002,,
0.0183,0.25,-0.73,0.36,0.026,0.024,0.001,,
0.0192,0.2,-0.18,0.57,0.01,0.023,0.001,,
0.02,0.14,0.16,0.99,-0.002,0.019,0.003,,
0.0208,0.05,0.32,1.12,-0.01,0.018,0.002,,
0.0217,0.05,0.31,1.19,-0.011,0.025,0,,
0.0225,0.23,0.12,1.05,-0.008,0.036,-0.001,,
0.0233,0.41,-0.06,0.89,-0.006,0.046,-0.002,,
0.0242,0.57,-0.13,0.68,-0.006,0.052,-0.002,,
0.025,0.42,-0.12,0.55,-0.005,0.054,-0.002,,
0.0258,0.36,-0.07,1.08,-0.003,0.056,-0.002,,
0.0267,0.2,-0.06,1.12,-0.009,0.06,-0.005,,
0.0275,0.2,0.18,1.12,-0.018,0.067,-0.004,,
0.0283,0.35,0.36,1.18,-0.027,0.069,-0.005,,
0.0292,0.3,0.36,0.89,-0.031,0.061,-0.005,,
0.03,-0.02,0.29,0.68,-0.031,0.04,-0.001,,
0.0308,-0.27,0.12,0.41,-0.029,0.023,-0.002,,
0.0317,-0.4,0.14,0.11,-0.034,0.017,-0.003,,
0.0325,-0.37,0.34,0.26,-0.032,0.019,-0.002,,
0.0333,-0.14,0.35,0.36,-0.026,0.026,-0.001,,
0.0342,0.04,0.28,0.36,-0.024,0.035,0,,
0.035,0.1,0.35,0.4,-0.025,0.033,0.002,,
0.0358,0.04,0.33,0.04,-0.02,0.027,0.001,,
0.0367,-0.15,0.23,0.13,-0.004,0.018,0.002,,
0.0375,-0.24,-0.17,0.11,0.02,0.01,0.001,,
0.0383,-0.08,-0.51,-0.32,0.028,0.013,-0.003,,
0.0392,0.01,-0.32,-0.29,0.022,0.013,-0.005,,
0.04,0.14,-0.1,-0.09,0.019,0.01,-0.004,,
0.0408,0.08,0.01,0.13,0.015,0.007,-0.003,,
0.0417,-0.01,-0.08,0.31,0.018,-0.001,-0.005,,
0.0425,-0.01,-0.09,0.34,0.02,-0.004,-0.005,,
0.0433,-0.07,-0.06,0.54,0.022,-0.008,-0.006,,
0.0442,-0.12,-0.17,0.45,0.032,-0.01,-0.007,,
0.045,-0.07,-0.42,0.27,0.041,-0.01,-0.006,,
0.0458,-0.08,-0.6,0.01,0.05,-0.01,-0.005,,
0.0467,-0.03,-0.59,0.27,0.053,-0.005,-0.004,,
0.0475,0.12,-0.34,0.38,0.05,0.004,-0.001,,
0.0483,0.29,0.11,0.31,0.035,0.003,0.003,,
0.0492,0.07,-0.06,-0.52,0.052,-0.022,0.004,,
0.05,-0.27,-0.83,0.18,0.076,-0.044,0,,
0.0508,-0.54,-1.15,0.84,0.073,-0.057,0.004,,
0.0517,-0.63,-0.6,0.61,0.038,-0.061,0.009,,
0.0525,-0.53,0.22,0.3,0,-0.06,0.012,,
0.0533,-0.32,0.59,0.38,-0.009,-0.055,0.014,,
0.0542,-0.12,0.33,0.8,0,-0.04,0.007,,
0.055,0.12,0.06,1.2,0.012,-0.024,0,,
0.0558,0.16,-0.05,1.05,0.022,-0.024,0.005,,
0.0567,0.02,-0.19,0.58,0.033,-0.038,0.001,,
0.0575,-0.2,-0.54,0.39,0.049,-0.053,-0.008,,
0.0583,-0.46,-1.05,0.81,0.049,-0.053,-0.01,,
0.0592,-0.41,-0.67,1.29,0.016,-0.026,-0.014,,
0.06,-0.03,0.34,1.47,-0.022,0.007,-0.011,,
0.0608,0.39,0.96,1.5,-0.042,0.027,-0.006,,
0.0617,0.59,1.09,1.33,-0.037,0.035,-0.014,,
0.0625,0.51,0.66,1.22,-0.011,0.038,-0.015,,
0.0633,0.46,-0.08,1.09,0.02,0.035,-0.01,,
0.0642,0.38,-0.54,0.95,0.044,0.026,-0.01,,
0.065,0.4,-0.75,0.57,0.06,0.008,-0.003,,
0.0658,0.25,-0.77,0.11,0.058,-0.019,0.002,,
0.0667,-0.03,-0.71,0.41,0.048,-0.041,0.003,,
0.0675,-0.48,-0.2,0.99,0.025,-0.057,0.005,,
0.0683,-0.67,0.34,1.19,-0.001,-0.067,0.009,,
0.0692,-0.39,0.63,1.28,-0.011,-0.07,0.01,,
0.07,-0.37,0.59,0.92,0.003,-0.076,0.008,,
0.0708,-0.48,0.07,0.66,0.019,-0.081,0.005,,
0.0717,-0.46,-0.51,0.77,0.03,-0.073,0.004,,
0.0725,-0.48,-0.58,0.69,0.028,-0.056,0.003,,
0.0733,-0.2,-0.47,0.64,0.019,-0.029,0.003,,
0.0742,0.19,-0.19,0.67,0.011,0.002,-0.002,,
0.075,0.31,0.14,0.68,0.001,0.023,-0.006,,
0.0758,-0.05,0.43,1.05,-0.017,0.026,-0.013,,
0.0767,-0.19,0.7,1.44,-0.026,0.023,-0.016,,
0.0775,-0.1,0.81,1.04,-0.016,0.019,-0.01,,
0.0783,0.13,0.18,0.59,0.017,0.016,-0.009,,
0.0792,0.3,-0.87,1.08,0.059,0.017,-0.009,,
0.08,0.15,-1.19,0.98,0.075,0.031,-0.001,,
0.0808,0.32,-0.82,0.42,0.052,0.038,-0.001,,
0.0817,0.35,-0.4,0.47,0.035,0.023,-0.004,,
0.0825,-0.02,0.19,0.25,0.019,-0.003,-0.004,,
0.0833,-0.35,0.38,-0.06,0.005,-0.04,-0.003,,
0.0842,-1.11,0.12,0.89,-0.004,-0.068,-0.001,,
0.085,-1.16,0.52,1.1,-0.026,-0.073,0.004,,
0.0858,-0.84,0.82,0.18,-0.039,-0.06,0.012,,
0.0867,-0.2,0.54,0.17,-0.031,-0.044,0.012,,
0.0875,0.39,0,-0.23,-0.003,-0.017,0.012,,
