CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,-0.3,-0.38,0.28,0.013,0.005,-0.014,,0.593229047
0.0008,-0.22,0.17,0.31,-0.008,0.015,-0.013,,
0.0017,-0.01,0.58,0.42,-0.025,0.035,-0.01,,
0.0025,0.21,0.89,0.56,-0.031,0.052,-0.008,,
0.0033,0.23,0.55,0.78,-0.01,0.054,-0.006,,
0.0042,0.14,-0.15,0.56,0.011,0.046,-0.009,,
0.005,-0.03,-0.49,0.04,0.025,0.042,-0.011,,
0.0058,0.14,-0.66,-0.38,0.027,0.041,-0.01,,
0.0067,0.37,-0.4,-0.52,0.015,0.036,-0.008,,
0.0075,0.23,-0.14,-0.19,0.004,0.019,-0.003,,
0.0083,-0.13,0.17,0.1,-0.01,0.005,-0.006,,
0.0092,-0.41,0.49,0.64,-0.016,0.006,-0.007,,
0.01,-0.28,0.46,0.97,-0.011,0.021,-0.005,,
0.0108,0.2,0.28,1.01,-0.006,0.041,-0.007,,
0.0117,0.53,-0.03,0.74,0,0.041,-0.006,,
0.0125,0.45,-0.32,0.46,-0.001,0.025,-0.003,,
0.0133,0.15,-0.25,0.23,-0.008,0.006,-0.004,,
0.0142,-0.03,-0.06,0.39,-0.015,-0.005,-0.002,,
0.015,-0.06,0.23,0.57,-0.021,-0.005,0,,
0.0158,0.05,0.44,1.12,-0.02,0.004,-0.003,,
0.0167,0.25,0.49,1.38,-0.014,0.012,-0.004,,
0.0175,0.33,0.29,1.47,0.001,0.015,-0.003,,
0.0183,0.39,-0.28,1.27,0.019,0.009,-0.004,,
0.0192,0.29,-0.63,0.89,0.03,0,-0.007,,
0.02,0.2,-0.73,0.82,0.034,-0.01,-0.005,,
0.0208,0.03,-0.65,1.1,0.031,-0.018,-0.007,,
0.0217,-0.32,-0.36,0.99,0.018,-0.02,-0.006,,
0.0225,-0.26,0.03,1.16,-0.004,-0.008,-0.003,,
0.0233,-0.15,0.58,1.01,-0.025,-0.003,-0.006,,
0.0242,0,0.66,1.01,-0.025,-0.003,0.001,,
0.025,-0.05,0.2,0.98,-0.007,-0.001,0.002,,
0.0258,-0.06,-0.28,0.55,0.007,-0.005,-0.001,,
0.0267,-0.23,-0.6,0.2,0.02,-0.007,0.003,,
0.0275,-0.2,-0.58,0.27,0.02,-0.007,0.004,,
0.0283,-0.16,-0.27,0.24,0.014,-0.006,0.008,,
0.0292,-0.12,-0.19,0.58,0.009,-0.009,0.007,,
0.03,-0.39,-0.06,0.64,0.006,-0.017,0.008,,
0.0308,-0.56,0.13,1.25,-0.018,-0.015,0.004,,
0.0317,-0.51,0.31,1.28,-0.023,-0.016,0.009,,
0.0325,-0.26,0.3,1.05,-0.015,-0.013,0.008,,
0.0333,-0.13,0.05,0.92,-0.004,-0.006,0.008,,
0.0342,0,-0.27,0.99,0.002,0.006,0.007,,
0.035,0.25,-0.42,0.99,0.01,0.015,0.003,,
0.0358,0.38,-0.38,0.94,0.01,0.019,0.003,,
0.0367,0.36,-0.25,0.59,0.004,0.016,0.002,,
0.0375,0.07,-0.09,0.29,-0.001,-0.004,0.005,,
0.0383,-0.45,0.12,0.1,-0.011,-0.028,0.003,,
0.0392,-0.61,0.16,0.03,-0.018,-0.047,0.008,,
0.04,-0.3,0.19,0.28,-0.017,-0.045,0.007,,
0.0408,0.11,-0.02,0.2,-0.01,-0.029,0.009,,
0.0417,0.47,-0.14,0.08,0.006,-0.011,0.012,,
0.0425,0.4,-0.29,-0.03,0.016,-0.007,0.01,,
0.0433,0.07,-0.51,-0.04,0.023,-0.016,0.009,,
0.0442,-0.19,-0.57,0.1,0.024,-0.03,0.006,,
0.045,-0.14,-0.48,0.51,0.018,-0.031,0.003,,
0.0458,0.02,-0.23,0.71,0.007,-0.023,0.005,,
0.0467,0.23,0.03,0.94,-0.008,-0.017,0.004,,
0.0475,0.13,0.31,0.93,-0.026,-0.015,0.003,,
0.0483,0.01,0.4,0.84,-0.033,-0.021,0.005,,
0.0492,0,0.3,0.74,-0.034,-0.028,0.003,,
0.05,-0.01,0.09,0.6,-0.023,-0.023,0.004,,
0.0508,0.02,-0.17,0.51,-0.005,-0.024,0.006,,
0.0517,0.1,-0.44,0.57,0.01,-0.021,0.005,,
0.0525,0.18,-0.49,0.45,0.016,-0.018,0.006,,
0.0533,0.22,-0.51,0.42,0.018,-0.023,0.008,,
0.0542,0.02,-0.27,0.4,0.004,-0.029,0.007,,
0.055,-0.14,0.07,0.39,-0.011,-0.041,0.007,,
0.0558,-0.28,0.24,0.52,-0.024,-0.047,0.008,,
0.0567,-0.25,0.2,0.67,-0.023,-0.046,0.006,,
0.0575,-0.11,0.05,0.96,-0.022,-0.036,0.006,,
0.0583,0.08,0.01,1.03,-0.019,-0.021,0.009,,
0.0592,0.3,0.09,1.09,-0.027,-0.007,0.005,,
0.06,0.44,0.22,0.91,-0.03,0.004,0.009,,
0.0608,0.49,0.18,0.71,-0.027,0.008,0.008,,
0.0617,0.4,-0.06,0.59,-0.012,0.008,0.008,,
0.0625,0.26,-0.27,0.63,0.006,0.004,0.004,,
0.0633,0.01,-0.47,0.52,0.021,-0.006,0.008,,
0.0642,-0.17,-0.64,0.54,0.025,-0.015,0.002,,
0.065,-0.17,-0.51,0.84,0.013,-0.017,0.001,,
0.0658,-0.11,0.16,0.77,-0.019,-0.009,0.004,,
0.0667,0.04,0.67,0.52,-0.047,-0.002,0.004,,
0.0675,0.23,0.77,0.56,-0.056,0.011,0,,
0.0683,0.21,0.42,0.66,-0.042,0.018,0.002,,
0.0692,0.04,0.14,0.74,-0.032,0.022,-0.001,,
0.07,0.02,0.04,0.57,-0.026,0.023,-0.004,,
0.0708,-0.01,0.05,0.28,-0.025,0.023,-0.004,,
0.0717,-0.03,-0.05,0.24,-0.023,0.017,-0.005,,
0.0725,-0.17,0,0.51,-0.024,0.017,-0.008,,
0.0733,-0.29,0.23,0.84,-0.031,0.019,-0.006,,
0.0742,-0.19,0.47,1.02,-0.035,0.031,-0.005,,
0.075,0.03,0.44,1.08,-0.028,0.039,-0.006,,
0.0758,0.12,0.18,1.13,-0.011,0.051,-0.005,,
0.0767,0.19,-0.07,0.67,-0.002,0.05,-0.005,,
0.0775,0.12,-0.14,0.19,0.007,0.05,-0.005,,
0.0783,0.07,-0.34,0.11,0.023,0.044,-0.002,,
0.0792,-0.05,-0.54,0.08,0.032,0.037,-0.003,,
0.08,-0.13,-0.47,-0.22,0.028,0.026,-0.005,,
0.0808,-0.22,-0.22,-0.48,0.017,0.02,-0.001,,
0.0817,-0.3,-0.03,-0.36,0.008,0.018,-0.003,,
0.0825,-0.41,0.04,0.27,0.002,0.009,-0.006,,
0.0833,-0.44,0.12,0.53,0,0.012,-0.005,,
0.0842,-0.17,0.03,0.92,0.003,0.024,-0.009,,
0.085,0.08,0.03,1.16,-0.001,0.037,-0.009,,
0.0858,0.14,0.2,1.22,-0.001,0.038,-0.01,,
0.0867,0,0.13,1.15,0.006,0.026,-0.012,,
0.0875,-0.18,-0.1,0.85,0.018,0.025,-0.015,,
