CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,0.41,-0.34,-0.29,0.015,0.003,0.003,,0.603817586
0.0008,0.33,-0.38,-0.67,0.002,-0.009,0.003,,
0.0017,0.11,-0.11,-0.53,-0.013,-0.024,0.006,,
0.0025,-0.18,0.26,-0.14,-0.02,-0.033,0.006,,
0.0033,-0.41,0.29,0.38,-0.019,-0.037,0.007,,
0.0042,-0.48,0.17,0.56,-0.016,-0.037,0.006,,
0.005,-0.49,0.2,0.49,-0.018,-0.03,0.004,,
0.0058,-0.44,0.31,0.37,-0.018,-0.016,0.004,,
0.0067,-0.15,0.14,0.17,-0.011,0.005,0.003,,
0.0075,0.21,-0.14,-0.03,-0.003,0.023,0.001,,
0.0083,0.47,-0.32,0.11,-0.002,0.033,0.001,,
0.0092,0.47,-0.2,0.62,-0.014,0.031,0.004,,
0.01,0.34,0.06,0.85,-0.025,0.018,0.002,,
0.0108,0.04,0.34,0.88,-0.032,0,0.001,,
0.0117,-0.26,0.41,1.01,-0.028,-0.016,0.001,,
0.0125,-0.53,0.27,0.98,-0.02,-0.017,-0.001,,
0.0133,-0.64,0.18,0.77,-0.01,-0.004,-0.004,,
0.0142,-0.43,-0.01,0.78,0.002,0.017,-0.005,,
0.015,0.06,-0.27,0.73,0.018,0.035,-0.004,,
0.0158,0.37,-0.47,0.61,0.028,0.039,0.003,,
0.0167,0.36,-0.54,0.76,0.037,0.031,0.005,,
0.0175,0.06,-0.55,1.12,0.045,0.009,0.005,,
0.0183,-0.28,-0.6,1.46,0.05,-0.014,0.006,,
0.0192,-0.53,-0.66,1.75,0.046,-0.03,0.007,,
0.02,-0.53,-0.56,1.6,0.033,-0.035,0.008,,
0.0208,-0.37,-0.29,1.42,0.009,-0.034,0.006,,
0.0217,-0.15,0,0.83,-0.007,-0.028,0.008,,
0.0225,0.08,0.2,0.48,-0.008,-0.022,0.009,,
0.0233,0.29,-0.06,0.31,0.006,-0.017,0.011,,
0.0242,0.2,-0.39,0.64,0.025,-0.016,0.008,,
0.025,-0.11,-0.68,0.96,0.022,-0.018,0,,
0.0258,-0.33,-0.46,0.91,0.004,-0.017,-0.004,,
0.0267,-0.24,-0.05,0.97,-0.021,-0.009,-0.004,,
0.0275,0,0.22,1.13,-0.036,0.005,-0.004,,
0.0283,0.31,0.3,1.07,-0.035,0.027,0,,
0.0292,0.51,0.25,1.19,-0.031,0.042,0.002,,
0.03,0.54,0.3,1.04,-0.026,0.044,0,,
0.0308,0.52,0.05,0.73,-0.025,0.032,0,,
0.0317,0.25,0.01,0.86,-0.029,0.012,0.003,,
0.0325,0.03,0.21,0.77,-0.034,-0.005,0.002,,
0.0333,-0.16,0.23,0.84,-0.038,-0.018,0.003,,
0.0342,-0.37,0.33,0.84,-0.04,-0.024,0.005,,
0.035,-0.17,0.22,0.6,-0.037,-0.015,0.005,,
0.0358,0.17,0.11,0.7,-0.034,-0.003,0.009,,
0.0367,0.19,0.16,0.46,-0.038,0.001,0.01,,
0.0375,0.18,0.24,0.09,-0.041,0.003,0.003,,
0.0383,0.25,0.29,0.11,-0.042,0,0.007,,
0.0392,0.11,0.14,-0.09,-0.027,-0.004,0.006,,
0.04,-0.04,-0.03,0.07,-0.016,-0.011,0,,
0.0408,-0.22,-0.09,0.17,-0.008,-0.012,0.004,,
0.0417,-0.39,-0.04,0.03,-0.009,-0.007,0.004,,
0.0425,-0.01,0.02,-0.29,-0.015,0.007,0.004,,
0.0433,0.31,0.01,-0.4,-0.009,0.017,0.006,,
0.0442,0.26,-0.09,-0.54,0,0.022,0.004,,
0.045,0.37,-0.34,-0.37,0.017,0.024,0.001,,
0.0458,0.22,-0.45,0.02,0.03,0.018,0.004,,
0.0467,-0.11,-0.45,-0.28,0.034,0.005,0.001,,
0.0475,-0.2,-0.41,-0.29,0.024,-0.007,0,,
0.0483,-0.28,-0.24,-0.2,0.011,-0.016,0.002,,
0.0492,-0.45,0.04,-0.08,-0.012,-0.015,0,,
0.05,-0.18,0.42,0.02,-0.034,-0.006,0.001,,
0.0508,-0.13,0.59,0.27,-0.041,0.003,0.003,,
0.0517,0.01,0.45,0.43,-0.034,0.009,-0.003,,
0.0525,0.13,0.07,0.8,-0.018,0.019,-0.003,,
0.0533,0.24,-0.15,1.14,-0.008,0.025,-0.003,,
0.0542,0.18,-0.09,1.17,-0.001,0.021,-0.008,,
0.055,0.19,-0.06,1.04,0.006,0.011,-0.01,,
0.0558,-0.04,-0.28,1.04,0.023,-0.004,-0.01,,
0.0567,-0.36,-0.49,1.11,0.039,-0.011,-0.017,,
0.0575,-0.53,-0.52,0.99,0.044,-0.005,-0.013,,
0.0583,-0.55,-0.57,0.88,0.037,0.018,-0.008,,
0.0592,-0.01,-0.2,0.59,0.018,0.053,-0.007,,
0.06,0.57,0.29,0.13,-0.002,0.078,-0.001,,
0.0608,0.82,0.42,-0.11,-0.004,0.078,-0.004,,
0.0617,0.66,0.07,-0.44,0.012,0.06,-0.007,,
0.0625,0.31,-0.64,0.17,0.056,0.039,-0.007,,
0.0633,-0.38,-1.12,-0.37,0.063,0.006,-0.004,,
0.0642,-0.71,-1,-0.57,0.043,-0.017,-0.002,,
0.065,-0.91,-0.39,-0.54,0.001,-0.025,0.005,,
0.0658,-0.48,0.64,0.15,-0.039,-0.012,-0.004,,
0.0667,-0.2,1.05,1.12,-0.059,0.014,0.003,,
0.0675,0.11,1.15,1.77,-0.056,0.044,0.002,,
0.0683,0.12,0.76,2.12,-0.036,0.064,0.002,,
0.0692,0.02,0.21,2.38,-0.015,0.061,0.004,,
0.07,0.06,-0.28,1.36,-0.005,0.051,-0.006,,
0.0708,-0.02,-0.55,0.52,-0.01,0.04,-0.01,,
0.0717,-0.08,-0.14,0.3,-0.02,0.036,-0.009,,
0.0725,-0.06,0.4,0.67,-0.023,0.05,-0.016,,
0.0733,0.2,0.4,1.37,-0.02,0.074,-0.015,,
0.0742,0.49,0.43,1.2,-0.02,0.097,-0.012,,
0.075,0.79,0.44,1.19,-0.02,0.112,-0.013,,
0.0758,0.9,0.22,0.94,-0.021,0.104,-0.011,,
0.0767,0.58,0.11,0.21,-0.023,0.068,-0.008,,
0.0775,0,-0.22,-0.31,-0.012,0.019,-0.006,,
0.0783,-0.53,-0.34,-0.18,0.004,-0.022,-0.007,,
0.0792,-0.87,-0.34,0.53,0.025,-0.042,-0.007,,
0.08,-0.67,-0.4,1.06,0.038,-0.039,-0.005,,
0.0808,-0.24,-0.35,0.76,0.031,-0.021,-0.006,,
0.0817,0.32,-0.07,0.42,0.011,0.007,-0.003,,
0.0825,0.69,0.29,0.2,-0.007,0.035,0,,
0.0833,0.88,0.19,0.56,0.008,0.057,0.003,,
0.0842,1.17,-0.58,1.19,0.023,0.066,0.002,,
0.085,1.01,-0.81,1.36,0.014,0.057,-0.002,,
0.0858,0.65,-0.08,0.91,-0.019,0.032,-0.013,,
0.0867,-0.06,0.7,0.84,-0.038,0.003,-0.011,,
0.0875,-0.75,0.58,0.98,-0.019,-0.029,-0.006,,
