CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,0.11,0.27,0.71,-0.01,0.034,0.001,,
0.0008,0.14,-0.21,0.95,0.016,0.029,-0.007,,0.562304348
0.0017,-0.13,-0.61,0.9,0.03,0.014,-0.003,,
0.0025,-0.61,-0.53,0.52,0.021,0.003,0,,
0.0033,-0.59,-0.27,0.48,0.002,-0.004,-0.004,,
0.0042,-0.55,-0.02,0.3,-0.02,-0.003,-0.001,,
0.005,-0.52,0.37,0.09,-0.043,0.011,0,,
0.0058,-0.21,0.73,-0.13,-0.046,0.021,-0.001,,
0.0067,-0.01,0.76,-0.28,-0.025,0.021,0.005,,
0.0075,0,0.25,-0.29,0.004,0.025,0.004,,
0.0083,-0.01,-0.42,-0.16,0.021,0.03,0.001,,
0.0092,-0.11,-0.69,-0.15,0.015,0.036,0,,
0.01,-0.11,-0.51,-0.16,-0.001,0.051,0.002,,
0.0108,0.2,0.04,-0.23,-0.012,0.059,-0.001,,
0.0117,0.47,0.2,-0.03,-0.013,0.056,0,,
0.0125,0.4,0.08,0.41,-0.008,0.053,-0.003,,
0.0133,0.21,0.12,0.71,-0.008,0.045,-0.004,,
0.0142,-0.03,0,0.76,-0.015,0.039,-0.002,,
0.015,-0.02,0.31,0.42,-0.029,0.037,-0.004,,
0.0158,-0.04,0.49,0.06,-0.041,0.039,-0.004,,
0.0167,0.19,0.5,0.31,-0.045,0.045,-0.001,,
0.0175,0.3,0.44,0.48,-0.043,0.052,-0.002,,
0.0183,0.34,0.37,0.83,-0.034,0.056,-0.001,,
0.0192,0.28,0.32,0.67,-0.028,0.05,0.001,,
0.02,0.28,0.17,0.31,-0.016,0.043,0,,
0.0208,0.14,-0.07,0.13,-0.003,0.03,0.003,,
0.0217,0.12,-0.4,-0.05,0.015,0.021,0.004,,
0.0225,0.13,-0.54,0.24,0.028,0.012,0.001,,
0.0233,-0.11,-0.44,0.16,0.035,0.007,0.004,,
0.0242,-0.01,-0.3,0.29,0.031,0.002,0.005,,
0.025,-0.1,-0.13,-0.12,0.018,-0.005,0.003,,
0.0258,-0.15,-0.08,0.17,0.014,-0.006,0,,
0.0267,-0.16,-0.17,0.52,0.012,-0.006,0.001,,
0.0275,-0.11,-0.06,0.66,0.008,-0.002,0.001,,
0.0283,-0.07,0.07,1.15,0.009,0.006,0,,
0.0292,0.14,0.02,1.1,0.014,0.008,-0.002,,
0.03,-0.01,-0.06,1.1,0.024,0.002,-0.003,,
0.0308,-0.09,-0.44,1.04,0.035,-0.009,-0.001,,
0.0317,-0.15,-0.53,0.85,0.038,-0.022,-0.001,,
0.0325,-0.42,-0.49,1.03,0.049,-0.023,-0.005,,
0.0333,-0.34,-0.61,1.06,0.056,-0.018,-0.003,,
0.0342,-0.2,-0.61,1.16,0.059,-0.003,-0.008,,
0.035,0.34,-0.65,1.05,0.046,0.011,-0.005,,
0.0358,0.29,-0.05,0.88,0.015,0.012,-0.004,,
0.0367,0.23,0.39,1,-0.006,0.009,-0.007,,
0.0375,0.08,0.45,0.94,-0.004,0.001,-0.003,,
0.0383,0.11,-0.21,1.12,0.019,0,0,,
0.0392,0.12,-0.55,1.15,0.028,0,-0.006,,
0.04,0,-0.38,0.72,0.02,-0.004,-0.006,,
0.0408,-0.07,-0.17,0.72,0.01,-0.009,-0.001,,
0.0417,0.17,0.1,0.85,-0.007,-0.004,-0.01,,
0.0425,0.28,0.37,1.03,-0.016,0.001,-0.003,,
0.0433,0.03,0.33,1.26,-0.005,0.002,-0.002,,
0.0442,-0.05,0.11,1.56,0.01,0.005,-0.01,,
0.045,0.09,-0.31,1.59,0.027,0.009,-0.008,,
0.0458,-0.03,-0.44,0.87,0.029,0.001,-0.007,,
0.0467,0,-0.4,0.48,0.02,-0.005,-0.012,,
0.0475,-0.09,-0.05,0.31,0.004,-0.013,-0.012,,
0.0483,-0.23,0.19,0.15,0.001,-0.016,-0.009,,
0.0492,-0.18,-0.05,0.42,0.008,-0.017,-0.014,,
0.05,-0.32,-0.23,0.47,0.007,-0.015,-0.011,,
0.0508,-0.42,0.1,0.12,-0.012,-0.009,-0.009,,
0.0517,-0.14,0.52,0,-0.033,0.003,-0.011,,
0.0525,0.16,0.67,0.03,-0.042,0.011,-0.006,,
0.0533,0.26,0.55,0.04,-0.037,0.016,-0.005,,
0.0542,0.21,0.32,0.16,-0.026,0.012,-0.009,,
0.055,-0.02,0.14,0.37,-0.01,-0.001,-0.007,,
0.0558,-0.34,-0.06,0.29,0.008,-0.021,-0.007,,
0.0567,-0.43,-0.32,0.19,0.018,-0.036,-0.008,,
0.0575,-0.51,-0.32,-0.07,0.02,-0.048,-0.007,,
0.0583,-0.57,-0.28,-0.21,0.017,-0.049,-0.005,,
0.0592,-0.33,-0.04,-0.1,0.008,-0.04,-0.005,,
0.06,0.01,0.18,-0.03,0.002,-0.025,-0.004,,
0.0608,0.14,0.17,0.25,0.004,-0.019,0,,
0.0617,0.09,0.08,0.11,0.009,-0.019,-0.006,,
0.0625,-0.07,-0.04,-0.08,0.013,-0.027,-0.003,,
0.0633,-0.22,-0.23,-0.29,0.018,-0.035,-0.003,,
0.0642,-0.18,-0.18,-0.43,0.014,-0.037,-0.004,,
0.065,-0.06,-0.09,-0.51,0.012,-0.035,-0.003,,
0.0658,-0.07,0.06,-0.44,0.013,-0.034,-0.002,,
0.0667,0.06,-0.06,-0.1,0.021,-0.032,-0.005,,
0.0675,0,-0.14,0.13,0.024,-0.037,-0.004,,
0.0683,-0.15,-0.3,0.2,0.028,-0.045,-0.004,,
0.0692,-0.33,-0.25,-0.02,0.019,-0.05,-0.004,,
0.07,-0.18,-0.07,0.17,0.013,-0.044,-0.003,,
0.0708,0.11,0.01,0.48,0.008,-0.033,-0.003,,
0.0717,0.16,0.07,0.67,0.007,-0.027,0,,
0.0725,0.19,-0.04,0.89,0.006,-0.026,-0.005,,
0.0733,0.15,0.07,0.84,-0.003,-0.029,-0.007,,
0.0742,0.06,0.07,0.98,-0.004,-0.035,-0.003,,
0.075,-0.08,0,1.12,-0.007,-0.04,-0.008,,
0.0758,-0.03,0.15,1.27,-0.019,-0.036,-0.013,,
0.0767,0.05,0.4,1.65,-0.026,-0.03,-0.012,,
0.0775,0.19,0.52,2.03,-0.02,-0.025,-0.012,,
0.0783,0.09,0.31,2.05,0.001,-0.031,-0.012,,
0.0792,-0.09,-0.15,1.98,0.023,-0.037,-0.009,,
0.08,-0.06,-0.56,1.67,0.035,-0.037,-0.01,,
0.0808,0.01,-0.54,1.29,0.037,-0.033,-0.009,,
0.0817,0.16,-0.3,1.04,0.037,-0.026,-0.007,,
0.0825,0.26,-0.26,0.7,0.049,-0.024,-0.004,,
0.0833,0.27,-0.61,0.43,0.066,-0.025,-0.003,,
0.0842,0.11,-0.91,0.25,0.074,-0.032,-0.002,,
0.085,-0.17,-0.9,-0.19,0.062,-0.039,-0.003,,
0.0858,-0.17,-0.37,-0.12,0.022,-0.036,-0.001,,
0.0867,-0.08,0.1,-0.21,0.003,-0.041,0,,
