CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,0.19,-0.39,0.06,0.008,0.027,-0.008,,0.580187457
0.0008,0.02,-0.34,-0.22,0.007,0.007,-0.005,,
0.0017,-0.03,-0.22,-0.42,0.002,-0.001,-0.002,,
0.0025,-0.09,0.11,-0.34,-0.007,-0.01,-0.005,,
0.0033,-0.2,0.07,-0.1,-0.008,-0.016,-0.002,,
0.0042,-0.37,0.1,0.17,-0.012,-0.023,-0.005,,
0.005,-0.39,0.18,0.2,-0.014,-0.022,-0.006,,
0.0058,-0.26,0.08,0.82,-0.015,-0.029,-0.006,,
0.0067,-0.3,-0.13,0.89,-0.008,-0.036,-0.008,,
0.0075,-0.37,-0.14,0.76,-0.008,-0.04,-0.008,,
0.0083,-0.41,-0.12,0.45,-0.005,-0.042,-0.009,,
0.0092,-0.49,-0.21,0.61,-0.003,-0.03,-0.01,,
0.01,-0.34,-0.02,1.36,-0.018,-0.01,-0.006,,
0.0108,-0.04,0.25,1.49,-0.032,0.002,-0.006,,
0.0117,-0.02,0.46,1.49,-0.043,0.005,-0.006,,
0.0125,0.03,0.41,1.59,-0.038,0.002,-0.005,,
0.0133,-0.1,0.29,1.17,-0.026,-0.002,-0.003,,
0.0142,0.05,-0.14,1.24,-0.007,-0.007,-0.005,,
0.015,-0.03,-0.38,1.21,0.008,-0.018,-0.004,,
0.0158,-0.14,-0.41,1.16,0.013,-0.033,0,,
0.0167,-0.11,-0.26,1.05,0.007,-0.043,-0.005,,
0.0175,-0.37,0.07,0.66,-0.005,-0.051,-0.002,,
0.0183,-0.27,0.18,0.71,-0.014,-0.047,-0.005,,
0.0192,0,0.25,0.56,-0.001,-0.023,-0.011,,
0.02,0.16,-0.05,0.56,0.026,-0.008,-0.007,,
0.0208,0.77,-0.79,1.25,0.052,0.001,-0.007,,
0.0217,0.74,-0.91,1.32,0.058,-0.012,-0.007,,
0.0225,0.15,-0.57,1.14,0.038,-0.046,0.004,,
0.0233,-0.07,-0.25,0.86,0.022,-0.068,-0.002,,
0.0242,-0.54,0.05,0.46,0.016,-0.075,-0.008,,
0.025,-0.68,-0.11,0.27,0.025,-0.064,-0.006,,
0.0258,-0.37,-0.4,0.55,0.038,-0.037,-0.01,,
0.0267,-0.05,-0.42,0.69,0.039,-0.01,-0.008,,
0.0275,0.34,-0.23,-0.02,0.027,0.002,0,,
0.0283,0.54,-0.18,-0.43,0.01,-0.008,0,,
0.0292,0.19,-0.27,-0.34,0,-0.027,0.004,,
0.03,-0.2,-0.28,0.12,-0.002,-0.044,0.007,,
0.0308,-0.5,-0.12,0.7,-0.007,-0.047,-0.001,,
0.0317,-0.61,0.15,1.14,-0.009,-0.042,-0.002,,
0.0325,-0.52,0.28,1.11,-0.009,-0.037,0.001,,
0.0333,-0.34,0.35,0.78,-0.014,-0.029,-0.003,,
0.0342,-0.24,0.16,0.22,-0.012,-0.019,-0.002,,
0.035,0.06,-0.21,-0.04,-0.003,-0.005,-0.001,,
0.0358,0.28,-0.38,-0.26,0.002,0.013,-0.005,,
0.0367,0.6,-0.4,0.3,0.004,0.021,-0.002,,
0.0375,0.63,-0.15,0.57,-0.004,0.016,0,,
0.0383,0.42,0.24,0.65,-0.02,-0.003,-0.001,,
0.0392,0.03,0.53,0.73,-0.035,-0.033,-0.001,,
0.04,-0.42,0.58,0.26,-0.037,-0.054,-0.002,,
0.0408,-0.64,0.42,0.19,-0.023,-0.06,-0.004,,
0.0417,-0.55,0.05,0.18,0.001,-0.051,-0.003,,
0.0425,-0.24,-0.41,0.04,0.031,-0.026,-0.008,,
0.0433,0.26,-0.65,0.08,0.048,-0.012,-0.004,,
0.0442,0.31,-0.67,-0.08,0.051,-0.015,-0.006,,
0.045,0.22,-0.49,-0.35,0.027,-0.039,-0.007,,
0.0458,-0.24,-0.2,-0.05,0.015,-0.061,-0.007,,
0.0467,-0.6,-0.01,0.88,0.009,-0.077,-0.01,,
0.0475,-0.87,-0.05,1.39,0,-0.076,-0.009,,
0.0483,-0.65,0.21,1.78,-0.012,-0.053,-0.011,,
0.0492,-0.02,0.33,1.81,-0.024,-0.019,-0.011,,
0.05,0.42,0.65,1.67,-0.033,0,-0.007,,
0.0508,0.66,0.57,1.09,-0.014,0.006,0.004,,
0.0517,0.64,0.04,0.59,0.024,-0.008,0.002,,
0.0525,0.03,-0.87,0.41,0.063,-0.04,-0.001,,
0.0533,-0.58,-1.28,0.46,0.075,-0.063,-0.007,,
0.0542,-0.66,-1.13,0.4,0.054,-0.076,-0.012,,
0.055,-0.59,-0.54,0.27,0.021,-0.076,-0.011,,
0.0558,-0.35,0.17,0.52,-0.011,-0.063,-0.008,,
0.0567,-0.06,0.71,1.15,-0.029,-0.044,-0.009,,
0.0575,0.14,0.8,1.28,-0.025,-0.028,-0.006,,
0.0583,0.12,0.57,1.4,-0.001,-0.023,-0.002,,
0.0592,0.31,-0.21,1.32,0.021,-0.018,-0.003,,
0.06,0.32,-0.58,0.51,0.028,-0.019,-0.004,,
0.0608,0.22,-0.55,0.37,0.035,-0.023,-0.002,,
0.0617,0.19,-0.53,0.72,0.035,-0.022,-0.005,,
0.0625,0,-0.46,0.88,0.03,-0.022,-0.004,,
0.0633,-0.14,-0.32,1.16,0.016,-0.01,-0.003,,
0.0642,0.11,0.05,1.22,-0.009,0.008,-0.01,,
0.065,0.29,0.54,1.08,-0.025,0.02,-0.004,,
0.0658,0.37,0.88,0.87,-0.027,0.021,-0.005,,
0.0667,0.49,0.41,0.58,-0.004,0.006,-0.005,,
0.0675,-0.17,-0.29,0.25,0.017,-0.022,0.001,,
0.0683,-0.68,-0.51,-0.03,0.03,-0.038,-0.01,,
0.0692,-0.66,-0.73,0.27,0.031,-0.037,-0.007,,
0.07,-0.55,-0.51,0.5,0.016,-0.018,-0.005,,
0.0708,-0.18,0.03,0.59,-0.01,0.003,-0.009,,
0.0717,0.07,0.4,0.62,-0.024,0.021,-0.006,,
0.0725,-0.05,0.57,0.79,-0.036,0.025,-0.003,,
0.0733,-0.01,0.54,0.5,-0.038,0.03,-0.008,,
0.0742,0.01,0.35,0.24,-0.035,0.023,-0.005,,
0.075,-0.15,0.22,0.07,-0.024,0.012,-0.005,,
0.0758,-0.3,0.07,0.08,-0.016,-0.006,-0.012,,
0.0767,-0.53,-0.01,-0.01,-0.019,-0.022,-0.013,,
0.0775,-0.65,0.18,0.03,-0.022,-0.024,-0.007,,
0.0783,-0.45,0.39,0.3,-0.016,-0.017,-0.009,,
0.0792,-0.19,0.24,0.73,0.002,-0.004,-0.004,,
0.08,-0.1,-0.37,0.92,0.027,0.012,-0.002,,
0.0808,0.27,-0.58,0.49,0.043,0.023,-0.002,,
0.0817,0.32,-0.77,0.14,0.043,0.017,-0.001,,
0.0825,-0.06,-0.59,-0.07,0.037,-0.008,-0.007,,
0.0833,-0.31,-0.15,-0.2,0.021,-0.021,-0.007,,
0.0842,-0.4,0.18,0.12,0.001,-0.027,-0.005,,
0.085,-0.52,0.46,0.32,-0.008,-0.016,-0.008,,
