CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,
0,-0.34,0.2,0.5,-0.035,0.003,-0.008,,0.515975931
0.0008,-0.21,0.15,-0.17,-0.047,0.001,-0.005,,
0.0017,0.07,0.16,-0.26,-0.043,0.011,0,,
0.0025,0.27,0.23,0.25,-0.029,0.014,-0.003,,
0.0033,0.15,0.02,0.66,-0.015,0.007,-0.001,,
0.0042,-0.2,-0.16,0.77,-0.018,-0.009,-0.001,,
0.005,-0.51,0.02,0.78,-0.033,-0.021,-0.006,,
0.0058,-0.26,0.26,0.93,-0.046,-0.018,-0.006,,
0.0067,0.04,0.51,0.79,-0.048,-0.013,0,,
0.0075,0.21,0.52,0.91,-0.032,-0.006,0,,
0.0083,0.3,0.01,0.89,-0.019,-0.003,-0.003,,
0.0092,0.07,-0.27,0.63,-0.012,-0.005,-0.002,,
0.01,0.06,-0.24,0.58,-0.012,-0.004,-0.006,,
0.0108,0.31,0.14,0.49,-0.028,0,-0.001,,
0.0117,0.3,0.09,0.39,-0.039,-0.002,0,,
0.0125,0.35,0.21,0.77,-0.045,-0.001,-0.004,,
0.0133,0.4,0.38,1.19,-0.055,-0.003,0,,
0.0142,0.14,0.4,1.23,-0.057,-0.018,0.001,,
0.015,-0.01,0.4,1.02,-0.05,-0.033,-0.004,,
0.0158,-0.38,0.13,1.02,-0.034,-0.057,-0.005,,
0.0167,-0.76,-0.26,1.15,-0.016,-0.075,0,,
0.0175,-0.64,-0.25,1.22,-0.016,-0.073,0.001,,
0.0183,-0.39,0.01,1.01,-0.029,-0.063,0.005,,
0.0192,-0.05,0.11,0.72,-0.037,-0.047,0.005,,
0.02,0.23,0.17,0.77,-0.041,-0.038,0.002,,
0.0208,0.11,0.27,0.7,-0.04,-0.04,-0.001,,
0.0217,0.1,0.02,0.77,-0.029,-0.044,-0.004,,
0.0225,-0.13,-0.32,0.85,-0.015,-0.064,-0.007,,
0.0233,-0.59,-0.46,0.67,0,-0.085,-0.009,,
0.0242,-0.68,-0.45,0.59,0.004,-0.091,-0.003,,
0.025,-0.47,-0.38,0.54,-0.003,-0.079,-0.003,,
0.0258,0.05,-0.06,0.39,-0.012,-0.059,-0.005,,
0.0267,0.31,-0.07,0.32,-0.02,-0.048,0.001,,
0.0275,0.21,-0.17,0.21,-0.025,-0.047,-0.002,,
0.0283,0.09,-0.03,0.35,-0.034,-0.05,-0.004,,
0.0292,-0.06,0.16,0.4,-0.051,-0.053,0,,
0.03,-0.13,0.42,0.43,-0.062,-0.053,-0.003,,
0.0308,-0.08,0.36,0.68,-0.058,-0.052,-0.005,,
0.0317,-0.24,0.25,0.76,-0.047,-0.058,-0.005,,
0.0325,-0.54,0.2,0.46,-0.04,-0.062,-0.003,,
0.0333,-0.6,0.08,0.32,-0.029,-0.052,-0.005,,
0.0342,-0.1,-0.41,0.58,-0.018,-0.034,-0.006,,
0.035,0.13,-0.38,0.03,-0.025,-0.023,-0.001,,
0.0358,0.17,0.01,-0.31,-0.041,-0.016,-0.003,,
0.0367,0.18,0.47,0.4,-0.078,-0.001,-0.004,,
0.0375,-0.07,0.76,0.23,-0.086,-0.001,-0.003,,
0.0383,-0.18,0.59,0.54,-0.078,0.003,-0.004,,
0.0392,-0.18,0.43,0.75,-0.069,0.01,-0.006,,
0.04,-0.23,0.51,0.71,-0.066,0.017,-0.008,,
0.0408,-0.16,0.56,0.46,-0.061,0.025,-0.007,,
0.0417,0.2,0.16,0.08,-0.05,0.035,-0.008,,
0.0425,0.42,-0.26,-0.12,-0.042,0.044,-0.006,,
0.0433,0.17,-0.24,-0.01,-0.04,0.044,-0.001,,
0.0442,-0.01,0.03,0.68,-0.045,0.041,-0.008,,
0.045,-0.01,0.23,0.66,-0.047,0.043,-0.009,,
0.0458,0.03,0.28,0.5,-0.047,0.047,-0.004,,
0.0467,0.07,0.21,0.24,-0.048,0.043,-0.003,,
0.0475,-0.43,0.11,0.32,-0.045,0.034,0,,
0.0483,-0.26,0,0.66,-0.058,0.038,-0.004,,
0.0492,0.06,0.17,0.21,-0.078,0.066,-0.009,,
0.05,0.43,0.63,0.41,-0.101,0.074,-0.001,,
0.0508,0.54,0.96,0.57,-0.104,0.074,0,,
0.0517,0.23,0.89,0.85,-0.092,0.066,-0.001,,
0.0525,-0.03,0.54,0.79,-0.072,0.058,-0.001,,
0.0533,-0.19,0.15,0.63,-0.052,0.052,-0.007,,
0.0542,-0.29,-0.1,0.42,-0.037,0.054,-0.009,,
0.055,-0.04,-0.31,0.35,-0.027,0.064,-0.009,,
0.0558,0.17,-0.26,0.31,-0.033,0.081,-0.011,,
0.0567,0.39,-0.04,0.2,-0.046,0.097,-0.011,,
0.0575,0.59,0.22,0.24,-0.054,0.104,-0.008,,
0.0583,0.57,0.32,0.47,-0.055,0.102,-0.008,,
0.0592,0.36,0.26,0.44,-0.047,0.089,-0.005,,
0.06,0.02,0.16,0.01,-0.043,0.072,-0.004,,
0.0608,-0.18,0.03,-0.08,-0.041,0.062,-0.009,,
0.0617,-0.19,-0.07,-0.25,-0.035,0.056,-0.007,,
0.0625,-0.05,-0.22,-0.11,-0.031,0.048,-0.004,,
0.0633,-0.3,-0.15,-0.33,-0.039,0.044,-0.004,,
0.0642,-0.34,0.06,-0.16,-0.047,0.05,-0.004,,
0.065,-0.4,0.19,0.08,-0.048,0.062,-0.001,,
0.0658,0.1,0.07,0.63,-0.045,0.082,-0.002,,
0.0667,0.31,0.27,0.31,-0.055,0.084,0,,
0.0675,0.27,0.37,0.37,-0.063,0.066,0.001,,
0.0683,-0.16,0.39,0.07,-0.064,0.048,-0.003,,
0.0692,-0.4,0.22,0.27,-0.051,0.044,-0.003,,
0.07,-0.2,-0.22,0.26,-0.038,0.053,-0.006,,
0.0708,-0.21,-0.29,-0.04,-0.04,0.07,-0.001,,
0.0717,0.26,-0.22,0.06,-0.046,0.106,-0.002,,
0.0725,1.06,0.13,-0.15,-0.061,0.135,0.004,,
0.0733,1.41,0.27,-0.04,-0.062,0.141,0.007,,
0.0742,1.1,0.37,0.1,-0.064,0.118,0.004,,
0.075,0.38,0.31,0.31,-0.063,0.08,-0.002,,
0.0758,-0.28,0.31,0.39,-0.067,0.045,-0.003,,
0.0767,-0.54,0.28,0.48,-0.068,0.029,-0.001,,
0.0775,-0.36,0.17,0.5,-0.065,0.04,0.001,,
0.0783,0.02,0.21,0.61,-0.062,0.061,0.004,,
0.0792,0.45,0.15,0.72,-0.055,0.079,0.004,,
0.08,0.65,0.03,0.81,-0.049,0.087,0.006,,
0.0808,0.63,-0.08,0.61,-0.039,0.085,0.007,,
0.0817,0.55,-0.15,0.74,-0.037,0.071,0.006,,
0.0825,0.17,-0.12,0.91,-0.034,0.05,-0.002,,
0.0833,-0.28,0.13,0.71,-0.041,0.021,-0.004,,
0.0842,-0.51,0.12,0.53,-0.04,0.003,-0.002,,
0.085,-0.54,-0.03,0.42,-0.036,0.003,-0.001,,
0.0858,-0.21,-0.26,0.18,-0.034,0.025,-0.002,,
0.0867,0.16,-0.14,0.13,-0.044,0.048,0,,
