CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,0.594009767
0,0.22,-0.5,0.01,0.004,0.005,-0.001,,
0.0008,0.4,-0.39,0.15,-0.006,0.008,-0.002,,
0.0017,0.35,-0.1,0.17,-0.021,0.007,-0.002,,
0.0025,0.12,0.12,0.24,-0.028,-0.001,0.001,,
0.0033,-0.07,0.4,0.29,-0.041,-0.005,0.003,,
0.0042,-0.07,0.44,0.43,-0.041,-0.009,0.004,,
0.005,-0.08,0.41,0.43,-0.04,-0.017,0.004,,
0.0058,-0.2,0.27,0.41,-0.033,-0.023,0.004,,
0.0067,-0.32,0.14,0.21,-0.03,-0.028,0.005,,
0.0075,-0.38,0.09,0.23,-0.02,-0.031,0.006,,
0.0083,-0.2,-0.01,0.49,-0.011,-0.019,0.007,,
0.0092,0.06,-0.23,0.45,-0.003,-0.01,0.008,,
0.01,0.24,-0.24,0.48,-0.003,-0.009,0.008,,
0.0108,0.27,-0.14,0.19,-0.009,0.003,0.004,,
0.0117,0.25,-0.16,0.22,-0.011,-0.001,0.006,,
0.0125,0.16,0.02,0.16,-0.017,0.001,0.006,,
0.0133,0.19,0.02,0.39,-0.017,-0.003,0.007,,
0.0142,-0.01,-0.01,0.17,-0.018,-0.012,0.005,,
0.015,-0.19,0.05,0.3,-0.018,-0.015,0.002,,
0.0158,-0.19,-0.05,0.22,-0.02,-0.015,0.002,,
0.0167,-0.08,0.01,0.4,-0.023,-0.016,0.005,,
0.0175,-0.04,0,0.63,-0.028,-0.02,0.001,,
0.0183,-0.13,0.07,0.98,-0.033,-0.019,-0.005,,
0.0192,-0.25,0.18,0.77,-0.042,-0.011,-0.006,,
0.02,-0.22,0.5,0.78,-0.043,0.001,0.001,,
0.0208,0.13,0.46,0.92,-0.034,0.013,0.004,,
0.0217,0.38,0.37,1.07,-0.024,0.017,0.001,,
0.0225,0.43,0.07,0.92,-0.01,0.018,0,,
0.0233,0.45,-0.14,0.53,-0.001,0.012,0.002,,
0.0242,0.39,-0.35,0.44,0.009,0.003,0.006,,
0.025,0.31,-0.55,0.54,0.01,-0.007,0.006,,
0.0258,0.12,-0.4,0.65,0.002,-0.015,0.003,,
0.0267,-0.13,-0.11,0.48,-0.006,-0.023,0.003,,
0.0275,-0.29,0.14,0.61,-0.008,-0.023,0.004,,
0.0283,-0.23,-0.14,0.77,-0.001,-0.02,0.002,,
0.0292,-0.13,-0.19,0.75,-0.003,-0.013,0,,
0.03,0.07,-0.02,0.52,-0.008,-0.005,-0.001,,
0.0308,0.21,0.15,0.28,-0.018,0.001,-0.002,,
0.0317,0.28,0.07,0.41,-0.016,0.005,-0.004,,
0.0325,0.35,-0.1,0.79,-0.012,0.009,-0.001,,
0.0333,0.23,-0.01,0.89,-0.012,0.01,-0.001,,
0.0342,0.13,0.12,0.96,-0.016,0.012,0,,
0.035,0.06,0.19,1.08,-0.018,0.014,-0.004,,
0.0358,0.09,0.01,1.2,-0.014,0.015,-0.002,,
0.0367,0.06,-0.03,1.17,-0.015,0.019,-0.003,,
0.0375,0.06,0.09,0.83,-0.02,0.021,-0.001,,
0.0383,0.03,0.2,0.56,-0.027,0.027,-0.007,,
0.0392,0.2,-0.01,0.87,-0.021,0.033,-0.01,,
0.04,0.27,-0.22,1.17,-0.016,0.037,-0.011,,
0.0408,0.19,-0.23,1.07,-0.015,0.044,-0.009,,
0.0417,-0.07,0.07,0.08,-0.026,0.04,-0.01,,
0.0425,-0.08,0.03,-0.01,-0.029,0.046,-0.017,,
0.0433,0.24,-0.04,0.53,-0.029,0.041,-0.014,,
0.0442,-0.14,0.18,0.67,-0.037,0.034,-0.018,,
0.045,-0.42,0.63,0.18,-0.052,0.019,-0.018,,
0.0458,-0.41,0.61,0.28,-0.061,0.013,-0.014,,
0.0467,-0.36,0.63,0.66,-0.057,0.013,-0.011,,
0.0475,-0.3,0.53,0.57,-0.048,0.014,-0.013,,
0.0483,-0.18,0.2,0.35,-0.035,0.019,-0.014,,
0.0492,-0.07,0.03,0.12,-0.022,0.023,-0.009,,
0.05,0.07,-0.2,-0.16,-0.012,0.029,-0.006,,
0.0508,0.15,-0.38,-0.29,-0.004,0.036,-0.008,,
0.0517,0.18,-0.24,-0.43,-0.005,0.036,-0.012,,
0.0525,0.31,-0.05,-0.52,-0.008,0.04,-0.012,,
0.0533,0.41,0.01,-0.2,-0.009,0.041,-0.01,,
0.0542,0.28,0,0.24,-0.004,0.035,-0.012,,
0.055,0.09,-0.08,0.43,-0.001,0.027,-0.016,,
0.0558,-0.03,-0.23,0.63,0.002,0.019,-0.017,,
