CFSLGR_DataFile,,,,,,,,
ÉfÅ[É^ï€ë∂[å¬/ïb],1200,,Filter,OFF,,,,
íËäi,100,100,,2,2,2,,
åoâﬂéûä‘[sec],Fx[N],Fy[N],Fz[N],Mx[Nm],My[Nm],Mz[Nm],,0.547757215
0,0.1,0.34,0.83,-0.023,0.042,0.004,,
0.0008,0.21,0.12,0.41,-0.004,0.045,0.001,,
0.0017,0.2,-0.34,-0.17,0.019,0.036,0.005,,
0.0025,0.14,-1.04,-0.53,0.045,0.033,0.005,,
0.0033,0.16,-0.92,-0.66,0.043,0.04,0.002,,
0.0042,0.14,-0.32,-0.49,0.025,0.046,0.004,,
0.005,0.12,0.2,-0.02,0.008,0.057,0.005,,
0.0058,0.22,0.47,0.34,-0.003,0.062,0.002,,
0.0067,0.19,0.34,0.26,-0.007,0.062,0.002,,
0.0075,0.16,0.29,0.09,-0.015,0.063,-0.003,,
0.0083,0.28,0.19,0.01,-0.018,0.067,0,,
0.0092,0.34,-0.01,0.13,-0.016,0.059,0.002,,
0.01,0.07,-0.05,-0.05,-0.01,0.044,0.001,,
0.0108,-0.21,-0.02,0.16,-0.004,0.036,-0.001,,
0.0117,-0.25,0.13,0.54,0.005,0.04,-0.001,,
0.0125,-0.21,0.08,0.77,0.014,0.052,-0.002,,
0.0133,0.17,-0.22,1.08,0.029,0.066,-0.002,,
0.0142,0.28,-0.34,0.74,0.038,0.071,-0.001,,
0.015,0.3,-0.47,0.55,0.046,0.069,0,,
0.0158,0.12,-0.64,0.56,0.048,0.056,-0.001,,
0.0167,-0.14,-0.68,0.86,0.038,0.044,-0.005,,
0.0175,-0.36,-0.34,1.2,0.012,0.032,-0.007,,
0.0183,-0.52,0.31,1.33,-0.018,0.029,-0.008,,
0.0192,-0.49,0.79,1.28,-0.035,0.037,-0.009,,
0.02,-0.12,0.87,1.07,-0.035,0.055,-0.008,,
0.0208,0.1,0.5,0.85,-0.016,0.068,-0.008,,
0.0217,0.23,0.03,0.55,0.009,0.073,-0.003,,
0.0225,0.19,-0.26,0.19,0.028,0.063,-0.003,,
0.0233,0.01,-0.59,0.21,0.041,0.049,-0.007,,
0.0242,-0.21,-0.67,0.25,0.046,0.035,-0.004,,
0.025,-0.25,-0.55,0.57,0.04,0.027,-0.007,,
0.0258,-0.14,-0.42,1.11,0.029,0.029,-0.009,,
0.0267,-0.19,-0.01,1.27,0.015,0.03,-0.008,,
0.0275,-0.09,0.3,1.2,-0.003,0.028,-0.007,,
0.0283,0.02,0.27,1.16,-0.012,0.032,-0.004,,
0.0292,0.16,0.28,0.94,-0.015,0.036,-0.005,,
0.03,0.4,0.12,0.74,-0.014,0.043,-0.006,,
0.0308,0.44,-0.05,0.68,-0.003,0.047,-0.006,,
0.0317,0.35,-0.14,0.78,0.008,0.04,-0.007,,
0.0325,0.14,-0.21,0.86,0.014,0.029,-0.011,,
0.0333,-0.12,-0.17,0.8,0.016,0.011,-0.01,,
0.0342,-0.17,-0.11,1.02,0.021,0.003,-0.009,,
0.035,0.02,-0.2,1.09,0.03,0.006,-0.008,,
0.0358,0.28,-0.41,1.06,0.037,0.013,-0.004,,
0.0367,0.5,-0.56,0.83,0.034,0.017,-0.007,,
0.0375,0.55,-0.46,0.37,0.021,0.017,-0.011,,
0.0383,0.37,-0.25,0.19,0.013,0.003,-0.01,,
0.0392,-0.07,-0.05,0.12,0.006,-0.016,-0.012,,
0.04,-0.35,0,0.37,0.006,-0.026,-0.01,,
0.0408,-0.14,0.07,0.98,0.009,-0.019,-0.01,,
0.0417,0.17,0.04,0.88,0.019,-0.009,-0.012,,
0.0425,0.14,-0.29,0.36,0.03,-0.005,-0.008,,
0.0433,0.09,-0.58,0,0.025,-0.006,-0.01,,
0.0442,0.05,-0.5,-0.31,0.001,-0.006,-0.018,,
