roll
pitch
yaw
height
-0.17,3.9
-0.23,5.33
-0.3,6.97
-0.37,8.84
-0.41,9.88
-0.49,11.84
-0.56,13.68
-0.62,15.44
-0.64,16.26
-0.69,17.81
-0.72,19.29
-0.74,19.99
-0.76,21.32
-0.76,21.94
-0.77,23.12
-0.77,23.68
-0.75,24.73
-0.74,25.24
-0.73,26.52
-0.73,27.3
-0.73,29.15
-0.75,31.33
-0.76,32.57
-0.78,35.34
-0.8,36.88
-0.85,40.26
-0.87,42.1
-0.93,46.11
-1.0,50.49
-1.04,52.84
-1.12,57.86
-1.17,60.53
-1.27,66.19
-1.38,72.23
-1.43,75.4
-1.56,82.05
-1.62,85.51
Epoch End
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.05
-0.01,0.32
-0.03,0.6
-0.03,0.78
-0.04,1.01
-0.08,1.85
-0.09,2.19
-0.13,2.95
-0.14,3.38
-0.18,4.36
-0.22,5.27
-0.24,5.69
-0.26,6.48
-0.28,6.84
-0.3,7.5
-0.31,8.12
-0.32,8.4
-0.33,8.91
-0.33,9.39
-0.33,9.7
-0.35,10.45
-0.35,10.89
-0.37,11.74
-0.37,12.57
-0.38,12.97
-0.38,13.74
-0.38,14.69
-0.39,15.81
-0.39,16.45
-0.4,17.72
-0.41,19.02
-0.41,19.66
-0.4,21.66
-0.4,22.43
-0.4,24.16
-0.41,26.12
-0.42,28.16
-0.42,29.2
-0.41,31.33
-0.41,32.5
-0.42,35.07
-0.42,37.91
-0.44,41.05
-0.44,42.74
-0.46,46.36
-0.49,50.31
-0.52,54.58
-0.53,56.85
-0.59,64.18
-0.61,66.8
-0.65,72.31
-0.67,75.18
-0.71,81.14
-0.74,87.44
Epoch End
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.05
-0.01,0.23
-0.02,0.37
-0.03,0.73
-0.05,1.2
-0.06,1.48
-0.09,2.13
-0.12,2.89
-0.16,3.76
-0.2,4.75
-0.24,5.85
-0.29,7.09
-0.31,7.67
-0.35,8.79
-0.38,9.42
-0.42,10.8
-0.48,12.34
-0.53,14.04
-0.59,15.92
-0.62,16.94
-0.69,19.15
-0.76,21.55
-0.84,24.18
-0.92,27.03
-1.0,30.12
-1.05,31.77
-1.14,35.29
-1.24,39.08
-1.34,43.18
-1.39,45.34
-1.5,49.93
-1.55,52.35
-1.67,57.46
-1.79,62.92
-1.91,68.72
-1.98,71.76
-2.11,78.11
-2.24,84.82
-2.31,88.31
Epoch End
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.05
-0.01,0.23
-0.02,0.5
-0.03,0.69
-0.05,1.15
-0.06,1.43
-0.09,2.09
-0.12,2.85
-0.16,3.72
-0.18,4.2
-0.22,5.29
-0.25,5.89
-0.3,7.21
-0.35,8.67
-0.38,9.46
-0.48,12.07
-0.55,13.98
-0.58,15.01
-0.66,17.24
-0.78,20.91
-0.91,24.99
-1.04,29.53
-1.13,32.85
-1.27,38.31
-1.42,44.37
-1.58,51.08
-1.75,58.58
-1.86,63.99
-2.04,72.76
-2.23,82.31
-2.35,89.08
Epoch End
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.09
-0.01,0.27
-0.03,0.69
-0.05,1.25
-0.07,1.72
-0.09,2.12
-0.1,2.43
-0.11,2.67
-0.11,2.75
-0.11,2.84
-0.11,2.85
-0.1,2.78
-0.09,2.71
-0.08,2.49
-0.07,2.34
-0.04,1.96
-0.03,1.73
0.0,1.19
0.02,0.88
0.06,0.16
0.1,-0.46
0.11,-0.73
0.14,-1.18
0.16,-1.54
0.18,-1.82
0.2,-2.03
0.21,-2.18
0.23,-2.58
0.26,-3.09
0.29,-3.71
0.33,-4.45
0.37,-5.3
0.39,-5.78
0.44,-6.87
0.49,-8.09
0.55,-9.45
0.58,-10.19
0.67,-12.66
0.71,-13.57
0.78,-15.53
0.86,-17.68
0.9,-18.83
0.98,-21.32
1.07,-24.01
1.11,-25.46
1.21,-28.62
1.32,-32.12
1.38,-34.02
1.5,-38.11
1.64,-42.55
1.77,-47.31
1.84,-49.84
1.92,-52.5
2.08,-58.13
2.25,-64.16
2.42,-70.58
2.6,-77.35
2.79,-84.49
2.89,-88.19
Epoch End
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.09
-0.01,0.18
-0.02,0.46
-0.04,0.83
-0.06,1.29
-0.07,1.57
-0.09,2.05
-0.1,2.45
-0.12,2.77
-0.12,3.02
-0.13,3.11
-0.13,3.2
-0.12,3.21
-0.12,3.16
-0.11,3.09
-0.09,2.89
-0.07,2.6
-0.06,2.42
-0.03,1.99
0.0,1.47
0.03,0.87
0.07,0.18
0.12,-0.59
0.14,-1.03
0.19,-1.81
0.23,-2.51
0.27,-3.32
0.32,-4.24
0.34,-4.76
0.4,-5.9
0.46,-7.17
0.52,-8.58
0.56,-9.35
0.62,-10.84
0.65,-11.56
0.71,-12.97
0.74,-13.75
0.8,-15.47
0.87,-17.36
0.91,-18.39
0.98,-20.63
1.02,-21.83
1.11,-24.43
1.19,-27.25
1.24,-28.77
1.34,-32.0
1.44,-35.5
1.49,-37.36
1.6,-41.32
1.65,-43.42
1.77,-47.87
1.89,-52.64
2.01,-57.75
2.14,-63.19
2.21,-66.05
2.34,-72.05
2.48,-78.4
2.55,-81.71
2.7,-88.6
Epoch End
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.05
-0.01,0.14
-0.01,0.14
0.0,-0.04
0.01,-0.13
0.01,-0.13
0.0,-0.04
-0.01,0.14
-0.02,0.41
-0.02,0.51
-0.03,0.79
-0.05,1.16
-0.07,1.63
-0.09,2.21
-0.11,2.54
-0.14,3.32
-0.18,4.21
-0.2,4.94
-0.22,5.37
-0.26,6.33
-0.28,6.87
-0.32,8.08
-0.34,8.74
-0.4,10.21
-0.45,11.82
-0.51,13.6
-0.54,14.56
-0.61,16.65
-0.68,18.92
-0.72,20.14
-0.84,24.12
-0.88,25.56
-0.97,28.64
-1.06,31.97
-1.16,35.56
-1.21,37.46
-1.3,41.3
-1.34,43.23
-1.42,47.15
-1.45,49.14
-1.51,53.22
-1.57,57.46
-1.59,59.64
-1.62,64.15
-1.65,68.89
-1.66,71.35
-1.69,76.55
-1.71,82.11
-1.73,85.02
Epoch End
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.05
-0.01,0.23
-0.02,0.37
-0.03,0.73
-0.06,1.29
-0.07,1.61
-0.11,2.45
-0.15,3.49
-0.18,4.11
-0.24,5.54
-0.3,7.2
-0.34,8.13
-0.43,10.21
-0.52,12.54
-0.62,15.12
-0.67,16.53
-0.79,19.6
-0.91,22.97
-0.98,24.74
-1.11,28.48
-1.24,32.47
-1.31,34.58
-1.46,39.01
-1.6,43.59
-1.74,48.48
-1.82,51.05
-1.97,56.46
-2.12,62.2
-2.2,65.16
-2.36,71.37
-2.52,77.96
-2.6,81.39
-2.76,88.47
Epoch End
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.05
-0.01,0.23
-0.02,0.37
-0.03,0.73
-0.05,1.2
-0.06,1.48
-0.09,2.13
-0.12,2.89
-0.15,3.58
-0.17,3.98
-0.19,4.61
-0.21,5.09
-0.22,5.42
-0.22,5.51
-0.21,5.53
-0.2,5.49
-0.19,5.39
-0.16,5.04
-0.14,4.79
-0.1,4.12
-0.06,3.57
-0.01,2.86
0.02,2.42
0.08,1.37
0.16,0.15
0.19,-0.5
0.27,-1.91
0.36,-3.42
0.4,-4.22
0.5,-6.04
0.6,-8.07
0.66,-9.2
0.78,-11.67
0.84,-13.02
0.98,-15.97
1.05,-17.56
1.2,-21.0
1.36,-24.74
1.45,-26.75
1.62,-30.96
1.79,-35.43
1.88,-37.77
2.07,-42.7
2.26,-47.93
2.35,-50.67
2.55,-56.41
2.74,-62.39
2.83,-65.48
3.02,-71.84
3.21,-78.56
3.3,-82.04
3.48,-89.23
Epoch End
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.05
-0.01,0.23
-0.02,0.5
-0.03,0.69
-0.04,0.97
-0.05,1.16
-0.07,1.55
-0.09,2.03
-0.1,2.37
-0.13,3.15
