"['-1', '-1', '-66', 1.5, 0]"
"['-1', '-1', '-66', 6, 0]"
"['-1', '-1', '-66', 6, 0]"
"['-1', '-1', '-66', 4, 0]"
"['109', '209', '-66', 6, 0]"
"['109', '209', '-67', 9, 0]"
"['109', '209', '-68', 9, 0]"
"['109', '209', '-67', 9, 0]"
"['109', '209', '-65', 9, 0]"
"['109', '209', '-61', 9, 0]"
"['109', '209', '-60', 9, 0]"
"['109', '209', '-58', 9, 0]"
"['109', '209', '-55', 9, 0]"
"['109', '209', '-51', 9, 0]"
"['109', '209', '-50', 9, 0]"
"['109', '209', '-45', 9, 0]"
"['109', '209', '-39', 9, 0]"
"['109', '209', '-34', 9, 0]"
"['109', '209', '-31', 9, 0]"
"['109', '209', '-28', 9, 0]"
"['109', '209', '-23', 9, 0]"
"['109', '209', '-18', 9, 0]"
"['109', '209', '-18', 4, 0]"
"['109', '209', '-11', 6, 0]"
"['137', '209', '-8', 9, 0]"
"['137', '209', '-3', 9, 0]"
"['110', '209', '0', 9, 0]"
"['110', '209', '5', 6, 0]"
"['137', '209', '9', 9, 0]"
"['209', '209', '13', 9, 0]"
"['209', '209', '17', 4.5, 0]"
"['209', '165', '19', 2, 0]"
"['209', '151', '22', 2, 0]"
"['209', '176', '24', 2, 0]"
"['209', '172', '24', 9, 0]"
"['209', '172', '23', 2, 0]"
"['209', '166', '23', 3.5, 0]"
"['209', '162', '21', 2, 0]"
"['209', '162', '20', 2, 0]"
"['209', '129', '17', 2, 0]"
"['209', '164', '16', 2, 0]"
"['209', '164', '16', 2, 0]"
"['209', '170', '15', 2, 0]"
"['209', '176', '13', 6, 0]"
"['209', '176', '16', 2, 0]"
"['209', '178', '16', 2, 0]"
"['209', '120', '15', 2, 0]"
"['209', '178', '16', 2, 0]"
"['209', '178', '15', 2, 0]"
"['209', '178', '15', 9, 0]"
"['209', '180', '15', 9, 0]"
"['209', '178', '14', 2, 0]"
"['209', '109', '13', 9, 0]"
"['209', '109', '12', 2, 0]"
"['209', '180', '12', 2, 0]"
"['209', '180', '11', 2, 0]"
"['209', '184', '11', 2, 0]"
"['209', '186', '11', 2, 0]"
"['209', '188', '10', 2, 0]"
"['209', '188', '12', 2, 0]"
"['209', '188', '12', 2, 0]"
"['209', '188', '12', 2, 0]"
"['209', '188', '16', 2, 0]"
"['209', '186', '17', 2, 0]"
"['209', '186', '18', 2, 0]"
"['209', '178', '21', 2, 0]"
"['209', '178', '20', 2, 0]"
"['209', '176', '21', 2, 0]"
"['209', '168', '20', 2, 0]"
"['209', '168', '20', 2, 0]"
"['209', '170', '23', 2, 0]"
"['209', '170', '22', 2, 0]"
"['209', '170', '20', 2, 0]"
"['209', '170', '20', 2, 0]"
"['209', '170', '19', 2, 0]"
"['209', '170', '18', 2, 0]"
"['209', '170', '17', 2, 0]"
"['209', '170', '16', 4.5, 0]"
"['209', '174', '16', 2, 0]"
"['209', '133', '16', 2, 0]"
"['209', '133', '16', 2, 0]"
"['209', '133', '16', 4.5, 0]"
"['209', '178', '14', 2, 0]"
"['209', '178', '16', 2, 0]"
"['209', '178', '14', 2, 0]"
"['209', '178', '14', 2, 0]"
"['209', '178', '14', 2, 0]"
"['209', '182', '16', 2, 0]"
"['209', '182', '16', 2, 0]"
