338.9292,-157.28424,-187.17096,-385.44055,43.544643,-169.67395,,0,1,2,3,4,5
150.1975,122.591705,-346.869,-2.05689,-14.468175,-63.206127,,,,,,,
156.46527,134.31367,-368.25668,1.7267962,-15.360651,-65.60988,,,,,,,
163.97441,145.33415,-391.29913,5.193291,-16.460379,-68.738914,,,,,,,
168.15714,151.74997,-402.85876,7.8470664,-16.400599,-70.92295,,,,,,,
164.23027,149.37605,-392.04263,9.414978,-15.128114,-70.13353,,,,,,,
152.47403,138.6916,-360.9436,9.805198,-13.755278,-66.53614,,,,,,,
143.85542,129.665,-335.31763,9.6357975,-13.141825,-64.12332,,,,,,,
137.75693,121.987816,-315.97113,9.268746,-13.178854,-62.599575,,,,,,,
139.62904,120.62042,-314.69763,8.880711,-14.230905,-64.717606,,,,,,,
156.036,130.64902,-345.21997,8.656079,-16.533466,-73.79378,,,,,,,
171.61209,138.51996,-372.6698,7.752264,-17.611568,-81.30422,,,,,,,
178.9978,138.78775,-382.4131,6.066564,-16.724941,-83.81997,,,,,,,
183.8513,137.44547,-387.9907,3.9801304,-14.694338,-84.70664,,,,,,,
170.99829,123.73402,-357.68765,1.21173,-12.070096,-77.19778,,,,,,,
162.85596,114.18273,-340.06833,-1.2719929,-10.655317,-71.762245,,,,,,,
159.88443,109.27698,-333.3095,-3.760768,-10.236427,-69.173225,,,,,,,
164.76218,110.21845,-342.2449,-6.4830585,-10.844769,-70.26685,,,,,,,
174.19453,114.6691,-360.5023,-9.694501,-12.512436,-73.60995,,,,,,,
178.95906,117.35117,-371.31693,-13.276538,-14.463419,-74.612755,,,,,,,
180.5442,117.93298,-376.11823,-16.822397,-16.603222,-73.8734,,,,,,,
168.27875,109.608604,-352.47577,-17.783419,-16.294884,-67.22771,,,,,,,
162.93571,106.973236,-343.56006,-18.406996,-15.677004,-64.1979,,,,,,,
158.66302,105.55367,-336.94974,-18.268713,-14.733443,-62.314873,,,,,,,
153.72188,103.85832,-328.5005,-17.306187,-13.945053,-60.377857,,,,,,,
156.02557,107.056435,-334.6201,-16.519707,-14.088319,-61.301636,,,,,,,
166.22044,115.950195,-357.30865,-15.8755865,-15.12075,-65.77958,,,,,,,
172.79373,122.4053,-372.93768,-14.158848,-15.551268,-69.917435,,,,,,,
174.63219,125.32288,-379.07156,-11.888817,-15.248949,-72.72884,,,,,,,
167.30188,121.498924,-365.84747,-9.906018,-14.646965,-71.86829,,,,,,,
160.07384,116.6955,-351.76312,-8.608437,-14.583716,-71.0234,,,,,,,
