"[-1, -1, -92, -3.25, -6, 4, 0]"
"[-1, -1, -92, -3.25, -6, 2, 0]"
"[-1, -1, -92, -3.25, -6, 2, 1]"
"[-1, -1, -92, -3.25, -6, 2, 1]"
"[-1, -1, -93, -3.25, -6, 2, 1]"
"[25, 209, -92, -4, -5, 2, 2]"
"[25, 209, -93, -4, -5, 2, 3]"
"[25, 209, -93, -4, -5, 2, 3]"
"[25, 209, -94, -4, -5, 2, 4]"
"[24, 210, -82, 24, 27.25, 2, 5]"
"[22, 211, -64, 31, 82.75, 2, 5]"
"[22, 211, -56, 81, 29, 2, 6]"
"[22, 211, -57, 81, 29, 3.5, 6]"
"[22, 211, -57, 81, 29, 3.5, 7]"
"[46, 213, -38, 127.75, 18, 3.5, 7]"
"[25, 214, -28, 141.25, 0.5, 2, 7]"
"[25, 214, -23, 178.5, -49.25, 6, 8]"
"[25, 214, -23, 178.5, -49.25, 2, 8]"
"[144, 215, -7, 180.5, 33.25, 2, 8]"
"[54, 216, 2, 176.5, 63.25, 2, 8]"
"[54, 216, 1, 176.5, 63.25, 9, 8]"
"[181, 217, 7, 171.75, 37.5, 9, 8]"
"[213, 217, 15, 166.5, 65, 2, 8]"
"[213, 217, 14, 166.5, 65, 2, 8]"
"[218, 200, 23, 144.75, -14.75, 2, 8]"
"[218, 200, 22, 144.75, -14.75, 4.5, 8]"
"[218, 196, 31, 140.25, 12.5, 4, 8]"
"[219, 183, 34, 113.25, -23.75, 2, 7]"
"[219, 183, 34, 113.25, -23.75, 2, 7]"
"[221, 153, 41, 87.25, -63.75, 2, 7]"
"[221, 153, 40, 87.25, -63.75, 2, 6]"
"[221, 150, 40, 74.5, 25.25, 4.5, 6]"
"[221, 150, 40, 74.5, 25.25, 2, 6]"
"[222, 139, 38, 28, -39.5, 2, 6]"
"[222, 40, 36, 11.75, 14, 4, 6]"
"[222, 40, 35, 11.75, 14, 2, 5]"
"[223, 142, 32, -24.25, -17.75, 4.5, 5]"
"[223, 142, 32, -24.25, -17.75, 4.5, 5]"
"[224, 71, 24, -64.5, -60.75, 4.5, 5]"
"[224, 88, 21, -74.25, -71.25, 4.5, 4]"
"[224, 88, 21, -74.25, -71.25, 4.5, 4]"
"[224, 88, 16, -87.25, -95.25, 4.5, 4]"
"[224, 88, 15, -87.25, -95.25, 6, 4]"
"[225, 143, 11, -71, -32.5, 4.5, 4]"
"[226, 144, 9, -59.75, -37.75, 6, 4]"
"[226, 144, 7, -53, -5.75, 4.5, 4]"
