"['-1', '-1', '-98', 1.5, 0]","['-1', '-1', '-98', 1.5, 0]"
"['-1', '-1', '-98', 6, 0]","['-1', '-1', '-98', 1.5, 0]"
"['-1', '-1', '-98', 6, 0]","['-1', '-1', '-98', 6, 0]"
"['109', '209', '-98', 9, 0]","['-1', '-1', '-98', 6, 0]"
"['109', '209', '-99', 4, 0]","['109', '209', '-98', 9, 0]"
"['109', '209', '-97', 9, 0]","['109', '209', '-99', 4, 0]"
"['109', '209', '-96', 4, 0]","['109', '209', '-97', 9, 0]"
"['109', '209', '-97', 9, 0]","['109', '209', '-96', 4, 0]"
"['109', '209', '-94', 4, 0]","['109', '209', '-97', 9, 0]"
"['109', '209', '-92', 9, 0]","['109', '209', '-94', 4, 0]"
"['109', '209', '-80', 6, 0]","['109', '209', '-92', 9, 0]"
"['109', '209', '-80', 9, 0]","['109', '209', '-80', 6, 0]"
"['109', '209', '-71', 6, 0]","['109', '209', '-80', 9, 0]"
"['109', '209', '-66', 9, 0]","['109', '209', '-71', 6, 0]"
"['109', '209', '-66', 6, 0]","['109', '209', '-66', 9, 0]"
"['109', '209', '-59', 9, 0]","['109', '209', '-66', 6, 0]"
"['109', '209', '-52', 6, 0]","['109', '209', '-59', 9, 0]"
"['109', '209', '-45', 9, 0]","['109', '209', '-52', 6, 0]"
"['109', '209', '-41', 6, 0]","['109', '209', '-45', 9, 0]"
"['109', '209', '-38', 9, 0]","['109', '209', '-41', 6, 0]"
"['109', '209', '-33', 6, 0]","['109', '209', '-38', 9, 0]"
"['109', '209', '-31', 9, 0]","['109', '209', '-33', 6, 0]"
"['109', '209', '-28', 6, 0]","['109', '209', '-31', 9, 0]"
"['109', '209', '-24', 9, 0]","['109', '209', '-28', 6, 0]"
"['109', '209', '-24', 6, 0]","['109', '209', '-24', 9, 0]"
"['109', '209', '-14', 9, 0]","['109', '209', '-24', 6, 0]"
"['109', '209', '-10', 6, 0]","['109', '209', '-14', 9, 0]"
"['109', '209', '-10', 9, 0]","['109', '209', '-10', 6, 0]"
"['109', '209', '-6', 6, 0]","['109', '209', '-10', 9, 0]"
"['119', '209', '0', 9, 0]","['109', '209', '-6', 6, 0]"
"['119', '209', '3', 6, 0]","['119', '209', '0', 9, 0]"
"['149', '209', '5', 9, 0]","['119', '209', '3', 6, 0]"
"['149', '209', '5', 6, 0]","['149', '209', '5', 9, 0]"
"['209', '209', '10', 3.5, 0]","['149', '209', '5', 6, 0]"
"['209', '183', '14', 9, 0]","['209', '209', '10', 3.5, 0]"
"['209', '193', '18', 6, 0]","['209', '183', '14', 9, 0]"
"['209', '193', '21', 9, 0]","['209', '193', '18', 6, 0]"
"['209', '120', '26', 6, 0]","['209', '193', '21', 9, 0]"
"['209', '120', '26', 9, 0]","['209', '120', '26', 6, 0]"
"['209', '109', '28', 6, 0]","['209', '120', '26', 9, 0]"
"['209', '109', '30', 9, 0]","['209', '109', '28', 6, 0]"
"['209', '109', '28', 6, 0]","['209', '109', '30', 9, 0]"
"['209', '109', '30', 9, 0]","['209', '109', '28', 6, 0]"
"['209', '109', '28', 6, 0]","['209', '109', '30', 9, 0]"
"['209', '109', '27', 9, 0]","['209', '109', '28', 6, 0]"
"['209', '109', '26', 6, 0]","['209', '109', '27', 9, 0]"
"['209', '109', '25', 9, 0]","['209', '109', '26', 6, 0]"
"['209', '109', '22', 6, 0]","['209', '109', '25', 9, 0]"
"['209', '109', '21', 4.5, 0]","['209', '109', '22', 6, 0]"
"['209', '109', '20', 9, 0]","['209', '109', '21', 4.5, 0]"
"['209', '111', '20', 6, 0]","['209', '109', '20', 9, 0]"
"['209', '111', '19', 4, 0]","['209', '111', '20', 6, 0]"
"['209', '109', '16', 9, 0]","['209', '111', '19', 4, 0]"
"['209', '130', '14', 6, 0]","['209', '109', '16', 9, 0]"
"['209', '109', '14', 9, 0]","['209', '130', '14', 6, 0]"
"['209', '109', '13', 6, 0]","['209', '109', '14', 9, 0]"
"['209', '109', '12', 9, 0]","['209', '109', '13', 6, 0]"
"['209', '126', '10', 6, 0]","['209', '109', '12', 9, 0]"
"['209', '109', '8', 3.5, 0]","['209', '126', '10', 6, 0]"
"['209', '138', '7', 9, 0]","['209', '109', '8', 3.5, 0]"
"['209', '175', '2', 6, 0]","['209', '138', '7', 9, 0]"
"['209', '138', '3', 9, 0]","['209', '175', '2', 6, 0]"
"['209', '168', '1', 6, 0]","['209', '138', '3', 9, 0]"
"['209', '192', '1', 9, 0]","['209', '168', '1', 6, 0]"
"['209', '192', '0', 6, 0]","['209', '192', '1', 9, 0]"
"['209', '201', '-2', 9, 0]","['209', '192', '0', 6, 0]"
"['209', '204', '-2', 6, 0]","['209', '201', '-2', 9, 0]"
"['209', '204', '-3', 9, 0]","['209', '204', '-2', 6, 0]"
"['209', '209', '-3', 6, 0]","['209', '204', '-3', 9, 0]"
"['191', '209', '-2', 9, 0]","['209', '209', '-3', 6, 0]"
"['191', '209', '-3', 6, 0]","['191', '209', '-2', 9, 0]"
"['191', '209', '-2', 9, 0]","['191', '209', '-3', 6, 0]"
"['197', '209', '-1', 6, 0]","['191', '209', '-2', 9, 0]"
"['197', '209', '-1', 9, 0]","['197', '209', '-1', 6, 0]"
"['182', '209', '0', 6, 0]","['197', '209', '-1', 9, 0]"
"['200', '209', '0', 9, 0]","['182', '209', '0', 6, 0]"
"['200', '209', '0', 4, 0]","['200', '209', '0', 9, 0]"
"['203', '209', '0', 9, 0]","['200', '209', '0', 4, 0]"
"['209', '209', '-1', 6, 0]","['203', '209', '0', 9, 0]"
"['209', '209', '-1', 9, 0]","['209', '209', '-1', 6, 0]"
"['209', '209', '0', 6, 0]","['209', '209', '-1', 9, 0]"
"['200', '209', '-1', 9, 0]","['209', '209', '0', 6, 0]"
"['200', '209', '-1', 6, 0]","['200', '209', '-1', 9, 0]"
"['203', '209', '0', 9, 0]","['200', '209', '-1', 6, 0]"
"['203', '209', '0', 2, 0]","['203', '209', '0', 9, 0]"
"['203', '209', '0', 9, 0]","['203', '209', '0', 2, 0]"
"['200', '209', '-1', 6, 0]","['203', '209', '0', 9, 0]"
"['209', '209', '-1', 9, 0]","['200', '209', '-1', 6, 0]"
"['209', '209', '0', 6, 0]","['209', '209', '-1', 9, 0]"
"['209', '209', '0', 9, 0]","['209', '209', '0', 6, 0]"
"['203', '209', '0', 6, 0]","['209', '209', '0', 9, 0]"
"['203', '209', '0', 9, 0]","['203', '209', '0', 6, 0]"
"['209', '209', '0', 6, 0]","['203', '209', '0', 9, 0]"
"['209', '209', '0', 9, 0]","['209', '209', '0', 6, 0]"
"['209', '209', '0', 6, 0]","['209', '209', '0', 9, 0]"
"['209', '209', '-1', 9, 0]","['209', '209', '0', 6, 0]"
"['209', '209', '0', 2, 0]","['209', '209', '-1', 9, 0]"
"['209', '209', '-1', 2, 0]","['209', '209', '0', 2, 0]"
"['209', '209', '-1', 4.5, 0]","['209', '209', '-1', 2, 0]"
"['207', '209', '0', 9, 0]","['209', '209', '-1', 4.5, 0]"
"['205', '209', '-1', 6, 0]","['207', '209', '0', 9, 0]"
"['205', '209', '-2', 4, 0]","['205', '209', '-1', 6, 0]"
"['200', '209', '-1', 9, 0]","['205', '209', '-2', 4, 0]"
"['205', '209', '-4', 6, 0]","['200', '209', '-1', 9, 0]"
"['191', '209', '-1', 9, 0]","['205', '209', '-4', 6, 0]"
"['203', '209', '-4', 6, 0]","['191', '209', '-1', 9, 0]"
"['173', '209', '-2', 9, 0]","['203', '209', '-4', 6, 0]"
"['203', '209', '-3', 6, 0]","['173', '209', '-2', 9, 0]"
"['173', '209', '0', 9, 0]","['203', '209', '-3', 6, 0]"
"['197', '209', '-2', 6, 0]","['173', '209', '0', 9, 0]"
"['182', '209', '0', 9, 0]","['197', '209', '-2', 6, 0]"
"['209', '209', '0', 6, 0]","['182', '209', '0', 9, 0]"
"['209', '209', '2', 9, 0]","['209', '209', '0', 6, 0]"
"['209', '209', '2', 6, 0]","['209', '209', '2', 9, 0]"
"['209', '209', '5', 3.5, 0]","['209', '209', '2', 6, 0]"
"['209', '198', '6', 9, 0]","['209', '209', '5', 3.5, 0]"
"['209', '203', '9', 6, 0]","['209', '198', '6', 9, 0]"
