141.29613,145.93181,-388.80246,-9.843617,-17.145174,-70.180725,,0,1,2,3,4,5
126.900604,131.3265,-350.2549,-8.221601,-15.483386,-62.636375,,122.7947379,127.1210507,-348.5142801,-8.277732562,-15.08754996,-61.34970123
119.171715,123.67678,-330.97073,-7.091003,-14.594477,-58.636986,,,,,,,
99.06194,102.85962,-275.06845,-5.748351,-12.368771,-48.84423,,,,,,,
92.557495,95.69026,-255.53308,-5.780424,-11.709165,-45.863384,,,,,,,
85.78833,88.81186,-239.47853,-6.4195423,-10.232978,-43.108273,,,,,,,
80.06713,82.707726,-221.29169,-4.9294214,-9.296741,-39.60389,,,,,,,
88.07192,91.230965,-246.09445,-5.0338717,-9.961411,-43.18383,,,,,,,
101.71081,105.68263,-286.3743,-6.072763,-11.894483,-49.967518,,,,,,,
103.106155,106.91667,-290.22366,-6.902259,-13.125698,-50.74686,,,,,,,
112.71791,115.93799,-314.98962,-8.25247,-15.338818,-55.76612,,,,,,,
121.49501,123.315125,-335.10956,-8.4816475,-16.261381,-60.61036,,,,,,,
125.338234,127.259605,-344.0719,-7.447601,-15.544189,-62.663193,,,,,,,
124.6317,127.23339,-342.99417,-6.7319345,-13.829388,-62.113346,,,,,,,
118.8101,123.35581,-329.6079,-6.7364264,-12.659776,-58.69469,,,,,,,
120.08328,126.136566,-333.42422,-8.276217,-12.914527,-59.2202,,,,,,,
122.61326,129.44089,-338.82562,-9.362236,-14.275172,-60.646297,,,,,,,
128.56729,135.33238,-352.8234,-9.392288,-16.724575,-64.339676,,,,,,,
128.25038,135.06073,-352.19116,-7.770348,-17.219765,-64.5146,,,,,,,
125.75956,132.874,-347.9076,-6.576948,-16.375954,-63.23839,,,,,,,
124.68108,130.9632,-345.4715,-6.6167526,-14.863914,-62.299164,,,,,,,
129.917,134.90125,-358.26385,-8.04545,-14.697406,-64.67274,,,,,,,
125.91087,128.84424,-344.04593,-9.063862,-14.593248,-62.35319,,,,,,,
118.17981,119.88057,-322.38223,-8.506153,-14.53338,-57.954006,,,,,,,
121.35086,123.16679,-332.73438,-7.703979,-15.254618,-58.909847,,,,,,,
132.20496,134.17992,-364.27512,-7.6153812,-16.449009,-63.942505,,,,,,,
129.76556,131.8977,-358.9469,-7.897191,-15.834129,-63.19437,,,,,,,
132.21983,135.0759,-367.6036,-8.899116,-15.776785,-65.74554,,,,,,,
129.69318,134.20392,-364.75,-8.964001,-15.339386,-65.3618,,,,,,,
124.041756,130.20552,-352.8648,-8.166418,-15.078786,-62.573776,,,,,,,
122.28143,129.28703,-348.39713,-7.7761784,-15.37089,-61.680016,,,,,,,
125.391045,132.54082,-355.1405,-8.141093,-16.107628,-63.450184,,,,,,,
130.8206,137.00075,-365.8932,-8.757302,-16.51915,-65.97278,,,,,,,
130.59238,135.49799,-362.28702,-8.523543,-15.605499,-65.057076,,,,,,,
127.57181,131.372,-353.0005,-8.010827,-14.762313,-62.493126,,,,,,,
