"['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]"
"['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]"
"['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]"
"['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]"
"['109', '209', '-106', 4, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]"
"['109', '209', '-106', 2, 0]","['109', '209', '-106', 4, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]"
"['109', '209', '-106', 2, 0]","['109', '209', '-106', 2, 0]","['109', '209', '-106', 4, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]"
"['109', '209', '-107', 2, 0]","['109', '209', '-106', 2, 0]","['109', '209', '-106', 2, 0]","['109', '209', '-106', 4, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]"
"['109', '209', '-107', 2, 0]","['109', '209', '-107', 2, 0]","['109', '209', '-106', 2, 0]","['109', '209', '-106', 2, 0]","['109', '209', '-106', 4, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]"
"['109', '209', '-103', 2, 0]","['109', '209', '-107', 2, 0]","['109', '209', '-107', 2, 0]","['109', '209', '-106', 2, 0]","['109', '209', '-106', 2, 0]","['109', '209', '-106', 4, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]"
"['109', '209', '-102', 4.5, 0]","['109', '209', '-103', 2, 0]","['109', '209', '-107', 2, 0]","['109', '209', '-107', 2, 0]","['109', '209', '-106', 2, 0]","['109', '209', '-106', 2, 0]","['109', '209', '-106', 4, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]"
"['109', '209', '-103', 4.5, 0]","['109', '209', '-102', 4.5, 0]","['109', '209', '-103', 2, 0]","['109', '209', '-107', 2, 0]","['109', '209', '-107', 2, 0]","['109', '209', '-106', 2, 0]","['109', '209', '-106', 2, 0]","['109', '209', '-106', 4, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 2, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]","['-1', '-1', '-106', 1.5, 0]"
