pitch
yaw
slope
roll
"['-0.66', '17.31', '-0.67', '178.20', '120.00']","['-0.66', '178.31', '-0.64', '178.30', '120.00']","['-0.66', '178.30', '-0.63', '178.27', '120.00']","['-0.66', '178.30', '-0.65', '178.26', '120.00']",255,100,0,100,0,0,.,2,9,8,8,8,6,7,7,5,9,7,0,4,5,9
"['-0.64', '17.31', '-0.67', '178.29', '100.00']","['-0.66', '17.31', '-0.67', '178.20', '120.00']","['-0.66', '178.31', '-0.64', '178.30', '120.00']","['-0.66', '178.30', '-0.63', '178.27', '120.00']",255,130,0,130,0,0,.,5,0,1,5,6,4,5,0,2,7,1,6,0,6,4,5
"['-0.64', '178.33', '-0.62', '178.33', '130.00']","['-0.64', '17.31', '-0.67', '178.29', '100.00']","['-0.66', '17.31', '-0.67', '178.20', '120.00']","['-0.66', '178.31', '-0.64', '178.30', '120.00']",255,125,0,125,0,0,.,7,1,9,0,2,2,7,5,0,8,5,4,4,9,2,2
"['-0.64', '178.33', '-0.58', '178.28', '125.00']","['-0.64', '178.33', '-0.62', '178.33', '130.00']","['-0.64', '17.31', '-0.67', '178.29', '100.00']","['-0.66', '17.31', '-0.67', '178.20', '120.00']",255,110,0,110,0,0,.,8,6,1,0,1,0,0,7,4,6,1,5,4,7,8,5
"['-0.63', '178.32', '-0.56', '178.25', '110.00']","['-0.64', '178.33', '-0.58', '178.28', '125.00']","['-0.64', '178.33', '-0.62', '178.33', '130.00']","['-0.64', '17.31', '-0.67', '178.29', '100.00']",255,110,0,110,0,1,.,0,3,3,9,5,8,9,1,1,8,9,5,7,5,2
"['-0.62', '178.33', '-0.60', '178.23', '110.00']","['-0.63', '178.32', '-0.56', '178.25', '110.00']","['-0.64', '178.33', '-0.58', '178.28', '125.00']","['-0.64', '178.33', '-0.62', '178.33', '130.00']",255,125,0,125,0,1,.,1,8,9,8,3,1,4,9,5,2,8,5,0,3,4,2
"['-0.62', '178.34', '-0.64', '178.24', '125.00']","['-0.62', '178.33', '-0.60', '178.23', '110.00']","['-0.63', '178.32', '-0.56', '178.25', '110.00']","['-0.64', '178.33', '-0.58', '178.28', '125.00']",255,140,0,140,0,1,.,3,4,6,8,5,3,9,7,1,4,8,1,3,2,3,2
"['-0.62', '178.32', '-0.55', '178.27', '140.00']","['-0.62', '178.34', '-0.64', '178.24', '125.00']","['-0.62', '178.33', '-0.60', '178.23', '110.00']","['-0.63', '178.32', '-0.56', '178.25', '110.00']",255,140,0,140,0,1,.,5,1,8,7,7,5,9,3,9,9,4,1,4,0,6,2
"['-0.62', '178.31', '-0.64', '178.25', '140.00']","['-0.62', '178.32', '-0.55', '178.27', '140.00']","['-0.62', '178.34', '-0.64', '178.24', '125.00']","['-0.62', '178.33', '-0.60', '178.23', '110.00']",255,140,0,140,0,1,.,6,6,1,6,3,3,9,6,8,3,5,3,2,7,1,5
"['-0.61', '178.32', '-0.69', '178.31', '140.00']","['-0.62', '178.31', '-0.64', '178.25', '140.00']","['-0.62', '178.32', '-0.55', '178.27', '140.00']","['-0.62', '178.34', '-0.64', '178.24', '125.00']",255,130,0,130,0,1,.,8,3,2,1,1,8,0,3,4,3,6,2,7,9,3
"['-0.62', '178.30', '-0.61', '178.17', '130.00']","['-0.61', '178.32', '-0.69', '178.31', '140.00']","['-0.62', '178.31', '-0.64', '178.25', '140.00']","['-0.62', '178.32', '-0.55', '178.27', '140.00']",255,125,0,125,0,2,.,0,0,3,6,0,5,3,6,5,7,5,3,1,7,4
"['-0.61', '178.26', '-0.61', '178.14', '125.00']","['-0.62', '178.30', '-0.61', '178.17', '130.00']","['-0.61', '178.32', '-0.69', '178.31', '140.00']","['-0.62', '178.31', '-0.64', '178.25', '140.00']",255,125,0,125,0,2,.,1,5,9,6,1,1,7,0,1,9,6,5,3,3,2
"['-0.61', '178.23', '-0.61', '178.20', '125.00']","['-0.61', '178.26', '-0.61', '178.14', '125.00']","['-0.62', '178.30', '-0.61', '178.17', '130.00']","['-0.61', '178.32', '-0.69', '178.31', '140.00']",255,125,0,125,0,2,.,3,1,8,1,8,1,7,5,3,1,5,8,5,6,9,3
"['-0.61', '178.23', '-0.63', '178.22', '125.00']","['-0.61', '178.23', '-0.61', '178.20', '125.00']","['-0.61', '178.26', '-0.61', '178.14', '125.00']","['-0.62', '178.30', '-0.61', '178.17', '130.00']",255,130,0,130,0,2,.,4,9,0,2,4,5,8,1,9,0,9,1,7,9,7
"['-0.61', '178.23', '-0.61', '178.32', '130.00']","['-0.61', '178.23', '-0.63', '178.22', '125.00']","['-0.61', '178.23', '-0.61', '178.20', '125.00']","['-0.61', '178.26', '-0.61', '178.14', '125.00']",255,130,0,130,0,2,.,6,7,5,2,9,1,5,3,8,2,3,8,5,2,5,4
"['-0.60', '17.23', '-0.66', '178.19', '130.00']","['-0.61', '178.23', '-0.61', '178.32', '130.00']","['-0.61', '178.23', '-0.63', '178.22', '125.00']","['-0.61', '178.23', '-0.61', '178.20', '125.00']",255,130,0,130,0,2,.,8,4,5,9,8,4,6,9,7,3,4,1,9,1,9
"['-0.60', '178.24', '-0.60', '178.28', '130.00']","['-0.60', '17.23', '-0.66', '178.19', '130.00']","['-0.61', '178.23', '-0.61', '178.32', '130.00']","['-0.61', '178.23', '-0.63', '178.22', '125.00']",255,110,0,110,0,3,.,0,0,2,4,4,5,6,9,7,7,8,4,4,2,4
"['-0.59', '17.23', '-0.57', '178.27', '110.00']","['-0.60', '178.24', '-0.60', '178.28', '130.00']","['-0.60', '17.23', '-0.66', '178.19', '130.00']","['-0.61', '178.23', '-0.61', '178.32', '130.00']",255,110,0,110,0,3,.,1,7,2,2,7,3,1,5,9,0,2,7,0,9,9,6
"['-0.59', '17.21', '-0.64', '178.26', '110.00']","['-0.59', '17.23', '-0.57', '178.27', '110.00']","['-0.60', '178.24', '-0.60', '178.28', '130.00']","['-0.60', '17.23', '-0.66', '178.19', '130.00']",255,110,0,110,0,3,.,3,7,3,5,6,7,3,4,2,7,5,8,1,7,8,7
"['-0.59', '178.22', '-0.61', '178.32', '110.00']","['-0.59', '17.21', '-0.64', '178.26', '110.00']","['-0.59', '17.23', '-0.57', '178.27', '110.00']","['-0.60', '178.24', '-0.60', '178.28', '130.00']",255,110,0,110,0,3,.,5,6,3,0,2,2,1,3,6,6,8,8,2,3,2,4
Epoch End
EPOCH: 000/009 | REWARD: -100.000000 | LOSS: 34774.8154 | Q_MAX: -129.4885
"['-0.60', '178.24', '-0.63', '178.28', '110.00']","['-0.60', '178.24', '-0.60', '178.23', '110.00']","['-0.60', '178.24', '-0.60', '178.30', '110.00']","['-0.60', '178.24', '-0.60', '178.19', '110.00']",255,110,0,110,0,0,.,2,8,2,4,8,6,2,0,0,3,3,2,6,4,1,6
"['-0.60', '178.26', '-0.62', '178.35', '110.00']","['-0.60', '178.24', '-0.63', '178.28', '110.00']","['-0.60', '178.24', '-0.60', '178.23', '110.00']","['-0.60', '178.24', '-0.60', '178.30', '110.00']",255,110,0,110,0,0,.,4,5,2,5,1,2,7,4,1,0,8,8,8,6,7,2
"['-0.58', '178.26', '-0.62', '178.35', '110.00']","['-0.60', '178.26', '-0.62', '178.35', '110.00']","['-0.60', '178.24', '-0.63', '178.28', '110.00']","['-0.60', '178.24', '-0.60', '178.23', '110.00']",255,140,0,140,0,0,.,6,2,4,2,7,6,3,9,9,6,1,2,4,2,6,8
"['-0.58', '178.27', '-0.63', '178.29', '140.00']","['-0.58', '178.26', '-0.62', '178.35', '110.00']","['-0.60', '178.26', '-0.62', '178.35', '110.00']","['-0.60', '178.24', '-0.63', '178.28', '110.00']",255,140,0,140,0,0,.,7,9,7,0,0,0,4,0,8,1,7,2,6,0,7,4
"['-0.58', '17.28', '-0.68', '178.31', '140.00']","['-0.58', '178.27', '-0.63', '178.29', '140.00']","['-0.58', '178.26', '-0.62', '178.35', '110.00']","['-0.60', '178.26', '-0.62', '178.35', '110.00']",255,125,0,125,0,0,.,9,8,5,5,4,9,9,2,6,7,5,7,8,1,2,5
"['-0.58', '178.28', '-0.60', '178.33', '125.00']","['-0.58', '17.28', '-0.68', '178.31', '140.00']","['-0.58', '178.27', '-0.63', '178.29', '140.00']","['-0.58', '178.26', '-0.62', '178.35', '110.00']",255,125,0,125,0,1,.,1,4,2,1,3,0,6,1,3,3,2,7,0,2,6,4
"['-0.58', '178.28', '-0.63', '178.31', '125.00']","['-0.58', '178.28', '-0.60', '178.33', '125.00']","['-0.58', '17.28', '-0.68', '178.31', '140.00']","['-0.58', '178.27', '-0.63', '178.29', '140.00']",255,125,0,125,0,1,.,2,8,1,8,6,2,9,7,4,1,6,6,8,7,0,1
"['-0.58', '178.28', '-0.62', '178.28', '125.00']","['-0.58', '178.28', '-0.63', '178.31', '125.00']","['-0.58', '178.28', '-0.60', '178.33', '125.00']","['-0.58', '17.28', '-0.68', '178.31', '140.00']",255,130,0,130,0,1,.,4,3,8,9,8,6,3,0,1,4,2,2,1,1,9,1
"['-0.58', '178.28', '-0.64', '178.36', '130.00']","['-0.58', '178.28', '-0.62', '178.28', '125.00']","['-0.58', '178.28', '-0.63', '178.31', '125.00']","['-0.58', '178.28', '-0.60', '178.33', '125.00']",255,125,0,125,0,1,.,6,0,9,8,4,4,6,8,4,6,0,0,8,3
"['-0.59', '178.27', '-0.66', '178.27', '125.00']","['-0.58', '178.28', '-0.64', '178.36', '130.00']","['-0.58', '178.28', '-0.62', '178.28', '125.00']","['-0.58', '178.28', '-0.63', '178.31', '125.00']",255,130,0,130,0,1,.,7,8,1,3,7,9,4,6,1,2,8,8,4,5,2,1
"['-0.60', '17.27', '-0.63', '178.33', '130.00']","['-0.59', '178.27', '-0.66', '178.27', '125.00']","['-0.58', '178.28', '-0.64', '178.36', '130.00']","['-0.58', '178.28', '-0.62', '178.28', '125.00']",255,125,0,125,0,1,.,9,5,2,7,0,7,5,2,9,0,6,7,9,9,3,2
"['-0.60', '17.26', '-0.68', '178.35', '125.00']","['-0.60', '17.27', '-0.63', '178.33', '130.00']","['-0.59', '178.27', '-0.66', '178.27', '125.00']","['-0.58', '178.28', '-0.64', '178.36', '130.00']",255,125,0,125,0,2,.,1,5,5,6,5,2,9,9,9,8,7,7,9,2,9,7
"['-0.62', '178.27', '-0.68', '178.32', '125.00']","['-0.60', '17.26', '-0.68', '178.35', '125.00']","['-0.60', '17.27', '-0.63', '178.33', '130.00']","['-0.59', '178.27', '-0.66', '178.27', '125.00']",255,130,0,130,0,2,.,3,2,7,6,1,9,5,5,2,6,1,2,3,0,4,7
"['-0.62', '178.25', '-0.57', '178.34', '130.00']","['-0.62', '178.27', '-0.68', '178.32', '125.00']","['-0.60', '17.26', '-0.68', '178.35', '125.00']","['-0.60', '17.27', '-0.63', '178.33', '130.00']",255,100,0,100,0,2,.,5,1,5,6,7,5,3,0,6,3,2,0,1,9,0,4
"['-0.63', '178.25', '-0.61', '178.22', '100.00']","['-0.62', '178.25', '-0.57', '178.34', '130.00']","['-0.62', '178.27', '-0.68', '178.32', '125.00']","['-0.60', '17.26', '-0.68', '178.35', '125.00']",255,100,0,100,0,2,.,7,0,1,4,2,5,5,5,2,3,6,8,1,6,4
"['-0.65', '178.25', '-0.60', '178.26', '100.00']","['-0.63', '178.25', '-0.61', '178.22', '100.00']","['-0.62', '178.25', '-0.57', '178.34', '130.00']","['-0.62', '178.27', '-0.68', '178.32', '125.00']",255,100,0,100,0,2,.,8,7,3,0,2,6,3,7,1,0,0,2,1,9,7,3
"['-0.65', '178.29', '-0.60', '178.40', '100.00']","['-0.65', '178.25', '-0.60', '178.26', '100.00']","['-0.63', '178.25', '-0.61', '178.22', '100.00']","['-0.62', '178.25', '-0.57', '178.34', '130.00']",255,100,0,100,0,3,.,0,6,0,3,9,0,9,4,9,2,4,9,2,6,7,6
"['-0.65', '178.30', '-0.59', '178.27', '100.00']","['-0.65', '178.29', '-0.60', '178.40', '100.00']","['-0.65', '178.25', '-0.60', '178.26', '100.00']","['-0.63', '178.25', '-0.61', '178.22', '100.00']",255,100,0,100,0,3,.,2,6,3,3,6,1,9,3,0,8,4,7,1,6,8
"['-0.65', '178.30', '-0.57', '178.31', '100.00']","['-0.65', '178.30', '-0.59', '178.27', '100.00']","['-0.65', '178.29', '-0.60', '178.40', '100.00']","['-0.65', '178.25', '-0.60', '178.26', '100.00']",255,100,0,100,0,3,.,4,6,7,0,1,2,6,4,3,8,1,4,0,8,7
"['-0.65', '178.30', '-0.66', '178.37', '100.00']","['-0.65', '178.30', '-0.57', '178.31', '100.00']","['-0.65', '178.30', '-0.59', '178.27', '100.00']","['-0.65', '178.29', '-0.60', '178.40', '100.00']",255,130,0,130,0,3,.,6,3,8,1,6,2,6,1,2,9,1,5,0,3,9
Epoch End
"['-0.63', '178.27', '-0.60', '178.25', '130.00']","['-0.63', '178.27', '-0.61', '178.26', '130.00']","['-0.63', '178.28', '-0.62', '178.24', '130.00']","['-0.64', '178.29', '-0.63', '178.29', '130.00']",255,100,0,100,0,0,.,2,6,5,3,8,2,7,6,6,7,2,3,6,3,2,8
