pitch
yaw
slope
roll
"[0.0, 0.0, 0.017, 0.0]","[0.0, 0.0, 0.02, 0.0]",255,20,0,0,0,0.3430969715118408
EPOCH: 000/009 | REWARD: 1.000000 | LOSS: 0.1997
Epoch End
"[0.1, -1.93, 0.017, 0.0]","[0.09, -1.76, 0.204, 0.0]",255,20,0,0,0,0.5814435482025146
EPOCH: 001/009 | REWARD: 0.978556 | LOSS: 0.1912
Epoch End
"[0.24, -5.04, 0.017, 0.0]","[0.22, -4.67, 0.136, 0.0]",255,20,0,0,0,0.7513346672058105
EPOCH: 002/009 | REWARD: 0.944000 | LOSS: 0.1851
Epoch End
"[0.43, -9.5, 0.017, 0.0]","[0.41, -8.91, 0.135, 0.0]",255,20,0,0,0,0.9200127124786377
EPOCH: 003/009 | REWARD: 0.894444 | LOSS: 0.1696
Epoch End
"[0.69, -16.03, 0.017, 0.0]","[0.69, -16.03, 0.129, 0.0]",255,20,0,0,0,1.0825676918029785
EPOCH: 004/009 | REWARD: 0.821889 | LOSS: 0.1682
Epoch End
"[1.05, -26.39, 0.017, 0.0]","[1.01, -25.12, 0.135, 0.0]",255,20,0,0,0,1.251457929611206
EPOCH: 005/009 | REWARD: 0.706778 | LOSS: 0.1504
Epoch End
"[1.43, -39.01, 0.017, 0.0]","[1.38, -37.28, 0.134, 0.0]",255,20,0,0,0,1.4178152084350586
EPOCH: 006/009 | REWARD: 0.566556 | LOSS: 0.1773
Epoch End
"[1.88, -55.66, 0.017, 0.0]","[1.88, -55.66, 0.134, 0.0]",255,-20,0,0,0,1.58585524559021
EPOCH: 007/009 | REWARD: 0.381556 | LOSS: 0.1690
Epoch End
"[2.31, -78.39, 0.017, 0.0]","[2.26, -75.58, 0.134, 0.0]",255,20,0,0,0,1.752814531326294
EPOCH: 008/009 | REWARD: 0.129000 | LOSS: 0.1179
Epoch End
"[0.0, 0.0, 0.017, 0.0]","[2.7, -100.32, 0.123, 1.0]",255,20,0,0,0,1.9098498821258545
EPOCH: 009/009 | REWARD: 1.000000 | LOSS: 0.1318
Epoch End
