pitch
yaw
slope
roll
"['-5.27', '-2.32', '.00', '0.00']","['-5.27', '-2.48', '0.00', '0.00']","['-5.31', '-2.60', '.00', '0.00']","['-5.36', '-2.75', '.00', '0.00']",255,130,0,130,0,0.29213452339172363
"['-5.58', '-3.01', '.00', '0.00']","['-5.27', '-2.32', '.00', '0.00']","['-5.27', '-2.48', '0.00', '0.00']","['-5.31', '-2.60', '.00', '0.00']",255,140,0,140,0,2.2043604850769043
"['-5.22', '-2.78', '.00', '0.00']","['-5.58', '-3.01', '.00', '0.00']","['-5.27', '-2.32', '.00', '0.00']","['-5.27', '-2.48', '0.00', '0.00']",255,110,0,110,0,2.4770021438598633
"['-5.44', '-2.46', '.00', '0.00']","['-5.22', '-2.78', '.00', '0.00']","['-5.58', '-3.01', '.00', '0.00']","['-5.27', '-2.32', '.00', '0.00']",255,110,0,110,0,2.6305623054504395
"['-5.67', '-2.47', '.00', '0.00']","['-5.44', '-2.46', '.00', '0.00']","['-5.22', '-2.78', '.00', '0.00']","['-5.58', '-3.01', '.00', '0.00']",255,100,0,100,0,2.800841808319092
"['-5.55', '-2.34', '.00', '0.00']","['-5.67', '-2.47', '.00', '0.00']","['-5.44', '-2.46', '.00', '0.00']","['-5.22', '-2.78', '.00', '0.00']",255,125,0,125,0,2.955077648162842
"['-5.30', '-2.16', '0.00', '0.00']","['-5.55', '-2.34', '.00', '0.00']","['-5.67', '-2.47', '.00', '0.00']","['-5.44', '-2.46', '.00', '0.00']",255,100,0,100,0,3.1081674098968506
"['-5.35', '-2.18', '.00', '0.00']","['-5.30', '-2.16', '0.00', '0.00']","['-5.55', '-2.34', '.00', '0.00']","['-5.67', '-2.47', '.00', '0.00']",255,125,0,125,0,3.2469122409820557
"['-5.58', '-2.37', '0.00', '0.00']","['-5.35', '-2.18', '.00', '0.00']","['-5.30', '-2.16', '0.00', '0.00']","['-5.55', '-2.34', '.00', '0.00']",255,125,0,125,0,3.401472806930542
"['-5.68', '-2.46', '0.00', '0.00']","['-5.58', '-2.37', '0.00', '0.00']","['-5.35', '-2.18', '.00', '0.00']","['-5.30', '-2.16', '0.00', '0.00']",255,125,0,125,0,3.568411350250244
"['-5.46', '-2.32', '.00', '0.00']","['-5.68', '-2.46', '0.00', '0.00']","['-5.58', '-2.37', '0.00', '0.00']","['-5.35', '-2.18', '.00', '0.00']",255,100,0,100,0,3.723085880279541
"['-5.16', '-2.25', '.00', '0.00']","['-5.46', '-2.32', '.00', '0.00']","['-5.68', '-2.46', '0.00', '0.00']","['-5.58', '-2.37', '0.00', '0.00']",255,100,0,100,0,3.875175714492798
"['-5.27', '-2.31', '.00', '0.00']","['-5.16', '-2.25', '.00', '0.00']","['-5.46', '-2.32', '.00', '0.00']","['-5.68', '-2.46', '0.00', '0.00']",255,140,0,140,0,4.010537624359131
"['-5.54', '-2.61', '.00', '0.00']","['-5.27', '-2.31', '.00', '0.00']","['-5.16', '-2.25', '.00', '0.00']","['-5.46', '-2.32', '.00', '0.00']",255,140,0,140,0,4.163291931152344
"['-5.78', '-2.71', '.00', '0.00']","['-5.54', '-2.61', '.00', '0.00']","['-5.27', '-2.31', '.00', '0.00']","['-5.16', '-2.25', '.00', '0.00']",255,140,0,140,0,4.330831527709961
"['-6.02', '-2.42', '.00', '0.00']","['-5.78', '-2.71', '.00', '0.00']","['-5.54', '-2.61', '.00', '0.00']","['-5.27', '-2.31', '.00', '0.00']",255,110,0,110,0,4.498076915740967
"['-6.30', '-2.17', '0.00', '0.00']","['-6.02', '-2.42', '.00', '0.00']","['-5.78', '-2.71', '.00', '0.00']","['-5.54', '-2.61', '.00', '0.00']",255,110,0,110,0,4.652789354324341
"['-6.64', '-2.36', '0.00', '0.00']","['-6.30', '-2.17', '0.00', '0.00']","['-6.02', '-2.42', '.00', '0.00']","['-5.78', '-2.71', '.00', '0.00']",255,130,0,130,0,4.805994510650635
"['-6.62', '-2.61', '.00', '0.00']","['-6.64', '-2.36', '0.00', '0.00']","['-6.30', '-2.17', '0.00', '0.00']","['-6.02', '-2.42', '.00', '0.00']",255,130,0,130,0,4.989452838897705
"['-6.59', '-2.19', '.00', '0.00']","['-6.62', '-2.61', '.00', '0.00']","['-6.64', '-2.36', '0.00', '0.00']","['-6.30', '-2.17', '0.00', '0.00']",255,130,0,130,0,5.17048192024231
Epoch End
EPOCH: 000/009 | REWARD: -10.000000 | LOSS: 398.7719 | Q_MAX: -0.2314
"['-5.97', '-1.96', '.00', '0.00']","['-6.22', '-2.01', '.00', '0.00']","['-6.65', '-2.05', '.00', '0.00']","['-6.92', '-2.02', '.00', '0.00']",255,140,0,140,0,0.3074045181274414
"['-5.67', '-1.25', '.00', '0.00']","['-5.97', '-1.96', '.00', '0.00']","['-6.22', '-2.01', '.00', '0.00']","['-6.65', '-2.05', '.00', '0.00']",255,130,0,130,0,0.4903297424316406
"['-6.01', '-1.28', '0.00', '0.00']","['-5.67', '-1.25', '.00', '0.00']","['-5.97', '-1.96', '.00', '0.00']","['-6.22', '-2.01', '.00', '0.00']",255,140,0,140,0,0.6565446853637695
"['-5.61', '-2.23', '.00', '0.00']","['-6.01', '-1.28', '0.00', '0.00']","['-5.67', '-1.25', '.00', '0.00']","['-5.97', '-1.96', '.00', '0.00']",255,140,0,140,0,0.8233668804168701
