pitch
yaw
slope
roll
"['-1.4', '17835', '-1.67', '178.23', '120.00']","['-1.64', '178.37', '-1.62', '178.31', '120.00']","['-1.65', '178.37', '-1.64', '178.26', '120.00']","['-1.66', '178.37', '-1.57', '178.29', '120.00']",255,140,0,140,0,0,.,2,8,0,6,2,1,0,5,1,7,8,8,3,3,0,1
"['-1.63', '17.32', '-1.56', '178.24', '140.00']","['-1.4', '17835', '-1.67', '178.23', '120.00']","['-1.64', '178.37', '-1.62', '178.31', '120.00']","['-1.65', '178.37', '-1.64', '178.26', '120.00']",255,125,0,125,0,0,.,5,0,5,4,3,6,4,2,0,4,4,0,6,7,3,8
"['-1.63', '178.27', '-1.57', '178.32', '125.00']","['-1.63', '17.32', '-1.56', '178.24', '140.00']","['-1.4', '17835', '-1.67', '178.23', '120.00']","['-1.64', '178.37', '-1.62', '178.31', '120.00']",255,100,0,100,0,0,.,6,8,8,3,0,0,6,0,9,5,8,8,6,2,3
"['-1.62', '178.25', '-1.63', '178.26', '100.00']","['-1.63', '178.27', '-1.57', '178.32', '125.00']","['-1.63', '17.32', '-1.56', '178.24', '140.00']","['-1.4', '17835', '-1.67', '178.23', '120.00']",255,100,0,100,0,0,.,8,3,8,9,1,2,2,4,8,6,1,1,4,5,0,2
"['-1.62', '178.25', '-1.60', '178.27', '100.00']","['-1.62', '178.25', '-1.63', '178.26', '100.00']","['-1.63', '178.27', '-1.57', '178.32', '125.00']","['-1.63', '17.32', '-1.56', '178.24', '140.00']",255,130,0,130,0,0,.,9,7,4,2,1,5,9,8,4,3,4,4,4,8,2,4
"['-1.62', '178.24', '-1.65', '178.29', '130.00']","['-1.62', '178.25', '-1.60', '178.27', '100.00']","['-1.62', '178.25', '-1.63', '178.26', '100.00']","['-1.63', '178.27', '-1.57', '178.32', '125.00']",255,130,0,130,0,1,.,1,5,2,8,8,2,8,1,4,4,0,7,3,4,8,6
"['-1.63', '178.21', '-1.61', '178.21', '130.00']","['-1.62', '178.24', '-1.65', '178.29', '130.00']","['-1.62', '178.25', '-1.60', '178.27', '100.00']","['-1.62', '178.25', '-1.63', '178.26', '100.00']",255,110,0,110,0,1,.,3,3,6,8,4,9,9,2,7,9,0,2,2,2,1,7
"['-1.62', '178.22', '-1.62', '178.23', '110.00']","['-1.63', '178.21', '-1.61', '178.21', '130.00']","['-1.62', '178.24', '-1.65', '178.29', '130.00']","['-1.62', '178.25', '-1.60', '178.27', '100.00']",255,110,0,110,0,1,.,4,9,0,9,4,2,0,0,1,3,4,2,7,7,3,4
"['-1.63', '178.23', '-1.62', '178.25', '110.00']","['-1.62', '178.22', '-1.62', '178.23', '110.00']","['-1.63', '178.21', '-1.61', '178.21', '130.00']","['-1.62', '178.24', '-1.65', '178.29', '130.00']",255,110,0,110,0,1,.,6,5,5,2,3,9,8,2,0,4,8,0,3,4,6,7
"['-1.63', '178.22', '-1.58', '178.22', '110.00']","['-1.63', '178.23', '-1.62', '178.25', '110.00']","['-1.62', '178.22', '-1.62', '178.23', '110.00']","['-1.63', '178.21', '-1.61', '178.21', '130.00']",255,100,0,100,0,1,.,8,0,4,3,8,0,8,9,3,7,0,7,2,7,5,4
