pitch
yaw
slope
roll
"['-0.69', '178.06', '-0.71', '178.02', '120.00']","['-0.68', '178.07', '-0.72', '178.12', '120.00']","['-0.67', '178.07', '-0.76', '178.01', '120.00']","['-0.67', '178.08', '-0.68', '178.08', '120.00']",255,125,0,125,0
"['-0.70', '17.06', '-0.76', '178.03', '125.00']","['-0.69', '178.06', '-0.71', '178.02', '120.00']","['-0.68', '178.07', '-0.72', '178.12', '120.00']","['-0.67', '178.07', '-0.76', '178.01', '120.00']",255,100,0,100,0
"['-0.71', '178.07', '-0.66', '178.13', '100.00']","['-0.70', '17.06', '-0.76', '178.03', '125.00']","['-0.69', '178.06', '-0.71', '178.02', '120.00']","['-0.68', '178.07', '-0.72', '178.12', '120.00']",255,140,0,140,0
"['-0.69', '178.07', '-0.61', '178.06', '140.00']","['-0.71', '178.07', '-0.66', '178.13', '100.00']","['-0.70', '17.06', '-0.76', '178.03', '125.00']","['-0.69', '178.06', '-0.71', '178.02', '120.00']",255,130,0,130,0
"['-0.71', '178.07', '-0.74', '178.18', '130.00']","['-0.69', '178.07', '-0.61', '178.06', '140.00']","['-0.71', '178.07', '-0.66', '178.13', '100.00']","['-0.70', '17.06', '-0.76', '178.03', '125.00']",255,130,0,130,0
"['-0.72', '178.08', '-0.73', '178.15', '130.00']","['-0.71', '178.07', '-0.74', '178.18', '130.00']","['-0.69', '178.07', '-0.61', '178.06', '140.00']","['-0.71', '178.07', '-0.66', '178.13', '100.00']",255,110,0,110,0
"['-0.74', '178.09', '-0.76', '178.12', '110.00']","['-0.72', '178.08', '-0.73', '178.15', '130.00']","['-0.71', '178.07', '-0.74', '178.18', '130.00']","['-0.69', '178.07', '-0.61', '178.06', '140.00']",255,125,0,125,0
"['-0.75', '178.10', '-0.74', '178.10', '125.00']","['-0.74', '178.09', '-0.76', '178.12', '110.00']","['-0.72', '178.08', '-0.73', '178.15', '130.00']","['-0.71', '178.07', '-0.74', '178.18', '130.00']",255,110,0,110,0
"['-0.75', '178.10', '-0.68', '178.02', '110.00']","['-0.75', '178.10', '-0.74', '178.10', '125.00']","['-0.74', '178.09', '-0.76', '178.12', '110.00']","['-0.72', '178.08', '-0.73', '178.15', '130.00']",255,140,0,140,0
"['-0.75', '178.08', '-0.69', '178.05', '140.00']","['-0.75', '178.10', '-0.68', '178.02', '110.00']","['-0.75', '178.10', '-0.74', '178.10', '125.00']","['-0.74', '178.09', '-0.76', '178.12', '110.00']",255,140,0,140,0
