"deque([['145', '140', '140', 5.5], ['143', '0', '0', 1.5], ['143', '0', '0', 1.5], ['143', '0', '0', 1.5]])",8,-1,"deque([['145', '140', '140', 5.5], ['143', '0', '0', 1.5], ['143', '0', '0', 1.5], ['143', '0', '0', 1.5]])",True
"deque([['150', '90', '240', 5.5], ['145', '140', '140', 5.5], ['143', '0', '0', 1.5], ['143', '0', '0', 1.5]])",8,-2,"deque([['150', '90', '240', 5.5], ['145', '140', '140', 5.5], ['143', '0', '0', 1.5], ['143', '0', '0', 1.5]])",
"deque([['148', '90', '240', 6], ['150', '90', '240', 5.5], ['145', '140', '140', 5.5], ['143', '0', '0', 1.5]])",9,-3,"deque([['148', '90', '240', 6], ['150', '90', '240', 5.5], ['145', '140', '140', 5.5], ['143', '0', '0', 1.5]])",
"deque([['142', '90', '240', 6], ['148', '90', '240', 6], ['150', '90', '240', 5.5], ['145', '140', '140', 5.5]])",9,-4,"deque([['142', '90', '240', 6], ['148', '90', '240', 6], ['150', '90', '240', 5.5], ['145', '140', '140', 5.5]])",
"deque([['137', '90', '240', 4.5], ['142', '90', '240', 6], ['148', '90', '240', 6], ['150', '90', '240', 5.5]])",6,-5,"deque([['137', '90', '240', 4.5], ['142', '90', '240', 6], ['148', '90', '240', 6], ['150', '90', '240', 5.5]])",
"deque([['129', '90', '240', 4.5], ['137', '90', '240', 4.5], ['142', '90', '240', 6], ['148', '90', '240', 6]])",6,-6,"deque([['129', '90', '240', 4.5], ['137', '90', '240', 4.5], ['142', '90', '240', 6], ['148', '90', '240', 6]])",
"deque([['120', '90', '240', 5], ['129', '90', '240', 4.5], ['137', '90', '240', 4.5], ['142', '90', '240', 6]])",7,-7,"deque([['120', '90', '240', 5], ['129', '90', '240', 4.5], ['137', '90', '240', 4.5], ['142', '90', '240', 6]])",
"deque([['112', '90', '240', 5], ['120', '90', '240', 5], ['129', '90', '240', 4.5], ['137', '90', '240', 4.5]])",7,-8,"deque([['112', '90', '240', 5], ['120', '90', '240', 5], ['129', '90', '240', 4.5], ['137', '90', '240', 4.5]])",
"deque([['108', '90', '240', 3.5], ['112', '90', '240', 5], ['120', '90', '240', 5], ['129', '90', '240', 4.5]])",4,-9,"deque([['108', '90', '240', 3.5], ['112', '90', '240', 5], ['120', '90', '240', 5], ['129', '90', '240', 4.5]])",
"deque([['103', '90', '240', 4], ['108', '90', '240', 3.5], ['112', '90', '240', 5], ['120', '90', '240', 5]])",5,-10,"deque([['103', '90', '240', 4], ['108', '90', '240', 3.5], ['112', '90', '240', 5], ['120', '90', '240', 5]])",
