0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22
7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23
9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
4,8,9,11,12,14,16,17,18,19,20,21,22,23,24,25
8,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
9,10,11,12,14,16,17,19,20,21,22,23,24,25,26,27
9,11,13,14,16,17,19,20,21,22,23,24,25,26,27,28
11,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
9,14,16,17,18,19,20,22,23,24,25,26,27,28,29,30
14,15,16,18,20,21,22,23,24,25,26,27,28,29,30,31
32,12,14,19,20,21,22,23,24,25,26,27,28,29,30,31
32,33,14,15,17,21,22,23,24,25,26,27,28,29,30,31
32,33,34,16,18,20,21,22,23,25,26,27,28,29,30,31
32,33,34,35,10,15,16,18,23,25,26,27,28,29,30,31
32,33,35,36,10,18,20,21,22,24,25,26,27,28,30,31
33,34,35,36,37,16,20,22,23,24,25,26,27,28,30,31
32,33,34,35,36,37,38,14,18,19,22,23,24,25,28,30
32,33,34,35,36,37,38,18,23,25,26,27,28,29,30,31
32,34,35,36,37,38,39,40,10,18,21,26,27,29,30,31
32,35,36,37,38,39,41,18,19,25,26,27,28,29,30,31
33,34,36,37,38,39,40,41,42,12,13,21,28,29,30,31
32,33,34,36,37,38,39,40,41,42,43,16,21,25,26,31
32,34,35,36,38,39,40,41,42,43,44,22,23,24,29,30
32,35,36,37,38,39,40,41,42,43,45,14,18,23,27,31
36,39,40,41,42,44,45,13,46,12,15,20,22,26,30,31
33,36,37,38,39,40,41,43,44,45,46,47,19,25,28,29
36,39,40,41,42,43,44,46,47,48,20,22,23,25,26,30
32,35,37,38,40,41,42,43,44,46,47,48,49,25,26,27
32,33,37,39,41,42,43,44,45,47,48,16,18,50,25,27
33,34,37,38,39,40,43,44,45,46,47,48,49,50,51,16
33,35,37,39,42,43,44,46,49,50,51,52,21,24,26,31
33,35,37,38,39,42,43,45,46,49,50,51,52,53,23,31
34,36,37,39,40,41,44,45,46,47,48,50,51,52,53,54
32,35,38,42,45,46,47,48,49,50,51,52,53,55,29,31
34,37,41,44,45,47,48,49,50,22,55,56,25,26,27,24
36,37,38,41,42,43,48,49,50,51,52,54,56,57,26,27
58,38,39,44,45,46,47,48,49,50,52,54,55,56,57,26
35,37,45,46,50,51,52,53,54,55,56,57,58,59,21,31
33,39,40,41,43,45,48,50,52,53,54,55,56,57,58,59
32,35,39,40,45,47,48,50,52,53,55,56,57,58,59,61
41,12,28,46,47,29,52,53,55,23,56,58,59,60,61,62
33,34,35,37,38,40,27,42,43,47,48,52,53,54,59,61
64,32,37,39,42,43,45,47,51,54,55,25,58,61,62,63
64,35,36,58,45,15,51,52,53,56,26,59,60,61,62,63
