"['-1', '-1', '-80', 1.5, 0]"
"['-1', '-1', '-80', 6, 0]"
"['-1', '-1', '-79', 6, 0]"
"['-1', '-1', '-79', 6, 0]"
"['109', '209', '-79', 6, 0]"
"['109', '209', '-79', 9, 0]"
"['109', '209', '-74', 9, 0]"
"['109', '209', '-75', 2, 0]"
"['109', '209', '-74', 9, 0]"
"['109', '209', '-70', 9, 0]"
"['109', '209', '-70', 9, 0]"
"['109', '209', '-64', 9, 0]"
"['109', '209', '-59', 4.5, 0]"
"['109', '209', '-53', 9, 0]"
"['109', '209', '-49', 9, 0]"
"['109', '209', '-45', 9, 0]"
"['109', '209', '-43', 9, 0]"
"['109', '209', '-41', 9, 0]"
"['109', '209', '-38', 9, 0]"
"['109', '209', '-31', 9, 0]"
"['109', '209', '-29', 9, 0]"
"['109', '209', '-22', 3.5, 0]"
"['109', '209', '-20', 9, 0]"
"['109', '209', '-14', 4, 0]"
"['109', '209', '-8', 9, 0]"
"['129', '209', '-4', 9, 0]"
"['129', '209', '-3', 9, 0]"
"['137', '209', '4', 9, 0]"
"['137', '209', '5', 4, 0]"
"['173', '209', '12', 9, 0]"
"['182', '209', '18', 2, 0]"
"['209', '165', '22', 9, 0]"
"['209', '186', '24', 4.5, 0]"
"['209', '109', '24', 6, 0]"
"['209', '111', '24', 2, 0]"
"['209', '111', '24', 2, 0]"
"['209', '162', '20', 2, 0]"
"['209', '162', '18', 6, 0]"
"['209', '162', '18', 6, 0]"
"['209', '162', '16', 2, 0]"
"['209', '109', '16', 6, 0]"
"['209', '109', '14', 2, 0]"
"['209', '114', '14', 2, 0]"
"['209', '114', '12', 6, 0]"
"['209', '178', '12', 2, 0]"
"['209', '126', '12', 6, 0]"
"['209', '186', '12', 2, 0]"
"['209', '186', '11', 6, 0]"
"['209', '186', '11', 6, 0]"
"['209', '186', '12', 6, 0]"
"['209', '144', '14', 6, 0]"
"['209', '144', '15', 2, 0]"
"['209', '138', '16', 6, 0]"
"['209', '182', '15', 2, 0]"
"['209', '120', '14', 6, 0]"
"['209', '178', '13', 2, 0]"
"['209', '120', '14', 6, 0]"
"['209', '182', '15', 2, 0]"
"['209', '132', '15', 6, 0]"
"['209', '132', '15', 2, 0]"
"['209', '182', '16', 6, 0]"
"['209', '120', '18', 2, 0]"
"['209', '120', '18', 6, 0]"
"['209', '120', '20', 2, 0]"
"['209', '109', '19', 4.5, 0]"
"['209', '174', '16', 2, 0]"
"['209', '120', '15', 6, 0]"
"['209', '172', '14', 2, 0]"
"['209', '114', '15', 6, 0]"
"['209', '180', '15', 9, 0]"
"['209', '126', '17', 2, 0]"
"['209', '126', '17', 2, 0]"
"['209', '180', '18', 6, 0]"
