"deque([['130', '140', '140', 4], ['129', '0', '0', 1.5], ['129', '0', '0', 1.5], ['129', '0', '0', 1.5]])",5,-10,"deque([['130', '140', '140', 4], ['129', '0', '0', 1.5], ['129', '0', '0', 1.5], ['129', '0', '0', 1.5]])",True
"deque([['132', '90', '240', 5], ['130', '140', '140', 4], ['129', '0', '0', 1.5], ['129', '0', '0', 1.5]])",7,-10,"deque([['132', '90', '240', 5], ['130', '140', '140', 4], ['129', '0', '0', 1.5], ['129', '0', '0', 1.5]])",
"deque([['129', '90', '20', 5.5], ['132', '90', '240', 5], ['130', '140', '140', 4], ['129', '0', '0', 1.5]])",8,-10,"deque([['129', '90', '20', 5.5], ['132', '90', '240', 5], ['130', '140', '140', 4], ['129', '0', '0', 1.5]])",
"deque([['126', '90', '240', 2], ['129', '90', '20', 5.5], ['132', '90', '240', 5], ['130', '140', '140', 4]])",1,-10,"deque([['126', '90', '240', 2], ['129', '90', '20', 5.5], ['132', '90', '240', 5], ['130', '140', '140', 4]])",
"deque([['120', '90', '240', 7.5], ['126', '90', '240', 2], ['129', '90', '20', 5.5], ['132', '90', '240', 5]])",12,-10,"deque([['120', '90', '240', 7.5], ['126', '90', '240', 2], ['129', '90', '20', 5.5], ['132', '90', '240', 5]])",
"deque([['116', '90', '240', 8.5], ['120', '90', '240', 7.5], ['126', '90', '240', 2], ['129', '90', '20', 5.5]])",14,-10,"deque([['116', '90', '240', 8.5], ['120', '90', '240', 7.5], ['126', '90', '240', 2], ['129', '90', '20', 5.5]])",
"deque([['107', '90', '240', 2.5], ['116', '90', '240', 8.5], ['120', '90', '240', 7.5], ['126', '90', '240', 2]])",2,-10,"deque([['107', '90', '240', 2.5], ['116', '90', '240', 8.5], ['120', '90', '240', 7.5], ['126', '90', '240', 2]])",
"deque([['101', '90', '240', 2.5], ['107', '90', '240', 2.5], ['116', '90', '240', 8.5], ['120', '90', '240', 7.5]])",2,-10,"deque([['101', '90', '240', 2.5], ['107', '90', '240', 2.5], ['116', '90', '240', 8.5], ['120', '90', '240', 7.5]])",
"deque([['95', '90', '240', 7], ['101', '90', '240', 2.5], ['107', '90', '240', 2.5], ['116', '90', '240', 8.5]])",11,-10,"deque([['95', '90', '240', 7], ['101', '90', '240', 2.5], ['107', '90', '240', 2.5], ['116', '90', '240', 8.5]])",
"deque([['88', '90', '240', 7], ['95', '90', '240', 7], ['101', '90', '240', 2.5], ['107', '90', '240', 2.5]])",11,-10,"deque([['88', '90', '240', 7], ['95', '90', '240', 7], ['101', '90', '240', 2.5], ['107', '90', '240', 2.5]])",
"deque([['81', '90', '240', 9], ['88', '90', '240', 7], ['95', '90', '240', 7], ['101', '90', '240', 2.5]])",15,-10,"deque([['81', '90', '240', 9], ['88', '90', '240', 7], ['95', '90', '240', 7], ['101', '90', '240', 2.5]])",
"deque([['72', '90', '240', 9], ['81', '90', '240', 9], ['88', '90', '240', 7], ['95', '90', '240', 7]])",15,-10,"deque([['72', '90', '240', 9], ['81', '90', '240', 9], ['88', '90', '240', 7], ['95', '90', '240', 7]])",
"deque([['67', '90', '240', 6], ['72', '90', '240', 9], ['81', '90', '240', 9], ['88', '90', '240', 7]])",9,-10,"deque([['67', '90', '240', 6], ['72', '90', '240', 9], ['81', '90', '240', 9], ['88', '90', '240', 7]])",
"deque([['58', '90', '240', 6], ['67', '90', '240', 6], ['72', '90', '240', 9], ['81', '90', '240', 9]])",9,-10,"deque([['58', '90', '240', 6], ['67', '90', '240', 6], ['72', '90', '240', 9], ['81', '90', '240', 9]])",
"deque([['50', '90', '240', 8], ['58', '90', '240', 6], ['67', '90', '240', 6], ['72', '90', '240', 9]])",13,-10,"deque([['50', '90', '240', 8], ['58', '90', '240', 6], ['67', '90', '240', 6], ['72', '90', '240', 9]])",
"deque([['32', '90', '240', 8], ['50', '90', '240', 8], ['58', '90', '240', 6], ['67', '90', '240', 6]])",13,-1,"deque([['32', '90', '240', 8], ['50', '90', '240', 8], ['58', '90', '240', 6], ['67', '90', '240', 6]])",
"deque([['25', '90', '240', 4.5], ['32', '90', '240', 8], ['50', '90', '240', 8], ['58', '90', '240', 6]])",6,0,"deque([['25', '90', '240', 4.5], ['32', '90', '240', 8], ['50', '90', '240', 8], ['58', '90', '240', 6]])",
"deque([['13', '93', '240', 4.5], ['25', '90', '240', 4.5], ['32', '90', '240', 8], ['50', '90', '240', 8]])",6,0,"deque([['13', '93', '240', 4.5], ['25', '90', '240', 4.5], ['32', '90', '240', 8], ['50', '90', '240', 8]])",
"deque([['7', '124', '240', 6.5], ['13', '93', '240', 4.5], ['25', '90', '240', 4.5], ['32', '90', '240', 8]])",10,1,"deque([['7', '124', '240', 6.5], ['13', '93', '240', 4.5], ['25', '90', '240', 4.5], ['32', '90', '240', 8]])",
"deque([['-9', '152', '240', 6.5], ['7', '124', '240', 6.5], ['13', '93', '240', 4.5], ['25', '90', '240', 4.5]])",10,1,"deque([['-9', '152', '240', 6.5], ['7', '124', '240', 6.5], ['13', '93', '240', 4.5], ['25', '90', '240', 4.5]])",
"deque([['-1', '191', '240', 6.5], ['-9', '152', '240', 6.5], ['7', '124', '240', 6.5], ['13', '93', '240', 4.5]])",10,1,"deque([['-1', '191', '240', 6.5], ['-9', '152', '240', 6.5], ['7', '124', '240', 6.5], ['13', '93', '240', 4.5]])",
"deque([['-19', '240', '186', 6.5], ['-1', '191', '240', 6.5], ['-9', '152', '240', 6.5], ['7', '124', '240', 6.5]])",10,0,"deque([['-19', '240', '186', 6.5], ['-1', '191', '240', 6.5], ['-9', '152', '240', 6.5], ['7', '124', '240', 6.5]])",
"deque([['-20', '240', '186', 6.5], ['-19', '240', '186', 6.5], ['-1', '191', '240', 6.5], ['-9', '152', '240', 6.5]])",10,0,"deque([['-20', '240', '186', 6.5], ['-19', '240', '186', 6.5], ['-1', '191', '240', 6.5], ['-9', '152', '240', 6.5]])",
"deque([['-18', '240', '121', 6.5], ['-20', '240', '186', 6.5], ['-19', '240', '186', 6.5], ['-1', '191', '240', 6.5]])",10,0,"deque([['-18', '240', '121', 6.5], ['-20', '240', '186', 6.5], ['-19', '240', '186', 6.5], ['-1', '191', '240', 6.5]])",
"deque([['-16', '240', '121', 6.5], ['-18', '240', '121', 6.5], ['-20', '240', '186', 6.5], ['-19', '240', '186', 6.5]])",10,0,"deque([['-16', '240', '121', 6.5], ['-18', '240', '121', 6.5], ['-20', '240', '186', 6.5], ['-19', '240', '186', 6.5]])",
"deque([['-17', '240', '114', 6.5], ['-16', '240', '121', 6.5], ['-18', '240', '121', 6.5], ['-20', '240', '186', 6.5]])",10,0,"deque([['-17', '240', '114', 6.5], ['-16', '240', '121', 6.5], ['-18', '240', '121', 6.5], ['-20', '240', '186', 6.5]])",
"deque([['-15', '240', '114', 6.5], ['-17', '240', '114', 6.5], ['-16', '240', '121', 6.5], ['-18', '240', '121', 6.5]])",10,0,"deque([['-15', '240', '114', 6.5], ['-17', '240', '114', 6.5], ['-16', '240', '121', 6.5], ['-18', '240', '121', 6.5]])",
"deque([['-9', '240', '127', 6.5], ['-15', '240', '114', 6.5], ['-17', '240', '114', 6.5], ['-16', '240', '121', 6.5]])",10,1,"deque([['-9', '240', '127', 6.5], ['-15', '240', '114', 6.5], ['-17', '240', '114', 6.5], ['-16', '240', '121', 6.5]])",
"deque([['2', '240', '147', 7.5], ['-9', '240', '127', 6.5], ['-15', '240', '114', 6.5], ['-17', '240', '114', 6.5]])",12,1,"deque([['2', '240', '147', 7.5], ['-9', '240', '127', 6.5], ['-15', '240', '114', 6.5], ['-17', '240', '114', 6.5]])",
"deque([['11', '240', '177', 6.5], ['2', '240', '147', 7.5], ['-9', '240', '127', 6.5], ['-15', '240', '114', 6.5]])",10,0,"deque([['11', '240', '177', 6.5], ['2', '240', '147', 7.5], ['-9', '240', '127', 6.5], ['-15', '240', '114', 6.5]])",
"deque([['14', '224', '240', 6.5], ['11', '240', '177', 6.5], ['2', '240', '147', 7.5], ['-9', '240', '127', 6.5]])",10,0,"deque([['14', '224', '240', 6.5], ['11', '240', '177', 6.5], ['2', '240', '147', 7.5], ['-9', '240', '127', 6.5]])",
"deque([['14', '165', '240', 6.5], ['14', '224', '240', 6.5], ['11', '240', '177', 6.5], ['2', '240', '147', 7.5]])",10,0,"deque([['14', '165', '240', 6.5], ['14', '224', '240', 6.5], ['11', '240', '177', 6.5], ['2', '240', '147', 7.5]])",
