"[-1, -1, -95, -26.485211285393145, 0.0, 4, 0]","[-1, -1, -95, -26.485211285393145, 0.0, 4, 0]"
"[-1, -1, -95, -26.485211285393145, 0.0, 2, 0]","[-1, -1, -95, -26.485211285393145, 0.0, 4, 0]"
"[-1, -1, -95, -29.53485620933442, 3489.2309252242403, 2, 1]","[-1, -1, -95, -26.485211285393145, 0.0, 2, 0]"
"[-1, -1, -95, 0.0, 0.0, 2, 2]","[-1, -1, -95, -29.53485620933442, 3489.2309252242403, 2, 1]"
"[-1, -1, -96, 0.0, 0.0, 2, 3]","[-1, -1, -95, 0.0, 0.0, 2, 2]"
"[20, 209, -95, 6.086057640684538, 148.16039042293855, 2, 3]","[-1, -1, -96, 0.0, 0.0, 2, 3]"
"[20, 209, -96, 6.086057640684538, 148.16039042293855, 2, 4]","[20, 209, -95, 6.086057640684538, 148.16039042293855, 2, 3]"
"[21, 210, -85, 124.8544866686817, 4058.5815681491167, 2, 5]","[20, 209, -96, 6.086057640684538, 148.16039042293855, 2, 4]"
"[22, 211, -85, 174.3051157378548, 0.0, 2, 5]","[21, 210, -85, 124.8544866686817, 4058.5815681491167, 2, 5]"
"[22, 211, -85, 174.3051157378548, 0.0, 2, 6]","[22, 211, -85, 174.3051157378548, 0.0, 2, 5]"
"[22, 211, -73, 237.56410960217147, 667.8900138588466, 2, 7]","[22, 211, -85, 174.3051157378548, 0.0, 2, 6]"
"[36, 212, -66, 247.22934443793363, 1268.9760986410472, 2, 7]","[22, 211, -73, 237.56410960217147, 667.8900138588466, 2, 7]"
"[36, 212, -67, 247.22934443793363, 1268.9760986410472, 2, 8]","[36, 212, -66, 247.22934443793363, 1268.9760986410472, 2, 7]"
"[36, 213, -50, 428.5587003167467, 1517.8723935304058, 2, 8]","[36, 212, -67, 247.22934443793363, 1268.9760986410472, 2, 8]"
"[74, 214, -44, 587.42382297332, 0.0, 4, 9]","[36, 213, -50, 428.5587003167467, 1517.8723935304058, 2, 8]"
"[74, 214, -36, 479.98478864312585, -5452.908812515648, 4.5, 9]","[74, 214, -44, 587.42382297332, 0.0, 4, 9]"
"[72, 214, -34, 309.3284923300354, -2264.7128086904804, 4.5, 10]","[74, 214, -36, 479.98478864312585, -5452.908812515648, 4.5, 9]"
"[26, 215, -27, 270.6335156394027, -664.3310638307742, 4.5, 10]","[72, 214, -34, 309.3284923300354, -2264.7128086904804, 4.5, 10]"
"[26, 215, -22, 274.62761620624474, 1710.8580926228608, 3.5, 10]","[26, 215, -27, 270.6335156394027, -664.3310638307742, 4.5, 10]"
"[44, 216, -18, 281.2293878598124, -1794.1013670171224, 4.5, 10]","[26, 215, -22, 274.62761620624474, 1710.8580926228608, 3.5, 10]"
"[113, 217, -9, 295.98320484095757, 2433.501598553451, 6, 10]","[44, 216, -18, 281.2293878598124, -1794.1013670171224, 4.5, 10]"
"[113, 217, -2, 387.2926094053449, 1872.9935313215522, 3.5, 10]","[113, 217, -9, 295.98320484095757, 2433.501598553451, 6, 10]"
"[108, 217, 5, 385.6156401252729, -1856.808598242131, 6, 10]","[113, 217, -2, 387.2926094053449, 1872.9935313215522, 3.5, 10]"
"[176, 218, 11, 352.06945427074214, 0.0, 6, 10]","[108, 217, 5, 385.6156401252729, -1856.808598242131, 6, 10]"
"[176, 218, 15, 305.1556952447471, -1787.9039681338547, 3.5, 10]","[176, 218, 11, 352.06945427074214, 0.0, 6, 10]"
"[196, 218, 22, 274.52289374683414, 569.8511848101, 3.5, 10]","[176, 218, 15, 305.1556952447471, -1787.9039681338547, 3.5, 10]"
"[196, 218, 25, 282.4298294922241, -603.1501594480669, 3.5, 10]","[196, 218, 22, 274.52289374683414, 569.8511848101, 3.5, 10]"
"[219, 192, 25, 183.42116464435026, -4186.724719580958, 6, 10]","[196, 218, 25, 282.4298294922241, -603.1501594480669, 3.5, 10]"
"[220, 179, 28, 100.76284969549916, 0.0, 3.5, 10]","[219, 192, 25, 183.42116464435026, -4186.724719580958, 6, 10]"
"[220, 179, 29, 93.265823910699, 0.0, 3.5, 9]","[220, 179, 28, 100.76284969549916, 0.0, 3.5, 10]"
"[221, 82, 28, 61.58168598846565, -1820.3059436073536, 3.5, 9]","[220, 179, 29, 93.265823910699, 0.0, 3.5, 9]"
"[221, 144, 30, 32.91026834754407, 481.3714500921605, 3.5, 9]","[221, 82, 28, 61.58168598846565, -1820.3059436073536, 3.5, 9]"
"[221, 144, 28, 44.265814858332924, -870.8721622543146, 3.5, 9]","[221, 144, 30, 32.91026834754407, 481.3714500921605, 3.5, 9]"
"[222, 134, 25, -158.31146674718804, 0.0, 6, 8]","[221, 144, 28, 44.265814858332924, -870.8721622543146, 3.5, 9]"
"[222, 134, 24, -158.31146674718804, 0.0, 3.5, 8]","[222, 134, 25, -158.31146674718804, 0.0, 6, 8]"
"[223, 128, 23, -44.5489296392478, 992.3035660013256, 3.5, 8]","[222, 134, 24, -158.31146674718804, 0.0, 3.5, 8]"
"[224, 146, 19, -69.9758199957735, -2176.273504035953, 9, 8]","[223, 128, 23, -44.5489296392478, 992.3035660013256, 3.5, 8]"
"[224, 146, 19, -87.18607285766254, 950.176412542705, 4.5, 8]","[224, 146, 19, -69.9758199957735, -2176.273504035953, 9, 8]"
"[224, 149, 17, -48.56232813666861, 1179.1498570267381, 3.5, 8]","[224, 146, 19, -87.18607285766254, 950.176412542705, 4.5, 8]"
"[225, 148, 13, -85.5930499679319, -2990.273552168526, 6, 7]","[224, 149, 17, -48.56232813666861, 1179.1498570267381, 3.5, 8]"
"[225, 148, 13, -122.2786374820706, 1196.1652147577308, 6, 7]","[225, 148, 13, -85.5930499679319, -2990.273552168526, 6, 7]"
"[225, 167, 11, -35.48120326193618, 604.2795767591188, 4.5, 7]","[225, 148, 13, -122.2786374820706, 1196.1652147577308, 6, 7]"
"[225, 167, 11, -35.48120326193618, 604.2795767591188, 6, 7]","[225, 167, 11, -35.48120326193618, 604.2795767591188, 4.5, 7]"
"[225, 155, 7, -58.99825578124121, -1547.0196378794496, 6, 7]","[225, 167, 11, -35.48120326193618, 604.2795767591188, 6, 7]"
"[226, 176, 7, -110.04435737773736, 598.0128686755149, 6, 7]","[225, 155, 7, -58.99825578124121, -1547.0196378794496, 6, 7]"
"[226, 168, 6, -47.74745997142646, 2279.8199337229717, 4.5, 7]","[226, 176, 7, -110.04435737773736, 598.0128686755149, 6, 7]"
"[226, 168, 5, -12.224584965491513, -597.7619103140845, 4.5, 7]","[226, 168, 6, -47.74745997142646, 2279.8199337229717, 4.5, 7]"
"[226, 192, 5, -24.663381590243556, 0.0, 3.5, 7]","[226, 168, 5, -12.224584965491513, -597.7619103140845, 4.5, 7]"
"[227, 208, 7, 12.33285111087588, 1825.1905982763894, 4.5, 7]","[226, 192, 5, -24.663381590243556, 0.0, 3.5, 7]"
"[227, 208, 6, 37.91746873587464, -638.9930823715692, 4.5, 7]","[227, 208, 7, 12.33285111087588, 1825.1905982763894, 4.5, 7]"
"[227, 217, 9, 21.18727710518783, 199.51142716978507, 6, 7]","[227, 208, 6, 37.91746873587464, -638.9930823715692, 4.5, 7]"
"[227, 217, 8, 21.18727710518783, 199.51142716978507, 4.5, 7]","[227, 217, 9, 21.18727710518783, 199.51142716978507, 6, 7]"
