-95,[-0.10384413],39
-94,[-0.09613885],40
-94,[-0.11251619],21
-95,[-0.0935522],21
-95,[-0.13198564],39
-96,[-0.17375544],39
-93,[-0.05905697],39
-94,[-0.10855879],39
-77,[0.04990429],39
-78,[0.05267619],39
-68,[0.15119277],40
-52,[0.32672922],40
-52,[0.2994058],40
-53,[0.27793363],40
-42,[0.44088745],39
-43,[0.34568855],39
-31,[0.49474216],39
-32,[0.45704176],39
-17,[0.66502149],39
-11,[0.71033384],40
-4,[0.85063643],39
-4,[0.83936029],39
-5,[0.78522771],39
1,[0.86299205],21
10,[0.94277982],40
16,[0.87558469],39
19,[0.85482541],40
19,[0.82441677],40
29,[0.7372434],39
33,[0.75198922],21
33,[0.74055833],21
38,[0.6575295],40
38,[0.70338506],40
43,[0.67099058],39
42,[0.67812477],39
41,[0.61628072],21
36,[0.76389225],40
35,[0.7322799],40
31,[0.75834266],40
31,[0.81960007],40
25,[0.83659111],39
24,[0.91270593],39
14,[0.90325676],39
13,[0.91500162],40
13,[0.87244706],40
9,[0.89895038],39
8,[0.78957573],40
8,[0.84050244],40
3,[0.79032059],21
6,[0.81481049],39
5,[0.83532169],39
3,[0.77554929],40
6,[0.85046947],21
6,[0.81547274],21
9,[0.8775202],39
9,[0.80771171],39
9,[0.86269784],40
10,[0.87845795],21
10,[0.80863404],21
10,[0.81547646],39
10,[0.83766718],39
10,[0.89904077],39
11,[0.8516792],39
11,[0.90106014],39
11,[0.87179363],40
13,[0.91606227],40
13,[0.88348312],40
13,[0.87076761],40
14,[0.93783741],21
16,[0.94405714],39
16,[0.9127036],39
23,[0.90428372],39
23,[0.89477032],39
24,[0.92920649],40
24,[0.89455044],40
22,[0.95263374],40
23,[0.9023051],39
23,[0.93845107],39
20,[0.89717575],40
20,[0.91050473],40
18,[0.92420988],40
18,[0.97590492],40
21,[0.94182392],21
21,[0.95018875],21
24,[0.87317291],39
24,[0.8256056],39
25,[0.80141877],39
25,[0.87667995],39
28,[0.82285633],40
27,[0.80601431],21
27,[0.82933673],21
28,[0.75915493],21
25,[0.80475455],39
25,[0.77951346],39
22,[0.87073281],39
23,[0.80276271],40
24,[0.78406237],40
24,[0.85064662],40
21,[0.83849989],39
21,[0.81092726],40
21,[0.8653829],40
23,[0.7909974],39
23,[0.75891519],39
22,[0.83304646],40
23,[0.81084189],40
18,[0.85046545],39
19,[0.83472097],39
22,[0.79391326],39
23,[0.75807264],39
27,[0.75405937],40
28,[0.67729905],40
27,[0.7399681],39
31,[0.70744481],39
31,[0.65366419],39
30,[0.69859222],39
30,[0.66513557],39
31,[0.59342021],39
33,[0.59484546],39
34,[0.56491933],39
33,[0.5630784],40
38,[0.52671603],39
38,[0.53329187],39
39,[0.53288261],39
41,[0.46278459],40
41,[0.49945629],40
38,[0.52883589],40
39,[0.49041137],40
37,[0.51446572],40
35,[0.50916229],39
35,[0.49593396],39
30,[0.57380658],39
22,[0.6521762],40
21,[0.67344193],21
21,[0.72049567],21
20,[0.69104991],40
20,[0.67650412],40
16,[0.73558136],39
16,[0.72150217],39
7,[0.7570895],39
7,[0.82856484],40
4,[0.8334657],39
4,[0.86635985],39
2,[0.79252977],39
2,[0.86966301],39
-6,[0.8934609],40
-7,[0.94447118],39
-10,[0.98194604],40
-9,[0.88907505],40
-8,[0.9579418],39
-7,[0.89151095],39
-11,[0.9851922],39
-11,[0.90519851],39
-11,[0.93273703],40
-11,[0.90873895],21
-10,[0.90168846],21
-13,[0.98620307],39
-13,[0.93139348],39
-11,[0.93235696],39
-11,[0.94645354],39
-13,[0.88742075],40
-9,[0.82511097],39
-9,[0.88522167],39
-10,[0.86403405],39
-10,[0.83475149],39
-6,[0.8668848],40
-6,[0.81253787],40
-6,[0.82543274],40
-5,[0.80268413],39
-4,[0.74504215],21
-4,[0.77358376],21
-6,[0.80949018],39
-6,[0.82034],39
-7,[0.78323805],39
-6,[0.80079243],39
-8,[0.85424994],40
-9,[0.87097137],21
-11,[0.85609179],40
-11,[0.82450417],40
-9,[0.85073192],21
-9,[0.8670137],21
-14,[0.85537788],39
-11,[0.83517117],40
-11,[0.87153038],40
-15,[0.95507514],21
-13,[0.90794954],39
-13,[0.84016802],39
